08:00|"8 A.M."|"The dissonance was overwhelming. One day, I found myself pressed inside the Washington Metro, soaked through from a November rain, palpitating slightly as I realized I had an 8 A.M. meeting and it was presently 8:17 A.M., and just like that it occurred to me that six months earlier I could be found paddling an outrigger canoe across the sun-dappled waters of a lagoon in the South Pacific. This had been happening for some time, this juxtaposition of my former life upon my present one, and the contrast never failed to leave me twitching in bafflement. How had this happened? Huddled on the subway, I lingered on the image for a moment, far away, envisioning the canopy of palm trees swaying in the near distance, the urgent leap of a flying fish, the fishermen in sailing canoes returning with their catch, the brilliant, shimmering colors offered by a setting sun, until my reverie came to an abrupt end as the subway doors opened and I was swept into the tumult of the rush-hour commute. It was a disconcerting sensation. Blue, blue water, I thought in vain as I was shepherded onto an escalator crowded with pasty-faced suits like myself, dejected already. I tried imagining swaying palm trees as I scurried through the rain toward my office at the World Bank, flashing the color-coded ID card I kept tethered to my belt. Inside, I tried conjuring stress-free tropical living once I found on my chair a dreaded note from my boss: PLEASE SEE ME. 7:45 A.M. But the image was gone. Poof."|"Getting Stoned With Savages"|"J. Maarten Troost"
08:17|"8:17 A.M."|"The dissonance was overwhelming. One day, I found myself pressed inside the Washington Metro, soaked through from a November rain, palpitating slightly as I realized I had an 8 A.M. meeting and it was presently 8:17 A.M., and just like that it occurred to me that six months earlier I could be found paddling an outrigger canoe across the sun-dappled waters of a lagoon in the South Pacific. This had been happening for some time, this juxtaposition of my former life upon my present one, and the contrast never failed to leave me twitching in bafflement. How had this happened? Huddled on the subway, I lingered on the image for a moment, far away, envisioning the canopy of palm trees swaying in the near distance, the urgent leap of a flying fish, the fishermen in sailing canoes returning with their catch, the brilliant, shimmering colors offered by a setting sun, until my reverie came to an abrupt end as the subway doors opened and I was swept into the tumult of the rush-hour commute. It was a disconcerting sensation. Blue, blue water, I thought in vain as I was shepherded onto an escalator crowded with pasty-faced suits like myself, dejected already. I tried imagining swaying palm trees as I scurried through the rain toward my office at the World Bank, flashing the color-coded ID card I kept tethered to my belt. Inside, I tried conjuring stress-free tropical living once I found on my chair a dreaded note from my boss: PLEASE SEE ME. 7:45 A.M. But the image was gone. Poof."|"Getting Stoned With Savages"|"J. Maarten Troost"
07:45|"7:45 A.M."|"The dissonance was overwhelming. One day, I found myself pressed inside the Washington Metro, soaked through from a November rain, palpitating slightly as I realized I had an 8 A.M. meeting and it was presently 8:17 A.M., and just like that it occurred to me that six months earlier I could be found paddling an outrigger canoe across the sun-dappled waters of a lagoon in the South Pacific. This had been happening for some time, this juxtaposition of my former life upon my present one, and the contrast never failed to leave me twitching in bafflement. How had this happened? Huddled on the subway, I lingered on the image for a moment, far away, envisioning the canopy of palm trees swaying in the near distance, the urgent leap of a flying fish, the fishermen in sailing canoes returning with their catch, the brilliant, shimmering colors offered by a setting sun, until my reverie came to an abrupt end as the subway doors opened and I was swept into the tumult of the rush-hour commute. It was a disconcerting sensation. Blue, blue water, I thought in vain as I was shepherded onto an escalator crowded with pasty-faced suits like myself, dejected already. I tried imagining swaying palm trees as I scurried through the rain toward my office at the World Bank, flashing the color-coded ID card I kept tethered to my belt. Inside, I tried conjuring stress-free tropical living once I found on my chair a dreaded note from my boss: PLEASE SEE ME. 7:45 A.M. But the image was gone. Poof."|"Getting Stoned With Savages"|"J. Maarten Troost"
08:21|"8:21 A.M."|"As I settled into my office, I noticed another note on top of my keyboard, scrawled by the office assistant: IFC MEETING IN WBIGF CONFERENCE ROOM. WHERE ARE YOU??? 8:21 A.M. The message light on my phone blinked ominously. Sighing, I loped toward the conference room, pausing briefly to catch sight of my reflection in the window, and I noted with some interest that I looked like sodden vermin. It was not going to be a good day, I knew. The conference room itself was transparent, because the World Bank values transparency, and as I approached I wondered, Is that a Bank vice president sitting there? Why, yes, it was. Is that another one? Indeed so. And look, there’s our division chief. Does he ever look pissed off. I entered, and as I mumbled my apologies, my boss cut me off. “Finally,” he said. “Now we can begin. Do you have the PowerPoint slides?”"|"Getting Stoned With Savages"|"J. Maarten Troost"
"> 09:00"|"after 9 A.M."|"And then our plan went up in smoke. I arrived at work one morning, comfortably after 9 A.M., more like 10 A.M., well rested, refreshed, and as I scrolled through my e-mail, there in the midst of innumerable agendas and consultant reports was a message with the heading COUP! That caught my eye. It was a mass mailing sent by an acquaintance of ours in Fiji. We’re safe now, it began, which I thought was a very lively way to begin an e-mail. The message was a stream-of-consciousness recounting of a very bad day. Gunmen…prime minister held hostage…shooting…looters…Suva on fire."|"Getting Stoned With Savages"|"J. Maarten Troost"
10:00|"10 A.M."|"And then our plan went up in smoke. I arrived at work one morning, comfortably after 9 A.M., more like 10 A.M., well rested, refreshed, and as I scrolled through my e-mail, there in the midst of innumerable agendas and consultant reports was a message with the heading COUP! That caught my eye. It was a mass mailing sent by an acquaintance of ours in Fiji. We’re safe now, it began, which I thought was a very lively way to begin an e-mail. The message was a stream-of-consciousness recounting of a very bad day. Gunmen…prime minister held hostage…shooting…looters…Suva on fire."|"Getting Stoned With Savages"|"J. Maarten Troost"
12:00|midday|"We continued on our excursion, and the farther we traveled from Port Vila, the more treacherous the road became. After a rather exhilarating slide down a hill with my foot pressing the brake as far as it would go, we probably ought to have listened to our more sensible instincts and turned around. We drove on, however, partly because I am constitutionally incapable of backtracking, but mostly because the scenery was so alluring and each curve and every crest promised another vista of paradise. There were coconut palms with their fronds moving like languorous fans, and I was feeling tremendously pleased to be among them again. The hillsides were impressively dense and green, exuding an air of primordial wilderness. Those woods, I had read, contained a multitude of lizards, including the banded iguana, a fearsome-looking dragon that grows upwards of three feet in length. There was also the Pacific boa, an eight-foot-long snake that I hoped never to encounter. It is said that the Pacific boa is harmless, but I didn’t believe that for a moment. Raised as a Catholic, I still find it difficult to have warm and mushy feelings toward snakes. We stopped here and there, never encountering another vehicle, and listened to the quiet buzz of insects and the lazy calls of birds slumbering in the midday sun. There was a torporous serenity to the island, and the lingering small pressures that remained of our lives in Washington, the urge to hurry on, to check e-mail, to do errands, evaporated with the rising heat."|"Getting Stoned With Savages"|"J. Maarten Troost"
"> 21:00"|"after 9 P.M."|"It wasn’t always so. Like all large towns in the region, Port Vila is a town built by Westerners for Westerners. Indeed, until the 1940s, the Ni-Vanuatu were not even allowed to live in Vila, as the locals call their town. Any Ni-Vanuatu men found wandering about after 9 P.M. were arrested. This, remarkably, was an improvement over the state of affairs that prevailed in the 1880s, when Port Vila was little more than a debauched port for planters, beachcombers, ex-convicts, and blackbirders—rapacious labor recruiters who plied the South Pacific, filling their holds with bodies to send to plantations and mines throughout the Southern Hemisphere. One hotel in particular came to be known as the “bloodhouse.” R. J. Fletcher in Isles of Illusion (published in 1925) described an evening at the inn:"|"Getting Stoned With Savages"|"J. Maarten Troost"
05:00|"five o’clock in the morning"|"The impression we took away was that Vanuatu’s paramilitary police force were not the sort of people one wanted showing up at your home at five o’clock in the morning. The publisher was taken to the airport, deposited on an early morning flight to Australia, and soon found himself in Brisbane, where, no doubt, he could be heard muttering, “What just happened?” The government declared that The Trading Post had been publishing “state secrets” that were “detrimental to investors’ confidence in Vanuatu.” Most egregiously, the publisher had not respected Vanuatu’s culture, and for this he was deported."|"Getting Stoned With Savages"|"J. Maarten Troost"
"ap 06:00"|six|"“Dinner will be at six,” he informed me. This left a little more than an hour to ramble about."|"Getting Stoned With Savages"|"J. Maarten Troost"
