09:00|"9 A.M."|"I gave him ten, which was far more than his service required, but I was new to China and hadn’t yet acquired the flinty-eyed determination to haggle for the Chinese price. I took my place in line; it was still early, before 9 A.M., and by Chinese standards the line remained relatively short. Perhaps 500 of us waited for a chance to gaze upon the Chairman. Meanwhile, over a loudspeaker we listened to a recounting of the life and times of Mao Zedong while waiting for the grim-faced guards in crisp blue uniforms and white gloves to let us in. Actually, I had no idea what they were talking about over the loudspeaker. Perhaps the voice was informing us that there was a blue-tag special on Mao watches in aisle three of the gift shop. Who could say? Certainly not me."|"Lost on Planet China"|"J. Maarten Troost"
"> 20:00"|"past 8 P.M."|"At night, once I could safely stay up past 8 P.M. without nodding off into a jet-lag-induced, drool-producing slumber, Dan introduced me to the trippy mayhem that is Beijing night-life. It was breathtaking. Of course, as a parent of two kids under the age of five living in Sacramento, it didn’t take much to impress me. Indeed, I couldn’t recall the last time I had been inside anything fancying itself a club, though I’m fairly certain it must have been back when INXS was king. Twenty years ago, Beijing had been about as sexless a city as humanity is capable of creating, and now here I was, somewhere in the slinky depths of Club Banana, listening to a throbbing techno-funk-house-electronica-groove. Dan, helpful as always, translated as the stunningly beautiful young woman who stood before me inquired whether I’d like to dance with her, and just as I was beginning to feel particularly good-looking, I was informed that the privilege would cost me 300 yuan."|"Lost on Planet China"|"J. Maarten Troost"
12:00|midday|"And then I put my reading glasses back on and read the newspaper. I was sitting on a small foldout chair in the hallway of a sleeping car. I had no need for a sleeping berth as it was a midday train, a six-hour journey through green farmland under a gray, soot-stained sky. But since I was traveling the rails of China during Golden Week along with 150 million other people, every seat had been sold out except for the higher-priced sleepers. Train tickets are divided into four classes—hard seat, soft seat, hard sleeper, and soft sleeper. The Chinese, of course, are among the most frugal people on the planet. Few people spend their hard-earned kuai on a daytime soft-sleeper."|"Lost on Planet China"|"J. Maarten Troost"
"< 00:00"|"nearly midnight"|"It was nearly midnight when we pulled into Qingdao. Outside the train station, the air was cool and a mist hinted of the sea."|"Lost on Planet China"|"J. Maarten Troost"
19:22|1922|"But it was old Qingdao that I’d come to see. For the first seventeen years of the twentieth century, Qingdao, or Tsingtao as it was then known in English, found itself under Imperial German control. The Kaiser had wanted to base his Far East squadron in Qingdao and the Qing Dynasty said sure, fine, whatever, and ceded the city to the Germans. This, of course, was not Imperial China’s finest hour. The Germans arrived, built a city of strasses and schusses, beer gardens, and churches, and not long after finishing the city’s masterpiece, the Tsingtao Brewery, the moment when their re-creation of a quaint Bavarian town was complete, the Germans proceeded to screw everything up and lose World War I. Sadly for the locals, instead of Guten Tag, they soon found themselves learning how to say Konnichi Wa, as the Treaty of Versailles turned the city over to the Japanese, who remained until 1922, before returning again in 1937, when they began to do really, really bad things to China. Upon reflection, the Chinese probably had some more choice words for the Japanese than Konnichi Wa."|"Lost on Planet China"|"J. Maarten Troost"
21:00|"9 P.M."|"More telegrams were sent. New acronyms were created. The President stayed up deep into the night, to 9 P.M. even, and felt the weight of his awesome responsibilities. How sorry was he?"|"Lost on Planet China"|"J. Maarten Troost"
09:47|"9:47 AM"|"For everyday spectator sports, however, the Chinese have turned to arguments. Nothing attracts a crowd in China like a good quarrel. This was my observation on the shores of West Lake the following morning. Two elderly women had stopped before a park bench where they were engaged in an argument of epic proportions. They screamed. They mocked. They waved their hands in threatening manners. They did not strike each other. But they wanted to. You could tell. All around them, people had stopped to observe the commotion. They had halted their lakeside perambulations to view the goings-on. There were dozens of people, then a hundred or more as the ladies argued. It was a flash crowd. I could imagine the text messages: Two old women going AT IT beside West Lake. 9:47 AM. Be there."|"Lost on Planet China"|"J. Maarten Troost"
06:23|"6:23 A.M."|"“Look, you don’t know if it’s SARS. It could be any number of things. But what I think you should do is just live for today. And I think we need to go. What time is it?”
“It says here on my brand-new watch that it’s 6:23 A.M.”
“As they say, even a stopped watch is right twice a day.”"|"Lost on Planet China"|"J. Maarten Troost"
06:00|"6 A.M."|"A sign pointed us toward the Catholic church. This pleased Jack, who gets a little shaky without his weekly mass. We followed an alleyway until we found ourselves in front of what appeared to be a stone pagoda on steroids. It looked nothing like any church I’d seen. It looked, strangely, like a boat in heavy seas, with flaming eaves parting like turbulent waves. We went inside and met a friendly woman named Irene. Jack inquired about mass and learned that they’d have one at 6 A.M. the following day, and we promised to attend."|"Lost on Planet China"|"J. Maarten Troost"
02:00|"2 A.M."|"And the night went on, leading inexorably to flaming shots sucked through straws and a long, endless stumble in the dark—Which way? I don’t know. Fuck. I’m drunk—until finally we found the heavy wooden door of our guesthouse, and we pounded—so much pounding, had they never before had drunken guests needing an open door at 2 A.M.?—until, at last, a young boy undid the lock and wordlessly, loudly, we tottered in."|"Lost on Planet China"|"J. Maarten Troost"
