06:00|"6 a.m."|"And on this third day the whole thing was still a blur. We had been wakened as on my first morning by the hideous 6 a.m. clattering of dustbin lids; I hadn’t really expected the silvery tones of a bugle but I found this totally unromantic din intolerable. However, at the moment my only concern was that we had completed the circuit of the park. The gates were only a few yards ahead and I staggered up to them and halted among my groaning comrades."|"All Things Wise and Wonderful"|"James Herriot"
06:30|"6:30 a.m."|"This 6:30 a.m. walk to breakfast was just about the worst part of the day, when my morale was low and thoughts of home rose painfully."|"All Things Wise and Wonderful"|"James Herriot"
09:30|"9:30 a.m."|"I was due to start Lord Hulton’s tuberculin test at 9:30 a.m. and as I drove round the back of the Elizabethan mansion to the farm buildings nearby I felt a pang of misgiving; there were no animals in sight. There was only a man in tattered blue dungarees hammering busily at a makeshift crush at the exit to the fold yard."|"All Things Wise and Wonderful"|"James Herriot"
"ap 09:30"|"nine thirty"|"“It’s too bad for me, old chap,” he said, spraying a few matchsticks around and dropping flakes of tobacco on the stone flags. “I did promise to be ready for nine thirty but those blasted animals just won’t cooperate.”"|"All Things Wise and Wonderful"|"James Herriot"
"ap 05:30"|"five thirty"|"I looked at the alarm clock. It was five thirty. A horrible time, truncating the night’s slumber yet eliminating any chance of a soothing return to bed for an hour before the day’s work. And I hated turning out even more since my marriage. Helen was lovely to come back to, but by the same token it was a bigger wrench to leave her soft warm presence and venture into the inhospitable world outside."|"All Things Wise and Wonderful"|"James Herriot"
"ap > 07:00"|"after seven"|"My aching muscles were slow to obey as I soaped and towelled myself and pulled on my shirt. Fastening my watch round my wrist I saw that it was after seven and I could hear the farm men clattering in the yard outside as they began their morning tasks."|"All Things Wise and Wonderful"|"James Herriot"
"ap > 06:00"|"after six o’clock"|"I couldn’t see much point in viewing this perfectly healthy animal again but I promised to call. I had a busy day and it was after six o’clock before I got round to The Laurels. There were several cars in the drive and when I went into the house I saw that Mrs. Rumney had a few people in for drinks; people like herself—upper class and of obvious refinement. In fact I felt rather a lout in my working clothes among the elegant gathering."|"All Things Wise and Wonderful"|"James Herriot"
"ap ~ 03:00"|"about three o’clock"|"We got into my car. It was a Sunday, about three o’clock and the streets were quiet. He led me up the cobbled yard and opened the door of one of the houses."|"All Things Wise and Wonderful"|"James Herriot"
12:00|midday|"However, the sausage and mash wasn’t at all bad and Tristan was lavish with his helpings. The three of us cleaned our plates pretty thoroughly, because morning is the busiest working time in practice and I was always famished by midday."|"All Things Wise and Wonderful"|"James Herriot"
"ap ~ 07:00"|"about seven o’clock"|"We finished our drinks and Siegfried immersed himself in the Veterinary Record as savoury smells began to issue from the kitchen. It was about seven o’clock when Tristan put his head round the door."|"All Things Wise and Wonderful"|"James Herriot"
"ap < 01:00"|"nearly one o’clock"|"I didn’t get back till nearly one o’clock. Tristan was not in the sitting room but a haze of smoke hung on the air and a reek like a garden bonfire prickled in my nostrils."|"All Things Wise and Wonderful"|"James Herriot"
"ap ~ 05:00"|"About five o’clock"|"It was dark when I left the farm. About five o’clock on a late December day, the light gone early and the stars beginning to show in a frosty sky. I drove slowly, the enormous finger jutting upwards from the wheel, pointing the way between the headlights like a guiding beacon. I was within half a mile of Darrowby with the lights of the little town beginning to wink between the bare roadside branches when a car approached, went past, then I heard a squeal of brakes as it stopped and began to double back."|"All Things Wise and Wonderful"|"James Herriot"
