"~ 12:00"|"about noon"|"They threw me off the hay truck about noon. I had swung on the night before, down at the border, and as soon as I got up there under the canvas, I went to sleep. I needed plenty of that, after three weeks in Tia Juana, and I was still getting it when they pulled off to one side to let the engine cool. Then they saw a foot sticking out and threw me off. I tried some comical stuff, but all I got was a dead pan, so that gag was out. They gave me a cigarette, though, and I hiked down the road to find something to eat."|"The Postman Always Rings Twice"|"James M. Cain"
"ap ~ 03:00"|"About three o’clock"|"About three o’clock a guy came along that was all burned up because somebody had pasted a sticker on his wind wing. I had to go in the kitchen to steam it off for him."|"The Postman Always Rings Twice"|"James M. Cain"
"~ 22:00"|"about ten o’clock at night"|"We played it just like we would tell it. It was about ten o’clock at night, and we had closed up, and the Greek was in the bathroom, putting on his Saturday night wash. I was to take the water up to my room, get ready to shave, and then remember I had left the car out. I was to go outside, and stand by to give her one on the horn if somebody came. She was to wait till she heard him in the tub, go in for a towel, and clip him from behind with a blackjack I had made for her out of a sugar bag with ball bearings wadded down in the end. At first, I was to do it, but we figured he wouldn’t pay any attention to her if she went in there, where if I said I was after my razor, he might get out of the tub or something and help me look. Then she was to hold him under until he drowned. Then she was to leave the water running a little bit, and step out the window to the porch roof, and come down the stepladder I had put there, to the ground. She was to hand me the blackjack, and go back to the kitchen. I was to put the ball bearings back in the box, throw the bag away, put the car in, and go up to my room and start to shave. She would wait till the water began dripping down in the kitchen, and call me. We would break the door down, find him, and call the doctor. In the end, we figured it would look like he had slipped in the tub, knocked himself out, and then drowned. I got the idea from a piece in the paper where a guy had said that most accidents happen right in people’s own bathtubs."|"The Postman Always Rings Twice"|"James M. Cain"
"ap ~ 09:00"|"about nine o’clock"|"She got in, and took the wheel again, and me and the Greek kept on singing, and we went on. It was all part of the play. I had to be drunk, because that other time had cured me of this idea we could pull a perfect murder. This was going to be such a lousy murder it wouldn’t even be a murder. It was going to be just a regular road accident, with guys drunk, and booze in the car, and all the rest of it. Of course, when I started to put it down, the Greek had to have some too, so he was just like I wanted him. We stopped for gas so there would be a witness that she was sober, and didn’t want to be with us anyhow, because she was driving, and it wouldn’t do for her to be drunk. Before that, we had had a piece of luck. Just before we closed up, about nine o’clock, a guy stopped by for something to eat, and stood there in the road and watched us when we shoved off. He saw the whole show. He saw me try to start, and stall a couple of times. He heard the argument between me and Cora, about how I was too drunk to drive. He saw her get out, and heard her say she wasn’t going. He saw me try to drive off, just me and the Greek. He saw her when she made us get out, and switched the seats, so I was behind, and the Greek up front, and then he saw her take the wheel and do the driving herself. His name was Jeff Parker and he raised rabbits at Encino. Cora got his card when she said she might try rabbits in the lunchroom, to see how they’d go. We knew right where to find him, whenever we’d need him."|"The Postman Always Rings Twice"|"James M. Cain"
"ap 02:00"|200|"We got to the top and started into the down-grade. She cut the motor. They heat fast for a few minutes, when the fan stops. Down at the bottom she started the motor again. I looked at the temp gauge. It was 200. She started into the next up-grade and the temp gauge kept climbing."|"The Postman Always Rings Twice"|"James M. Cain"
"~ 12:00"|"about noon"|"When I woke up it was about noon, and they gave me something to eat. Then two more cops came in, and they put me on a stretcher again, and took me down and put me in another ambulance."|"The Postman Always Rings Twice"|"James M. Cain"
"ap ~ 10:30"|"About half past ten"|"There was another cop with me that night, in the hospital, and next morning he told me that Mr. Sackett was coming over to see me, and I better get ready. I could hardly move yet, but I had the hospital barber shave me up and make me look as good as he could. I knew who Sackett was. He was the District Attorney. About half past ten he showed up, and the cop went out, and there was nobody there but him and me. He was a big guy with a bald head and a breezy manner."|"The Postman Always Rings Twice"|"James M. Cain"
23:00|"Eleven o’clock at night"|"“The hell you say. Getting tough with me, hey? All right, now you get it. You’re going to find out what that jury’s really going to hear. First, you were sleeping with her, weren’t you? Then Papadakis had a little accident, and you and she had a swell time. In bed together at night, down to the beach by day, holding hands and looking at each other in between. Then you both had a swell idea. Now that he’s had an accident, make him take out an accident policy, and then knock him off. So you blew, to give her a chance to put it over. She worked at it, and pretty soon she had him. He took out a policy, a real good policy, that covered accidents, and health, and all the rest of it, and cost $46.72. Then you were ready. Two days after that, Frank Chambers accidentally on purpose ran into Nick Papadakis on the street, and Nick tries to get him to go back to work for him. And what do you know about that, he and his wife had it already fixed up they were going to Santa Barbara, had the hotel reservations and everything, so of course there was nothing to it but Frank Chambers had to come with them, just for old times’ sake. And you went. You got the Greek a little bit drunk, and did the same for yourself. You stuck a couple of wine bottles in the car, just to get the cops good and sore. Then you had to take that Malibu Lake Road, so she could see Malibu Beach. Wasn’t that an idea, now. Eleven o’clock at night, and she was going to drive down there to look at a bunch of houses with waves in front of them. But you didn’t get there. You stopped. And while you were stopped, you crowned the Greek with one of the wine bottles. A beautiful thing to crown a man with, Chambers, and nobody knew it better than you, because that was what you crowned that railroad dick with, over in Oakland. You crowned him, and then she started the car. And while she was climbing out on the running board, you leaned over from behind, and held the wheel, and fed with the hand throttle. It didn’t need much gas, because it was in second gear. And after she got on the running board, she took the wheel and fed with the hand throttle, and it was your turn to climb out. But you were just a little drunk, weren’t you? You were too slow, and she was a little too quick to shoot the car over the edge. So she jumped and you were caught. You think a jury won’t believe that, do you? It’ll believe it, because I’ll prove every word of it, from the beach trip to the hand throttle, and when I do, there won’t be any clemency for you, boy. It’ll be the rope, with you hanging on the end of it, and when they cut you down they’ll bury you out there with all the others that were too goddam dumb to make a deal when they had the chance to keep their neck from being broke.”"|"The Postman Always Rings Twice"|"James M. Cain"
"ap ~ 00:00"|"About twelve o’clock"|"About twelve o’clock a young doctor came in and went to work on my back with alcohol, sopping off some of the adhesive tape. He was supposed to sop it off, but most of the time he just peeled it, and it hurt like hell. After he got part of it off, I found I could move. He left the rest on, and a nurse brought me my clothes. I put them on. The guys on the stretcher came in and helped me to the elevator and out of the hospital. There was a car waiting there, with a chauffeur. The guy that had spent the night with me put me in, and we drove about two blocks. Then he took me out, and we went in an office building, and up to an office. And there was Katz with his hand stuck out and a grin all over his face."|"The Postman Always Rings Twice"|"James M. Cain"
00:00|midnight|"“He used to be a dick, but he’s not a dick any more. He’s my gum-shoe man now. She thought she was talking to a dick, but she was really talking to a dummy. But it did the work. After she got it off her chest, she kept quiet till today, and that was long enough. The next thing was you. What you would do was blow. There was no charge against you, so you weren’t under arrest any more, even if you thought you were. Soon as you tumbled to that, I knew no tape, or sore back, or hospital orderly, or anything else would hold you, so after he got done with her I sent Kennedy over to keep an eye on you. The next thing was the little midnight conference between the Pacific States Accident, the Guaranty of California, and the Rocky Mountain Fidelity. And when I laid it in front of them, they did business awful quick.”"|"The Postman Always Rings Twice"|"James M. Cain"
