"ap 03:00"|three|"When the clock struck three, Elizabeth felt that she must go; and very unwillingly said so. Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern in parting with her, that Miss Bingley was obliged to convert the offer of the chaise into an invitation to remain at Netherfield for the present. Elizabeth most thankfully consented, and a servant was dispatched to Longbourn to acquaint the family with her stay, and bring back a supply of clothes."|"The Annotated Pride and Prejudice"|"Jane Austen"
10:00|"10 in the morning"|"37. breakfast-parlour: those at Netherfield are eating breakfast much later than the Bennets did (even the latter would probably not have eaten theirs until 9 or 10 in the morning). Later hours, both for meals and for sleep, tended to characterize those who were more wealthy and fashionable."|"The Annotated Pride and Prejudice"|"Jane Austen"
"ap 05:00"|"five o'clock"|"At five o'clock the two ladies retired to dress, and at half past six Elizabeth was summoned to dinner. To the civil enquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley's, she could not make a very favourable answer. Jane was by no means better. The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane when not immediately before them, restored Elizabeth to the enjoyment of all her original dislike."|"The Annotated Pride and Prejudice"|"Jane Austen"
"ap 06:30"|"half past six"|"At five o'clock the two ladies retired to dress, and at half past six Elizabeth was summoned to dinner. To the civil enquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley's, she could not make a very favourable answer. Jane was by no means better. The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane when not immediately before them, restored Elizabeth to the enjoyment of all her original dislike."|"The Annotated Pride and Prejudice"|"Jane Austen"
"ap 06:30"|6:30|"2. At this time the usual hour for dinner was four or five. Later dinner hours were starting to appear among the wealthy, especially in London, so dinner at 6:30 at Netherfield is another indication of the higher social position of its inhabitants. In a letter Jane Austen jokes that her own very early meal hours will provoke the contempt of her sister, who is currently visiting their wealthy brother and thus eating later (Dec. 18, 1798). One reason for this class difference is that preparing and eating dinner while it was still light outside would save money on candles, which would be important to those who were not wealthy."|"The Annotated Pride and Prejudice"|"Jane Austen"
"ap 04:00"|"four o'clock"|"blessing of peace in all families within the reach of my influence; and on these grounds I flatter myself that my present overtures of good-will are highly commendable, and that the circumstance of my being next in the entail of Longbourn estate, will be kindly overlooked on your side, and not lead you to reject the offered olive branch. I cannot be otherwise than concerned at being the means of injuring your amiable daughters, and beg leave to apologise for it, as well as to assure you of my readiness to make them every possible amends,—but of this hereafter. If you should have no objection to receive me into your house, I propose myself the satisfaction of waiting on you and your family, Monday, November 18th, by four o'clock, and shall probably trespass on your hospitality till the Saturday se'night following, which I can do without any inconvenience, as Lady Catherine is far from objecting to my occasional absence on a Sunday, provided that some other clergyman is engaged to do the duty of the day. I remain, dear sir, with respectful compliments to your lady and daughters, your well-wisher and friend,"|"The Annotated Pride and Prejudice"|"Jane Austen"
"ap 04:00"|"four o'clock"|"“At four o'clock, therefore, we may expect this peace-making gentleman” said Mr. Bennet, as he folded up the letter. “He seems to be a most conscientious and polite young man, upon my word; and I doubt not will prove a valuable acquaintance, especially if Lady Catherine should be so indulgent as to let him come to us again.”"|"The Annotated Pride and Prejudice"|"Jane Austen"
"ap 04:00"|four|"27. This shows the Bennets' earlier dinner hours, compared to those at Netherfield. Mr. Collins has arrived at four, and there has been only a short conversation before dinner. In her own letters Jane Austen most often mentions eating dinner around five; on one occasion when she eats at six she goes on to explain the reason why it was so late (Aug. 27, 1805)."|"The Annotated Pride and Prejudice"|"Jane Austen"
"> 00:00"|"past midnight"|"77. cold ham and chicken: since supper is a less formal meal, cold foods would be the basic fare. The supper given here at the ball might be more substantial than others mentioned in the novel, for balls ran well past midnight and those attending, especially if dancing, would certainly need nourishment. In Emma “a private dance, without sitting down to supper, was pronounced [by a number of characters] an infamous fraud upon the rights of men and women.”"|"The Annotated Pride and Prejudice"|"Jane Austen"
"> 03:00"|"past 3 a.m."|"95. Their fatigue is understandable, for most balls ended very late. One in Mansfield Park goes well past 3 a.m.; in a letter Jane Austen describes a ball in which, “We began at 10, supped at 1, & were at Deane [where she was staying] before 5” (Nov. 20, 1800)."|"The Annotated Pride and Prejudice"|"Jane Austen"
17:00|"five p.m"|"20. morning: period from the beginning of the day until dinner (usually around four or five p.m.). Thus Jane was waiting almost all of each day."|"The Annotated Pride and Prejudice"|"Jane Austen"
