"ap 08:00"|"eight o’clock"|"Harris said he thought it would be humpy. He said he knew the sort of place I meant; where everybody went to bed at eight o’clock, and you couldn’t get a Referee1 for love or money, and had to walk ten miles to get your baccy."|"Three Men in a Boat"|"Jerome K. Jerome"
"ap 06:00"|six|"The steward recommended the latter course, as it would come so much cheaper. He said they would do him for the whole week at two-pounds-five. He said for breakfast there would be fish, followed by a grill. Lunch was at one, and consisted of four courses. Dinner at six – soup, fish, entrée, joint, poultry, salad, sweets, cheese, and dessert. And a light meat supper at ten."|"Three Men in a Boat"|"Jerome K. Jerome"
"ap 10:00"|ten|"The steward recommended the latter course, as it would come so much cheaper. He said they would do him for the whole week at two-pounds-five. He said for breakfast there would be fish, followed by a grill. Lunch was at one, and consisted of four courses. Dinner at six – soup, fish, entrée, joint, poultry, salad, sweets, cheese, and dessert. And a light meat supper at ten."|"Three Men in a Boat"|"Jerome K. Jerome"
"ap 06:00"|six|"At six, they came and told him dinner was ready. Thean nouncement aroused no enthusiasm within him, but he felt that there was some of that two-pounds-five to be worked off, and he held on to ropes and things and went down. A pleasant odour of onions and hot ham, mingled with fried fish and greens, greeted him at the bottom of the ladder; and then the steward came up with an oily smile, and said:"|"Three Men in a Boat"|"Jerome K. Jerome"
"~ 00:00"|"about midnight"|"Then we had to find the rule and the string again, and a new hole was made; and, about midnight, the picture would be up – very crooked and insecure, the wall for yards round looking as if it had been smoothed down with a rake, and everybody dead beat and wretched – except Uncle Podger."|"Three Men in a Boat"|"Jerome K. Jerome"
00:00|midnight|"At the end of that trip we met together at midnight in a lonely field, under a blasted oak, and took an awful oath (we had been swearing for a whole week about the thing in an ordinary, middle-class way, but this was a swell affair) – an awful oath never to take paraffin oil with us in a boat again – except, of course, in case of sickness."|"Three Men in a Boat"|"Jerome K. Jerome"
"ap 07:00"|seven|"‘We shan’t want any tea,’ said George (Harris’s face fell at this); ‘but we’ll have a good round, square, slap-up meal at seven – dinner, tea, and supper combined.’"|"Three Men in a Boat"|"Jerome K. Jerome"
22:05|"10.5 p.m."|"When I had finished, George asked if the soap was in. I said I didn’t care a hang whether the soap was in or whether it wasn’ t; and I slammed the bag to and strapped it, and found that I had packed my tobacco pouch in it, and had to reopen it. It got shut up finally at 10.5 p.m., and then there remained the hampers to do. Harris said that we should be wanting to start in less than twelve hours’ time and thought that he and George had better do the rest; and I agreed and sat down, and they had a go."|"Three Men in a Boat"|"Jerome K. Jerome"
"ap 00:50"|12.50|"The packing was done at 12.50; and Harris sat on the big hamper, and said he hoped nothing would be found broken. George said that if anything was broken it was broken, which reflection seemed to comfort him. He also said he was ready for bed. We were all ready for bed. Harris was to sleep with us that night, and we went upstairs."|"Three Men in a Boat"|"Jerome K. Jerome"
"ap 06:30"|"half past six"|"Harris and I had a bit of a row over it, but at last split the difference, and said half past six."|"Three Men in a Boat"|"Jerome K. Jerome"
