11:00|"ELEVEN O’CLOCK IN the morning"|"IT WAS THE DAY THE SNOW CAME. AT ELEVEN O’CLOCK IN the morning, large flakes appeared from a colourless sky and invaded the fields, gardens and lawns of Romerike like an armada from outer space. At two, the snowploughs were in action in Lillestrøm, and when, at half past two, Sara Kvinesland slowly and carefully steered her Toyota Corolla SR5 between the detached houses in Kolloveien, the November snow was lying like a down duvet over the rolling countryside."|"The Snowman"|"Jo Nesbo"
"ap 02:00"|two|"IT WAS THE DAY THE SNOW CAME. AT ELEVEN O’CLOCK IN the morning, large flakes appeared from a colourless sky and invaded the fields, gardens and lawns of Romerike like an armada from outer space. At two, the snowploughs were in action in Lillestrøm, and when, at half past two, Sara Kvinesland slowly and carefully steered her Toyota Corolla SR5 between the detached houses in Kolloveien, the November snow was lying like a down duvet over the rolling countryside."|"The Snowman"|"Jo Nesbo"
"ap 02:30"|"half past two"|"IT WAS THE DAY THE SNOW CAME. AT ELEVEN O’CLOCK IN the morning, large flakes appeared from a colourless sky and invaded the fields, gardens and lawns of Romerike like an armada from outer space. At two, the snowploughs were in action in Lillestrøm, and when, at half past two, Sara Kvinesland slowly and carefully steered her Toyota Corolla SR5 between the detached houses in Kolloveien, the November snow was lying like a down duvet over the rolling countryside."|"The Snowman"|"Jo Nesbo"
"ap 08:00"|eight|"‘My lecture’s at eight tomorrow,’ Dad said. ‘It takes an hour to get to the university from the time the plane lands, so I wouldn’t make it if I caught the first flight tomorrow.’"|"The Snowman"|"Jo Nesbo"
"ap 08:07"|"seven minutes past eight"|"HARRY WAS SITTING ON A BAR STOOL IN PALACE GRILL reading the signs on the walls, the good-natured reminders to bar clientele not to ask for credit, not to shoot the pianist and to be good or be gone. It was still early evening and the only other customers in the bar were two girls sitting at a table frenetically pressing the buttons of their mobile phones and two boys playing darts with practised refinement of stance and aim, but poor results. Dolly Parton, who Harry knew had been brought back in from the cold by arbiters of good country and western taste, was whining over the loudspeakers with her nasal Southern accent. Harry checked his watch again and had a wager with himself that Rakel Fauke would be standing at the door at exactly seven minutes past eight. He felt the crackle of tension he always felt at seeing her again. He told himself it was just a conditioned response, like Pavlov’s dogs starting to salivate when they heard the bell for food, even when there wasn’t any. And they wouldn’t be having food this evening. That is, they would be having food, but only food. And a cosy chat about the lives they were leading now. Or to be more precise: the life she was leading now. And about Oleg, the son she had had with her Russian ex-husband, from when she had been working at the Norwegian embassy in Moscow. The boy with the closed, wary nature that Harry had reached and with whom he had gradually developed bonds that in many ways were stronger than those with his own father. And when Rakel had, in the end, been unable to tolerate any more and had left, he didn’t know whose loss had been greater. But now he knew. For now it was seven minutes past eight and she was standing by the door with that erect posture of hers, the arch of her back he could feel on his fingertips and the high cheekbones under the glowing skin he could feel against his. He had hoped she wouldn’t look so good. So happy."|"The Snowman"|"Jo Nesbo"
"ap > 09:00"|"past nine"|"In the deserted corridor on his way back to his office Magnus noticed that the door was ajar. He knew he had closed it, and it was past nine, so the cleaners had finished long before. Two years ago they had had problems with thieving from the offices. Magnus Skarre pulled the door open with a vengeance."|"The Snowman"|"Jo Nesbo"
"ap 03:45"|"quarter to four"|"Harry woke up and lay on his back staring at the ceiling. How long had he been asleep? He turned and looked at the clock on his bedside table. A quarter to four. The dinner had been an ordeal. He had watched Rakel’s mouth speaking, drinking wine, chewing meat and devouring him as she told him about how she and Mathias were going to Botswana for a couple of years where the government had a good set-up in place to fight HIV but were short of doctors. She had asked whether he had met anyone. And he had answered that he had met his childhood pals, Øystein and Tresko. The former was an alkie, taxi-driving computer freak; the latter an alkie gambler who would have been the world poker champion if he had been as good at maintaining his own poker face as he was at reading others’. He had even begun to tell her about Tresko’s fatal defeat in the world championships in Las Vegas before he realised he had told her before. And it wasn’t true that he had met them. He hadn’t met anyone."|"The Snowman"|"Jo Nesbo"
"ap 01:11"|01.11|"It must have been a nightmare, because Jonas was scared. He opened his eyes again and saw that the chimes hanging from the ceiling were moving. Then he jumped out of bed, opened the door and ran across the corridor. By the stairs to the ground floor he managed to stop himself looking down into the darkness and didn’t pause until he was in front of his parents’ bedroom and pressing down the handle with infinite caution. Then he remembered that his dad was away, and he would wake his mum whatever he did. He slipped inside. A white square of moonlight extended across the floor to the undisturbed double bed. The numbers on the digital alarm clock were lit up: 01.11. For a moment Jonas stood there, bewildered."|"The Snowman"|"Jo Nesbo"
"ap ~ 01:15"|"about a quarter past one"|"‘The boy rang the bell at about a quarter past one,’ Skarre said, looking down at his notes. ‘Police were phoned at one thirty.’"|"The Snowman"|"Jo Nesbo"
"ap 01:30"|"one thirty"|"‘The boy rang the bell at about a quarter past one,’ Skarre said, looking down at his notes. ‘Police were phoned at one thirty.’"|"The Snowman"|"Jo Nesbo"
