"ap 01:00"|one|"“How come you’re so late?” Lana screamed at her. “I told you to be here at one today.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
"ap 09:00"|"nine o’clock"|"“‘Clerical work. 25-35 years old. Apply Levy Pants, Industrial Canal and River, between 8 and 9 daily.’ Well, that’s out. I could never get all the way down there before nine o’clock.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
"< 12:00"|"before noon"|"“Go back and work on your figures,” Mr. Gonzalez told her. “We have to send that statement to the bank before noon.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
"ap ~ 07:00"|"about seven"|"“He ain’t that old,” Santa said, sounding a little hurt. “Listen, Irene, me and Angelo coming by for you about seven tonight.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
"ap > 03:00"|"after three"|"“What am I supposed to do with them packages all afternoon? I can’t do nothing till after three. I don’t want to be carrying that stuff around.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
"ap 11:00"|"eleven o’clock"|"Mr. Gonzalez looked at Ignatius hopefully, but he received no reply. Ignatius filed his overcoat, scarf, and cap in one of the file drawers and began working on the cross. By eleven o’clock he was giving the cross its first coat, meticulously applying the paint with a small watercolor brush. Miss Trixie was still AWOL."|"A Confederacy of Dunces"|"John Kennedy Toole"
12:00|noon|"At noon Mr. Gonzalez looked over the stack of papers on which he was working and said, “I wonder where Miss Trixie can be.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
"ap 01:30"|one-thirty|"Ignatius felt cheated. He had hoped for a scene. While the office manager began making a copy of the statement, Ignatius returned to the cross. First, however, he had to lift Miss Trixie, who had returned and was kneeling directly beneath it and praying in the spot where Ignatius had been standing to paint. Miss Trixie hovered about him, leaving only to seal some envelopes for Mr. Gonzalez, to visit the bathroom several times, and to catnap. The office manager made the only noise in the office with his typewriter and adding machine, both of which Ignatius found slightly distracting. By one-thirty the cross was almost finished. It lacked only the little gold leaf letters that spelled GOD AND COMMERCE which Ignatius had ready to apply across the bottom of the cross. After the motto was applied, Ignatius stood back and said to Miss Trixie, “It is complete.”"|"A Confederacy of Dunces"|"John Kennedy Toole"
20:00|"8 p.m."|"
8 p.m. Thursday, the 28th
Y.M.H.A. - Grand Concourse"|"A Confederacy of Dunces"|"John Kennedy Toole"
"ap 02:00"|"two o’clock"|"“Damn Miss Lee,” George said aloud, still walking as fast as he could. If she weren’t so tight, this wouldn’t have happened. She could have fired the jig, and he could have kept on picking up his packages at the old time, two o’clock. As it was, he had almost been arrested. And it was all because he had to go check the stuff in the bus station, all because he was stuck with the stuff now for two hours every afternoon. Where did you put stuff like that? You could get tired of carrying that stuff around all afternoon. Mother was home all the time, so you couldn’t go around there with it."|"A Confederacy of Dunces"|"John Kennedy Toole"
