"ap 10:00"|"ten o’clock"|"This gathering had obviously been Finny’s work. Who else could have inveigled twenty people to the farthest extremity of the school to throw snowballs at each other? I could just picture him, at the end of his ten o’clock class, organizing it with the easy authority which always came into his manner when he had an idea which was particularly preposterous. There they all were now, the cream of the school, the lights and leaders of the senior class, with their high I.Q.’s and expensive shoes, as Brinker had said, pasting each other with snowballs."|"A Separate Peace"|"John Knowles"
22:05|"10:05 p.m."|"Brinker and three cohorts came with much commotion into our room at 10:05 p.m. that night. “We’re taking you out,” he said flatly."|"A Separate Peace"|"John Knowles"
12:00|midday|"The foyer and the staircase of the First Building were soon as crowded as at midday. Phil Latham found the main light switch, and all the marble blazed up under full illumination. But surrounding it was the stillness of near-midnight in a country town, so that the hurrying feet and the repressed voices had a hollow reverberance. The windows, blind and black, retained their look of dull emptiness."|"A Separate Peace"|"John Knowles"
"ap 09:10"|9:10|"I walked back to the center of the school and had breakfast and then went to my room to get a notebook, because this was Wednesday and I had a class at 9:10. But at the door of the room I found a note from Dr. Stanpole. “Please bring some of Finny’s clothes and his toilet things to the Infirmary.”"|"A Separate Peace"|"John Knowles"
"ap ~ 05:00"|"around 5 o’clock"|"The rest of the day passed quickly. Dr. Stanpole had told me in the corridor that he was going to set the bone that afternoon. Come back around 5 o’clock, he had said, when Finny should be coming out of the anaesthesia."|"A Separate Peace"|"John Knowles"
"ap 10:10"|10:10|"I left the Infirmary and went to my 10:10 class, which was on American history. Mr. Patch-Withers gave us a five-minute written quiz on the “necessary and proper” clause of the Constitution. At 11 o’clock I left that building and crossed the Center Common where a few students were already lounging although it was still a little early in the season for that. I went into the First Building, walked up the stairs where Finny had fallen, and joined my 11:10 class, which was in mathematics. We were given a ten-minute trigonometry problem which appeared to solve itself on my paper."|"A Separate Peace"|"John Knowles"
"ap 11:00"|"11 o’clock"|"I left the Infirmary and went to my 10:10 class, which was on American history. Mr. Patch-Withers gave us a five-minute written quiz on the “necessary and proper” clause of the Constitution. At 11 o’clock I left that building and crossed the Center Common where a few students were already lounging although it was still a little early in the season for that. I went into the First Building, walked up the stairs where Finny had fallen, and joined my 11:10 class, which was in mathematics. We were given a ten-minute trigonometry problem which appeared to solve itself on my paper."|"A Separate Peace"|"John Knowles"
"ap 11:10"|11:10|"I left the Infirmary and went to my 10:10 class, which was on American history. Mr. Patch-Withers gave us a five-minute written quiz on the “necessary and proper” clause of the Constitution. At 11 o’clock I left that building and crossed the Center Common where a few students were already lounging although it was still a little early in the season for that. I went into the First Building, walked up the stairs where Finny had fallen, and joined my 11:10 class, which was in mathematics. We were given a ten-minute trigonometry problem which appeared to solve itself on my paper."|"A Separate Peace"|"John Knowles"
"ap 00:00"|12|"At 12 I left the First Building, recrossed the Common and went into the Jared Potter Building for lunch. It was a breaded veal cutlet, spinach, mashed potatoes, and prune whip. At the table we discussed whether there was any saltpeter in the mashed potatoes. I defended the negative."|"A Separate Peace"|"John Knowles"
"ap 02:30"|2:30|"After lunch I walked back to the dormitory with Brinker. He alluded to last night only by asking how Phineas was; I said he seemed to be in good spirits. I went on to my room and read the assigned pages of Le bourgeois gentilhomme. At 2:30 I left my room, and walking along one side of the oval Finny had used for my track workouts during the winter, I reached the Far Common and beyond it the gym. I went past the Trophy Room, downstairs into the pungent air of the locker room, changed into gym pants, and spent an hour wrestling. I pinned my opponent once and he pinned me once. Phil Latham showed me an involved method of escape in which you executed a modified somersault over your opponent’s back. He started to talk about the accident but I concentrated on the escape method and the subject was dropped. Then I took a shower, dressed, and went back to the dormitory, reread part of Le bourgeois gentilhomme, and at 4:45, instead of going to a scheduled meeting of the Commencement Arrangements Committee, on which I had been persuaded to take Brinker’s place, I went to the Infirmary."|"A Separate Peace"|"John Knowles"
