"~ 19:00"|"about 7 p.m."|"The robbery with which Jim Timson was charged was an exceedingly simple one. At about 7 p.m. one Friday evening, the date being 16 September, the two elderly Brixton butchers, Mr Cadwallader and Mr Lewis Stein, closed their shop in Bombay Road and walked with their week's takings round the corner to a narrow alley-way known as Green's Passage, where their grey Austin van was parked. When they got to the van they found that the front tyres had been deflated. They stooped to inspect the wheels and, as they did so they were attacked by a number of boys, some armed with knives and one flourishing a cricket stump. Luckily, neither of the butchers was hurt, but the attache case containing their money was snatched."|"Rumpole of the Bailey"|"John Mortimer"
"ap 11:30"|11.30|"'Time was,' Uncle Tom started one of his reminiscences of life in our Chambers. 'Time was when I had more briefs in my corner of the mantelpiece, Erskine-Brown, than you've seen in the whole of your short career at the Bar. Now,' he was opening a brown envelope, 'I only get invitations to insure my life. It's a little late for that.' Albert told me that the robbery was not before 11.30 before Mr Justice Everglade in Number i Court. He also told me who was prosecuting, none other than the tall, elegant figure with the silk handkerchief and gold wristwatch, leaning against the mantelpiece and negligently reading a large cheque from the Director of Public Prosecutions, Guthrie Featherstone, M.P. He removed the silk handkerchief, dabbed the end of his nose and his small moustache and asked in that voice which comes over so charmingly, saying nothing much about any important topic of the day in 'World at One', 'Agin me Rumpole? Are you agin me?' He covered a slight yawn with the handkerchief before returning it to his breast pocket. 'Just come from an all-night sitting down at the House. I don't suppose your robbery'll be much of a worry.' ' Only, possibly, to young Jim Timson,' I told him, and then gave Albert his orders for the day. 'Mrs Rumpole's gone down to see her father in Horsham.' 'How is Wystan? No better, is he?' Uncle Tom sounded as gently pleased as all old men do when they hear news of illness in others."|"Rumpole of the Bailey"|"John Mortimer"
"ap 01:00"|One|"'Time was,' Uncle Tom started one of his reminiscences of life in our Chambers. 'Time was when I had more briefs in my corner of the mantelpiece, Erskine-Brown, than you've seen in the whole of your short career at the Bar. Now,' he was opening a brown envelope, 'I only get invitations to insure my life. It's a little late for that.' Albert told me that the robbery was not before 11.30 before Mr Justice Everglade in Number i Court. He also told me who was prosecuting, none other than the tall, elegant figure with the silk handkerchief and gold wristwatch, leaning against the mantelpiece and negligently reading a large cheque from the Director of Public Prosecutions, Guthrie Featherstone, M.P. He removed the silk handkerchief, dabbed the end of his nose and his small moustache and asked in that voice which comes over so charmingly, saying nothing much about any important topic of the day in 'World at One', 'Agin me Rumpole? Are you agin me?' He covered a slight yawn with the handkerchief before returning it to his breast pocket. 'Just come from an all-night sitting down at the House. I don't suppose your robbery'll be much of a worry.' ' Only, possibly, to young Jim Timson,' I told him, and then gave Albert his orders for the day. 'Mrs Rumpole's gone down to see her father in Horsham.' 'How is Wystan? No better, is he?' Uncle Tom sounded as gently pleased as all old men do when they hear news of illness in others."|"Rumpole of the Bailey"|"John Mortimer"
18:00|"6 p.m."|"' Straight from school on that Friday September 2nd, I went up to tea at my Aunty Doris's and arrived there at exactly 5.30. At 6 p.m. my Uncle Den came home from work accompanied by my Uncle Cyril. At 7 p.m. when this alleged crime was taking place I was sat round the television with my Aunty and two Uncles. I well remember we was watching ""The Newcomers"".' All very neat and workmanlike. Well, that was it. The family gave young Jim an alibi, clubbed together for it, like a new bicycle. However, I had to disappoint Mr Bernard about the bright shining alibi and we went through the swing doors on our way into Court."|"Rumpole of the Bailey"|"John Mortimer"
19:00|"7 p.m."|"' Straight from school on that Friday September 2nd, I went up to tea at my Aunty Doris's and arrived there at exactly 5.30. At 6 p.m. my Uncle Den came home from work accompanied by my Uncle Cyril. At 7 p.m. when this alleged crime was taking place I was sat round the television with my Aunty and two Uncles. I well remember we was watching ""The Newcomers"".' All very neat and workmanlike. Well, that was it. The family gave young Jim an alibi, clubbed together for it, like a new bicycle. However, I had to disappoint Mr Bernard about the bright shining alibi and we went through the swing doors on our way into Court."|"Rumpole of the Bailey"|"John Mortimer"
15:00|"three that evening"|"So picture us three that evening, finishing dinner and a bottle of claret, celebrating the return of the Young Master at Hack Hall, Counsel's Castle, Rumpole Manor, or 256 Froxbury Court, Gloucester Road. Hilda had told Nick that his grandpa had sent his love and expected a letter, and also dropped me the encouraging news that old C.H. Wystan was retiring and quite appreciated that I was the senior man. Nick asked me if I was really going to be Head of Chambers, seeming to look at me with a new respect, and we drank a glass of claret to the future, whatever it might be. Then Nick asked me if I really thought Peanuts Molloy was lying."|"Rumpole of the Bailey"|"John Mortimer"
"ap 09:00"|"Nine o'clock"|"' She might expect it.' 'You're going to ""Nirvana""?' 'Eventually. Aren't we all? No, Friendly. I shall steer clear of the lotus eaters of No. 34 Balaclava Road. A land, I rather imagine, in which it seems always afternoon. Bring the client for a con at my hotel. After dinner. Nine o'clock suit you?' ' You'll be at the George ? That's where the Bar put up.' 'Then if it's where the Bar put up, I shall avoid it. I'm staying with old mates, from my days in the R.A.F. They run a stately pleasure-dome known as the Crooked Billet.' 'The little pub place out on the bay?' I noticed Friendly smiled when he spoke of the Dogherty's delight, a place, I had no doubt, of a high reputation. The taxi had stopped now, and I was wrestling with the door. When I had it open, I was in a high and holiday mood."|"Rumpole of the Bailey"|"John Mortimer"
"ap 06:30"|"half past six"|"'I've been watching it since half past six!' 'Something blew up. A rape. I bought a bottle of plonk.' I put my peace-offering down on the table. Hilda told me that wouldn't be enough for the feast planned for the morrow, for which she was denuding a guinea-fowl. Our son Nick, back from his year at an American university, was bringing his intended, a Miss Erica Freyburg, to dinner with the family."|"Rumpole of the Bailey"|"John Mortimer"
"ap 11:30"|11.30|"'Miss Bridget Evans. This… this incident involving Mr Aspen occurred at 11.30 on Wednesday night?' ' I don't know. I wasn't watching the clock.' The door of the Court opened, to admit the Rumpole fan club, my son Nick and Erica his intended. She was wearing an ethnic skirt and gave me a warm smile, as though to encourage my efforts on behalf of the underprivileged and the oppressed."|"Rumpole of the Bailey"|"John Mortimer"
"ap 06:30"|6.30|"'After all the witnesses had conveniently departed. When there was no one there, to establish my client's innocence. After it was all over, what did you do?' ' I went home.' 'A serious and terrible crime had been committed and you went home, tucked yourself up in bed and went to sleep! And you said not one word to the police about it until 6.30 the following day?' Albert, also of the fan club, was sitting in front of me next to Mr Myers. I heard his penetrating whisper, 'He's doing the old Alhambra cinema technique.' It was nice to feel that dear old Albert was proud of me."|"Rumpole of the Bailey"|"John Mortimer"
"ap 04:00"|"four o'clock"|"'He's going to say the most terrible things about me. I've got to see you.' 'Shall we say tomorrow, four o'clock. But not here!' I told her firmly."|"Rumpole of the Bailey"|"John Mortimer"
"ap 03:45"|3.45|"'Oh yes, sir. I'm sure you'll find it most helpful.' I sat smiling quietly, like a happy spider as Miss Trant walked into the web. She had looked shocked when she discovered that I was defending. Now she would discover that I had deceived her. Archie McFee couldn't stand law: his sole interests were rose growing, amateur dramatics and catching the 3.45 back to Esher. I was amazed she couldn't see the fury rising to the level of his stiff collar as he watched the clock and longed for Victoria."|"Rumpole of the Bailey"|"John Mortimer"
15:00|"three o'clock in the afternoon"|"'Rumpole!' 'What's the matter? Fallen out with Dodo? Had a bit of a scene over a drop scone?' 'You're home early. Daddy was never back home at three o'clock in the afternoon. He always stayed in Chambers till six o'clock. Regular as clockwork. Every day of his life."""|"Rumpole of the Bailey"|"John Mortimer"
