"ap 06:00"|six|"The day began prompt at six, when Pendel woke with a jolt to the din of band saws and building work and traffic in the valley and the sturdy male voice of Armed Forces Radio. “I wasn’t there, it was two other blokes, she hit me first, and it was with her consent, Your Honour,” he informed the morning, because he had a sense of impending punishment but couldn’t place it. Then he remembered his eight-thirty appointment with his bank manager and sprang out of bed at the same moment that his wife, Louisa, howled, “No, no, no,” and pulled the sheet over her head, because mornings were her worst time."|"Tailor of Panama"|"John le Carre"
"ap 08:30"|eight-thirty|"The day began prompt at six, when Pendel woke with a jolt to the din of band saws and building work and traffic in the valley and the sturdy male voice of Armed Forces Radio. “I wasn’t there, it was two other blokes, she hit me first, and it was with her consent, Your Honour,” he informed the morning, because he had a sense of impending punishment but couldn’t place it. Then he remembered his eight-thirty appointment with his bank manager and sprang out of bed at the same moment that his wife, Louisa, howled, “No, no, no,” and pulled the sheet over her head, because mornings were her worst time."|"Tailor of Panama"|"John le Carre"
"ap ~ 10:30"|"around ten-thirty"|"Osnard’s phone call, when it came around ten-thirty, caused not a ripple. He was a new customer, and new customers by definition must be put through to Señor Harry or, if he was tied up, invited to leave their number so that Señor Harry could call them back immediately."|"Tailor of Panama"|"John le Carre"
"ap 05:00"|"Five o’clock"|"“Five o’clock is our happy hour, Mr. Osnard. My lunchtime gentlemen are safely back at work and what I call my preprandials have not yet come out to play.” He checked himself with a selfdeprecating laugh. “There you are. I’m a liar. It’s a Friday, so my preprandials go home to their wives. At five o’clock I shall be delighted to offer you my full attention.”"|"Tailor of Panama"|"John le Carre"
"ap 05:00"|"Five o’clock"|"“Promising, actually. Very promising. Five o’clock, then. Happy hour. Osnard.”"|"Tailor of Panama"|"John le Carre"
"ap 05:00"|"Five o’clock"|"“Promising, actually. Very promising. Five o’clock, then. Happy hour. Osnard.”
“Five o’clock it is, Mr. Osnard. I look forward to it.”
“Makes two of us.”"|"Tailor of Panama"|"John le Carre"
12:00|midday|"And that was that. Vain fool that he afterwards called himself, Pendel was amused and flattered. This Osnard was evidently a card, and Pendel loved a card the way Uncle Benny had, and the Brits, whatever Louisa and her late father might say about them, made better cards than most. Perhaps after all these years of turning his back on the old country it wasn’t such a bad place after all. He made nothing of Osnard’s reticence about the nature of his business. A lot of his customers were reticent, others should have been who weren’t. He was amused; he was not prescient. And on putting down the telephone, he went back to his admiral’s uniform until the Happy Friday midday rush began, because that was what Friday lunchtime was called until Osnard came along and ruined the last of Pendel’s innocence."|"Tailor of Panama"|"John le Carre"
"ap 04:57"|"three minutes to five"|"It was entirely appropriate, in Pendel’s later opinion, that Osnard’s arrival at P & B should have been accompanied by a clap of thunder and what Uncle Benny would have called the trimmings. It had been a sparkly Panamanian afternoon in the wet season till then, with a nice splash of sunshine and two pretty girls peering into the window of Sally’s Giftique across the road. And the bougainvillea in next door’s garden so lovely you wanted to bite it. Then at three minutes to five—Pendel had somehow never doubted that Osnard would be punctual—along comes a brown Ford hatchback with an Avis sticker on the back window and pulls into the space reserved for customers. And this easygoing face with a cap of black hair on top of it, planted like a Halloween pumpkin in the windscreen. Why on earth Pendel should have thought Halloween he couldn’t fathom, but he thought it. It must have been the round black eyes, he told himself afterwards."|"Tailor of Panama"|"John le Carre"
00:00|midnight|"“The important thing, sir, I always say, is hang them while they’re still warm and never fail to rotate them,” he announced in a loud voice to a shelf of midnight-blue worsteds six inches from his nose. “Now here’s the one we thought might be to our liking, Mr. Osnard. An excellent choice if I may say so, and your grey suit in Panama is practically de rigger. I’ll bring you down the bolt and you can have a look and a feel. Marta! Shop, please, dear.”"|"Tailor of Panama"|"John le Carre"
12:00|midday|"“Not a lot. Balance o’ global power in the twenty-first century. Future o’ world trade. Panama’s political chessboard. Silent opposers. Chaps from the other side o’ the bridge, as you call ’em. What’s going to happen when the Yanks pull out? If they do. Who’ll be laughing, who’ll be crying, come midday December thirty-first, nineteen ninety-nine? Shape o’ things to come when one o’ the world’s two greatest gateways goes under the hammer and the auction’s run by a bunch o’ wide boys? Piece o’ cake,” he replied, but ending on a question mark, as if the best were yet to come."|"Tailor of Panama"|"John le Carre"
