11:30|"11:30 that morning"|"At 11:30 that morning, however, the gnarly terrain delivered a terminal blow to one of the platoon’s eleven vehicles, bringing the Rangers to a halt in Magarah, a ramshackle hamlet where the Taliban held sway. Both of the Humvee’s tie-rods had broken off, leaving its front wheels flopping uncontrollably in opposite directions. After the platoon mechanic determined that repairing the damage in the field was impossible, Uthlaut radioed headquarters to request that a helicopter be dispatched to hook a sling to the vehicle and airlift it back to their base, an operation considered routine for a CH-47 Chinook—a jet-powered, tandem-rotor behemoth that brings to mind an immense titanium insect."|"Where Men Win Glory"|"Jon Krakauer"
16:00|"4:00 p.m."|"At 4:00 p.m. headquarters provided one. Uthlaut was ordered to split his platoon into two elements. Half his unit was directed to immediately begin towing the damaged Humvee toward the only paved road in all of Khost, which lay on the far side of a high massif. Concurrently, the other half of the platoon was supposed to proceed to a village called Mana, situated four roadless miles from Magarah in the opposite direction, to complete the day’s mission: search every building in the settlement for caches of enemy weapons. Word came down the chain of command, moreover, that “this vehicle problem better not delay us any more.” The platoon leader was admonished to quit wasting time and “put boots on the ground” in Mana before nightfall."|"Where Men Win Glory"|"Jon Krakauer"
18:00|"6:00 p.m."|"Less than an hour of daylight remained by the time Uthlaut had finished dividing the platoon into two elements. After placing himself in charge of the element bound for Mana (designated Serial One, it consisted of two Humvees and four Toyota pickup trucks carrying twenty Rangers and seven Afghan Militia Forces), he hurriedly rolled out of Magarah in the lead Humvee at 6:00 p.m. Absent a road, Uthlaut’s convoy drove down an intermittently dry riverbed, followed closely by the second element’s convoy, designated Serial Two. A few minutes outside the village they reached a fork in the wadi. Uthlaut’s convoy turned downstream, to the left. Serial Two, towing the trashed Humvee, turned upstream, to the right."|"Where Men Win Glory"|"Jon Krakauer"
18:10|"6:10 p.m."|"Half a mile west of the junction where the convoys had separated and gone in opposite directions, Serial One entered the mouth of a spectacularly narrow canyon. It was 6:10 p.m., and the lower flanks of the gorge already lay in shadow. The afternoon’s warmth had been supplanted by the chill of the advancing evening, prompting the Rangers to don Gore-Tex jackets beneath their body armor. The air smelled of sage, dust, and wood smoke rising from cooking fires in a nearby village."|"Where Men Win Glory"|"Jon Krakauer"
"ap 09:18"|9:18|"At 9:18 Pacific standard time on the morning of February 26, 1993, as Pat was attending class at Leland High School, a fifteen-hundred-pound bomb improvised from fertilizer, fuel oil, nitroglycerin, sulfuric acid, and sodium cyanide packed into the back of a rented Econoline van was detonated three thousand miles across the country from Almaden, in a parking garage beneath the north tower of the World Trade Center in lower Manhattan. The explosion blasted a hundred-foot-wide cavity through six stories of steel-reinforced concrete and created a seismic shock wave felt more than a mile away. Although more than a thousand New Yorkers were injured, only six people (who had the bad luck to be eating lunch in a cafeteria directly above the blast) were killed. Because the death count was relatively low and there was scant visible damage to the exterior of the building, the attack didn’t raise a durable concern among most Americans. The bombers were generally portrayed as inept amateurs who had come nowhere close to bringing down the massive tower. Much was made of the fact that one of the perpetrators was so dim-witted that after the attack he attempted to retrieve his deposit for the destroyed van from the Ryder agency in New Jersey where he’d rented it."|"Where Men Win Glory"|"Jon Krakauer"
"ap ~ 09:00"|"Around nine o’clock"|"The incident to which Marie refers took place on November 13, 1993, exactly a week after Pat’s seventeenth birthday, on a Saturday evening. Earlier in the day, Pat had played in the final football game of Leland’s regular season, which the team won to earn a berth in the CCS playoffs. Following the game he celebrated the victory with friends and teammates at the birthday party of a girl whose parents had rented a banquet room at a swanky hotel in downtown San Jose. “I arrived late at the party,” Marie remembers. “People had been drinking, but not a lot.” Around nine o’clock, or maybe slightly later, Pat, Marie, and many of the other revelers decamped for a Round Table Pizza restaurant at a nondescript strip mall in Almaden. “It’s right off the Almaden Expressway,” says Marie. “Round Table is where everyone went on weekends.” Among the kids who showed up at the pizza joint was one of Pat’s closest friends, a football teammate named Jeff Hechtle."|"Where Men Win Glory"|"Jon Krakauer"
"ap ~ 09:30"|"around 9:30"|"Unlike Hechtle, neither Bradford nor any of his friends were inebriated. “It was early, around 9:30,” Bradford says. “We were planning on getting primed up, but we hadn’t started drinking yet. All of us were sober.”"|"Where Men Win Glory"|"Jon Krakauer"
02:50|"250 hours"|"Pat knew, however, that were he to be convicted of a felony, the scholarship would certainly be rescinded. “There’s always a moral turpitude clause in those scholarship agreements,” explains Dan Jensen, the San Jose attorney hired by the Tillmans to represent Pat in juvenile court. The judge assigned to Pat’s case, says Jensen, “was a strict, tough judge. But we showed her that he had a scholarship and he was definitely going to lose it if he got convicted of a felony. So on her own, over the objections of the district attorney, she reduced the charges from felony assault to misdemeanor assault. And Pat wasn’t required to disclose a misdemeanor to the school.” The judge sentenced Pat to be incarcerated for thirty days in the county lockup for juveniles and to fulfill 250 hours of community service. He would be allowed to complete his last year of high school before reporting for jail."|"Where Men Win Glory"|"Jon Krakauer"
"~ 01:00"|"around 1:00 a.m."|"On the night of September 26, 1996, Mullah Omar’s fighters rolled into the capital without resistance, wearing their trademark black turbans and flying the white Taliban flag from their Toyota Hilux pickup trucks. The first thing they did was search out the ex-president and Soviet puppet, Mohammed Najibullah. He was found around 1:00 a.m. at his residence inside a United Nations diplomatic compound, where he had been living under house arrest since being forced from office in 1992, spending his days lifting weights, watching satellite television, and translating an English history of Afghanistan into his native Pashto. The five men who found him were led by the commander of the assault on Kabul, a Talib named Mullah Abdul Razaq. During the Najibullah regime, the Soviets had killed several members of Razaq’s family, and he’d been waiting to exact revenge on Najibullah ever since."|"Where Men Win Glory"|"Jon Krakauer"
02:50|"250 hours"|"Pat was supposed to arrive in Tempe the first week of August. Serving the required thirty days behind bars by then wasn’t the problem; it was doing the 250 hours of community service. Although he would spend each weekday of his imprisonment working at a job that would gradually chip away at that obligation, a parole officer explained to Pat’s mother that if he relied on the juvenile hall bus system to take him to his community service assignments, Pat was unlikely to complete the required hours before August, because the buses were often late and sometimes didn’t run at all. And the judge was a stickler about fulfilling all 250 hours of the sentence. To get Pat to work on time, therefore, Dannie was allowed to pick her son up at the county lockup and drive him to his daily assignment, working at a homeless shelter called the Julian Street Inn. A fringe benefit of this arrangement was that on several occasions Dannie brought Marie, or one of Pat’s brothers, or one of his friends to visit with him during the drive, which was a great consolation to him."|"Where Men Win Glory"|"Jon Krakauer"
