"ap 07:15"|seven-fifteen|"Beatriz Viterbo died in 1929. From that time on, I never let a thirtieth of April go by without a visit to her house. I used to make my appearance at seven-fifteen sharp and stay on for some twenty-five minutes. Each year, I arrived a little later and stayed a little longer. In 1933, a torrential downpour coming to my aid, they were obliged to ask me to dinner. Naturally, I took advantage of that lucky precedent. In 1934, I arrived, just after eight, with one of those large Santa Fe sugared cakes, and quite matter-of factly I stayed to dinner. It was in this way, on these melancholy and vainly erotic anniversaries, that I came into the gradual confidences of Carlos Argentino Daneri Beatriz had been tall, frail, slightly stooped; in her walk there was (if the oxymoron may be allowed) a kind of uncertain grace, a hint of expectancy. Carlos Argentino was pink-faced, overweight, gray-haired, fine-featured. He held a minor position in an unreadable library out on the edge of the Southside of Buenos Aires. He was authoritarian but also unimpressive. Until only recently, he took advantage of his nights and holidays to stay at home. At a remove of two generations, the Italian “S” and demonstrative Italian gestures still survived in him. His mental activity was continuous, deeply felt, far-reaching, and—all in all— meaningless. He dealt in pointless analogies and in trivial scruples. He had (as did Beatriz) large, beautiful, finely shaped hands. For several months he seemed to be obsessed with Paul Fort—less with his ballads than with the idea of a towering reputation. “He is the Prince of poets,” Daneri would repeat fatuously. “You will belittle him in vain—but no, not even the most venomous of your shafts will graze him.”"|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
"ap > 08:00"|"just after eight"|"Beatriz Viterbo died in 1929. From that time on, I never let a thirtieth of April go by without a visit to her house. I used to make my appearance at seven-fifteen sharp and stay on for some twenty-five minutes. Each year, I arrived a little later and stayed a little longer. In 1933, a torrential downpour coming to my aid, they were obliged to ask me to dinner. Naturally, I took advantage of that lucky precedent. In 1934, I arrived, just after eight, with one of those large Santa Fe sugared cakes, and quite matter-of factly I stayed to dinner. It was in this way, on these melancholy and vainly erotic anniversaries, that I came into the gradual confidences of Carlos Argentino Daneri Beatriz had been tall, frail, slightly stooped; in her walk there was (if the oxymoron may be allowed) a kind of uncertain grace, a hint of expectancy. Carlos Argentino was pink-faced, overweight, gray-haired, fine-featured. He held a minor position in an unreadable library out on the edge of the Southside of Buenos Aires. He was authoritarian but also unimpressive. Until only recently, he took advantage of his nights and holidays to stay at home. At a remove of two generations, the Italian “S” and demonstrative Italian gestures still survived in him. His mental activity was continuous, deeply felt, far-reaching, and—all in all— meaningless. He dealt in pointless analogies and in trivial scruples. He had (as did Beatriz) large, beautiful, finely shaped hands. For several months he seemed to be obsessed with Paul Fort—less with his ballads than with the idea of a towering reputation. “He is the Prince of poets,” Daneri would repeat fatuously. “You will belittle him in vain—but no, not even the most venomous of your shafts will graze him.”"|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
19:41|1941|"Only once in my life have I had occasion to look into the fifteen thousand alexandrines of the Polyolbion, that topographical epic in which Michael Drayton recorded the flora, fauna, hydrography, orography, military and monastic history of England. I am sure, however, that this limited but bulky production is less boring than Carlos Argentino’s similar vast undertaking. Daneri had in mind to set to verse the entire face of the planet, and, by 1941, had already displaced a number of acres of the State of Queensland, nearly a mile of the course run by the River Ob, a gasworks to the north of Veracruz, the leading shops in the Buenos Aires parish of Concepción, the villa of Mariana Cambaceres de Alvear in the Belgrano section of the Argentine capital, and a Turkish baths establishment not far from the well-known Brighton Aquarium. He read me certain long-winded passages from his Australian section, and at one point praised a word of his own coining, the color “celestewhite,” which he felt “actually suggests the sky, an element of utmost importance in the landscape of the continent Down Under.” But these sprawling, lifeless hexameters lacked even the relative excitement of the socalled Augural Canto. Along about midnight, I left."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
"~ 00:00"|"about midnight"|"Only once in my life have I had occasion to look into the fifteen thousand alexandrines of the Polyolbion, that topographical epic in which Michael Drayton recorded the flora, fauna, hydrography, orography, military and monastic history of England. I am sure, however, that this limited but bulky production is less boring than Carlos Argentino’s similar vast undertaking. Daneri had in mind to set to verse the entire face of the planet, and, by 1941, had already displaced a number of acres of the State of Queensland, nearly a mile of the course run by the River Ob, a gasworks to the north of Veracruz, the leading shops in the Buenos Aires parish of Concepción, the villa of Mariana Cambaceres de Alvear in the Belgrano section of the Argentine capital, and a Turkish baths establishment not far from the well-known Brighton Aquarium. He read me certain long-winded passages from his Australian section, and at one point praised a word of his own coining, the color “celestewhite,” which he felt “actually suggests the sky, an element of utmost importance in the landscape of the continent Down Under.” But these sprawling, lifeless hexameters lacked even the relative excitement of the socalled Augural Canto. Along about midnight, I left."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
"ap 04:00"|"four o’clock"|"Two Sundays later, Daneri rang me up—perhaps for the first time in his life. He suggested we get together at four o’clock “for cocktails in the salon-bar next door, which the forward-looking Zunino and Zungri—my landlords, as you doubtless recall—are throwing open to the public. It’s a place you’ll really want to get to know.”"|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
"~ 00:00"|"about midnight"|"Wakened by the sun high overhead, he noticed—somehow without amazement—that his wounds had healed. He shut his pale eyes and slept again, not because of weariness but because he willed it. He knew that this temple was the place he needed for his unswerving purpose; he knew that downstream the encroaching trees had also failed to choke the ruins of another auspicious temple with its own fire-ravaged, dead gods; he knew that his first duty was to sleep. Along about midnight, he was awakened by the forlorn call of a bird. Footprints, some figs, and a water jug told him that men who lived nearby had looked on his sleep with a kind of awe and either sought his protection or else were in dread of his witchcraft. He felt the chill of fear and searched the crumbling walls for a burial niche, where he covered himself over with leaves he had never seen before."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
02:00|"two at dawn"|"After nine or ten nights he realized, feeling bitter over it, that nothing could be expected from those pupils who passively accepted his teaching, but that he might, however, hold hopes for those who from time to time hazarded reasonable doubts about what he taught. The former, although they deserved love and affection, could never become real; the latter, in their dim way, were already real. One evening (now his evenings were also given over to sleeping, now he was only awake for an hour or two at dawn) he dismissed his vast dream-school forever and kept a single disciple. He was a quiet, sallow, and at times rebellious young man with sharp features akin to those of his dreamer. The sudden disappearance of his fellow pupils did not disturb him for very long, and his progress, at the end of a few private lessons, amazed his teacher. Nonetheless, a catastrophe intervened. One day, the man emerged from his sleep as from a sticky wasteland, glanced up at the faint evening light, which at first he confused with the dawn, and realized that he had not been dreaming. All that night and the next day, the hideous lucidity of insomnia weighed down on him. To tire himself out he tried to explore the surrounding forest, but all he managed, there in a thicket of hemlocks, were some snatches of broken sleep, fleetingly tinged with visions of a crude and worthless nature. He tried to reassemble his school, and barely had he uttered a few brief words of counsel when the whole class went awry and vanished. In his almost endless wakefulness, tears of anger stung his old eyes."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
00:00|midnight|"His triumph and his peace were blemished by a touch of weariness. In the morning and evening dusk, he prostrated himself before the stone idol, perhaps imagining that his unreal son was performing the same rites farther down the river in other circular ruins. At night he no longer dreamed, or else he dreamed the way all men dream. He now perceived with a certain vagueness the sounds and shapes of the world, for his absent son was taking nourishment from the magician’s decreasing consciousness. His life’s purpose was fulfilled; the man lived on in a kind of ecstasy. After a length of time that certain tellers of the story count in years and others in half-decades, he was awakened one midnight by two rowers. He could not see their faces, but they spoke to him about a magic man in a temple up north who walked on fire without being burned. The magician suddenly remembered the god’s words. He remembered that of all the creatures in the world, Fire was the only one who knew his son was a phantom. This recollection, comforting at first, ended by tormenting him. He feared that his son might wonder at this strange privilege and in some way discover his condition as a mere appearance. Not to be a man but to be the projection of another man’s dreams—what an unparalleled humiliation, how bewildering! Every father cares for the child he has begotten—he has allowed—in some moment of confusion or happiness. It is understandable, then, that the magician should fear for the future of a son thought out organ by organ and feature by feature over the course of a thousand and one secret nights."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
"< 00:00"|"before midnight"|"Yarmolinsky had dinner, put off until the next day a tour of the unfamiliar city, arranged in a closet his many books and his few suits of clothes, and before midnight turned off his bed lamp. (So said the Tetrarch’s chauffeur, who slept in the room next door.) On the fourth of December, at three minutes past eleven in the morning, an editor of the Jüdische Zeitung called him by telephone. Rabbi Yarmolinsky did not answer; soon after, he was found in his room, his face already discolored, almost naked under a great old-fashioned cape. He lay not far from the hall door. A deep knife wound had opened his chest. A couple of hours later, in the same room, in the throng of reporters, photographers, and policemen, Inspector Treviranus and Lönnrot quietly discussed the case."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
11:03|"three minutes past eleven in the morning"|"Yarmolinsky had dinner, put off until the next day a tour of the unfamiliar city, arranged in a closet his many books and his few suits of clothes, and before midnight turned off his bed lamp. (So said the Tetrarch’s chauffeur, who slept in the room next door.) On the fourth of December, at three minutes past eleven in the morning, an editor of the Jüdische Zeitung called him by telephone. Rabbi Yarmolinsky did not answer; soon after, he was found in his room, his face already discolored, almost naked under a great old-fashioned cape. He lay not far from the hall door. A deep knife wound had opened his chest. A couple of hours later, in the same room, in the throng of reporters, photographers, and policemen, Inspector Treviranus and Lönnrot quietly discussed the case."|"Short Stories of Jorge Luis Borges - the Giovanni Translations (And Others)"|"Jorge Luis Borges"
