13:00|"One - Evening"|"
Day One - Evening
Salisbury"|"The Remains of the Day"|"Kazuo Ishiguro"
"ap << 08:00"|"well before eight o'clock"|"TONIGHT,  I  find  myself  here in a  guest house  in  the  city  of  Salisbury.  The  first day of my trip is now completed, and all in all, I must say I am quite satisfied. This expedition began this morning almost an hour later than I had planned, despite my having  completed  my  packing  and  loaded  the  Ford  with  all  necessary  items  well before eight o'clock. What with Mrs Clements and the girls also gone for the week, I  suppose  I  was  very  conscious  of  the  fact  that  once  I  departed,  Darlington  Hall would  stand  empty  for  probably  the  first  time  this  century  -  perhaps  for  the  first time since the day it was built. It was an odd feeling and perhaps accounts for why I  delayed  my  departure  so  long,  wandering  around  the  house  many  times  over, checking one last time that all was in order."|"The Remains of the Day"|"Kazuo Ishiguro"
"ap > 04:00"|"shortly  after  four  o'clock"|"I  would  suppose  it  was  shortly  after  four  o'clock  that  I  left  the  guest  house  and ventured out into the streets of Salisbury. The wide, airy nature of the streets here give  the  city  a  marvellously  spacious  feel,  so  that  I  found  it  most  easy  to  spend some hours just strolling in the gently warm sunshine. Moreover, I discovered the city  to  be  one  of  many  charms;  time  and  again,  I  found  myself  wandering  past delightful  rows  of  old  timber-fronted  houses,  or  crossing  some  little  stone footbridge over one of the many streams that flow through the city. And of course, I  did  not  fail  to  visit  the  fine  cathedral,  much  praised  by  Mrs  Symons  in  her volume.  This  august  building  was  hardly  difficult  for  me  to  locate,  its  looming spire being ever-visible wherever one goes in Salisbury. Indeed, as I was making my way back to this guest house this evening, I glanced back over my shoulder on a number of occasions and was met each time by a view of the sun setting behind that great spire."|"The Remains of the Day"|"Kazuo Ishiguro"
02:00|"Two - Morning"|"
Day Two - Morning
Salisbury"|"The Remains of the Day"|"Kazuo Ishiguro"
"ap > 06:00"|"just  after  six  o'clock"|"""The  situation  is  rather  volatile.  It  is  just  after  six  o'clock,  so  Father  can  well imagine the atmosphere in the kitchen at this moment."""|"The Remains of the Day"|"Kazuo Ishiguro"
14:00|"Two - Afternoon"|"
Day Two - Afternoon
Mortimer's Pond, Dorset"|"The Remains of the Day"|"Kazuo Ishiguro"
03:00|"Three - Morning"|"
Day Three - Morning
Taunton, Somerset"|"The Remains of the Day"|"Kazuo Ishiguro"
"~ 19:36"|"around 1936"|"As things turned out, that particular visit was simply the first of a whole series of such  'unofficial'  meetings  between  Lord  Halifax  and  the  German  Ambassador  of that  time,  Herr  Ribbentrop.  But  on  that  first  night,  Lord  Halifax  had  arrived  in  a mood of great wariness; virtually his first words on being shown in were: ""Really, Darlington, I don't know what you've put me up to here. I know I shall be sorry."" Herr  Ribbentrop  not  being  expected  for  a  further  hour  or  so,  his  lordship  had suggested to his guest a tour of Darlington Hall - a strategy which had helped many a nervous visitor to relax. However, as I went about my business, all I could hear for  some  time  was  Lord  Halifax,  in  various  parts  of  the  building,  continuing  to express his doubts about the evening ahead, and Lord Darlington trying in vain to reassure  him.  But  then  at  one  point  I  overheard  Lord  Halifax  exclaiming:  ""My goodness,  Darlington,  the  silver  in  this  house  is  a  delight.""  I  was  of  course  very pleased to hear this at the time, but what was for me the truly satisfying corollary to  this  episode  came  two  or  three  days  later,  when  Lord  Darlington  remarked  to me:  ""By  the  way,  Stevens,  Lord  Halifax  was  jolly  impressed  with  the  silver  the other night. Put him into a quite different frame of mind altogether."" These were - I recollect it clearly - his lordship's actual words and so it is not simply my fantasy that  the  state  of  the  silver  had  made  a  small,  but  significant  contribution  towards the easing of relations between Lord Halifax and Herr Ribbentrop that evening. It is probably apt at this point to say a few words concerning Herr Ribbentrop. It is, of course, generally accepted today that Herr Ribbentrop was a trickster: that it was Hitler's  plan  throughout  those  years  to  deceive  England  for  as  long  as  possible concerning  his  true  intentions,  and  that  Herr  Ribbentrop's  sole  mission  in  our country was to orchestrate this deception. As I say, this is the commonly held view and  I  do  not  wish  to  differ  with  it  here.  It  is,  however,  rather  irksome  to  have  to hear people talking today as though they were never for a moment taken in by Herr Ribbentrop - as though Lord Darlington was alone in believing Herr Ribbentrop an honourable gentleman and developing a working relationship with him.  The truth is that Herr Ribbentrop was, throughout the thirties, a well-regarded figure, even a glamorous one, in the very best houses. Particularly around 1936 and 1937, I can recall  all  the  talk  in  the  servants'  hall  from  visiting  staff  revolving  around  'the German Ambassador', and it was clear from what was said that many of the most distinguished ladies and gentlemen in this country were quite enamoured of him. It is, as I say, irksome to have to hear the way these same people now talk of those times,  and  in  particular,  what  some  have  said  concerning  his  lordship.  The  great hypocrisy of these persons would be instantly obvious to. you were you to see just a  few  of  their  own  guest  lists  from  those  days;  you  would  see  then  not  only  the extent  to  which  Herr  Ribbentrop  dined  at  these  same  persons'  tables,  but  that  he often did so as guest of honour."|"The Remains of the Day"|"Kazuo Ishiguro"
"ap 10:30"|"ten thirty"|"""I will speak to the two employees in my pantry tomorrow morning at ten thirty. I would  be  grateful  then,  Miss  Kenton,  if  you  would  send  them  along.  I  leave  it entirely to yourself whether or not you inform them beforehand as to the nature of what I am going to say to them."""|"The Remains of the Day"|"Kazuo Ishiguro"
"ap 10:30"|"Ten thirty"|"""Miss Kenton, let me suggest to you that you are hardly well placed to be passing judgements of such a high and mighty nature. The fact is, the world of today is a very  complicated  and  treacherous  place.  There  are  many  things  you  and  I  are simply  not  in  a  position  to  understand  concerning,  say,  the  nature  of  Jewry. Whereas his lordship, I might venture, is somewhat better placed to judge what is for  the  best.  Now,  Miss  Kenton,  I  really  must  retire.  I  thank  you  again  for  the cocoa. Ten thirty tomorrow morning. Send the two employees concerned, please."" It  was  evident  from  the  moment  the  two  maids  stepped  into  my  pantry  the following  morning  that  Miss  Kenton  had  already  spoken  to  them,  for  they  both came  in  sobbing.  I  explained  the  situation  to  them  as  briefly  as  possible, underlining that their work had been satisfactory and that they would, accordingly, receive  good  references.  As  I  recall,  neither  of  them  said  anything  of  note throughout  the  whole  interview,  which  lasted  perhaps  three  or  four  minutes,  and they left sobbing just as they had arrived."|"The Remains of the Day"|"Kazuo Ishiguro"
