"ap > 10:00"|"past ten"|"She could, of course, ask him to turn it off. She looked at her bedside clock; it was past ten. She could put on her dressing gown, which matched the nightdress, and just comb her hair a little, then step into her slippers—quite dainty, with a pattern of roses—and just pop up the stairs to the next landing, and just, well, tap on his door. He would open it, perhaps wearing his trousers and undershirt, and then he would look at her the way he had looked when he saw her in her nightdress on the way to the bathroom…."|"Eye of the Needle"|"Ken Follett"
"< 00:00"|"almost midnight"|"He washed his hands again and got dressed. It was almost midnight. He would wait an hour before leaving, it would be safer later."|"Eye of the Needle"|"Ken Follett"
"ap 01:00"|"one o’clock"|"It was one o’clock. Faber took a last look around the room. He was not concerned about leaving clues—his fingerprints were obviously all over the house, and there would be no doubt in anyone’s mind about who was the murderer. Nor did he feel any sentiment about leaving the place that had been his home for two years; he had never thought of it as home. He had never thought of anywhere as home."|"Eye of the Needle"|"Ken Follett"
"ap 00:30"|12:30|"At 12:30 on a splendid June day in London, a secretary found Godliman hunched over an illuminated manuscript, laboriously translating its medieval Latin, making notes in his own even less legible handwriting. The secretary, who was planning to eat her lunch in the garden of Gordon Square, did not like the manuscript room because it smelled dead. You needed so many keys to get in there, it might as well have been a tomb."|"Eye of the Needle"|"Ken Follett"
01:00|"one this morning"|"“You didn’t wear one this morning. It’s quite warm. Shall I lock up after you?”"|"Eye of the Needle"|"Ken Follett"
"ap 02:00"|"two o’clock"|"“Spitfire. I saw her yesterday. She’s a lovely kite.” David had already fallen into the RAF slang—kites and crates and the drink and bandits at two o’clock. “She’s got eight guns, she does three hundred and fifty knots, and she’ll turn around in a shoebox.”"|"Eye of the Needle"|"Ken Follett"
10:00|"10 A.M."|"He was shown into Colonel Terry’s office at 10 A.M. Terry had been there for several hours; there were two empty cigarette packets in the wastepaper basket."|"Eye of the Needle"|"Ken Follett"
09:00|"nine o’clock in the morning"|"Clearly he did not know where he was, nor did he even have a code name. The quality of his briefing is indicated by the fact that he knew nothing of English licensing laws—he went into a pub at nine o’clock in the morning and asked for a quart of cider."|"Eye of the Needle"|"Ken Follett"
"ap 10:00"|ten|"The landlord told Waldberg to come back at ten. He could spend the hour looking at the village church, he suggested. Amazingly, Waldberg was back at ten sharp, whereupon two policemen on bicycles arrested him."|"Eye of the Needle"|"Ken Follett"
"ap 09:00"|nine|"This rendezvous was timed for either between nine and ten o’clock in the morning or between five and six in the afternoon, and the arrangement was that one went there every day until the other party turned up. If no contact was made for five successive days one went there on alternate days for two weeks. After that one gave up."|"Eye of the Needle"|"Ken Follett"
10:00|"ten o’clock in the morning"|"This rendezvous was timed for either between nine and ten o’clock in the morning or between five and six in the afternoon, and the arrangement was that one went there every day until the other party turned up. If no contact was made for five successive days one went there on alternate days for two weeks. After that one gave up."|"Eye of the Needle"|"Ken Follett"
"ap 05:00"|five|"This rendezvous was timed for either between nine and ten o’clock in the morning or between five and six in the afternoon, and the arrangement was that one went there every day until the other party turned up. If no contact was made for five successive days one went there on alternate days for two weeks. After that one gave up."|"Eye of the Needle"|"Ken Follett"
18:00|"six in the afternoon"|"This rendezvous was timed for either between nine and ten o’clock in the morning or between five and six in the afternoon, and the arrangement was that one went there every day until the other party turned up. If no contact was made for five successive days one went there on alternate days for two weeks. After that one gave up."|"Eye of the Needle"|"Ken Follett"
