16:00|"four o'clock in the afternoon"|"The guy stood a yard inside the dark room and waited, blinking, letting his eyes adjust to the gloom after the hot whiteness of the Key West sun. It was June, dead-on four o'clock in the afternoon, the southernmost part of the United States. Way farther south than most of the Bahamas. A hot white sun and a fierce temperature. Reacher sat at his table in back and sipped water from a plastic bottle and waited."|Tripwire|"Lee Child"
"ap 04:00"|"four o'clock"|"Reacher matched his pull with a long drink of water. The fittest guy he had ever known was a Belgian soldier who swore the key to fitness was to do whatever the hell you liked as long as you drank five litres of mineral water every day. Reacher figured five litres was about a gallon, and since the Belgian was a small whippy guy half his size, he should make it two gallons a day. Ten full-size bottles. Since arriving in the heat of the Keys, he had followed that regimen. It was working for him. He had never felt better. Every day at four o'clock he sat at this dark table and drank three bottles of still water, room temperature. Now he was as addicted to the water as he had once been to coffee."|Tripwire|"Lee Child"
"ap 04:05"|"Five after four"|"The old guy's shoulders slumped a fraction in disappointment. He shot his cuff and checked his watch. Moved his bulk forward on the chair like he was about to get up, but then sat back, like suddenly there was time to spare.
""Five after four,"" he said.
Reacher nodded. The guy waved his empty beer bottle at the bartender who ducked around with a fresh one."|Tripwire|"Lee Child"
"ap 04:00"|"four o'clock"|"Costello shook his head. ""I asked all up and down Duval, which seems to be where the action is in this town. Nearest I got was a titty bar upstairs someplace, girl in there said there was a big guy been here exactly three months, drinks water every day at four o'clock in here."""|Tripwire|"Lee Child"
16:10|"Ten after four in the afternoon"|"He walked out through the missing wall into the glare of the afternoon. Reacher drained the last of his water and watched him go. Ten after four in the afternoon."|Tripwire|"Lee Child"
08:00|"eight o'clock that morning"|"That day had been D-Day. D stood for downsizing. Their human resources manager out at the manufacturing plant on Long Island had been busy since eight o'clock that morning. His secretary had rustled up a long line of chairs in the corridor outside his office, and the chairs had been filled with a long line of people. The people had waited most of the day, shuffling up one place every five minutes, then shuffling off the end of the line into the human resources manager's office for a five-minute interview that terminated their livelihoods, thank you and goodbye."|Tripwire|"Lee Child"
23:00|"eleven in the evening"|"Key West at eleven in the evening is about as lively as it gets. Some people are halfway through their night, others are just starting out. Duval is the main street, running the length of the island east to west, bathed in light and noise. Reacher wasn't worried about the guys waiting for him on Duval. Too crowded. If they had revenge on their minds, they'd pick a quieter location. Of which there was a fair choice. Off Duval, especially to the north, it gets quiet quickly. The town is miniature. The blocks are tiny. A short stroll takes you twenty blocks up into what Reacher thought of as the suburbs, where he dug pools into the tiny yards behind the small houses. The street lighting gets haphazard and the bar noise fades into the heavy buzz of night-time insects. The smell of beer and smoke is replaced by the heavy stink of tropical plants blooming and rotting in the gardens."|Tripwire|"Lee Child"
"ap 01:00"|"one o'clock"|"The bar had closed at one o'clock and they were side by side on two chairs next to the empty stage. The lights were off and there was no music. No sound at all, except the hum of the air-conditioning running at quarter speed, sucking the stale smoke and sweat out into the still night air of the Keys."|Tripwire|"Lee Child"
"< 05:00"|"just before five o'clock in the morning"|"Then the radar detectors started screaming and the lights of Key Largo appeared a mile ahead. She braked hard and rumbled through the town, and floored it again and blasted north towards the dark horizon. A tight curving left, over the bridge, on to the mainland of America, and north towards the town called Homestead on a flat straight road cut through the swamp. Then a tight right on to the highway, high speed all the way, radar detectors on maximum, and they were at Miami departures just before five o'clock in the morning. She eased to a stop in the drop off lane and waited, motor running."|Tripwire|"Lee Child"
05:00|"Five o'clock in the morning"|"Five o'clock in the morning, fifty miles north of New York City, the CEO was lying in bed, wide awake, staring at the ceiling. It had just been painted. The whole house had just been painted. He had paid the decorators more than most of his employees earned in a year. Actually, he hadn't paid them. He had fudged their invoice through his office and his company had paid them. The expense was hidden somewhere in the secret spreadsheet, part of a seven-figure total for buildings maintenance. A seven-figure total on the debit side of the accounts, pulling his business down like heavy cargo sinks a listing ship. Like a straw breaks a camel's back."|Tripwire|"Lee Child"
