12:00|noon|"As he strode away I noticed how the clouds had racked up, thick and low, and how the light was going though it wasn’t yet noon. Maybe this affected me, or maybe it was just the thought of cleaning that goose by myself, but I sure wanted Davy to stay."|"Peace Like a River"|"Leif Enger"
"> 00:00"|"past midnight"|"Waking past midnight I departed this dream: I was crossing a shallow river that smelled of dying plants, my bare feet sinking in muck, the far shore concealed by fog. Not a sound but the swirl round my shins. Then a breeze touched me. The mist corkscrewed away and I saw the shore. A dead horse lay swollen there, tail in the river. I stopped midstream, my breath gone, and woke gasping to the windowful of moonlight and Davy in his bed snoring, arm thrown across his eyes."|"Peace Like a River"|"Leif Enger"
01:00|"one in the morning"|"Well, so it went. At one in the morning, smelling of tar and petroleum, Dad framed his locker-room skirmish as a composition on wartime ethics. Absorbing as it was, such interpretations do have a way of muffling the shouts of those who were there—namely, Israel Finch and Tommy Basca."|"Peace Like a River"|"Leif Enger"
"ap 02:39"|21-to-3|"About this time, Dad was in the boys’ locker room, which had just been vacated by the Plainsmen themselves. The score so far placed our team at a 21-to-3 deficit, and halftime had gone hard for the lads. Coach Heintz was a man who took defeat personally and so made it as personal as he could for his players—especially for his son, Robert, a pale, artistic sophomore who looked grotesque in shoulder pads. Unfortunately, Robert had botched a pass in the end zone with moments left in the half. If he’d ever in his life hoped for benevolence it must have been on the queasy trot up to the locker room for the midgame pep talk, but his hopes had a hideous end. Dad later said he could hear Coach Heintz’s popeyed invective all the way to the cafeteria. Arriving at the locker room minutes later, pushing his wide broom, he found the players gone back to the field and a puddle of vomit on the floor in front of Robert’s locker."|"Peace Like a River"|"Leif Enger"
00:00|midnight|"I won’t spend too much time on Reverend Johnny because what happened there isn’t half as important as what was happening at home. But did you ever go to church and see the minister rise first thing with a trumpet in his hand? That’s what the Reverend Johnny did—oh, yes. Our mild Roofing Methodists were unused to musical instruments, except organs and pianos, but they took to this trumpet right away, and the reverend played like Gabriel, by which I mean loud and with the authority that comes of a good ear and large lungs. A great big fellow, Reverend Johnny Latt, had to be in his seventies, yet still so upright and wide in the shoulders and with such dark swept-back hair he could’ve walked without fear down your choice of midnight alleys. He had with him a saxophonist younger brother, an organist wife with a soft voice and a sweet shipwrecked expression at the eyes, and a heavy, weak-looking son who played of all things the flute and who you knew straight off wouldn’t be the one to carry the Latt crusades far into the future."|"Peace Like a River"|"Leif Enger"
22:00|"10 P.M."|"Picture a fat man, suit full of sweatspots, knees pointing inward for support. Imagine the voice of a much picked-on yet somehow hopeful child. If John Calvin was right, destiny had a serious grudge against Tin Lurvy, a purple-faced, futile, tragically sociable traveling salesman. Had he only been pushy he wouldn’t have been a problem; Dad never minded hurrying Fuller Brush men along. But Lurvy didn’t push—in fact, he never mentioned what he was selling unless you asked. I suspect few people did. Merchandise didn’t seem to matter much to Lurvy, except as conversation—garrulous conversation, too, because Lurvy preferred to run about one-quarter drunk. Along American turnpikes he had failed to peddle vacuum cleaners, saucepans, patent medicines, candy, cufflinks, hairpieces. (I didn’t know all this at the time, but would learn it soon, gracefully worded, in his obituary.) Though he probably came through Roofing but once or twice yearly, it was more than enough to establish him as a kind of mean joke among us clannish kids. One Christmas Eve (the dishes done, the gospel of Luke read aloud, presents imminent), Davy looked out the window and said, “Oh, no, Tin Lurvy’s driving up!” The bluff dropped my organs into my shoes. Worse, it turned prophetic: Lurvy really was driving up, except he was only as far as Michigan at the time. Come New Year’s Eve (10 P.M., popcorn rattling in the pan, Swede and I looking ahead to the one time all year we’d see midnight), Lurvy drove up for real. Atop the stove were four glossy carameled apples, one for each of us to eat at the stroke of twelve. Lurvy ate Dad’s."|"Peace Like a River"|"Leif Enger"
00:00|midnight|"Picture a fat man, suit full of sweatspots, knees pointing inward for support. Imagine the voice of a much picked-on yet somehow hopeful child. If John Calvin was right, destiny had a serious grudge against Tin Lurvy, a purple-faced, futile, tragically sociable traveling salesman. Had he only been pushy he wouldn’t have been a problem; Dad never minded hurrying Fuller Brush men along. But Lurvy didn’t push—in fact, he never mentioned what he was selling unless you asked. I suspect few people did. Merchandise didn’t seem to matter much to Lurvy, except as conversation—garrulous conversation, too, because Lurvy preferred to run about one-quarter drunk. Along American turnpikes he had failed to peddle vacuum cleaners, saucepans, patent medicines, candy, cufflinks, hairpieces. (I didn’t know all this at the time, but would learn it soon, gracefully worded, in his obituary.) Though he probably came through Roofing but once or twice yearly, it was more than enough to establish him as a kind of mean joke among us clannish kids. One Christmas Eve (the dishes done, the gospel of Luke read aloud, presents imminent), Davy looked out the window and said, “Oh, no, Tin Lurvy’s driving up!” The bluff dropped my organs into my shoes. Worse, it turned prophetic: Lurvy really was driving up, except he was only as far as Michigan at the time. Come New Year’s Eve (10 P.M., popcorn rattling in the pan, Swede and I looking ahead to the one time all year we’d see midnight), Lurvy drove up for real. Atop the stove were four glossy carameled apples, one for each of us to eat at the stroke of twelve. Lurvy ate Dad’s."|"Peace Like a River"|"Leif Enger"
"ap 00:00"|twelve|"Picture a fat man, suit full of sweatspots, knees pointing inward for support. Imagine the voice of a much picked-on yet somehow hopeful child. If John Calvin was right, destiny had a serious grudge against Tin Lurvy, a purple-faced, futile, tragically sociable traveling salesman. Had he only been pushy he wouldn’t have been a problem; Dad never minded hurrying Fuller Brush men along. But Lurvy didn’t push—in fact, he never mentioned what he was selling unless you asked. I suspect few people did. Merchandise didn’t seem to matter much to Lurvy, except as conversation—garrulous conversation, too, because Lurvy preferred to run about one-quarter drunk. Along American turnpikes he had failed to peddle vacuum cleaners, saucepans, patent medicines, candy, cufflinks, hairpieces. (I didn’t know all this at the time, but would learn it soon, gracefully worded, in his obituary.) Though he probably came through Roofing but once or twice yearly, it was more than enough to establish him as a kind of mean joke among us clannish kids. One Christmas Eve (the dishes done, the gospel of Luke read aloud, presents imminent), Davy looked out the window and said, “Oh, no, Tin Lurvy’s driving up!” The bluff dropped my organs into my shoes. Worse, it turned prophetic: Lurvy really was driving up, except he was only as far as Michigan at the time. Come New Year’s Eve (10 P.M., popcorn rattling in the pan, Swede and I looking ahead to the one time all year we’d see midnight), Lurvy drove up for real. Atop the stove were four glossy carameled apples, one for each of us to eat at the stroke of twelve. Lurvy ate Dad’s."|"Peace Like a River"|"Leif Enger"
16:00|"four in the afternoon"|"But when we stepped out from the trees—stepped out into a peevish wind, the sky telling of winter, evening-colored at four in the afternoon—shouldn’t I have felt something then? As we walked toward home, toward lighted windows, shouldn’t I have sensed the Lands adrift, pushed off course, gone wayward?"|"Peace Like a River"|"Leif Enger"
"> 00:00"|"past midnight"|"Sometime past midnight the rain turned to snow. I could tell by the difference in the sound against the window: a less sharp, wetter sound. At first I thought that was what wakened me."|"Peace Like a River"|"Leif Enger"
"ap > 11:00"|"just past eleven"|"From what I heard those were fine times. Davy was a year old and tottered roguishly around the gladhearted poverty of marriedstudent housing; Mother fed him and wore thin from the chase and read him to sleep from Robert Louis Stevenson. Dad studied the bones of the science department’s hanging skeleton, name of Yorick, a short scurvied fellow gone the color of weak tea. A professor of Dad’s told him Yorick was no conscientious volunteer but was instead a hard-luck Calcuttan who’d been dredged from the Ganges River and been boiled clean and had ridden the black market to the American Midwest. It made a person think. When not studying, Dad worked, sweeping and painting in the athletic building twenty hours a week, unknowingly getting all the education he was going to need right there in his coveralls. It was the athletic building, Dewey Hall, that the tornado struck, just past eleven one heatsoaked night in September. This, by the way, is the only story Dad ever told us in whispers: how the tornado came cruising up out of the south, birthed from a yellow cloud; how it touched earth at the fringe of town, a pale umbilical rope, to corkscrew almost shyly up College Drive, gathering dirt but little else. Next morning the first thing emergent residents noticed was their street, swept like never before, and all streetside grass combed and pointed as if in praise to some passing magnificence."|"Peace Like a River"|"Leif Enger"
20:00|"eight in the evening"|"As far as I was concerned, Mr. Ringman had the right idea. But Dad just bent to work, firing up a wide-mouth pump that sucked with a repellent sound and coughed organic matter through a window into a parked truck. He dismantled the furnace, cleaned it piece by piece; he mopped and disinfected, his fingers and lungs corroding from Borax. His lack of complaint must have provoked Superintendent Holgren, who came to our house after Dad finished up. It was eight in the evening; Dad was in the tub with his head on a rolled towel. Holgren clomped up the porch and knocked, hard."|"Peace Like a River"|"Leif Enger"
12:00|noonday|"The day Swede sat me down and read me those lines I began to understand how truly scared she’d been. Till then I’d been picturing Valdez as one of those banditos in Zorro: sitting a scrawny horse, sneaky grin and eyebrows, the kind of villain who’d dig for earwax to groom his mustache. And you know, I’d liked him that way: sly, nasty, but certainly no match for any hero worth the name. Now, overnight, Valdez had come unbound. He’d grown personally. He was a monster. I worried that real damage had been done to Swede, something that might plague her not for weeks but years. I imagined her at twenty-five, hair gone white, skinny and ulcerated, a fearsome picture. Also, it bothered me that the poem now seemed likely to turn out wrong. One thing had to happen, and soon: That pig Valdez had to die, and Sunny Sundown had to kill him. Honorably and inevitably. With one shot. And Valdez had to fall down on his back and lie outstretched on the scorched earth, his eyes wide open in the noonday sun, so that we knew he was dead and not faking it."|"Peace Like a River"|"Leif Enger"
09:00|"9 A.M."|"EARLY WEDNESDAY, UNDER RED SKIES, WE DROVE TO MONTROSE FOR DAVY’S trial. We’d been told to be at the courthouse at 9 A.M., but the DeCuellars insisted we breakfast at their house at 7:30. There’s no way a person can really prepare for someone like Mrs. DeCuellar. Buxom and businesslike on her doorstep, once she had you inside she became the woman you wish had lived next door all the days of your childhood. She was short, round, bright. At the age when most women begin putting up their hair, she wore hers long, for beauty, and it was beautiful—black and woolly, her very own buffalo robe. She had turquoise earrings and crisp metallic perfume; helping Swede off with her coat, she knelt and put her cheek to Swede’s and held it there a moment before getting up; then she said, “Breakfast’s ready, sweet ones,” and marched us to the kitchen. It was fitting, that march; there was something about Mrs. DeCuellar that reminded you of a bass drum."|"Peace Like a River"|"Leif Enger"
"ap 07:30"|7:30|"EARLY WEDNESDAY, UNDER RED SKIES, WE DROVE TO MONTROSE FOR DAVY’S trial. We’d been told to be at the courthouse at 9 A.M., but the DeCuellars insisted we breakfast at their house at 7:30. There’s no way a person can really prepare for someone like Mrs. DeCuellar. Buxom and businesslike on her doorstep, once she had you inside she became the woman you wish had lived next door all the days of your childhood. She was short, round, bright. At the age when most women begin putting up their hair, she wore hers long, for beauty, and it was beautiful—black and woolly, her very own buffalo robe. She had turquoise earrings and crisp metallic perfume; helping Swede off with her coat, she knelt and put her cheek to Swede’s and held it there a moment before getting up; then she said, “Breakfast’s ready, sweet ones,” and marched us to the kitchen. It was fitting, that march; there was something about Mrs. DeCuellar that reminded you of a bass drum."|"Peace Like a River"|"Leif Enger"
12:00|noon|"We played War at Sea right up through noon, Swede and I, and then, just when I’d hit on a pattern for locating and destroying her fleet, the door opened and it was Mr. DeCuellar again and the trial was about to commence."|"Peace Like a River"|"Leif Enger"
"ap 09:00"|"Nine o’clock"|"“Davy came around to Finch’s place that night. Rotten night out. Nine o’clock or thereabouts,” Stanley said."|"Peace Like a River"|"Leif Enger"
04:00|"four in the morning"|"THE BEST OF IT, TO SWEDE IN PARTICULAR, WAS THAT DAVY ESCAPED BY PONY. We wouldn’t know this for several days, however, nor would the disturbed sheriff, Charlie Pym, who’d showed up pounding the door in the wee hours. Over breakfast Mr. DeCuellar told us how he’d wrapped himself in a tartan robe and peeked between curtains before opening the door: “Do you know who is up at four in the morning? Dairy farmers. Paperboys. Lunatics.” (Mr. DeCuellar was not himself that morning; he was, in fact, grouchy. It was indecipherable to Swede and me, to whom this news was cotton candy.)"|"Peace Like a River"|"Leif Enger"
"ap < 11:00"|"Shortly before eleven"|"What actually happened—and we got this from Walt, whose colleague Stube Range was on shift—was this: Shortly before eleven, Stube was sitting at the night desk reading a paperback mystery. Subsequent research has revealed the book to be a Mike Hammer detective story. Stube was reading it despite Sheriff Pym’s disapproval of its author, Mickey Spillane. (More research: The sheriff had met Spillane once, far back in memory, on a turboprop airliner, and Spillane had made a humorous remark about Charlie Pym’s beard, which was sparse.) Suddenly Stube was distracted from the story by a polite call from Davy. The toilet in his cell wouldn’t flush, he said."|"Peace Like a River"|"Leif Enger"
"ap 00:00"|twelve|"No suspense here. Stube awoke propped against the wall of Davy’s cell. His head was sore and his memory flawed. The toilet, incidentally, worked fine; he had to use it before his replacement showed up at the stroke of twelve and released him from the cell."|"Peace Like a River"|"Leif Enger"
