"ap 08:00"|"eight o’clock"|"Sometimes there was a compulsion which drew Ira Claffey from his plantation and sent him to walk the forest. It came upon him at eight o’clock on this morning of October twenty-third; he responded, he yielded, he climbed over the snake fence at the boundary of his sweet potato field and went away among the pines."|Andersonville|"MacKinlay Kantor"
08:00|"eight o’clock in the morning"|"He would have been able to name the week—and possibly the day—of the year; he would have been able to name it by evidence before him if startled quickly awake from a century’s repose. The long-leaved pines themselves, their banks of dark green plush in milky distance, with the outer tips of pine needles touched by autumnal tan, and yet this tan was invisible until you came close. Sunflowers, the little susie flowers still blooming spiritedly; sodden cornfields shrunken merciless, every ragged stalk of fodder soaked with mist; sandy, clayey bare spots in yard and gardens standing out silvery—intense spots, never casual, but seeming to have been cleared and stamped recently, and for a special purpose . . . eight o’clock in the morning, as told by his silver watch, with the sun burning low and solid in a cloudless sky but with farthermost groves still fogged; jack-oaks half green and looking withered and scrofulous; the scrub swamp gums well turned at this date, and some of them burning in artificial pinks; tulip trees half green; some of the buttonwoods verdant as in summer."|Andersonville|"MacKinlay Kantor"
"ap >> 09:00"|"long after nine o’clock"|"He brooded his way back to the potato patches. It was now long after nine o’clock. He had wasted a good hour and a half in his wanderings and musings, and in conversing with the military party. He considered it wasted, because for the first time in—when?—the forest had not granted him the peace and food he sought. A prison, here where always there had been the green pleasure of growth, or water having its way with lichens—the blessing of gum, pine cones, sly animals feeding, rare birds meeting their kind? Let them build their prison someplace else, he’d have none of it. He knew the President, or had known him slightly seventeen years before. He should go to Richmond (but it would cost a sight of cash, and cash was not plentiful in these days) and utter a protest. He should take a firm stand, if this supercilious young captain sought to preëmpt any of the Claffey acres."|Andersonville|"MacKinlay Kantor"
12:00|noontime|"Coffee and Jem had made great strides with the potatoes. A good two-thirds of the Brimstones were dug, and by noontime the hands would doubtless be ready to start in on the Hayti yams, which they preferred for the table, and which it was easier to raise as fare for the slaves because the Hayti yams were more prolific and they stored well. Common yams were the most prolific of all, but had rather a pumpkinish flavor. Ira couldn’t abide growing them."|Andersonville|"MacKinlay Kantor"
00:00|midnight|"He was walking, grasping that slung arm which bred its torture, he was walking in midnight amid the damp Luxembourg gardens; and it did not seem real—walking in New Orleans would seem more real nowadays, if only he could walk there; and in the Luxembourg gardens all of the Parisians turned out in full force each Sunday, except for the thousands who went gabbling to the Bois, and all of them had their dogs along with them. French dogs were a race apart: not like American dogs, not like Southern American dogs, with their long ears and jaunty scratching and their loose addiction to raccoons or brawling, or their fondness for copulation in the open dusty roads. French dogs marched in harness, they took tight little steps, they seemed to sniff in French, they carried the pinned-up ears of one breed, the ruffles of another, the hard-curled tails of still another heritage; they were indubitably French—they gestured with their strange tails as they met and conversed—"|Andersonville|"MacKinlay Kantor"
"ap 06:00"|six|"I’ll give you five dollars, Val, the man muttered—no, I’ll make it six. Just think—six beautiful gold dollars."|Andersonville|"MacKinlay Kantor"
12:00|noontime|"Coffee said, pushing the muffled words out of his mouth while it was filled with potato— He said, I got to tote lunch for noontime."|Andersonville|"MacKinlay Kantor"
12:00|noon|"One of the mules was sick with colic, and Jonas was reciting the remedy he desired to employ and the cure which would follow. It was something Old Leander had taught him when Jonas was young. Take a big plug of tobacco and cut off a slice maybe as thick as your little finger was long. Put the tobacco in cold water—about the size of that crockful, over there on the bench; then throw in four or five shovels of hot oak ashes, and let the mixture set awhile before you give it to the mule. Ask master or overseer to use his watch; ask him to tell you when fifteen minutes had passed. Then the solution was ready to use, and better not use more of it than a chunk bottle full at one time. It still had to be warm when you used it to drench the mule. Chances were that the mule would be well at once; but never let him near water for a good ten hours. If it were noon when you drenched him, you shouldn’t let him drink till close to midnight. And never let him eat corn right afterward, nor do any more work that day."|Andersonville|"MacKinlay Kantor"
00:00|midnight|"One of the mules was sick with colic, and Jonas was reciting the remedy he desired to employ and the cure which would follow. It was something Old Leander had taught him when Jonas was young. Take a big plug of tobacco and cut off a slice maybe as thick as your little finger was long. Put the tobacco in cold water—about the size of that crockful, over there on the bench; then throw in four or five shovels of hot oak ashes, and let the mixture set awhile before you give it to the mule. Ask master or overseer to use his watch; ask him to tell you when fifteen minutes had passed. Then the solution was ready to use, and better not use more of it than a chunk bottle full at one time. It still had to be warm when you used it to drench the mule. Chances were that the mule would be well at once; but never let him near water for a good ten hours. If it were noon when you drenched him, you shouldn’t let him drink till close to midnight. And never let him eat corn right afterward, nor do any more work that day."|Andersonville|"MacKinlay Kantor"
12:00|noon|"Air did not grow much warmer but the workers did. Long since they had dispensed with wraps and hung them on the remains of the fence separating Bile and McWhorter land. Dumbly they were grateful that this clearing of forest did not take place necessarily in August . . . you could work up a mighty sweat, putting that old axe into the pine. But their muscles scarcely recognized the demand put upon them. There was always a demand upon their muscles, an order calling for bending, stooping, lifting, toting, kneeling, bearing, squatting, digging, heaping, covering, flailing. Jonas was thirty-eight or so, Jem perhaps the same age (nobody knew) and Coffee in his youngest prime. They were the sole male active survivors of a troop which once had thronged the cotton rows, cornfields, pig-pens, goober patches, wood brakes. Nowadays they performed any and every task, dreaming no further ahead than the cold potatoes of noon, hot potatoes of night, the boiled turnips, the tasty chew of pork, the picked game bones, the dog yelling that here were squirrels . . . dreaming certainly no further ahead than the next turkey gobble or Christmas gift or yielding of a giggling shiny body in a bed or down a fence-row."|Andersonville|"MacKinlay Kantor"
