"ap 00:00"|"twelve o’clock"|"The interceptors came up with descriptions of the fists and styles of the operators they were following. They assigned them names and assembled elaborate profiles of their personalities. After they identified the person who was sending the message, the interceptors would then locate their signal. So now they knew something more. They knew who was where. West goes on: “The interceptors had such a good handle on the transmitting characteristics of the German radio operators that they could literally follow them around Europe-wherever they were. That was extraordinarily valuable in constructing an order of battle, which is a diagram of what the individual military units in the field are doing and what their location is. If a particular radio operator was with a particular unit and transmitting from Florence, and then three weeks later you recognized that same operator, only this time he was in Linz, then you could assume that that particular unit had moved from northern Italy to the eastern front. Or you would know that a particular operator was with a tank repair unit and he always came up on the air every day at twelve o’clock. But now, after a big battle, he’s coming up at twelve, four in the afternoon, and seven in the evening, so you can assume that unit has a lot of work going on. And in a moment of crisis, when someone very high up asks, ‘Can you really be absolutely certain that this particular Luftwaffe Fliegerkorps [German air force squadron] is outside of Tobruk and not in Italy?’ you can answer, ‘Yes, that was Oscar, we are absolutely sure.’”"|Blink|"Malcolm Gladwell"
"ap 00:00"|twelve|"The interceptors came up with descriptions of the fists and styles of the operators they were following. They assigned them names and assembled elaborate profiles of their personalities. After they identified the person who was sending the message, the interceptors would then locate their signal. So now they knew something more. They knew who was where. West goes on: “The interceptors had such a good handle on the transmitting characteristics of the German radio operators that they could literally follow them around Europe-wherever they were. That was extraordinarily valuable in constructing an order of battle, which is a diagram of what the individual military units in the field are doing and what their location is. If a particular radio operator was with a particular unit and transmitting from Florence, and then three weeks later you recognized that same operator, only this time he was in Linz, then you could assume that that particular unit had moved from northern Italy to the eastern front. Or you would know that a particular operator was with a tank repair unit and he always came up on the air every day at twelve o’clock. But now, after a big battle, he’s coming up at twelve, four in the afternoon, and seven in the evening, so you can assume that unit has a lot of work going on. And in a moment of crisis, when someone very high up asks, ‘Can you really be absolutely certain that this particular Luftwaffe Fliegerkorps [German air force squadron] is outside of Tobruk and not in Italy?’ you can answer, ‘Yes, that was Oscar, we are absolutely sure.’”"|Blink|"Malcolm Gladwell"
16:00|"four in the afternoon"|"The interceptors came up with descriptions of the fists and styles of the operators they were following. They assigned them names and assembled elaborate profiles of their personalities. After they identified the person who was sending the message, the interceptors would then locate their signal. So now they knew something more. They knew who was where. West goes on: “The interceptors had such a good handle on the transmitting characteristics of the German radio operators that they could literally follow them around Europe-wherever they were. That was extraordinarily valuable in constructing an order of battle, which is a diagram of what the individual military units in the field are doing and what their location is. If a particular radio operator was with a particular unit and transmitting from Florence, and then three weeks later you recognized that same operator, only this time he was in Linz, then you could assume that that particular unit had moved from northern Italy to the eastern front. Or you would know that a particular operator was with a tank repair unit and he always came up on the air every day at twelve o’clock. But now, after a big battle, he’s coming up at twelve, four in the afternoon, and seven in the evening, so you can assume that unit has a lot of work going on. And in a moment of crisis, when someone very high up asks, ‘Can you really be absolutely certain that this particular Luftwaffe Fliegerkorps [German air force squadron] is outside of Tobruk and not in Italy?’ you can answer, ‘Yes, that was Oscar, we are absolutely sure.’”"|Blink|"Malcolm Gladwell"
19:00|"seven in the evening"|"The interceptors came up with descriptions of the fists and styles of the operators they were following. They assigned them names and assembled elaborate profiles of their personalities. After they identified the person who was sending the message, the interceptors would then locate their signal. So now they knew something more. They knew who was where. West goes on: “The interceptors had such a good handle on the transmitting characteristics of the German radio operators that they could literally follow them around Europe-wherever they were. That was extraordinarily valuable in constructing an order of battle, which is a diagram of what the individual military units in the field are doing and what their location is. If a particular radio operator was with a particular unit and transmitting from Florence, and then three weeks later you recognized that same operator, only this time he was in Linz, then you could assume that that particular unit had moved from northern Italy to the eastern front. Or you would know that a particular operator was with a tank repair unit and he always came up on the air every day at twelve o’clock. But now, after a big battle, he’s coming up at twelve, four in the afternoon, and seven in the evening, so you can assume that unit has a lot of work going on. And in a moment of crisis, when someone very high up asks, ‘Can you really be absolutely certain that this particular Luftwaffe Fliegerkorps [German air force squadron] is outside of Tobruk and not in Italy?’ you can answer, ‘Yes, that was Oscar, we are absolutely sure.’”"|Blink|"Malcolm Gladwell"
"ap 10:00"|"ten o’clock"|"All experts do this, either formally or informally. Gottman wasn’t happy with his instinctive reactions to couples. So he videotaped thousands of men and women, broke down every second of the tapes, and ran the data through a computer-and now he can sit down next to a couple in a restaurant and confidently thin-slice their marriage. Vic Braden, the tennis coach, was frustrated by the fact that he knew when someone was about to double-fault but didn’t know how he knew. He is now teamed up with some experts in biomechanics who are going to film and digitally analyze professional tennis players in the act of serving so that they can figure out precisely what it is in the players’ delivery that Braden is unconsciously picking up on. And why was Thomas Hoving so sure, in those first two seconds, that the Getty’s kouros was a fake? Because, over the course of his life, he’d experienced countless ancient sculptures and learned to understand and interpret that first impression that crossed his mind. “In my second year working at the Met [Metropolitan Museum of Art in New York], I had the good luck of having this European curator come over and go through virtually everything with me,” he says. “We spent evening after evening taking things out of cases and putting them on the table. We were down in the storerooms. There were thousands of things. I mean, we were there every night until ten o’clock, and it wasn’t just a routine glance. It was really poring and poring and poring over things.” What he was building, in those nights in the storerooms, was a kind of database in his unconscious. He was learning how to match the feeling he had about an object with what was formally understood about its style and background and value. Whenever we have something that we are good at-something we care about-that experience and passion fundamentally change the nature of our first impressions."|Blink|"Malcolm Gladwell"
"ap 11:57"|1157|"Diallo was from Guinea. In 1999, he was twenty-two and working as a peddler in lower Manhattan, selling videotapes and socks and gloves from the sidewalk along Fourteenth Street. He was short and unassuming, about five foot six and 150 pounds, and he lived at 1157 Wheeler, on the second floor of one of the street’s narrow apartment houses. On the night of February 3, 1999, Diallo returned home to his apartment just before midnight, talked to his roommates, and then went downstairs and stood at the top of the steps to his building, taking in the night. A few minutes later, a group of plainclothes police officers turned slowly onto Wheeler Avenue in an unmarked Ford Taurus. There were four of them-all white, all wearing jeans and sweatshirts and baseball caps and bulletproof vests, and all carrying police-issue 9-millimeter semiautomatic handguns. They were part of what is called the Street Crime Unit, a special division of the New York Police Department, dedicated to patrolling crime “hot spots” in the city’s poorest neighborhoods. Driving the Taurus was Ken Boss. He was twenty-seven. Next to him was Sean Carroll, thirty-five, and in the backseat were Edward McMellon, twenty-six, and Richard Murphy, twenty-six."|Blink|"Malcolm Gladwell"
"< 00:00"|"just before midnight"|"Diallo was from Guinea. In 1999, he was twenty-two and working as a peddler in lower Manhattan, selling videotapes and socks and gloves from the sidewalk along Fourteenth Street. He was short and unassuming, about five foot six and 150 pounds, and he lived at 1157 Wheeler, on the second floor of one of the street’s narrow apartment houses. On the night of February 3, 1999, Diallo returned home to his apartment just before midnight, talked to his roommates, and then went downstairs and stood at the top of the steps to his building, taking in the night. A few minutes later, a group of plainclothes police officers turned slowly onto Wheeler Avenue in an unmarked Ford Taurus. There were four of them-all white, all wearing jeans and sweatshirts and baseball caps and bulletproof vests, and all carrying police-issue 9-millimeter semiautomatic handguns. They were part of what is called the Street Crime Unit, a special division of the New York Police Department, dedicated to patrolling crime “hot spots” in the city’s poorest neighborhoods. Driving the Taurus was Ken Boss. He was twenty-seven. Next to him was Sean Carroll, thirty-five, and in the backseat were Edward McMellon, twenty-six, and Richard Murphy, twenty-six."|Blink|"Malcolm Gladwell"
"ap 04:00"|four|"the cheeks, and fifteen, the lowering of the corner of the lips,” Ekman said, and then did all three. “What we discovered is that that expression alone is sufficient to create marked changes in the autonomic nervous system. When this first occurred, we were stunned. We weren’t expecting this at all. And it happened to both of us. We felt terrible. What we were generating were sadness, anguish. And when I lower my brows, which is four, and raise the upper eyelid, which is five, and narrow the eyelids, which is seven, and press the lips together, which is twenty-four, I’m generating anger. My heartbeat will go up ten to twelve beats. My hands will get hot. As I do it, I can’t disconnect from the system. It’s very unpleasant, very unpleasant.” What we discovered is that that expression alone is sufficient to create marked changes in the autonomic nervous system. When this first occurred, we were stunned. We weren’t expecting this at all. And it happened to both of us. We felt terrible. What we were generating were sadness, anguish. And when I lower my brows, which is four, and raise the upper eyelid, which is five, and narrow the eyelids, which is seven, and press the lips together, which is twenty-four, I’m generating anger. My heartbeat will go up ten to twelve beats. My hands will get hot. As I do it, I can’t disconnect from the system. It’s very unpleasant, very unpleasant.”"|Blink|"Malcolm Gladwell"
"ap 05:00"|five|"the cheeks, and fifteen, the lowering of the corner of the lips,” Ekman said, and then did all three. “What we discovered is that that expression alone is sufficient to create marked changes in the autonomic nervous system. When this first occurred, we were stunned. We weren’t expecting this at all. And it happened to both of us. We felt terrible. What we were generating were sadness, anguish. And when I lower my brows, which is four, and raise the upper eyelid, which is five, and narrow the eyelids, which is seven, and press the lips together, which is twenty-four, I’m generating anger. My heartbeat will go up ten to twelve beats. My hands will get hot. As I do it, I can’t disconnect from the system. It’s very unpleasant, very unpleasant.” What we discovered is that that expression alone is sufficient to create marked changes in the autonomic nervous system. When this first occurred, we were stunned. We weren’t expecting this at all. And it happened to both of us. We felt terrible. What we were generating were sadness, anguish. And when I lower my brows, which is four, and raise the upper eyelid, which is five, and narrow the eyelids, which is seven, and press the lips together, which is twenty-four, I’m generating anger. My heartbeat will go up ten to twelve beats. My hands will get hot. As I do it, I can’t disconnect from the system. It’s very unpleasant, very unpleasant.”"|Blink|"Malcolm Gladwell"
"ap 07:00"|seven|"the cheeks, and fifteen, the lowering of the corner of the lips,” Ekman said, and then did all three. “What we discovered is that that expression alone is sufficient to create marked changes in the autonomic nervous system. When this first occurred, we were stunned. We weren’t expecting this at all. And it happened to both of us. We felt terrible. What we were generating were sadness, anguish. And when I lower my brows, which is four, and raise the upper eyelid, which is five, and narrow the eyelids, which is seven, and press the lips together, which is twenty-four, I’m generating anger. My heartbeat will go up ten to twelve beats. My hands will get hot. As I do it, I can’t disconnect from the system. It’s very unpleasant, very unpleasant.” What we discovered is that that expression alone is sufficient to create marked changes in the autonomic nervous system. When this first occurred, we were stunned. We weren’t expecting this at all. And it happened to both of us. We felt terrible. What we were generating were sadness, anguish. And when I lower my brows, which is four, and raise the upper eyelid, which is five, and narrow the eyelids, which is seven, and press the lips together, which is twenty-four, I’m generating anger. My heartbeat will go up ten to twelve beats. My hands will get hot. As I do it, I can’t disconnect from the system. It’s very unpleasant, very unpleasant.”"|Blink|"Malcolm Gladwell"
"ap 01:20"|120|"time, we shoot you as you are coming into the house. By the fourth or fifth time you get shot in simulation, you’re okay.” De Becker does a similar exercise where his trainees are required to repeatedly confront a ferocious dog. “In the beginning, their heart rate is 175. They can’t see straight. Then the second or third time, it’s 120, and then it’s 110, and they can function.” That kind of training, conducted over and over again, in combination with real-world experience, fundamentally changes the way a police officer reacts to a violent encounter. you’re okay.” De Becker does a similar exercise where his trainees are required to repeatedly confront a ferocious dog. “In the beginning, their heart rate is 175. They can’t see straight. Then the second or third time, it’s 120, and then it’s 110, and they can function.” That kind of training, conducted over and over again, in combination with real-world experience, fundamentally changes the way a police officer reacts to a violent encounter."|Blink|"Malcolm Gladwell"
