"ap ~ 00:00"|"about twelve o'clock"|"Two days passed. Every time the phone on my desk rang, I hoped it would be Carol. It never was. Finally, about twelve o'clock on the third evening, I got out of bed, put on my clothes, and started to walk over to Carol's place."|"The Shadow People"|"Margaret St. Clair"
"ap > 06:00"|"just after six"|"I looked at my watch. It was just after six. Carol hadn't come home all night."|"The Shadow People"|"Margaret St. Clair"
"~ 12:00"|"about noon"|"Miller, in charge of layout, came by about noon. ""What's the matter, man?"" he asked. ""You've looked down all week; today you look terrible. Punk trip?"""|"The Shadow People"|"Margaret St. Clair"
06:00|"six that morning"|"I kept hoping the police would call, but of course they didn't. By quitting time, I was even more worried about Carol than I had been at six that morning. I still thought scrying was an unlikely way to find out what had happened to her."|"The Shadow People"|"Margaret St. Clair"
"ap ~ 00:30"|"about twelve-thirty"|"I woke about twelve-thirty. I had a slight headache, but my sleep had done me good: I was sure I knew where Carol was."|"The Shadow People"|"Margaret St. Clair"
08:30|"eight-thirty a.m."|"I found a bus timetable in the upper drawer of the dresser. The earliest bus down the coast left at eight-thirty a.m., and got to Monterey about four hours later. From there on, I'd have to hitchhike."|"The Shadow People"|"Margaret St. Clair"
13:00|"one in the afternoon"|"My idea about Carol seemed 'as reasonable next morning as it had during the dark hours. She must be with the Wilsons. I left a note for my boss with the switchboard operator—employment on a hip newspaper has an elastic quality—and caught the Monterey bus in plenty of time. By one in the afternoon I was standing beside the highway, trying to hitch a ride."|"The Shadow People"|"Margaret St. Clair"
"> 00:00"|"after midnight"|"This was very unwelcome news. It had always been unreasonable that Carol should depart her bed after midnight for Big Sur, and I had clung to the idea only because the alternatives were both unreasonable and frightening. I was wondering what to do next when the man who had been playing the pinball machine in the corner turned and came toward me. The light fell on his face, and I recognized him."|"The Shadow People"|"Margaret St. Clair"
"ap 08:00"|"eight o'clock"|"It was a long afternoon. I would have liked to talk to Miller, but only saw him once, in rapid transit past my desk, too absorbed even to nod to me. I got more and more anxious. My fingers began to tremble. By eight o'clock—it was my night to work late—I had trouble hitting the right keys on the typewriter."|"The Shadow People"|"Margaret St. Clair"
"ap ~ 04:00"|"about four o'clock"|"There is no point in describing the next cellar, or the one that came after it, or the one after that. I went on from place to place, sometimes to a deeper chamber, sometimes to shallower, but never, I thought, getting much farther into the earth, until about four o'clock. Then the gradient led me into the open, through a high cellar window and out into somebody's untidy, junk-filled backyard."|"The Shadow People"|"Margaret St. Clair"
