10:00|"Ten A.M."|"Cross laughed. “You really are dumb,” he said. “Okay, tell Loretta and her agency to come and see me tomorrow. Ten A.M. sharp. And you might as well be there too.”"|"Last Don"|"Mario Puzo"
"ap 07:00"|seven|"“Would you mind coming to my place?” Athena asked. “I’ll make dinner simple so we can work while we eat.” She paused for a moment, then said, “At seven?”"|"Last Don"|"Mario Puzo"
00:00|midnight|"They had eleven hours to kill before the operation started at midnight. The other men, ignoring a huge TV set, started a card game on the sundeck; they were all in bathing suits. Pippi smiled at Cross and said, “Shit, I forgot about the swimming pool.”"|"Last Don"|"Mario Puzo"
"~ 00:00"|"around midnight"|"After the meal, Pippi took Cross on a reconnaissance in the stolen car. They drove to the western-style restaurant and coffee shop farther down the Pacific Coast Highway where they would find Theo. The surveillance reports showed that on Wednesday nights Theo, on his way to Oxnard, had made a habit of stopping at the Pacific Coast Highway Restaurant at around midnight for coffee and ham and eggs. That he would leave about one in the morning. That night a surveillance team of two men would be tailing him and would report by telephone when he was on the way."|"Last Don"|"Mario Puzo"
"~ 01:00"|"about one in the morning"|"After the meal, Pippi took Cross on a reconnaissance in the stolen car. They drove to the western-style restaurant and coffee shop farther down the Pacific Coast Highway where they would find Theo. The surveillance reports showed that on Wednesday nights Theo, on his way to Oxnard, had made a habit of stopping at the Pacific Coast Highway Restaurant at around midnight for coffee and ham and eggs. That he would leave about one in the morning. That night a surveillance team of two men would be tailing him and would report by telephone when he was on the way."|"Last Don"|"Mario Puzo"
"ap 11:30"|eleven-thirty|"Cross and Pippi sat on the sundeck waiting for the phone call. There were five cars in the driveway, all black, shining in the moonlight like bugs. The six men from the Enclave continued their card game, playing with silver coins: nickels, dimes, and quarters. Finally at eleven-thirty the phone call came: Theo was on his way from Brentwood to the restaurant. The six men got in three cars and drove away to take up their appointed posts. Pippi and Cross got into the stolen car and waited another fifteen minutes before they left. Cross had in the pocket of his jacket a small .22 pistol, which, though it had no silencer, only gave off a sharp little pop; Pippi carried a Glock that would make a loud report. Ever since his only arrest for murder, Pippi always refused to carry a silencer."|"Last Don"|"Mario Puzo"
"ap 00:30"|twelve-thirty|"Cross looked at his watch. It was twelve-thirty. They had to wait another fifteen minutes. Suddenly Pippi hit his shoulder. “He’s early,” Pippi said. “Go!”"|"Last Don"|"Mario Puzo"
"~ 03:00"|"about three in the morning"|"“I remember one night about three years ago,” Cross said to Dante. “The Rustler had a great streak at the crap table. I think he won over a hundred grand. It was about three in the morning. And when the pit boss took his chips to the cage, the Rustler jumped up on the crap table and pissed all over it.”"|"Last Don"|"Mario Puzo"
03:00|"three in the morning"|"After she left, Cross felt free. It was a weakness to be so much in love, but satisfied lust gave him confidence. At three in the morning he made his last tour of the casino."|"Last Don"|"Mario Puzo"
12:00|noon|"Andrew Pollard was the first to arrive in Las Vegas. He flew from L.A. on the noon flight, relaxed by one of the Hotel Xanadu’s huge pools, gambled small-time craps for a few hours, then was secretly whisked into Cross De Lena’s penthouse office suite."|"Last Don"|"Mario Puzo"
00:00|midnight|"“I’ve met him,” Cross said. “I want you to do one other thing. Lend me your Pacific Ocean Security ID for a couple of hours. You’ll have it back in time to catch the midnight flight to L.A.”"|"Last Don"|"Mario Puzo"
"ap 07:00"|"Seven o’clock"|"“Seven o’clock,” Pollard said. “Two of my men will come to pick you up and bring you to the meeting place. They will stay with her to be her bodyguards. Two of my best men, armed. Just so you won’t get any funny ideas.”"|"Last Don"|"Mario Puzo"
19:00|"seven that evening"|"At seven that evening, when Lia Vazzi arrived at the hotel with one of his soldiers, Skannet was waiting for him and ready to go immediately. Skannet was dressed very neatly in a boyish way. He wore heavy blue jeans, a faded blue denim shirt, and a white sports jacket. He had shaved carefully, and his blond hair was combed straight back. His red skin seemed paler, his face softened by the paleness. Lia Vazzi and his soldier showed Skannet their forged Pacific Ocean Security IDs."|"Last Don"|"Mario Puzo"
15:00|"three in the afternoon"|"Senator Warren Wavven and his entourage of three male aides were checked into their Xanadu Villa at three in the afternoon. As usual, he had traveled in an unmarked limo and without any sort of escort. At five, he summoned Cross to his Villa."|"Last Don"|"Mario Puzo"
"ap 05:00"|five|"Senator Warren Wavven and his entourage of three male aides were checked into their Xanadu Villa at three in the afternoon. As usual, he had traveled in an unmarked limo and without any sort of escort. At five, he summoned Cross to his Villa."|"Last Don"|"Mario Puzo"
