01:30|"1.30 in the morning"|"Three days ago (is it?) I flew in on a red-eye from New York. I practically had the airplane to myself. I stretched out, calling piteously and frequently to the stewardesses for codeine and cold water. But the red-eye did what a red-eye does. Oh, my. Jesus, I look like the Hound of the Baskervilles... Shaken awake to a sticky bun at 1.30 in the morning, my time, I moved to a window seat and watched through the bright mists the fields forming their regiments, in full parade order, the sad shires, like an army the size of England. Then the city itself, London, as taut and meticulous as a cobweb. I had the airplane to myself because nobody in their right mind wants to come to Europe, not just now, not for the time being; everybody wants to go the other way, as Heathrow confirmed."|"London Fields"|"Martin Amis"
"> 00:00"|"after midnight"|"The other ending, the real death, the last thing that already existed in the future was now growing in size as she moved forward to confront or greet it. Where would she see the murderer, where would she find him—in the park, the library, in the sad café, or walking past her in the street half-naked with a plank over his shoulder? The murder had a place, and a date, even a time: some minutes after midnight, on her thirty-fifth birthday. Nicola would click through the darkness of the dead-end street. Then the car, the grunt of its brakes, the door swinging open and the murderer (his face in shadow, the car-tool on his lap, one hand extended to seize her hair) saying, 'Get in. Get' in... And in she climbed."|"London Fields"|"Martin Amis"
04:00|"four in the morning"|"The baby showed up thirty-six hours later, at four in the morning. He weighed nearly a stone. Guy was allowed a brief visit to Hope's suite. Looking back at it now, he had an image of mother and son mopping themselves down with gloating expressions on their faces, as if recovering from some enjoyably injudicious frolic: a pizza fight, by the look of it. Two extra specialists were present. One was peering between Hope's legs, saying, 'Yes, well it's rather hard to tell what goes where.' The other was incredulously measuring the baby's head. Oh, the little boy was perfect in every way. And he was a monster."|"London Fields"|"Martin Amis"
"~ 00:00"|"around midnight"|"Guy Clinch had everything. In fact he had two of everything. Two cars, two houses, two uniformed nannies, two silk-and-cashmere dinner jackets, two graphite-cooled tennis rackets, and so on and so forth. But he had only one child and only one woman. After Marmaduke's birth, things changed. For fresh inspiration he reread 'The Egoist,' and Wollheim on Ingres and the Melting Father. The baby books had prepared him for change; and so had literature, up to a point. But nothing had prepared him or anybody else for Marmaduke... World-famous paediatricians marvelled at his hyperactivity, and knelt like magi to his genius for colic. Every half an hour he noisily drained his mother's sore breasts; often he would take a brief nap around midnight; the rest of the time he spent screaming. Only parents and torturers and the janitors of holocausts are asked to stand the sound of so much human grief. When things improved, which they did, though only temporarily (for Marmaduke, already softly snarling with asthma, would soon be emblazoned with eczema), Hope still spent much of her time in bed, with or without Marmaduke, but never with Guy. All night he lay dressed for disaster in one of the two visitors' rooms, wondering why his life had suddenly turned into a very interesting and high-toned horror film (one with a Regency setting, perhaps). His habitual mode of locomotion around the house became the tiptoe. When Hope called his name—'Guy?'—and he replied 'Yes'? there was never any answer, because his name meant 'Come here'. He appeared, and performed the necessary errand, and disappeared again. Now, with Hope's requests, the first time of asking sounded like the second time of asking, and the second time of asking sounded like the ninth. Less and less often Guy would try to hoist the baby into his arms (under the doubtful gaze of nanny or night-nurse, or some other of Marmaduke's highly-paid admirers), saying, rather self-consciously, 'Hello, man-cub.' Marmaduke would pause, reviewing his options; and Guy's bashfully inquiring face would somehow always invite a powerful eye-poke or a jet of vomit, a savage rake of the nails, or at the very least an explosive sneeze. Guy shocked himself by suspecting that Hope kept the infant's nails unclipped the better to repel him. Certainly his face was heavily scored; he sometimes looked like a resolute but talentless rapist. He felt supererogotary. The meeting, the rendezvous, it just hadn't happened."|"London Fields"|"Martin Amis"
00:00|midnight|"In excellent fettle, in the pink or the blue of boyish good health during their absence, Marmaduke sickened dramatically within a few hours of their return. Evenhandedly he dabbled with every virus, every hatching, afforded by that early spring. Recovering from mumps, he reacted catastrophically to his final whooping-cough shot. Superflu followed superflu in efficient relay. Doctors now visited him, unasked and unpaid, out of sheer professional curiosity. At this point, and for no clear reason (Sir Oliver asked if he might write a paper about it), Marmaduke's health radically improved. Indeed, he seemed to shed his sickly self as if it were a dead skin or a useless appendage: from the feverish grub of the old Marmaduke sprang a musclebound wunder-kind, clear-eyed, pink-tongued, and (it transpired) infallibly vicious. The change was all very sudden. Guy and Hope went out one day, leaving the usual gastroenteritic nightmare slobbering on the kitchen floor; they returned after lunch to find Marmaduke strolling round the drawing-room with his hands in his pockets, watched by several speechless nannies. He had never crawled. Instead, he appeared to have worked it out that he could cause much more trouble, and have much more fun, in a state of peak fitness. His first move was to dispense with that midnight nap. The Clinches hired more help, or they tried. An ailing baby was one thing; a strappingly malevolent toddler was quite another. Up until now, Guy and Hope's relationship, to the child and to each other, had been largely paramedical. After Marmaduke's renaissance, it became, well—you wouldn't say paramilitary. You'd say military. The only people they could get who stayed longer than an hour or two were male nurses sacked from lunatic asylums, Around the house, these days there was a kind of swat team of burly orderlies, as well as a few scarred nannies and au pairs. Dazedly yet without bitterness, Guy calculated that Marmaduke, now in his ninth month, had already cost him a quarter of a million pounds. They went away again."|"London Fields"|"Martin Amis"
"~ 00:00"|"Around midnight"|"This time they flew first-class to Madrid, stayed at the Ritz for three nights, and then hired a car and headed south. The car seemed powerful and luxurious enough; it was, without question, resoundingly expensive. (Hope whaled on the insurance. Guy studied the gold-rimmed document: they would airlift you out on almost any pretext.) But as they cruised, as they cruised and glistened one evening through the thin forests near the southernmost shore of the peninsula, a great upheaval or trauma seemed almost to dismantle the engine at a stroke—the manifold, the big end? In any event the car was clearly history. Around midnight Guy could push it no longer. They saw some lights: not many, and not bright."|"London Fields"|"Martin Amis"
"ap ~ 05:00"|"about five"|"The Clinches found accommodation in a rude 'venta'. What with the bare coil of the bulb, the lavatorial damp, the flummoxed bed, Hope had burst into tears before the señora was out of the room. All night Guy lay beside his drugged wife, listening. At about five, after an interval reminiscent of one of Marmaduke's naps, the weekend roistering in the bar, the counterpoints of jukebox and Impacto machine, exhaustedly gave way to the shrieking gossip of the yard—with a cluck-cluck here and a whoof-whoof there, here a cheep, there a moo, everywhere an oink-oink. Worst or nearest was a moronic bugler of a cock, playing tenor to the neighbours' alto, with his room-rattling reveille. 'Cock-a-doodle-do', Guy decided, was one of the world's great euphemisms. At seven, after an especially unbearable tenor solo (as if the cock were finally heralding the entrance of some imperial superrooster), Hope jerked upright, swore fluently and foully, applied valium and eyemask, and bunched herself down again with her face pressed to her knees. Guy smiled weakly. There was a time when he could read love in the shape of his sleeping wife; even in the contours of the blankets he used to be able to read it..."|"London Fields"|"Martin Amis"
"ap 07:00"|seven|"The Clinches found accommodation in a rude 'venta'. What with the bare coil of the bulb, the lavatorial damp, the flummoxed bed, Hope had burst into tears before the señora was out of the room. All night Guy lay beside his drugged wife, listening. At about five, after an interval reminiscent of one of Marmaduke's naps, the weekend roistering in the bar, the counterpoints of jukebox and Impacto machine, exhaustedly gave way to the shrieking gossip of the yard—with a cluck-cluck here and a whoof-whoof there, here a cheep, there a moo, everywhere an oink-oink. Worst or nearest was a moronic bugler of a cock, playing tenor to the neighbours' alto, with his room-rattling reveille. 'Cock-a-doodle-do', Guy decided, was one of the world's great euphemisms. At seven, after an especially unbearable tenor solo (as if the cock were finally heralding the entrance of some imperial superrooster), Hope jerked upright, swore fluently and foully, applied valium and eyemask, and bunched herself down again with her face pressed to her knees. Guy smiled weakly. There was a time when he could read love in the shape of his sleeping wife; even in the contours of the blankets he used to be able to read it..."|"London Fields"|"Martin Amis"
"ap 10:00"|ten|"A black boy appeared, panting, triumphant, as if his errand were already run. Keith gave the instructions, the mangled fiver, then turned assessingly. Death wasn't new in the Black Cross, it was everyday, it was ten-a-penny; but tailored mourning wear, hats, 'veils'? Keith searched his mind, seemed to search his mouth, for something appropriate to say. In the end he said, 'Bereavement innit. God? Get her a brandy. She could use it. Nobody close I presume?'"|"London Fields"|"Martin Amis"
"ap 08:45"|8.45|"That night in Lansdowne Crescent, at 8.45, his twelve-hour tryst with Marmaduke now only minutes away, Guy sat on the second sofa in the second drawing-room with a rare second drink and thought: How will I ever know anything in the middle of all this warmth and space, all this supershelter? I want to feel like the trampolinist when he falls back to earth and to gravity. To touch the earth with heaviness—just to touch it. God expose us, take away our padding and our room."|"London Fields"|"Martin Amis"
