"~ 12:00"|"around noon"|"Keith took to going up to the tower, around noon, to read an English novel—and to get a little peace. This visit to his bedroom tended to coincide with the shower that Scheherazade tended to take before lunch. He heard it, her shower. The heavy beads of water sounded like car tyres on gravel. He sat there, with the morbidly obese paperback on his lap. Then he waited for five pages before going in to wash his face."|"The Pregnant Widow"|"Martin Amis"
"ap < 00:00"|"Just before twelve"|"After dinner he played an hour of cards with Scheherazade on the thick-rugged floor of a distant chamber (the den or the gunroom, with its moose’s head, its crossed cutlasses, its miniature cannons on either side of the grate). Keith had spent most of the evening in conversation with her mother, so he was now well placed (Scheherazade’s fanned cards were six inches from his chin) to see what youth was. Her face was actually narrower than Oona’s, but the flesh itself was full and plump. And it had a self-magnifying quality, her flesh—the plump peel of youth … There was much laughing and, on her part, some beaming; every now and then she beamed at him. Just before twelve they climbed the tower by lanternlight."|"The Pregnant Widow"|"Martin Amis"
"ap 08:30"|"Eight thirty"|"“Eight thirty, Lily. Beautiful morning. And I wanted to say goodbye to Conchita. You know, I have a bond with Conchita. And it’s more than us both being adopted … Anyway, I wasn’t thinking about the time. I was thinking about drugging girls. They’re all at it.”"|"The Pregnant Widow"|"Martin Amis"
"ap ~ 04:00"|"around four"|"“Bit of a disappointment, frankly, after all that. Jorquil came, around four, and no one could find her. We went upstairs and all the bedrooms were locked. House policy. Then—in the passage. There were these two huge bunnies or pets or playmates. Ex-centrefolds, these huge madams. Incredible creatures. Like retired racehorses. They’d been trying to control her all day. They were banging on the bathroom door saying things like, Are you coming, Gloria? Have you flushed yet, Gloria? Then the door opened and she stumbled out. Followed by the polo pro.”"|"The Pregnant Widow"|"Martin Amis"
"ap 05:00"|"five o’clock"|"That afternoon they went down the steep little lane towards the village, to stroll and hold hands and be a couple together: Lily and Keith. The deep streets, the crushed cobbles, the fig-dark shadows, all silent in the siesta hour, which was given over to the faint trickles of digestion. The graffito, daubed in white: Mussolini Ha Sempre Ragione! Mussolini Is Always Right! Above their heads, visible from almost any vantage, stood the arthritic neck of Santa Maria. It was five o’clock, and the bells wagged and swung. A chance to stroll and hold hands and be a couple, while there was still time."|"The Pregnant Widow"|"Martin Amis"
12:00|noon|"At noon Whittaker arrived with the coffee tray, and the party re-gathered in the sun. Beyond, three columns of smoke fumed skyward from the valley, olive-coloured and silvery-blue at the edges. Below, on the upper slope of the nearest foothill, you could see the two monks who often walked there—in impassioned conversation but without gesture, walking, pausing, turning, with hidden hands. Whittaker said,"|"The Pregnant Widow"|"Martin Amis"
"ap 03:00"|Three|"So far, the new rhythm of the weather was answering quite accurately to his inner state. For four or five days the air would steadily thicken and congeal. And the storms—the storms, with their African vociferousness, were timed for his insomnias. He was making friends with hours he barely knew, the one called Three, the one called Four. They racked him, these storms, but he was left with a cleaner morning. Then the days began again to thicken, building to another war in heaven."|"The Pregnant Widow"|"Martin Amis"
"ap 04:00"|Four|"So far, the new rhythm of the weather was answering quite accurately to his inner state. For four or five days the air would steadily thicken and congeal. And the storms—the storms, with their African vociferousness, were timed for his insomnias. He was making friends with hours he barely knew, the one called Three, the one called Four. They racked him, these storms, but he was left with a cleaner morning. Then the days began again to thicken, building to another war in heaven."|"The Pregnant Widow"|"Martin Amis"
"ap 11:00"|"Eleven o’clock"|"Eleven o’clock had not yet struck, but the evening started coming to an end—out of deference to Oona, who would soon be leaving them, for Rome, for New York. There would be no Red Dog, no All Fours, with Scheherazade, no Racing Demon, not tonight. Holding a lantern, under a skull-like moon, Keith went with the two girls to the dark tower."|"The Pregnant Widow"|"Martin Amis"
12:00|noon|"Adriano had many cars, including a racer that seated only one, like a canoe; at its wheel, in his goggles, he resembled a badger motoring its way through a children’s book. But today, at noon, it was the high-slung Land Rover that waited in the gravel drive at the castle’s gate—the size of a Sherman tank, it seemed, with Adriano standing on the driver’s seat, or the dashboard, and poking his head through the sunroof and waving his thick-gloved hands in the air. Scheherazade, Lily, and Whittaker climbed aboard; and off they drove to Rome."|"The Pregnant Widow"|"Martin Amis"
