"> 10:00"|"a little after ten in the morning"|"Raynor Eldredge. The thought of the man brought a smile. What would Ray think tomorrow when he saw the story? Had Nancy ever told Ray who she was? Maybe not. Women could be sly. If Ray didn’t know, it would be even better. How wonderful it would be to actually see Ray’s expression when he opened the paper! It was delivered a little after ten in the morning. Ray would be in his office. He might not even look at it for a while."|"Where Are the Children_"|"Mary Higgins Clark"
09:30|"nine-thirty in the morning"|"Begun as a hobby, it had become an absorbing daily activity. A publisher friend had read a few chapters of it one weekend and promptly sent him a contract. The book was a case study of famous murder trials. Jonathan worked on it five hours every day, seven days a week, starting promptly at nine-thirty in the morning."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 10:15"|"quarter past ten"|"At quarter past ten, Dorothy threw open the door of his office. Her usually healthy pink complexion was a sickly grayish white. He jumped up to go to her. But shaking her head, she pushed the door closed behind her and held out the paper she’d been hiding under her arm."|"Where Are the Children_"|"Mary Higgins Clark"
"~ 10:00"|"about ten in the morning"|"He didn’t dare to answer—just stood there—and she moved on. He was positive she hadn’t even looked at him. But after that he had never risked a meeting. It was necessary, though, for him to establish a casual routine in Adams Port, because someday it might be important for people to dismiss his comings and goings as routine. That was why he bought milk and bread and meat at Wiggins’ Market always about ten in the morning. Nancy never left the house before eleven, and even then she always went to Lowery’s Market, down the road a half mile. And the Wigginses had begun to greet him as a customer of long standing. Well, he’d be there in a few minutes, right on schedule."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 11:00"|eleven|"He didn’t dare to answer—just stood there—and she moved on. He was positive she hadn’t even looked at him. But after that he had never risked a meeting. It was necessary, though, for him to establish a casual routine in Adams Port, because someday it might be important for people to dismiss his comings and goings as routine. That was why he bought milk and bread and meat at Wiggins’ Market always about ten in the morning. Nancy never left the house before eleven, and even then she always went to Lowery’s Market, down the road a half mile. And the Wigginses had begun to greet him as a customer of long standing. Well, he’d be there in a few minutes, right on schedule."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 09:50"|"Ten minutes of ten"|"Ten minutes of ten. The children had probably been out one minute now. Oh, he knew the possibilities. One of them might have gone into the house to the bathroom or for a drink of water, but not likely, not likely. Every day for a month straight he’d watched them. Unless it was actually raining, they came out to play. She never came to check them for ten to fifteen minutes. They never went back into the house for those same ten minutes."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 09:51"|"Nine minutes of ten"|"Nine minutes of ten. He steered the car into the dirt road on their property. The community paper would be delivered in a few minutes. That article would be out today. Motivation for Nancy to explode into violence . . . exposure of her part . . . all the people in this town talking in shocked tones, walking by this house, staring . . ."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 09:55"|"five minutes of ten"|"At five minutes of ten they were crumpled under the canvas raincoat. He backed down the dirt road and onto the paved highway behind Nancy’s property. He cursed as he saw a small Dodge sedan coming toward him. It slowed up slightly to let him pull into the right lane, and he turned his head away."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 10:04"|"four minutes past ten"|"At four minutes past ten he walked into Wiggins’ Market and grunted a greeting as he reached into the refrigerator section for a quart of milk."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 10:30"|ten-thirty|"At the foot of the staircase she started to turn in the direction of the back door, then stopped. How foolish. The children were fine. They’d been out only fifteen minutes, and this frantic anxiety that was her constant albatross had to be conquered. Even now she suspected that Missy sensed it and was beginning to respond to her overprotection. She’d turn the wash on, then call them in. While they watched their ten-thirty television program, she’d have a second cup of coffee and look at the weekly Cape Cod Community News. With the season over, there might be some good antiques available and not at tourist prices. She wanted an old-fashioned settee for the parlor—the high-backed kind they used to call a “settle” in the seventeen-hundreds."|"Where Are the Children_"|"Mary Higgins Clark"
"ap ~ 05:00"|"around five o’clock"|"Dorothy Prentiss. He felt a quick dart of pleasure at the thought of the handsome woman who worked with Ray. Jonathan often stopped by their office around five o’clock, when he picked up the evening paper, the Boston Globe. Ray had suggested some interesting land investments to him, and they had all proved sound. He’d also persuaded Jonathan to become active in the town, and as a result they’d become good friends."|"Where Are the Children_"|"Mary Higgins Clark"
12:00|noon|"9THE  FIRST  REPORTS   went over the wire-service tickers at noon, in time to make bulletins on the news broadcasts throughout the country. Newscasters, hungering for a story, seized upon it and sent researchers scurrying to the files for records of the Nancy Harmon murder trial."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 10:00"|"ten-o’clock"|"Lendon Miles enjoyed his profession. To him the mind was a delicate, complicated phenomenon—a mystery that could be unraveled only by a series of infinitely small revelations . . . one leading slowly, patiently into the next. He sighed. His ten-o’clock patient was in early analysis and had been extremely hostile."|"Where Are the Children_"|"Mary Higgins Clark"
12:00|noon|"He switched on the radio next to his desk to catch the balance of the noon news and was just in time to hear the bulletin."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 04:00"|"four-o’clock"|"Lendon picked up the intercom and spoke crisply to his secretary. “Ask Dr. Marcus to take over my afternoon appointments, please. Tell him it’s an emergency. And cancel my four-o’clock class. I’m driving to Cape Cod immediately.”"|"Where Are the Children_"|"Mary Higgins Clark"
"ap < 10:00"|"A few minutes before ten"|"“A few minutes before ten. I put them outside to play and went upstairs to make the beds.”"|"Where Are the Children_"|"Mary Higgins Clark"
12:00|noon|"Fat chance they had of doing any searching if this weather got any worse. At noon it was already so dark you’d think it was nighttime. The diving operation was a mess under optimal conditions. Maushop was among the biggest lakes on the Cape and one of the deepest and most treacherous. That was why over the years there’d been so many drownings there. You could be wading up to your waist and at the next step be in forty feet of water. If those kids had been drowned, it might be spring before their bodies surfaced. The way the temperature was dropping, the lake would be fit for ice skating in a few days."|"Where Are the Children_"|"Mary Higgins Clark"
"ap 02:00"|"two o’clock"|"Dorothy felt the dismissal in his tone. He had counted on her to keep Nancy away while he spoke to the Chief, and she couldn’t even do that much. She was useless here—useless. “Ray,” she said stiffly. “It’s ridiculous to bother you about this, but the office just phoned to remind me that Mr. Kragopoulos, who wrote about the Hunt property, wants to see it at two o’clock. Shall I get someone else to take him up there?”"|"Where Are the Children_"|"Mary Higgins Clark"
"ap 07:00"|"seven o’clock"|"High tide was seven o’clock tonight. At that time he’d take the children up through the attic to the outer balcony they called the widow’s walk. The water at high tide covered the beach below, broke furiously against the retaining wall and then, sucked by the violent undertow, rolled back to sea. That would be the time to drop the children . . . over . . . down . . . They might not be washed in for weeks. . . . But even if they were found in a few days, he’d prepared for that. He’d given them only milk and cookies. He wouldn’t be fool enough to feed them anything that would suggest that a person other than Nancy had fed them a real meal after breakfast. Of course, hopefully they’d be beyond analysis when they were found."|"Where Are the Children_"|"Mary Higgins Clark"
00:00|midnight|"Nancy Eldredge was standing at the fireplace next to a tall young man, undoubtedly her husband. Lendon would have known her anywhere. The finely chiseled nose, the large midnight-blue eyes that looked straight out from under thick lashes, the widow’s peak at the hairline, the profile that was so like Priscilla’s . . ."|"Where Are the Children_"|"Mary Higgins Clark"
