"~ 21:00"|"around nine that night"|"In my case, it won’t be happening any time soon. An e-mail from Langstaff arrives around nine that night. “Hi Mary. Hope you enjoyed the tryouts. Unfortunately you did not make the cut.”"|Gulp|"Mary Roach"
12:00|noon|"I mention the CSPI rankings to Nancy Rawson. We are back at AFB headquarters, with Moeller again, in a different conference room. (There are five: Dalmatian, Burmese, Greyhound, Calico, and Akita. The staff refer to them by breed, as in, “Do you want to go into Greyhound?” “Is Dalmatian free at noon?”) It would seem that in terms of nutrition, there was no difference between the cheap meatball sub I ate for lunch and the SmartBlend the dogs were enjoying earlier. Rawson disagrees. “Your sandwich was probably less complete, nutritionally.”"|Gulp|"Mary Roach"
"ap 10:30"|"HALF PAST ten"|"AT HALF PAST ten, the sky was princess pink. There was still enough light to make out the walrus appliqués on the jacket of a young girl riding her bicycle on the gravel road through town. We were joined in the kitchen by a man named Marcel, just back from a hunting camp where a pod of narwhal had been spotted earlier in the day. The narwhal is a medium-sized whale with a single tusk protruding from its head like a birthday candle."|Gulp|"Mary Roach"
"ap 01:00"|one|"At one chew per second, the Fletcherizing of a single bite of shallot would take more than ten minutes. Supper conversation presented a challenge. “Horace Fletcher came for a quiet dinner, sufficiently chewed,” wrote the financier William Forbes in his journal from 1906. Woe befall the non-Fletcherizer forced to endure what historian Margaret Barnett called “the tense and awful silence which . . . accompanies their excruciating tortures of mastication.” Nutrition faddist John Harvey Kellogg, whose sanatorium briefly embraced Fletcherism, tried to reenliven mealtimes by hiring a quartette to sing “The Chewing Song,” an original Kellogg composition, while diners grimly toiled. I searched in vain for film footage, but Barnett was probably correct in assuming that “Fletcherites at table were not an attractive sight.” Franz Kafka’s father, she reports, “hid behind a newspaper at dinnertime to avoid watching the writer Fletcherize.”"|Gulp|"Mary Roach"
19:06|1906|"At one chew per second, the Fletcherizing of a single bite of shallot would take more than ten minutes. Supper conversation presented a challenge. “Horace Fletcher came for a quiet dinner, sufficiently chewed,” wrote the financier William Forbes in his journal from 1906. Woe befall the non-Fletcherizer forced to endure what historian Margaret Barnett called “the tense and awful silence which . . . accompanies their excruciating tortures of mastication.” Nutrition faddist John Harvey Kellogg, whose sanatorium briefly embraced Fletcherism, tried to reenliven mealtimes by hiring a quartette to sing “The Chewing Song,” an original Kellogg composition, while diners grimly toiled. I searched in vain for film footage, but Barnett was probably correct in assuming that “Fletcherites at table were not an attractive sight.” Franz Kafka’s father, she reports, “hid behind a newspaper at dinnertime to avoid watching the writer Fletcherize.”"|Gulp|"Mary Roach"
06:45|"6:45 A.M."|"Van Someren presented a paper at a meeting of the British Medical Association in 1901, and again at the International Congress of Physiology. Skeptical but intrigued, well-placed scientists at London’s Royal Society and at Cambridge University, and Yale’s Russell Chittenden undertook follow-up studies, with mixed conclusions. In 1904, thirteen lads of the Hospital Corps Detachment of the U.S. Army were taken away from their nursing duties for six months to serve as guinea pigs in a test of Fletcher and Chittenden’s low-calorie, low-protein, super-mastication regimen. Here there was no strapping lad in knickers and feathered felt hat to do the weighing and tidying up. The men’s work began at 6:45 A.M. with an hour and a half of “duties about the quarters, such as . . . assisting in measurement of urine and faeces and transportation of the same to the laboratory; cleansing of faeces cans and urine bottles, etc.”"|Gulp|"Mary Roach"
12:00|noon|"Experiment 1 began at noon on August 1, 1825. “I introduced through the perforation, into the stomach, the following articles of diet, suspended by a silk string: . . . a piece of high seasoned à la mode beef; a piece of raw salted fat pork; a piece of raw salted lean beef; . . . a piece of stale bread; and a bunch of raw sliced cabbage; . . . the lad continuing his usual employment about the house.”"|Gulp|"Mary Roach"
14:00|"2 p.m."|"On the very first day of his research career, Beaumont’s work dealt a bruising blow to Fletcherism—seventy-five years before it was invented: “2 p.m. Found the cabbage, bread, pork, and boiled beef all cleanly digested and gone from the string.” No chewing necessary. Only the raw beef remained intact."|Gulp|"Mary Roach"
09:00|"9 o’clock A.M."|"More than anything else, the story of Beaumont and St. Martin is one of obsession. Here was a man who devoted his adult life and more than a thousand dollars of his own money to the study of gastric fluids. Here was a man willing, in the name of science, to taste chymified chicken from another man’s stomach (“bland and sweet”). A man who became, as his biographer Jesse Myer put it, “so deeply engrossed in his subject that it was difficult for him to understand why everyone could not feel the same interest.” Beaumont was crushed by the lackluster sales of his book, Experiments and Observations on the Gastric Juice, and the Physiology of Digestion, in the United States and the bald disinterest from British publishers. (“I have returned Beaumont’s Experiments, as I do not feel inclined to make an offer for it,” read one rejection letter in its chilly entirety.) Among the William Beaumont Papers at Becker Medical Library are letters from the doctor to the secretary of the navy and the secretary of war, urging them to purchase a hundred copies of his book. (The navy man, a bit of a softie, bought twelve.) Beaumont had friends in high places, and he sent every single one a signed copy. Picture Martin Van Buren, then the vice president of the United States, leaning back in his magnificent leather-upholstered desk chair and opening Beaumont’s book at random and reading, “At 9 o’clock A.M., I put a solid piece of rib bone, of an old hog, into a vial . . . of pure gastric juice, taken from the stomach this morning.” Ambassadors, chief justices, senators, and representatives, all were forced to take time away from their weighty lives to pen thank-you notes for a book on stomach secretions. (“Truly a work of most surpassing interest.” “I regret I have not yet been able to look into it with any attention.”)"|Gulp|"Mary Roach"
"ap 06:58"|"Two of seven"|"* In 1973, inquisitive cold researchers from the University of Virginia School of Medicine investigated “the frequency of exposure of nasal . . . mucosa to contact with the finger under natural conditions”—plainly said, how frequently people pick their nose. Under the guise of jotting notes, an observer sat at the front of a hospital ampitheater during grand rounds. Over the course of seven 30- to 50-minute observation periods, a group of 124 physicians and medical students picked their collective noses twenty-nine times. Adult Sunday school students were observed to pick at a slightly lower rate, not because religious people have better manners than medical personnel, but, the researchers speculated, because their chairs were arranged in a circle. In a separate phase of the study, the researchers contaminated the picking finger of seven subjects with cold virus particles and then had them pick their nose. Two of seven came down with colds. In case you needed a reason to stop picking your nose."|Gulp|"Mary Roach"
