12:00|midday|"We were leaving from La Guardia Airport, New York, three hours late because of snow storms. Our plane, as usual on this route, was a Super Constellation. Since it was night, I immediately prepared to go to sleep. We spent another forty minutes waiting on the runway with snow in front of the searchlights, powdery snow whirling over the runway, and what made me tense and anxious, so that I couldn’t get off to sleep straight away, was not the newspaper brought around by our air hostess, FIRST PICTURES OF WORLD’S GREATEST AIR CRASH IN NEVADA, a piece of news I had already seen at midday, but simply and solely the vibration in this stationary plane with its engines running – and also the young German next to me, who immediately caught my attention, I don’t know why, he caught my attention the moment he took off his overcoat, when he sat down and pulled at his trouser creases, when he did nothing at all, but simply waited for the take-off like the rest of us, merely sat in his seat, a fair-haired fellow with pink skin who at once introduced himself, before we had even fastened our safety belts. I didn’t catch his name, the engines were roaring, being revved up one after the other…"|"Homo Faber"|"Max Frisch"
10:25|"10.25 a.m."|"Everyone sat as though in church, all with green life-jackets on their chests. I explored with my tongue to make sure that none of my teeth were really loose, nothing else worried me.
Time: 10.25 a.m.
If we hadn’t been delayed by the snowstorm in the northern United States we should have landed in Mexico by now. I said so to my Düsseldorfer, merely for the sake of talking. I hate solemnity."|"Homo Faber"|"Max Frisch"
11:05|"11.05 a.m."|"All around nothing but agaves, sand, the reddish mountains in the distance, farther off than I had previously estimated, but above all sand and again sand, yellow, with the shimmer of hot air over it, like molten glass.
Time: 11.05 a.m.
I wound up my watch."|"Homo Faber"|"Max Frisch"
"~ 12:00"|"around noon"|"I don’t feel comfortable when unshaven; not on account of other people, but on my own account. Not being shaved gives me the feeling I’m some sort of plant and I keep involuntarily feeling my chin. I took out my shaver and tried every possible way of getting it to work. Of course it was no use: you can’t use an electric razor without any electric current, I knew that – that was what put me so much on edge, the fact that in the desert there is no current, no telephone, no power points, nothing.
Once, around noon, we heard engines.
Everyone, except Herbert and me, was standing outside in the broiling sun, watching the purple sky over the yellow sand and the grey thistles and the red mountains; it was only a thin hum, an ordinary DC-7 glittering up there at a great altitude, white as snow in the reflected light, heading for Mexico City, where we ought to have landed yesterday at about this time."|"Homo Faber"|"Max Frisch"
12:00|midday|"As I said, I had made up my mind to fly back to Mexico City. I was in despair. I have no idea why I didn’t do so.
Suddenly it was midday.
We were standing outside on an embankment, where it stank less but was even hotter, because there was no shade, eating our pineapple; we leaned forward because of the dripping juice, then we bent down over the stones and rinsed our sugary fingers; the warm water was also sticky, not sugary but salty, and our fingers smelled of seaweed, of motor oil, of shells, of unidentifiable rotting matter, so that we immediately wiped them on our handkerchiefs. Suddenly there came the roar of engines. I stood paralysed. My DC-4 for Mexico City was flying directly overhead, then it curved round and out to sea, where it seemed to dissolve in the hot sky as though in a blue acid."|"Homo Faber"|"Max Frisch"
21:00|"9 p.m."|"Lightning flashed every evening, it was our only entertainment in the evenings, Palenque had a diesel motor that generates electricity, but it was turned off at 9 p.m., so there we were in the darkness of the jungle and all we could see was the lightning, bluish like a quartz lamp, and the red glow-worms, and later a slimy-looking moon, there were no stars to be seen, it was too hazy for that…. Joachim simply didn’t write any letters, because it was too hot, I could well understand that; he lay suspended in his hammock like us, yawning, or he was dead…. There was nothing to do, anyhow, but wait till we could get a jeep and cross the frontier and see for ourselves."|"Homo Faber"|"Max Frisch"
"ap 06:00"|6|"Rum has the advantage that you don’t break into a sweat as after every glass of beer; on the other hand you wake up with a headache next morning, when the incomprehensible noise starts off again, half piano, half machine-gun, and accompanied by singing – it went on every day between 6 and 7 a.m., and every day I decided to look into it, but I always forgot about it as the day wore on."|"Homo Faber"|"Max Frisch"
07:00|"7 a.m."|"Rum has the advantage that you don’t break into a sweat as after every glass of beer; on the other hand you wake up with a headache next morning, when the incomprehensible noise starts off again, half piano, half machine-gun, and accompanied by singing – it went on every day between 6 and 7 a.m., and every day I decided to look into it, but I always forgot about it as the day wore on."|"Homo Faber"|"Max Frisch"
"ap 11:00"|eleven|"It was the time when the Jewish passports were withdrawn. I had sworn not to leave Hanna in the lurch and I stuck to my promise. Joachim was willing to act as witness to the marriage. My worried middle-class parents were also glad we didn’t want a wedding with coaches and a lot of to-do; only Hanna was still doubtful whether it was right for us to marry, right for me. I took our papers to the appropriate office, our wedding announcement was in the papers. Even if we get divorced, I told myself, Hanna will remain Swiss and in possession of a passport. Time was short, because I had to start my job in Baghdad. It was a Saturday morning when we eventually – after a queer breakfast with my parents, who, when it came to the point, missed the sound of wedding bells – went into the town hall to go through the marriage ceremony. The place was teeming with couples waiting to get married, as always on a Saturday, that was why we had to wait so long, we sat in the antechamber, all in our everyday clothes, surrounded by white brides and bridegrooms who looked liked waiters. I thought nothing of it when Hanna went outside; we talked, we smoked. When the registry official finally called us, Hanna wasn’t there. We looked for her and found her outside on the banks of the Limmat; we couldn’t shift her, she refused to go into the registry office. She couldn’t! I talked to her encouragingly while the clocks all around struck eleven; I begged Hanna to look at the situation quite objectively; but in vain. She shook her head and wept. I was only marrying her to prove I wasn’t an anti-semite, she said, and there was just nothing to be done. The following week, my last in Zurich, was horrible. It was Hanna who didn’t want to get married, and I had no choice, I had to go to Baghdad under the terms of my contract. Hanna went with me to the station, and we said good-bye. Hanna promised that as soon as I had left she would go to Joachim, who had promised his medical aid, and it was on this understanding that we parted; it was agreed that our child should not be born."|"Homo Faber"|"Max Frisch"
18:00|"6 p.m."|"That was at 6 p.m., and I knew exactly how this long evening would pass if we didn’t go out; I suggested a French restaurant, then a Chinese one, then a Swedish one. All in vain. Ivy coolly told me she wasn’t hungry. But I was, I told her. She pointed out the lobster in the refrigerator and also her casual frock, which wasn’t suitable for a smart restaurant. What did I think of her frock, by the way? I had already picked up our lobster with the intention of throwing it into the incinerator – I wasn’t going to be bullied by a lobster…"|"Homo Faber"|"Max Frisch"
