03:30|"3:30 a.m."|"The baby needed heart surgery if she was going to survive. Just before her first birthday, surgeons cut a seven-inch incision in her chest wall and repaired her heart. After the operation she remained in the hospital. The chronic respiratory infections continued. The baby was sixteen months old and weighed eleven pounds when she died of pneumonia at 3:30 a.m. on February 18, 1966. She had lived all but nine days of her brief life at Philadelphia General Hospital."|"The Vaccine Race"|"Meredith Wadman"
12:00|midday|"In the late 1940s Nathan Hayflick was persuaded by his nephew, Norman Silverman, to leave the Climax Company after three decades to join Silverman’s fledgling denture-designing business, Victory Laboratories, just over the Delaware River in Camden, New Jersey. Silverman was a charming, ambitious young entrepreneur and a relative newcomer to denture design. Nathan Hayflick was by now a master craftsman, but not a businessman. The partnership turned into a disaster as the two men’s personalities clashed. Nathan Hayflick fell into a depression that concerned his son so much that Leonard Hayflick began cutting classes, leaving Penn at midday to cross the river and take his father to lunch in order to get him out of the lab for a couple of hours."|"The Vaccine Race"|"Meredith Wadman"
17:00|"5:00 p.m."|"If he recognized his faults, Koprowski had a hard time owning them. Once, when a young Wistar scientist named Michael Katz failed to win NIH funding for a grant, Koprowski, who wanted Katz doing other work, celebrated the failure to the young man’s face: “Congratulations! Now you can devote yourself to real science.” Stung, Katz told Koprowski to go do something that was anatomically impossible. He was summoned to Koprowski’s office at 5:00 p.m. that same day. The young man walked in fully expecting to be fired. Koprowski was sitting behind his desk with a twinkle in his eye and a pitcher of ice-cold martinis in front of him. “Olive or lemon peel?” he inquired."|"The Vaccine Race"|"Meredith Wadman"
"ap 03:00"|three|"“I remember receiving whole fetuses at three, four months’ gestation. A baby this big,” Hayflick said during a 2012 interview, holding his hands about six inches apart. “I remember distinctly not being disturbed by that—don’t ask me why—to dissect that. I can’t explain it. But my constitution was such that it didn’t affect me."|"The Vaccine Race"|"Meredith Wadman"
21:30|"9:30 p.m."|"At home that night Herrström made a dinner of sliced reindeer meat and repaired her winter gloves. Before turning in at 9:30 p.m., she wrote in her diary: “Work 8.30-[5 pm]. Sent tissue to USA. Stressful.”"|"The Vaccine Race"|"Meredith Wadman"
17:00|"5 pm"|"At home that night Herrström made a dinner of sliced reindeer meat and repaired her winter gloves. Before turning in at 9:30 p.m., she wrote in her diary: “Work 8.30-[5 pm]. Sent tissue to USA. Stressful.”"|"The Vaccine Race"|"Meredith Wadman"
12:00|noon|"It’s probable, although not certain, that the lungs that Herrström removed from that fetus on that spring day went on to become the next cell strain that Hayflick created. (By this point Hayflick was working only with lungs because they were readily dissected and their fibroblasts seemed particularly hardy in culture.) It’s also possible that those lungs didn’t work out. Perhaps delays caused them to die in transit, or perhaps they were inadvertently infected. Because scarcely one week later Herrström recorded in her diary that she had shipped more tissue, from a new fetus, to Philadelphia: “Tissue to the USA at 12 (noon). Took all morning to prepare.”"|"The Vaccine Race"|"Meredith Wadman"
"ap 23:49"|"eleven of twelve"|"A few months later researchers from the Medical Research Council Laboratories in London reported in the British Medical Journal that they had found antibodies against the SV40 virus in eleven of twelve schoolboys who had received the full slate of three Salk injections. The presence of antibodies did not mean that the virus was alive and replicating in the boys—the whole principle of injecting a killed vaccine is that the body forms antibodies even to a dead virus. The boys might well have received dead SV40 with their Salk injections. But the presence of SV40 antibodies in eleven of the twelve boys was an alarming indication of just how widely SV40 might have infiltrated the supply of Salk vaccine. And the more widespread it was, the more likely that some vaccinees had received injections in which the virus had survived alive."|"The Vaccine Race"|"Meredith Wadman"
"ap ~ 02:56"|"approximately 256"|"“They slept in one of two common sleeping areas each measuring approximately 256 [square feet] and containing eight cribs,” Plotkin reported. If the RA 27/3 virus was infectious enough to spread from vaccinated toddlers to the unvaccinated controls within each group, the close and self-contained quarters of East 2 and West 2 were the perfect place to observe it."|"The Vaccine Race"|"Meredith Wadman"
15:33|"3:33 p.m."|"On Tuesday, November 24, 1964, at 3:33 p.m., after an uneventful labor, Stephen Joseph Wenzler IV was born at Toms River Community Hospital. Baby Stephen weighed five pounds, thirteen ounces and was nineteen inches long. (This was less than the 10th percentile for weight and about the 17th percentile for length.) The delivery-room staff soon noticed something that they did not tell Stephen’s parents: there were milky white opacities where the black pupils of the baby’s eyes should have been. They didn’t give Mary the baby to hold."|"The Vaccine Race"|"Meredith Wadman"
14:00|14|"The trial’s spectacular results appeared in December 1976 in the Journal of the American Medical Association. “We are convinced that a major breakthrough has been achieved in the postexposure treatment of humans exposed to rabies infection,” the authors wrote. “Not only can the number of injections . . . be decreased from between 14 and 21 to 6 or less, but in contrast to the vaccines used in the past and others in current use, the [human diploid cell vaccine] causes virtually no side effects and is highly immunogenic,” by which they meant that it was a potent provoker of antibody production."|"The Vaccine Race"|"Meredith Wadman"
"ap 03:00"|three|"Anna underwent corrective heart surgery at eleven weeks of age. Several years later she would require another heart surgery to replace one of her heart valves. Postoperative complications after the first surgery led to a tracheostomy—a hole cut into her windpipe, on the front of her neck, through which she breathed for the first three years of her life. She had cataract surgeries at three and five months of age and later multiple eye surgeries to extract scar tissue and to reattach a detached retina. She was also put under anesthesia several times so that doctors could take pressure measurements for glaucoma, raised pressure inside the eye. Glaucoma affected both of Anna’s eyes, as it had those of Stephen Wenzler, the boy born with congenital rubella in Toms River, New Jersey, in 1964."|"The Vaccine Race"|"Meredith Wadman"
