"> 00:00"|"past midnight"|"He gave a short reply, short because he was unable to express how frustrating it had been writing the book, knowing that every manager on the site was breathing down his neck. O’Connolly made his apologies and left shortly afterwards, giving Mabbut a powerful handshake – he was not the sort of man for a bear-hug. The atmosphere relaxed. The food was good and, knowing that the company was paying, those who stayed moved from beer to wine and even some curious Indian digestif that Rani produced from a back cupboard. Mabbut fell into a long conversation with Laurie from Accounts, who had lived on the island all her life and was desperate to get away and see the world. She’d never been to London, and no matter what Mabbut told her about it, she still wanted to go. As the evening wore on, those who lived out of Lerwick bade their farewells and began to drift off. Soon only Mabbut, Roscoe Gunn and Mae Lennox were left. Roscoe was a dour man on whom alcohol appeared to have no effect at all. He was, however, that even more deadly combination, a dour man who likes company, and it was long past midnight before he shook Mabbut’s hand one final time and headed off into the night. Mabbut waited for Mae Lennox to settle up. As they stepped out on to Bank Lane the sky was wonderfully clear and a small crescent moon hung so sharp and bright above the bay that neither felt they could turn their backs on it. Instead they walked down towards the waterfront, where the outline of a recently docked Norwegian three-master rose against the night sky. They turned south along Commercial Street, whose solid and sturdy old manses ran parallel to the sea, which lapped gently at the flights of stone steps leading from the houses to the water."|"The Truth"|"Michael Palin"
"ap 02:00"|"two o’clock"|"‘Weather’s changing.’ She checked her watch and got rapidly to her feet. ‘And it’s two o’clock!’"|"The Truth"|"Michael Palin"
"ap 10:00"|ten|"Not wanting to go back to the hotel, he had retraced his journey along the road as far as Brae, a village grown into a small town as a result of its proximity to the terminal. Oil money, skilfully extracted from the companies by a dogged council, had provided a new school and a leisure centre that a town twenty times its size would have been proud of. An area of bright new Scandinavian-style homes, nicknamed Toytown by the locals, had advanced up the hillside. New restaurants and shops had opened to service them. The previous winter Mae had rented one of them for Keith, so he’d be closer to the terminal on those days when the sun sank at three and didn’t reappear until ten the next morning."|"The Truth"|"Michael Palin"
"ap 09:00"|"nine o’clock"|"He’d intended to spend the evening clearing emails, clearing the desk, clearing NorthOil out of his system, so that at nine o’clock the next morning he could enter his new life with seamless ease. But as he turned to climb the stairs he found himself paralysed by a sudden shock-wave of self-pity: because of Krystyna, who he was about to lose, and Mae, who he would never see again. And Jay, who’d found another man. It was a short, sharp feeling of abandonment which paralleled some distant memory. Of people walking away from him, and the fear that they would never come back. The sensation was painful enough to make him grab the banister rail and hang on to it for quite some time. When it had passed Mabbut steadied himself, breathed deeply and made his way carefully back to the sitting room. Here he picked up a half-drunk bottle of red wine and the remote control for the television and sank heavily into the sofa with a long and heartfelt sigh."|"The Truth"|"Michael Palin"
"> 08:00"|"just after eight in the morning"|"When Mabbut awoke, light was coming through the curtains. He lay for a while, wondering what it was about this room and this woman that seemed so necessary to him. He concluded that it was because he could walk away and come back whenever he wanted. There were no expectations and therefore no consequences. And no lies. He dozed briefly until his mobile sounded. The first bars of Beethoven’s Fifth jangled beside him. It was just after eight in the morning."|"The Truth"|"Michael Palin"
"< 14:00"|"nearly two o’clock that afternoon"|"It was nearly two o’clock that afternoon when Mabbut turned off the Edgware Road and, checking his daughter’s message one final time, searched for the name Harveh in a row of cafés and shops brimming with sweets and pastries. Outside some were tables where shorthaired, broad-shouldered men sat playing draughts and smoking narghiles. He spotted the slim incongruous figure of his daughter, waving to him, almost silhouetted by the bright lights of a cafés’ interior."|"The Truth"|"Michael Palin"
"ap 07:30"|"seven thirty"|"Mabbut felt assailed and confused. After the oddly disquieting chat with young Shiraj he wanted time and space to think. The last thing he needed was a return to Urgent’s bleak and spiritless office and the hard sell from Latham and Silla.
‘He’ll meet us at seven thirty. OK?’
Mabbut took a deep breath."|"The Truth"|"Michael Palin"
"ap 02:30"|2.30|"The alarm clock showed 2.30 when Mabbut finally gave up the struggle to sleep and, pulling on the dressing gown Krystyna had given him for the last birthday they’d spent together, he sat down at his computer to plot a guerrilla strategy."|"The Truth"|"Michael Palin"
23:00|"eleven o’clock in the night"|"‘I think I should get back to the hotel, Farud. I must make a call to London before it gets too late,’ Mabbut lied, weary of being the foil.
‘It will be eleven o’clock in the night in the UK.’
‘Yes, and I must tell my wife I’ve arrived safely,’ he lied again."|"The Truth"|"Michael Palin"
"ap 03:30"|"half-past three"|"The night was so hot when Mabbut returned to his room that he was forced to activate the air con, whose convulsive thumps and shudders brought him a semblance of cool air at the cost of some dreadful dreams. He was stumbling through a forest, falling to the ground and being dragged onwards by some unseen force when the grating cry of a cockerel plucked him from the nightmare. He groped for his travel clock on the floor by the bed. Indignation was added to discomfort when the clock told him that it was half-past three. The cock sounded again, just below the window, then a dog barked and another dog answered from farther away, a donkey shrieked, and soon a whole arrhythmic animal chorus filled the night. Mabbut lay staring at the barely revolving fan, unable to recapture any of the elation of the day before. His mind was full of negatives. Melville was gone and Mabbut was clearly being told, in as many words, not even to think of following him."|"The Truth"|"Michael Palin"
