"< 23:00"|"an hour before midnight"|"Peter and Zula were making a long weekend of it. They’d left Seattle after Zula had got off work and had fought traffic up to Snoqualmie Pass, where most of the skiers peeled off to ride the conventional lifts. Feeling more elite by the minute, they had blasted across the state to Spokane and then headed north toward Metaline Falls, a tiny border station up on a mountain pass that just happened to coincide with the forty-ninth parallel. Crossing about an hour before midnight, they drove through the pass to Elphinstone, and then turned south along the poorly marked, bumpy, meandering mountain track that inclined to the Schloss. This plan actually did not sound insane to them, and thus reminded Richard once more of his advanced age. During the hours they’d been on the road, he’d found himself unable to stray from his computer, calculating which dangerous road they were driving down at a particular time, as if Zula were a part of his body that had gone off on its own and that needed to be kept track of. This, he supposed, was what it was like to be a parent. And as ridiculous as it was, he found himself haunted by thoughts of the re-u. For if Zula and Peter did have a crash on the way over, then later, when the story was told and retold at the re-u, laid like a brick into the family lore, it would be largely about Richard, when he’d learned of it, what actions he’d taken, the cool head he’d displayed, the correct decisions he’d made to manage it all, Zula’s relief when he had showed up at the hospital. The moral was preordained: the family took care of itself, even, no, especially in times of crisis, and consisted of good, wise, competent people. He might have to steer to the required denouement on slick and turning ways, through a whiteout. Just when he had been getting ready to pull ski pants over his pajamas and go out looking for them, they had arrived, precisely on their announced schedule, in Peter’s annoyingly hip, boxy vehicle, and then Richard had stopped seeing them as crazy wayward kids and thought them superhuman with their GPS telephones and Google Maps."|Reamde|"Neal Stephenson"
01:00|"one o’clock this morning"|"During the last three months of Devin’s tenure, he had been almost disturbingly productive, leading to an email thread at Corporation 9592 (subject: “Devin Skraelin is an Edgar Allan Poe character”) spattered with links to websites about the psychiatric condition known as graphomania. This had led to a new piece of jargon: Canon Lag, in which the employees responsible for cross-checking Devin’s work and incorporating it into the Canon had been unable to keep pace with his output. According to one somewhat paranoid strain of thought, this had been a deliberate strategy on Devin’s part. Certainly it was the case that, as of this dinner, the only person who had the entire world in his head was Devin, since he had delivered a thousand pages of new material at one o’clock this morning, emailing it from his room in the North Tower of the Schloss, and no one had had time to do more than scan it. So he had everyone else at something of a disadvantage."|Reamde|"Neal Stephenson"
"ap 10:00"|ten|"Peter did not yet like the way the conversation was going. Wallace had thrown him completely off-balance by making the conversation about T’Rain and had pressed him into service as drink fetcher. Now, though, Wallace changed his attitude a bit, explaining himself, as if educating Peter. Doing him a favor. “This is the feast hall of King Oglo of the Northern Red Dwinn. I’ve been in it ten, maybe fifteen times.”"|Reamde|"Neal Stephenson"
"~ 02:00"|"about 2 A.M."|"So, that night, when they got back to his space at about 2 A.M. and she went upstairs to collect the stuff she’d left scattered around during the months that she’d been quasi living with him, and she saw the brick window arches that he had left exposed during the remodel, a lot went through her head in a few moments and she found herself unable to move or think very clearly. She stood there in the dark. The lights of Boeing Field shone up against a low ceiling of spent rain clouds and made them glow a greenish silver that filled the apertures of the windows smoothly, as if troweled onto the glass."|Reamde|"Neal Stephenson"
02:00|"two A.M."|"“He was expecting the file to show up on a particular server in Budapest no later than … translating to West Coast time, here … two A.M., and it was only midnight.”"|Reamde|"Neal Stephenson"
00:00|midnight|"“He was expecting the file to show up on a particular server in Budapest no later than … translating to West Coast time, here … two A.M., and it was only midnight.”"|Reamde|"Neal Stephenson"
"ap 02:45"|"quarter to three"|"“Brilliant analysis there, Petey boy. It’s quarter to three. I’m already forty-five minutes late. I bought myself a bit of time by sending an email with some bullshit to the effect that my car broke down in the Okanagans. But the clock is ticking. We have got to decrypt that file!”"|Reamde|"Neal Stephenson"
03:00|"three in the morning"|"“At three in the morning? Not enough time,” Wallace said. “You’re sure you can’t recruit a more … omniscient character?”"|Reamde|"Neal Stephenson"
03:00|"three in the morning"|"“During the early part of it, someone cast a healing spell on me. Not a member of my group. It would have happened at maybe three in the morning our time, when my character was near a certain ley line intersection…”"|Reamde|"Neal Stephenson"
"~ 19:00"|"about seven in the evening"|"Sokolov took a few steps over to the window and looked down toward the waterfront. It was only about seven in the evening and so people were still flooding and surging by the thousands in and out of the ferry terminals’ gates. Ivanov turned to the window as well, tried to see whatever it was that Sokolov was looking at."|Reamde|"Neal Stephenson"
