"ap 00:50"|"ten minutes to one"|"They hadn’t done very much work in the office that afternoon because in their various ways they had all been getting ready
         to celebrate. Bethlehem now brooded encouragingly over London. And Mr Battlebury in his enormous greatcoat which looked as
         though it were lined with bearskin at least, had gone off importantly in a taxi at ten minutes to one, and had not got back
         until after three. In the interval he had visited Fortnum’s in Piccadilly where he had bought a large box of crystallised
         fruit not because he, or anyone else in his family, particularly liked crystallised fruit but because it had been there on
         the counter and he was in the mood for buying things. After that he had visited the Goldsmiths’ and Silversmiths’ Company
         in Regent Street where he had bought Mrs Battlebury a pair of small diamond clips to go with the crystallised fruit. And making
         his way through the crowds towards Oxford Circus – it seemed, as it always did on Christmas Eve, that the whole idea of Christmas
         had taken most people entirely by surprise, and they were now shopping frantically in an effort to catch up with it, he had
         gone into Hamleys to buy a drawing‐room conjuring‐set that was to convert Robert Battlebury, Junior, into an astonishingly
         adept but rather boring amateur Maskelyne for a few weeks – after which the magic egg‐cups and disappearing handkerchiefs
         would be put away for ever, and forgotten."|"London Belongs to Me"|"Norman Collins"
"ap > 03:00"|"after three"|"They hadn’t done very much work in the office that afternoon because in their various ways they had all been getting ready
         to celebrate. Bethlehem now brooded encouragingly over London. And Mr Battlebury in his enormous greatcoat which looked as
         though it were lined with bearskin at least, had gone off importantly in a taxi at ten minutes to one, and had not got back
         until after three. In the interval he had visited Fortnum’s in Piccadilly where he had bought a large box of crystallised
         fruit not because he, or anyone else in his family, particularly liked crystallised fruit but because it had been there on
         the counter and he was in the mood for buying things. After that he had visited the Goldsmiths’ and Silversmiths’ Company
         in Regent Street where he had bought Mrs Battlebury a pair of small diamond clips to go with the crystallised fruit. And making
         his way through the crowds towards Oxford Circus – it seemed, as it always did on Christmas Eve, that the whole idea of Christmas
         had taken most people entirely by surprise, and they were now shopping frantically in an effort to catch up with it, he had
         gone into Hamleys to buy a drawing‐room conjuring‐set that was to convert Robert Battlebury, Junior, into an astonishingly
         adept but rather boring amateur Maskelyne for a few weeks – after which the magic egg‐cups and disappearing handkerchiefs
         would be put away for ever, and forgotten."|"London Belongs to Me"|"Norman Collins"
"ap 11:00"|"eleven o’clock"|"The girls had most of them already exchanged Christmas cards. There was no obvious reason why they should have done so. They
         had spent the whole of the previous twelve months sharing the same office, and drinking tea together at eleven o’clock every
         morning and 3.30 every afternoon, and giving each other pieces of chocolate and aspirins. But for the past two or three days
         they had been behaving as though they had been parted for years. They had been distributing views of snow‐bound coaches and
         lighted taverns and children tobogganing, and robins and boys bearing holly and old bellmen crying ‘Oyez,’ as though Noel
         and the 18th century were the same thing, and life depended on celebrating both."|"London Belongs to Me"|"Norman Collins"
"ap 03:30"|3.30|"The girls had most of them already exchanged Christmas cards. There was no obvious reason why they should have done so. They
         had spent the whole of the previous twelve months sharing the same office, and drinking tea together at eleven o’clock every
         morning and 3.30 every afternoon, and giving each other pieces of chocolate and aspirins. But for the past two or three days
         they had been behaving as though they had been parted for years. They had been distributing views of snow‐bound coaches and
         lighted taverns and children tobogganing, and robins and boys bearing holly and old bellmen crying ‘Oyez,’ as though Noel
         and the 18th century were the same thing, and life depended on celebrating both."|"London Belongs to Me"|"Norman Collins"
"ap 05:00"|"five o’clock"|"Usually, everyone went off round about this time on Christmas Eve. But to‐night they were all stopping on for the presentation.
         It was due to take place in the Drawing Office at five o’clock. Mr Battlebury had said that he would be there; and that, of
         course, meant that everybody else had to be there as well."|"London Belongs to Me"|"Norman Collins"
"ap 04:55"|"five to five"|"Everything was ready, so at five to five all the girls – except for Miss Unsett who was still busy collating her pro‐formas like a scholar – trooped up to the Drawing Office. There was some pushing on the stairs and more giggling until they came
         to the frosted glass door marked Battlebury & Sons, Power Specialists, Private. Enquire Below and then they all sobered down
         a bit. The Drawing Office was a large bleak room with charts and diagrams on the walls, and it did not encourage conviviality.
         There were no Christmas cards there, not even a new calendar. The green‐shaded lights low down over the tables cast a dim
         aqueous glow as though the meeting were taking place at the bottom of an aquarium. The only concession to the season was a
         spray of rather faded mistletoe hanging from one of the beams. The Drawing Office humorist had put it there. But it was not
         very festive."|"London Belongs to Me"|"Norman Collins"
03:00|"three in the morning"|"A single lady lived there and she was only just waking up. This wasn’t surprising, considering the hours she kept. She never
         got back till about two or three in the morning and, by arrangement, she let herself in with her own key and no questions
         asked. There couldn’t really be any other way about it. She was a part of London’s night‐life and no one could be expected
         to sit up until the small hours simply to see that she got home all right."|"London Belongs to Me"|"Norman Collins"
"ap 10:00"|ten|"He had been anticipated – his impending presence had hung over the party – but, in a way, not been expected. There was always
         something hauntingly uncertain about the exact moment of Uncle Henry’s arrivals. He was a man of many engagements and much
         information. A greengrocer by trade – he had a shop with two assistants in Stoke Newington – he also cultivated outside interests.
         The chief of these at the moment was treasurership of the South London Parliament and Debating Society. And it was a long
         way from his business to the Parliament. In fact, it was only his bicycle that saved him. Independent of buses and trams,
         openly contemptuous of the Underground, he came and went on his green bicycle as his impetuous heart directed. It was nothing for Henry Knockell to turn up in his Norfolk jacket and cycling
         knickers at half‐past ten on a Sunday evening simply because he had picked up a depressing piece of news that he wanted to
         share with someone."|"London Belongs to Me"|"Norman Collins"
00:00|midnight|"There was a fun fair just opposite the garage and he wandered over to it for ten minutes. This was one of the nights when
         he didn’t get off till midnight and he felt he needed a little relaxation just to keep going. But somehow delight was absent.
         Everything was flat, and the fun fair didn’t seem funny. He went aimlessly from machine to machine in search of happiness,
         and couldn’t find it. Even the pin‐tables had lost their magic. The little steel balls careered madly about, striking first
         one kind of obstacle and then another, lighting things up on their zigzags, flashing up the score in thousands and tens of
         thousands – and he was just too bored to count. Then he tried the Electric Crane which looked as though it could scoop up
         watches and fountain pens and cigarette cases as often as you cared to put a penny into it. He’d wasted ninepence and gone
         back for more change before he decided that happiness didn’t lurk in the Electric Crane either. So, finally, still searching
         as hard as ever for something to make him forget himself – he sauntered over to the Peep‐Shows. He knew them all by heart
         of course. They were an old selection, and the Peep‐Show in England is an art form that hasn’t renewed itself with the times.
         But he put his pennies in dutifully and saw the old faded sets of postcards flicker past again – the Honeymoon, Milady’s Toilet,
         What the Butler Saw, The Artist’s Model and Greek Statues. They didn’t, however, rouse him to‐night. They simply left him
         depressed and dejected. He felt he needed something stronger."|"London Belongs to Me"|"Norman Collins"
"~ 01:30"|"about 1.30 in the morning"|"As a matter of fact, she was now showing the strain of it. She was a dark handsome girl like a well‐bred gipsy. But at this
         moment she was a slightly frayed and ravelled‐looking sort of gipsy. There were deep shadows under her eyes and she still
         seemed a little dazed by remembering how utterly marvellous everything had been. She would go on talking about it. First of
         all she’d gone to a simply heavenly film with a young doctor friend who was only twenty‐six but was doing absolutely marvellously,
         and then they’d gone on somewhere to dance and the doctor had danced divinely. On Sunday morning she’d had to go home, which
         was a frightful bore anyhow; but they were really awfully sweet and darlings really, even though they did make her want to
         scream sometimes. Then another friend – in the Navy this time – had suddenly turned up from nowhere and had rushed her down to the
         West End where everything had been simply too marvellous and divine; they had fed marvellously in an adorable little restaurant
         in Soho and then, most marvellous of all, this rugged seaman had turned out to be as divine a dancer as the doctor. They had
         finished up round about 1.30 in the morning, this morning it was, at a simply wonderful coffee stall near Baker Street Station where the most incredible people had gathered.
         Then, when they couldn’t get a taxi, the naval officer had offered to carry her."|"London Belongs to Me"|"Norman Collins"
