"ap 11:00"|"eleven o’clock"|"By and by we moved out, for ’twas eleven o’clock, and stands a bit upon the sidewalk. And then the man says he must be going home, and invites me and Tobin to walk that way. We arrives on a side street two blocks away where there is a stretch of brick houses with high stoops and iron fences. The man stops at one of them and looks up at the top windows which he finds dark."|"The Four Million"|"O. Henry"
"ap 07:00"|"7 o’clock"|"At 7 o’clock the coffee was made and the frying-pan was on the back of the stove hot and ready to cook the chops."|"The Four Million"|"O. Henry"
00:00|midnight|"At midnight the café was crowded. By some chance the little table at which I sat had escaped the eye of incomers, and two vacant chairs at it extended their arms with venal hospitality to the influx of patrons."|"The Four Million"|"O. Henry"
"ap 09:00"|nine|"At nine Mr. McCaskey came. He carried his coat on his arm and his pipe in his teeth; and he apologised for disturbing the boarders on the steps as he selected spots of stone between them on which to set his size 9, width Ds."|"The Four Million"|"O. Henry"
"ap 06:00"|six|"Joe Larrabee came out of the post-oak flats of the Middle West pulsing with a genius for pictorial art. At six he drew a picture of the town pump with a prominent citizen passing it hastily. This effort was framed and hung in the drug store window by the side of the ear of corn with an uneven number of rows. At twenty he left for New York with a flowing necktie and a capital tied up somewhat closer."|"The Four Million"|"O. Henry"
23:00|"11 p.m."|"But the best, in my opinion, was the home life in the little flat—the ardent, voluble chats after the day’s study; the cozy dinners and fresh, light breakfasts; the interchange of ambitions—ambitions interwoven each with the other’s or else inconsiderable—the mutual help and inspiration; and—overlook my artlessness—stuffed olives and cheese sandwiches at 11 p.m."|"The Four Million"|"O. Henry"
"ap 07:00"|"7 o’clock"|"During all of the next week the Larrabees had an early breakfast. Joe was enthusiastic about some morning-effect sketches he was doing in Central Park, and Delia packed him off breakfasted, coddled, praised and kissed at 7 o’clock. Art is an engaging mistress. It was most times 7 o’clock when he returned in the evening."|"The Four Million"|"O. Henry"
17:00|"5 in the afternoon"|"“Clementina,” she explained, “insisted upon a Welsh rabbit after her lesson. She is such a queer girl. Welsh rabbits at 5 in the afternoon. The General was there. You should have seen him run for the chafing dish, Joe, just as if there wasn’t a servant in the house. I know Clementina isn’t in good health; she is so nervous. In serving the rabbit she spilled a great lot of it, boiling hot, over my hand and wrist. It hurt awfully, Joe. And the dear girl was so sorry! But Gen. Pinkney!—Joe, that old man nearly went distracted. He rushed downstairs and sent somebody—they said the furnace man or somebody in the basement—out to a drug store for some oil and things to bind it up with. It doesn’t hurt so much now.”"|"The Four Million"|"O. Henry"
"ap 05:00"|"Five o’clock"|"“Five o’clock, I think,” said Dele, plaintively. “The iron—I mean the rabbit came off the fire about that time. You ought to have seen Gen. Pinkney, Joe, when—”"|"The Four Million"|"O. Henry"
15:00|"3 P. M."|"On Saturdays Rhinegold’s paper-box factory closed at 3 P. M. On one such afternoon Anna and Maggie walked homeward together. At Maggie’s door Anna said, as usual: “Be ready at seven, sharp, Mag; and Jimmy and me’ll come by for you.”"|"The Four Million"|"O. Henry"
"ap 08:30"|8:30|"At 8:30 Miss Toole swept into the hall with her escort. Quickly her triumphant eye discovered her chum under the wing of her faithful Jimmy."|"The Four Million"|"O. Henry"
"ap 10:00"|"10 o’clock"|"But there would be sundry gentlemen there with large gold fob chains and black cigars; and somebody would tell a funny story, and then Dempsey would go back and work half an hour with the six-pound dumbbells. So, doing a tight-rope act on a wire stretched across Niagara was a safe terpsichorean performance compared with waltzing twice with Dempsey Donovan’s paper-box girl. At 10 o’clock the jolly round face of “Big Mike” O’Sullivan shone at the door for five minutes upon the scene. He always looked in for five minutes, smiled at the girls and handed out real perfectos to the delighted boys."|"The Four Million"|"O. Henry"
"ap 06:00"|"6 o’clock"|"“There is a type of ‘Man About Town’ in New York,” he answered. “The term is quite familiar to me, but I don’t think I was ever called upon to define the character before. It would be difficult to point you out an exact specimen. I would say, offhand, that it is a man who had a hopeless case of the peculiar New York disease of wanting to see and know. At 6 o’clock each day life begins with him. He follows rigidly the conventions of dress and manners; but in the business of poking his nose into places where he does not belong he could give pointers to a civet cat or a jackdaw. He is the man who has chased Bohemia about the town from rathskeller to roof garden and from Hester street to Harlem until you can’t find a place in the city where they don’t cut their spaghetti with a knife. Your ‘Man About Town’ has done that. He is always on the scent of something new. He is curiosity, impudence and omnipresence. Hansoms were made for him, and gold-banded cigars; and the curse of music at dinner. There are not so many of him; but his minority report is adopted everywhere."|"The Four Million"|"O. Henry"
"ap ~ 06:00"|"about 6 o’clock"|"One evening about 6 o’clock my mistress ordered him to get busy and do the ozone act for Lovey. I have concealed it until now, but that is what she called me. The black-and-tan was called “Tweetness.” I consider that I have the bulge on him as far as you could chase a rabbit. Still “Lovey” is something of a nomenclatural tin can on the tail of one’s self respect."|"The Four Million"|"O. Henry"
"ap 09:00"|"Nine o’clock"|"“Nine o’clock,” said Mr. McGowan. “Supper’s at seven. At eight Rosy goes to bed with a headache. At nine old Parvenzano lets me through to his back yard, where there’s a board off Riddle’s fence, next door. I go under her window and help her down the fire-escape. We’ve got to make it early on the preacher’s account. It’s all dead easy if Rosy don’t balk when the flag drops. Can you fix me one of them powders, Ikey?”"|"The Four Million"|"O. Henry"
"ap 08:00"|eight|"“Nine o’clock,” said Mr. McGowan. “Supper’s at seven. At eight Rosy goes to bed with a headache. At nine old Parvenzano lets me through to his back yard, where there’s a board off Riddle’s fence, next door. I go under her window and help her down the fire-escape. We’ve got to make it early on the preacher’s account. It’s all dead easy if Rosy don’t balk when the flag drops. Can you fix me one of them powders, Ikey?”"|"The Four Million"|"O. Henry"
"ap 09:00"|nine|"“Nine o’clock,” said Mr. McGowan. “Supper’s at seven. At eight Rosy goes to bed with a headache. At nine old Parvenzano lets me through to his back yard, where there’s a board off Riddle’s fence, next door. I go under her window and help her down the fire-escape. We’ve got to make it early on the preacher’s account. It’s all dead easy if Rosy don’t balk when the flag drops. Can you fix me one of them powders, Ikey?”"|"The Four Million"|"O. Henry"
08:00|"eight o’clock in the morning"|"At eight o’clock in the morning the day clerk arrived and Ikey started hurriedly for Mrs. Riddle’s to learn the outcome. And, lo! as he stepped out of the store who but Chunk McGowan sprang from a passing street car and grasped his hand—Chunk McGowan with a victor’s smile and flushed with joy."|"The Four Million"|"O. Henry"
"ap 08:30"|8.30|"“I’ve put it off too late. She’s going to sail for Europe at noon day after to-morrow for a two years’ stay. I’m to see her alone to-morrow evening for a few minutes. She’s at Larchmont now at her aunt’s. I can’t go there. But I’m allowed to meet her with a cab at the Grand Central Station tomorrow evening at the 8.30 train. We drive down Broadway to Wallack’s at a gallop, where her mother and a box party will be waiting for us in the lobby. Do you think she would listen to a declaration from me during that six or eight minutes under those circumstances? No. And what chance would I have in the theatre or afterward? None. No, dad, this is one tangle that your money can’t unravel. We can’t buy one minute of time with cash; if we could, rich people would live longer. There’s no hope of getting a talk with Miss Lantry before she sails.”"|"The Four Million"|"O. Henry"
"ap 08:00"|"eight o’clock"|"At eight o’clock the next evening Aunt Ellen took a quaint old gold ring from a moth-eaten case and gave it to Richard."|"The Four Million"|"O. Henry"
"ap 08:32"|"eight thirty-two"|"At the station he captured Miss Lantry out of the gadding mob at eight thirty-two."|"The Four Million"|"O. Henry"
23:00|"11 o’clock that night"|"At 11 o’clock that night somebody tapped lightly on Anthony Rockwall’s door."|"The Four Million"|"O. Henry"
"ap 06:00"|"6 o’clock"|"At 6 o’clock the waiter brought her dinner and carried away the typewritten bill of fare. When Sarah ate she set aside, with a sigh, the dish of dandelions with its crowning ovarious accompaniment. As this dark mass had been transformed from a bright and love-indorsed flower to be an ignominious vegetable, so had her summer hopes wilted and perished. Love may, as Shakespeare said, feed on itself: but Sarah could not bring herself to eat the dandelions that had graced, as ornaments, the first spiritual banquet of her heart’s true affection."|"The Four Million"|"O. Henry"
"ap 07:30"|7:30|"At 7:30 the couple in the next room began to quarrel: the man in the room above sought for A on his flute; the gas went a little lower; three coal wagons started to unload—the only sound of which the phonograph is jealous; cats on the back fences slowly retreated toward Mukden. By these signs Sarah knew that it was time for her to read. She got out “The Cloister and the Hearth,” the best non-selling book of the month, settled her feet on her trunk, and began to wander with Gerard."|"The Four Million"|"O. Henry"
"ap 06:50"|"ten minutes to seven"|"At ten minutes to seven Dulcie was ready. She looked at herself in the wrinkly mirror. The reflection was satisfactory. The dark blue dress, fitting without a wrinkle, the hat with its jaunty black feather, the but-slightly-soiled gloves—all representing self-denial, even of food itself—were vastly becoming."|"The Four Million"|"O. Henry"
"ap 09:00"|"nine o’clock"|"At nine o’clock Dulcie took a tin box of crackers and a little pot of raspberry jam out of her trunk, and had a feast. She offered General Kitchener some jam on a cracker; but he only looked at her as the sphinx would have looked at a butterfly—if there are butterflies in the desert."|"The Four Million"|"O. Henry"
