"ap ~ 03:00"|"around three o’clock"|"IT WAS A SATURDAY AFTERNOON on La Salle Street, years and years ago when I was a little kid, and around three o’clock Mrs. Shannon, the heavy Irish woman in her perpetually soup-stained dress, opened her back window and shouted out into the courtyard, “Hey, Cesar, yoo-hoo, I think you’re on television, I swear it’s you!” When I heard the opening strains of the I Love Lucy show I got excited because I knew she was referring to an item of eternity, that episode in which my dead father and my Uncle Cesar had appeared, playing Ricky Ricardo’s singing cousins fresh off the farm in Oriente Province, Cuba, and north in New York for an engagement at Ricky’s nightclub, the Tropicana."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
21:00|"nine at night"|"With my heart racing, I turned on the big black-and-white television set in his living room and tried to wake him. My uncle had fallen asleep in the kitchen—having worked really late the night before, some job in a Bronx social club, singing and playing the horn with a pickup group of musicians. He was snoring, his shirt was open, a few buttons had popped out on his belly. Between the delicate-looking index and middle fingers of his right hand, a Chesterfield cigarette burning down to the filter, that hand still holding a half glass of rye whiskey, which he used to drink like crazy because in recent years he had been suffering from bad dreams, saw apparitions, felt cursed, and, despite all the women he took to bed, found his life of bachelorhood solitary and wearisome. But I didn’t know this at the time, I thought he was sleeping because he had worked so hard the night before, singing and playing the trumpet for seven or eight hours. I’m talking about a wedding party in a crowded, smoke-filled room (with bolted-shut fire doors), lasting from nine at night to four, five o’clock in the morning, the band playing one-, two-hour sets. I thought he just needed the rest. How could I have known that he would come home and, in the name of unwinding, throw back a glass of rye, then a second, and then a third, and so on, until he’d plant his elbow on the table and use it to steady his chin, as he couldn’t hold his head up otherwise. But that day I ran into the kitchen to wake him up so that he could see the episode, too, shaking him gently and tugging at his elbow, which was a mistake, because it was as if I had pulled loose the support columns of a five-hundred-year-old church: he simply fell over and crashed to the floor."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
05:00|"five o’clock in the morning"|"With my heart racing, I turned on the big black-and-white television set in his living room and tried to wake him. My uncle had fallen asleep in the kitchen—having worked really late the night before, some job in a Bronx social club, singing and playing the horn with a pickup group of musicians. He was snoring, his shirt was open, a few buttons had popped out on his belly. Between the delicate-looking index and middle fingers of his right hand, a Chesterfield cigarette burning down to the filter, that hand still holding a half glass of rye whiskey, which he used to drink like crazy because in recent years he had been suffering from bad dreams, saw apparitions, felt cursed, and, despite all the women he took to bed, found his life of bachelorhood solitary and wearisome. But I didn’t know this at the time, I thought he was sleeping because he had worked so hard the night before, singing and playing the trumpet for seven or eight hours. I’m talking about a wedding party in a crowded, smoke-filled room (with bolted-shut fire doors), lasting from nine at night to four, five o’clock in the morning, the band playing one-, two-hour sets. I thought he just needed the rest. How could I have known that he would come home and, in the name of unwinding, throw back a glass of rye, then a second, and then a third, and so on, until he’d plant his elbow on the table and use it to steady his chin, as he couldn’t hold his head up otherwise. But that day I ran into the kitchen to wake him up so that he could see the episode, too, shaking him gently and tugging at his elbow, which was a mistake, because it was as if I had pulled loose the support columns of a five-hundred-year-old church: he simply fell over and crashed to the floor."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
03:00|"three in the morning"|"Later, at three in the morning, he and Nestor walked her to the subway."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
03:00|"three in the morning"|"Although Cesar considered himself a singer, he was also quite talented as an instrumentalist and adept at percussion. He was blessed with tremendous energy, a surge of power from too many slaps in the face from his foul-tempered father, Pedro Castillo, and a love of melody because of his mother and the affectionate maid who had helped bring him into the world, Genebria. (Here he listens to a distant trumpeting on a Mambo King recording, “Twilight in Havana,” and sighs; it’s as if he’s a kid again running through the center of Las Piñas at carnival and the porches of the houses are lit with huge lanterns and the balconies garlanded with ribbons and tapers and flowers, and past so many musicians, musicians everywhere on the street corners, on the church steps, on the porches of the houses, and continuing on toward the plaza, where the big orchestra’s set up; that’s the trumpet he hears echoing in the arcades of his town as he passes the columns and the shadows of couples hidden behind them and charges down steps beyond a garden, through the crowds and the dancers, to the bandstand, where that trumpet player, obese in a white suit, head tilted back, blows his music into the sky, and this carries and bounces off the walls of another arcade in Havana, and Cesar’s blowing the trumpet now at three in the morning, reeling around in circles and laughing after a night out at the clubs and brothels with friends and his brother, laughing with the notes that whip into the empty dark spaces and bounce back, swirling inside him like youth.)"|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
21:00|9P.M.|"The Friendship Club on 79th Street and Broadway presents for your dancing pleasure a double bill of top Mambo Entertainment. Tonight and tomorrow night (Fri. and Sat.) we are proud to present the Glorious Gloria Parker and Her All-Girl Rumba Orchestra! And, sharing this bill, the Fabulous Cesar Castillo and His Mambo Kings of Cuba! Admission $1.04. Doors open at 9P.M. No zoot suits and no jitterbugs, please."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
"ap 05:00"|500|"Pablo and his family lived at 500 La Salle, west of 124th Street and Broadway, in uptown Manhattan. It was a six-story tenement, constructed around the turn of the century to house the servant class, and it had a simple stoop with black curlicue railings, a narrow doorway framed in a crenellated brick archway. Above this rose six floors of black wrought-iron fire escapes and lamplit Venetian-blinded windows. It was two minutes from the 125th Street El, an overnight train ride and forty-five-minute flight from Havana, and five minutes from Harlem, the heartland of syncopating rhythm, as they used to say in those days. From its roof you could see the Hudson River and the domed and pillared mausoleum that was Grant’s Tomb toward the northern edge of Riverside Park at 122nd Street and all the way over to the docks, and the lines of commuters and cars waiting to board the ferryboats for New Jersey."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
07:00|"seven in the morning"|"He even took his dreams about María to the meat factory where Pablo had gotten him a job, working over a vat in which the bones and viscera of certain animals were crushed and ground up for making hot dogs and sausage fillers. As the blades churned he would pass the time staring at the whipping entrails—intestines, stomachs, backbones, brains—as if at a sunny garden. The crush of bones, the whirring of machines, memories, music, and his dreams of María. The plant was in a long, flat warehouse alongside the river, with huge metal doors that opened for deliveries and pickups by freezer trucks. He’d work there from seven in the morning until four in the afternoon, spending those hours at the vat whistling to himself and trying to improvise a song about María. What did he seek to accomplish? To write a song communicating such pure love and desire that María, far away, would magically reinstate him into the center of her heart. He thought that she would “hear” these melodies in her dreams and that something would possess her: she would sit down and write him a letter begging his forgiveness, a letter admitting to confusion and foolishness, that one day she would leave her husband—if he was her husband—and he would hear a knocking at the door, make his way down the hall, the panting hound behind him, and find María of his soul standing there, this woman who had somehow become the lost key to happiness."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
16:00|"four in the afternoon"|"He even took his dreams about María to the meat factory where Pablo had gotten him a job, working over a vat in which the bones and viscera of certain animals were crushed and ground up for making hot dogs and sausage fillers. As the blades churned he would pass the time staring at the whipping entrails—intestines, stomachs, backbones, brains—as if at a sunny garden. The crush of bones, the whirring of machines, memories, music, and his dreams of María. The plant was in a long, flat warehouse alongside the river, with huge metal doors that opened for deliveries and pickups by freezer trucks. He’d work there from seven in the morning until four in the afternoon, spending those hours at the vat whistling to himself and trying to improvise a song about María. What did he seek to accomplish? To write a song communicating such pure love and desire that María, far away, would magically reinstate him into the center of her heart. He thought that she would “hear” these melodies in her dreams and that something would possess her: she would sit down and write him a letter begging his forgiveness, a letter admitting to confusion and foolishness, that one day she would leave her husband—if he was her husband—and he would hear a knocking at the door, make his way down the hall, the panting hound behind him, and find María of his soul standing there, this woman who had somehow become the lost key to happiness."|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
"~ 03:00"|"around three o’clock in the morning"|"That was Nestor, eyebrows arched with the scholarly concentration of a physics student, reading science-fiction comic books at the kitchen table. That was Nestor up on the rooftop stretched out on a blanket and sipping whiskey, waking up screaming at night, decked out in a white silk suit, blowing a trumpet on the stage of some dance hall, quietly attending to the drinks, filling a punch bowl during a party in the apartment, dreaming about some of those nights spent with María in Havana, her presence so strong in his memory that around three o’clock in the morning the door to the apartment would open and María would walk like a spirit into the living room and pull off her slip, sliding one knee onto the cot and then the other, lowering herself so that the first thing Nestor felt moving slowly upward over his shinbone and then his knee was María’s vagina. And then she would take hold of his thing and say, “Hombre!”"|"The Mambo Kings Play Songs of Love"|"Oscar Hijuelos"
