"ap 02:00"|"two o'clock"|"The picturesque village of Rudge-in-the-Vale dozed in the summer sunshine. Along its narrow High Street the only signs of life visible were a cat stropping its backbone against the Jubilee Watering Trough, some flies doing deep-breathing exercises on the hot window-sills, and a little group of serious thinkers who, propped up against the wall of the Carmody Arms, were waiting for that establishment to open. At no time is there ever much doing in Rudge's main thoroughfare, but the hour at which a stranger, entering it, is least likely to suffer the illusion that he has strayed into Broadway, Piccadilly, or the Rue de Rivoli is at two o'clock on a warm afternoon in July."|"Money for Nothing"|"P. G. Wodehouse"
"ap 01:00"|one|"'I could see, the moment he walked in here, that he was not himself. Shaken. Something in the way he looked at one. I said to myself ""The Colonel's shaken!""'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 01:00"|one|"John, who had had such recent experience of the way Colonel Wyvern looked at one, agreed. He then asked if he might have his change."|"Money for Nothing"|"P. G. Wodehouse"
"ap 03:00"|"three o'clock"|"'Yes, sir. She returned from France yesterday. She had a good crossing. She is at the Lincoln Hotel, Curzon Street, London. She thinks of taking the three o'clock train tomorrow. She is in excellent health.'"|"Money for Nothing"|"P. G. Wodehouse"
"ap < 03:00"|"nearly three"|"Resolution poured over John in a strengthening flood. He looked at his watch. It was nearly three. If he got the two-seater and started at once, he could be in London by seven, in nice time to take her to dinner somewhere. He hurried down the stairs and out into the stable-yard."|"Money for Nothing"|"P. G. Wodehouse"
"ap 03:00"|"three o'clock"|"'What on earth for? She'll be here tomorrow. I looked in at Chas Bywater's this morning for some cigarettes – and, gosh, how lucky it was I did! – by the way he's putting them down to you – and he told me she's arriving by the three o'clock train.'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 03:00"|"three o'clock"|"'John,' he said, 'this can mean but one thing. You are driving a hundred miles in a shaky car – that left front tyre wants a spot of air, I should look to it before you start, if I were you – to see a girl whom you could see tomorrow in any case by the simple process of meeting the three o'clock train. Your state of mind is such that you prefer – actually prefer – not to have my company. And, as I look at you, I note that you are blushing prettily. I see it all. You've at last decided to propose to Pat. Am I right or wrong?'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 11:15"|eleven-fifteen|"'It's all right. Don't get the wind up. She's meeting us at eleven-fifteen at the Mustard Spoon. I'll come on there from the fight and we'll have a nice home evening. I'm still a member, so I'll sign you in. And, what's more, if all goes well at the Albert Hall and Cyril Warburton is half the man I think he is and I can get some sporting stranger to bet the other way at reasonable odds, I'll pay the bill.'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 11:15"|eleven-fifteen|"'Hugo'll be late for his own funeral – if he ever gets to it. He said eleven-fifteen and it's twenty-five to twelve. Have you got a table?'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 23:35"|"twenty-five to twelve"|"'Hugo'll be late for his own funeral – if he ever gets to it. He said eleven-fifteen and it's twenty-five to twelve. Have you got a table?'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 05:30"|five-thirty|"The picture-gallery of Rudge Hall, the receptacle of what Mrs Soapy Molloy had called the antiques and all like that, was situated on the second floor of that historic edifice. To Mr Carmody, at five-thirty on the following morning, as he propped against the broad sill of the window facing the moat a ladder which he had discovered in one of the barns, it looked much higher. He felt, as he gazed upward, like an inexpert Jack about to mount the longest bean-stalk on record."|"Money for Nothing"|"P. G. Wodehouse"
"ap ~ 05:45"|"about a quarter to six"|"The hour was about a quarter to six. He was thirty feet or so above the ground. And, though reason told him that the window-sill on which he sat was thoroughly solid and quite capable of bearing a much heavier weight, he could not rid himself of the feeling that at any moment it might give way and precipitate him into the depths."|"Money for Nothing"|"P. G. Wodehouse"
"ap 06:05"|"five minutes past six"|"This creature, flaunting a red waistcoat which might have been all right for a frosty day in winter but on a summer morning seemed intolerably loud and struck the jarring note of a Fair Isle sweater in the Royal Enclosure at Ascot, arrived at five minutes past six and, sitting down on the edge of Mr Carmody's window-sill, looked long and earnestly at that unfortunate man with its head cocked on one side."|"Money for Nothing"|"P. G. Wodehouse"
"ap 06:10"|six-ten|"It then flew away and did some rough work among the insects under a bush. At six-ten it returned."|"Money for Nothing"|"P. G. Wodehouse"
"ap ~ 06:35"|"about twenty-five minutes to seven"|"Pondering this problem, it returned to its meal, and Mr Carmody was left for some considerable time to his meditations. It may have been about twenty-five minutes to seven when a voice at his elbow aroused him once more. The Dartmouth Warbler was back again, its eye now a little glazed and wearing the replete look of the bird that has done itself well at the breakfast-table."|"Money for Nothing"|"P. G. Wodehouse"
"ap 07:30"|"half-past seven"|"It was at half-past seven, when he was beginning to feel that he had not tasted food since boyhood, that there sounded from somewhere below on his right a shrill whistling."|"Money for Nothing"|"P. G. Wodehouse"
"ap 05:30"|"half-past five"|"'How long have you been up there?'
'I don't know. Hours. Since half-past five.'
'Half-past five? You mean you got up at half-past five to look for swallows' nests in July?'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 05:30"|"Half-past five"|"'Half-past five? You mean you got up at half-past five to look for swallows' nests in July?'"|"Money for Nothing"|"P. G. Wodehouse"
"ap 05:30"|five-thirty|"'Yes.'
'Having risen from couch at five-thirty ante meridian?'
'Will you kindly stop asking me all these questions.'"|"Money for Nothing"|"P. G. Wodehouse"
07:00|"seven o'clock this morning"|"'Gone clean off his castors. I found him at seven o'clock this morning sitting on a second-floor window-sill. He said he'd got up at five-thirty to look for swallows' nests.'"|"Money for Nothing"|"P. G. Wodehouse"
