17:00|"five o’clock in the afternoon"|"It was five o’clock in the afternoon Eastern Standard Time when the telephone rang in my house on Sullivans Island, South Carolina. My wife, Sallie, and I had just sat down for a drink on the porch overlooking Charleston Harbor and the Atlantic. Sallie went in to answer the telephone and I shouted, “Whoever it is, I’m not here.”"|"The Prince of Tides"|"Pat Conroy"
05:00|"five in the morning"|"“See that,” my father said, crowing. “See the living proof. I’m supposed to eat food a dog won’t touch. I get up at five in the morning, bust my ass catching a shrimp or two, work like a dock nigger from morning till night, then come home and eat food the dumbest dog in the world won’t touch.”"|"The Prince of Tides"|"Pat Conroy"
05:00|"five in the morning"|"Luke, Savannah, and I began a ritual of rising at five in the morning and setting a string of crab pots in the river. We would empty the traps of blue crabs, spilling them into a large barrel centered in the boat and baiting the traps with fresh mullet and trash fish. We began with twenty traps and by summer’s end we were pulling out fifty along twenty miles of river and creek. Because we were new on the river, we had to respect the rights of the commercial crabbers and set out pots in remote channels far from Colleton proper. We ranged far and wide throughout the county, leaving the wire traps as the signature of our passing. Tying white floats to a rope, we would haul the baited traps into the advancing or withdrawing tides. You could follow us from float to float over the wildest, most desolate stretches of our county. At first we worked slowly and our movements were inexpert and wasteful. But we grew into our task, learned the rhythms of the work, and developed an expertise based on our initial mistakes. In the first month, it took us ten minutes to empty a trap of crabs and to bait it again for the next tide. But in the second month, the same operation took us less than two minutes per trap. It was a matter of perfecting the technique of crabbing. We refined our movements; we learned grace and the economy of precise gestures; we learned that crabbing, like everything else, had its own native beauty, its own properties of dance. We broke even the first month because all our profits went into buying new traps. In the second month, we paid the note on our father’s shrimp boat. The older crabbers watched our progress as we brought our catch to be weighed. In the beginning, we were the object of their derision and jokes. By August, we were initiates into their brotherhood. They would gather around to admire Savannah’s rough and calloused hands. They gave sound advice. They taught us the mysteries of their rugged craft. Then, after we had mastered the essentials, they praised us by their silence. We were born to the river and they expected us to be good at what we were born to do."|"The Prince of Tides"|"Pat Conroy"
03:00|"three in the morning"|"We awoke at three in the morning and slipped out of the house through our bedroom window. Soundlessly, we made our way down to the dock, and Luke did not start the motor until we had drifted a quarter of a mile from our house. He turned the boat into the main channel and he headed for the lights of Colleton across the river. He opened up the throttle and we flew through a light, choppy sea on a full tide. We were laughing as we passed under the bridge, but grew silent as we approached the landing at the end of the Street of Tides. Luke cut the motor and we drifted a hundred feet up to the shore where I jumped out and tied the boat to the community dock. We lifted the turtle out of the boat, and stopping often to rest, we moved through the dark abandoned streets of our town toward the Newbury house. We passed beneath the oaks that formed the green canopy along the most distinguished row of houses between Savannah and Charleston. Dogs barked far off in the town. I cut my hand on one of the barnacles that had adhered to the loggerhead’s back. The air was cold and Christmas tree lights winked in some of the windows."|"The Prince of Tides"|"Pat Conroy"
"ap 08:00"|eight|"Each morning he met me at eight; he was always there waiting when I jogged into the park from the Village. We ended our practice sessions in a series of wind sprints where I would race Bernard in the forty-yard dash. On the first day, we ran ten dashes and I won six of them. On Friday of the same week, Bernard won seven of them. After practice I would buy him a Coke and send him home to shower before he began his violin lessons. As his coach, I was making him obedient to a cold and wearying discipline. Because of his desire, he found, to his happy surprise, that he loved it. At the end of the first week, Bernard began to think of himself as a football player. I had transformed him into something he was never supposed to be. He returned the favor by making me feel like a coach again. His mouth still bothered me and he asked too many questions. It took him far too long to learn the basics of the game. But he kept trying and he burned with a love of the sport. He thrilled me and made me understand again the mystery of why I loved to teach boys the rudiments of a game I had played as a child. If a boy came to me in good faith and wanted to learn the game of football, I could make him better than he ever thought he could be. I could light a fire in that boy and other boys would hate to see him on the same field. Already, I could tell that there were boys from Phillips Exeter now asleep in Newport and Westchester who would hurt in the coming autumn because Bernard Woodruff spent his summer learning the fine points of his game in Central Park."|"The Prince of Tides"|"Pat Conroy"
12:00|noon|"But behind the wheel of his shrimp boat, with the dawn spilling its fine oils across the waters and the winches groaning beneath the weight of the nets, my father was the perfect master of his environment. His time on the river had left its mark and he would always look ten years older than his actual age. Each year his wind-tortured face would sag a bit around the edges and the Carolina sun at nigh noon would loosen and flense the pouches beneath the eyes. His skin was hard and leathery and it looked as though you could strike a kitchen match on the stubble of his chin. His hands were rough and his palms were glazed with layers of calluses the color of vellum. He was a hard-working and respected shrimper, but his talents were not amphibious; they did not follow him up onto dry land. Very early on, my father became obsessed with getting off the river. Shrimping was always a “temporary” situation with him. Neither of my parents could ever admit that shrimping was a beautiful way of life. They kept aloof from the shrimping fraternity and cut themselves off from any of those natural alliances so common among peers. Of course, the shrimpers and their wives were far too common for my mother’s speciously cultivated and unattenuated tastes. My parents had no close friends. Together, they spent their whole lives waiting for their luck to change, as though luck were some fabulous tide that would one day flood and consecrate the marshes of our island, christening us in the iridescent ointments of a charmed destiny. It was an article of faith to Henry Wingo that he was a businessman of genius. Never has a man’s basic assumption about himself been so heartbreakingly wrong or caused him or his family so much prolonged and unnecessary grief."|"The Prince of Tides"|"Pat Conroy"
12:00|"high noon"|"He did have a singular talent for extravaganza and he opened Wingo Esso with enough fanfare to bring half the town to his corner of the world. He talked the band director into marching the high school band straight down the Street of Tides at high noon, led by baton-twirling majorettes and Mr. Fruit shimmying and shaking out his own wild improvised dance, keeping time with his whistle, throwing his head straight back into sunlight, then jackknifing forward until his nose nearly touched his shoelaces. When the band made the turn into the gas station, my father released three hundred helium-filled balloons, which rose straight up into the air and hovered over the town like lost flowers. He handed out lollipops and bubble gum to the kids. Roman candles exploded on the roof, showering sparks to the ground. The circus clown showed up late and my father was both surprised and delighted that he was a midget. The clown was drunk and broke a dozen Coke bottles trying to juggle them on the back of our pickup truck. The mayor of Colleton, Boogie Weiters, at the ribbon-cutting ceremony, made a rather impassioned speech on the importance of attracting new industry to Colleton County. The drunk clown shouted that that should be easy since Colleton County had never attracted any old industry. The crowd applauded the clown, who responded with a spectacular handstand on the cab of the pickup. The Volunteer Fire Department arrived with their new fire truck and received a whole tank of gas free of charge because Henry Wingo wanted them to know how much he appreciated the fine job they were doing protecting the property of Colleton. A reporter from the Colleton Gazette interviewed my father and took his picture with the clown sitting on his shoulder. The high school band played a medley of patriotic songs and my father raised an American flag on top of the gas station when they played “The Star-Spangled Banner.” Toward the end of the day, the flag was set afire by an errant Roman candle and was extinguished by the members of the Volunteer Fire Department."|"The Prince of Tides"|"Pat Conroy"
02:00|"two o’clock in the morning"|"“It’s two o’clock in the morning, Savannah,” I said irritably. “Juries don’t even convict people who kill their sisters after being woke up at two o’clock in the morning.”"|"The Prince of Tides"|"Pat Conroy"
12:00|noon|"Good Friday was the day when Amos Wingo each year walked to the shed behind his house in Colleton proper and dusted off the ninety-pound wooden cross he had made in a violent seizure of religious extravagance when he was a boy of fourteen. From noon to three on that commemorative day he would walk up and down the length of the Street of Tides to remind the backsliding, sinful citizenry of my hometown of the unimaginable suffering of Jesus Christ on that melancholy hill above Jerusalem so long ago. It was the summit and the Grand Guignol of my grandfather’s liturgical year; it embodied characteristics of both the saints and the asylum. There was always a lunatic beauty to his walk."|"The Prince of Tides"|"Pat Conroy"
"ap 03:00"|three|"When we were children, both Savannah and I would beg him to take his act to Charleston or Columbia, cities we considered to be far more gaudy and reprehensible in the eyes of the Lord than small, mild Colleton could ever be. My grandmother expressed her own mortification by retreating to her bedroom with a full bottle of Beefeater gin and a collection of back issues of Police Gazette that she had commandeered from Fender’s barbershop. When the walk was completed at three, so was the bottle, and my grandmother would be comatose until late the next morning. When she awoke to her memorial headache, she would find my grandfather on his knees, praying for her sweet, boozy soul."|"The Prince of Tides"|"Pat Conroy"
