"~ 10:00"|"About ten o'clock this morning"|"""Yeah, actually he did. About ten o'clock this morning."" He offers me the pack of unaltered Lucky Strikes and flame spits out of a lighter he holds my way."|"The Last Precinct"|"Patricia Cornwell"
00:00|midnight|"""I talked to you on the phone, remember?"" He attacks from another angle. ""You said you was fine. I told you to sit tight, that we'd found where the son of a bitch was hiding, that we knew he was out somewhere, probably looking for another woman to beat and bite the shit out of. And what do you do, Doc-tor Law Enforcement? You open your fucking door when someone knocks! At fucking midnight!"""|"The Last Precinct"|"Patricia Cornwell"
"> 00:00"|"after midnight"|"I describe to her what happened. Lucy had gone to the Medical College of Virginia to bring Jo home from the hospital, and when they pulled up to my house after midnight, Chandonne and I were in the front yard. The Lucy I conjure up in my memory seems a stranger, a violent person I don't know, her face unrecognizably twisted by rage as she pointed the pistol at him, finger on the trigger, and I pleaded with her not to shoot. She was screaming at him, cursing him as I called out to her, no, no, Lucy, no! Chandonne was in unspeakable pain, blind and thrashing, rubbing snow into his chemically burned eyes, howling and begging for someone to help him. At this point, Anna interrupts my story."|"The Last Precinct"|"Patricia Cornwell"
17:00|"five in the afternoon"|"I shut my eyes. I resist her. No. Please, Lord, don't make me see that. A flash of Benton in the dark, a gun trained on him and the ratcheting sound, the snap of steel as they handcuff him. Taunts. They would taunt him, Mister FBI, you 're so smart, what are we gonna do next. Mister Profiler? Can you read our minds, figure us out, predict? Huh? He wouldn't answer them. He would ask them nothing as they forced him into a small neighborhood grocery store on the western fringes of the University of Pennsylvania that had closed at five in the afternoon. Benton was going to die. They would torment and torture him, and that was the part he would center onhow to short-circuit the pain and degradation he knew they would inflict if they had time. Darkness and the spurt of a match. His face wavering in the light of a small flame that trembles with each stir of air as those two psychopathic assholes move about in the plenum of a shitty little Pakistani grocery store they torched after he was dead."|"The Last Precinct"|"Patricia Cornwell"
"ap 07:30"|seven-thirty|"I am supposed to meet Lucy in front of Waldenbooks at seven-thirty, and I venture back out into the churning herd. I have no sooner parked myself at the appointed spot when I notice a familiar, big, sour-looking man riding up the escalator. Marino bites into a soft pretzel and licks his fingers as he stares at the teenage girl one step above him. Her tight jeans and sweater leave no mysteries about her curves, dips and elevations, and even from this distance, I can tell Marino is mapping her routes and imagining what it would be like to travel them."|"The Last Precinct"|"Patricia Cornwell"
"< 00:00"|"ALMOST MIDNIGHT"|"IT IS ALMOST MIDNIGHT. I SIT BEFORE THE FIRE IN the hand-carved rocker that is the only hint of rusticity in Anna's house. She has set her chair at a deliberate angle so she can look at me but I don't have to look at her if I find myself in sensitive discovery of my own psychological evidence. I have learned of late that I never know what I might find during my conversations with Anna, as if I am a crime scene I am searching for the first time. The lights are switched off in the living room, the fire in its agonal stages of going out. Incandescence spreads along smoldering coals that breathe shades of orange as I tell Anna about a Sunday night in November a little over a year ago, when Benton got uncharacteristically hateful toward me."|"The Last Precinct"|"Patricia Cornwell"
"ap 08:00"|"eight o'clock"|"Rose is tired of yelling through the wall at me. She walks into my office, looking sharp in a gray pants suit and white turtleneck sweater, her gray hair pinned up in a French twist. She is rarely without my big calendar and opens it. She runs her finger over what is written in it for today, peering through half-moon reading glasses. ""The obvious is we now have six cases and it's not even eight o'clock yet,"" she lets me know. ""You're on call for court, but I have a feeling that's not going to happen."""|"The Last Precinct"|"Patricia Cornwell"
"ap 10:30"|"half past ten"|"I go over every inch of him with a lens and the story he tells grows more suspicious. His elbows and knees are slightly abraded and covered with dirt and fibers, which I mundanely collect by pressing them with the adhesive backs of Post-its, which I seal inside plastic bags. Over the bony prominences of both wrists are incomplete circumferential dry, reddish-brown abrasions and minute skin tags. I draw blood from the iliac veins and vitreous fluid from the eyes, and test tubes ride up on the dumbwaiter to the third-floor toxicology lab for STAT alcohol and carbon monoxide tests. At half past ten, I am reflecting back tissue from the Y incision when I notice a tall, older man heading toward my station. He has a wide, tired face and maintains a safe distance from my table, gripping a grocery-size brown paper bag, the top folded over and sealed with red evidence tape. I have a flash of my bagged clothing on my red Jarrah Wood dining room table."|"The Last Precinct"|"Patricia Cornwell"
15:00|"three P. M."|"""I gotta be honest with you, ma'am,"" Stanfield begins with a slow, negative shake of his head. ""We don't got a clue where to start on this one. All I can tell you right now is this man"" he indicates the body on the table""checked into The Fort James Motel and Camp Ground yesterday at three P. M."""|"The Last Precinct"|"Patricia Cornwell"
17:22|"five-twenty-two P. M."|"""And the fire department got there when?""
""They were called at five-twenty-two P. M.""
""Who called?"" I am making notes."|"The Last Precinct"|"Patricia Cornwell"
