"ap 00:50"|"ten to one"|"'Killick was there to prop him up: no, no, 'tis ten to one they are prating about their horsemanship in the Brown Bear tap, the infernal lubbers.' Bonden was Captain Aubrey's coxswain, Killick his steward; and whenever it could be managed they moved with him from one command to the next: both had been bred to the sea from their earliest years - Bonden, indeed, had been born between two of the Indefatigable's lower-deck guns - and while both were prime man-of-war's men, neither was a great hand with a horse. Yet it was clear to all that in common decency the mail addressed to the Commanding Officer of the Sea-Fencibles had to be fetched by a mounted man; and daily the two traversed the Downs on a powerful, thickset cob, conveniently low to the ground."|"Desolation Island"|"Patrick O'Brian"
01:00|"one that very morning"|"Not at all, they said; their patient was not yet ready for them; might they tempt Dr Maturin to a glass of this capital Madeira? They might, said Dr Maturin, and as he drank he observed that it was shocking how corpses had risen: he had been cheapening one that very morning, and the villains had had the face to ask him four guineas - the London price for a provincial cadaver! He had represented to them that their greed must stifle science, and with it their own trade, but in vain: four guineas he had had to pay. In fact he was quite pleased with it: one of the few female corpses he had seen with that curious quasi-calcification of the palmar aponeuroses - fresh, too - but since it was only the hands that interested him at the moment, would either of his colleagues choose to go snacks?"|"Desolation Island"|"Patrick O'Brian"
"ap 06:00"|six|"'I never asked,' said Jack. 'All I know is that he and four others were ordered to be hanged, and I saw three of them run up to the yardarm of the Brunswick with a nightcap over their eyes when I was a youngster in the Tonnant. But the King said it was all stuff to hang young Peter Heywood. So he was pardoned, and presently Black Dick Howe, who had always been fond of him, gave him his commission. I never did learn the ins and outs of it, although Heywood and I were shipmates in the Pox: it is a delicate thing to touch upon, a court-martial - and such a court-martial But we can certainly ask him about Bligh when he comes to the house on Thursday: it is important to know what kind of a man we have to deal with. In any case, I want to ask him about those waters. He knows them well, because he was wrecked in the Endeavour Straits. And even more than that, I want him to tell me about Leopard's little ways: he commanded her in the year five. Or was it six?'"|"Desolation Island"|"Patrick O'Brian"
"ap 08:30"|"half past eight o'clock"|"It was the briefest note, requesting or rather requiring Stephen's presence at the Admiralty at half past eight o'clock rather than at the appointed time of four. The tone was unusual."|"Desolation Island"|"Patrick O'Brian"
08:30|"half past eight this morning"|"'There is,' said Stephen, and he wrote it with an equally cold formality: 'Dr Maturin presents his compliments to Admiral Sievewright, and will wait upon him at half past eight this morning.'"|"Desolation Island"|"Patrick O'Brian"
"ap 08:45"|"quarter to nine"|"At a quarter to nine the Admiral was still waiting for Dr Maturin and indeed at nine o'clock itself, for Stephen, hurrying across the parade, had met the former chief of naval intelligence, Sir Joseph Blaine, a keen entomologist and a sure friend, who had just come from an early meeting at the Cabinet Office. They had a hasty word, for Stephen was already late, contracted to meet later in the day and so parted, Stephen to keep his appointment, and Sir Joseph to walk in St James's Park."|"Desolation Island"|"Patrick O'Brian"
"ap 09:00"|"nine o'clock"|"At a quarter to nine the Admiral was still waiting for Dr Maturin and indeed at nine o'clock itself, for Stephen, hurrying across the parade, had met the former chief of naval intelligence, Sir Joseph Blaine, a keen entomologist and a sure friend, who had just come from an early meeting at the Cabinet Office. They had a hasty word, for Stephen was already late, contracted to meet later in the day and so parted, Stephen to keep his appointment, and Sir Joseph to walk in St James's Park."|"Desolation Island"|"Patrick O'Brian"
03:30|"half past three in the morning"|"'Mr Babbington,' he said, 'I believe you may bear up. She will wear foretopmast- and main-staysails. Course southwest a half west.' As he spoke he saw the quartermaster's hairy face move into the glow of the binnacle-light as he stared at the half-hour glass: the last grains of sand ran out, the quartermaster murmured, 'Shove off, Bill', and a tarpaulined figure, bent low against the driving rain and spray, hurried forward, holding tight to a lifeline stretched fore and aft, to strike seven bells in the middle watch - half past three in the morning. Babbington reached for his speaking-trumpet to call all hands to wear ship. 'Stay,' said Jack. 'Half an hour will make no odds. Wear her at eight bells - there is no point in turning the larbowlines up.'"|"Desolation Island"|"Patrick O'Brian"
"ap 05:00"|5|"The Leopard's logbook wasted no time on causes, nor comments: it confined itself to facts: 'Tuesday, 22d. Wind SE. Course S27W. Distance 45. Position 42°40'N 10'11 'W, Cape Finisterre E by S 12 leagues. Fresh gales, clear weather. People variously employed. At 5 committed bodies of William Simpson, John Alexander, Robert Smith, and Edward Marno to the deep. Swifted foretop-mast futtocks. Killed a bullock weight 522 lb.' While for his part her captain, in his serial letter to his wife, confined himself to effects: there was nothing like a funeral for sobering the crew. This evening none of the midshipmen would go skylarking, which was just as well, since the youngsters who had never been to sea before simply were not up to racing to the masthead and sliding down a backstay with anything like safety if there was a sea running. The child Boyle had brought Jack's heart into his mouth in the chops of the Channel by trying to reach the main-truck, with the ship pitching like a young horse being broke. 'There are ten of them altogether,' he said, 'and I am responsible to their parents: it makes me feel like an anxious hen. Not that some of them are in much danger, except of a beating. The boy I rated captain's servant for Harding's sake, is an odious little villain - I have already had to stop his grog - and there are a couple more among the oldsters, nephews of men who were kind to me, that are more like vermin than anything I like to see on my quarterdeck. But to go back to the funeral. Mr Fisher, the chaplain, read the service in a very proper manner, which pleased all hands; and although I do not care for parsons aboard, it seems to me that we could have done much worse. He is a gentlemanlike fellow; he seems to understand his duty: and at present he is about to sort out the convicts in the forepeak with Stephen, poor unfortunate creatures. As for Stephen, he is grown devilish crabbed, and I am afraid he is far, far from being happy. There is a female convict aboard, the very spit of Diana, and it seems to me that the reminder wounds him: said there was no likeness at all - rapped it out sharp and brought me up all standing. A most striking young woman, and no doubt a person of some consequence, since she berths alone and has her servant, while the others, God help them, live and mess in a hole where we would not keep our pigs. But we have fine weather now, after our blow, and the south-easter I had been praying for. The dear Leopard proves remarkably stiff, and weatherly as well. As I write, we have the wind one point free, and she has been tearing off her nine miles in the hour ever since this morning. At this rate (for I believe the wind is settled in that quarter) we may raise the Island in a fortnight, in spite of our lying-to, and Stephen will have sun and swimming and curious spiders to cheer his heart again. Sweetheart, in the night I was thinking of the stable"|"Desolation Island"|"Patrick O'Brian"
12:00|noon|"Every day at noon, when the sky was clear, the Leopard fixed her position by the sun; and every day the sun climbed higher in the south. As the crucial moment approached, the moment when it should cross the meridian, her captain, her master, all the watch-keeping officers, and all the young gentlemen would train their instruments, hold their breath, bring the sun's limb to the horizon, and record the result. The master would report, 'Noon, sir', to the officer of the watch; the officer of the watch would cross the quarterdeck to the Captain, take off his hat, and say, 'Noon, sir, if you please', and the Captain, who knew it perfectly well from his own sextant, even if he had not heard the master's voice a few yards from him, would say, 'Make it twelve, Mr Babbington' (or Grant or Turnbull, as the case might be) thus setting the boundary between one naval day and the next."|"Desolation Island"|"Patrick O'Brian"
