00:00|midnight|"In principle Aubrey was all agreement: by land he was quite devoted to women indeed, his devotion had very nearly been his undoing before this - and he dearly loved to have their legs under his table. But in the case of these particular legs (an uncommonly elegant pair) and of this particular dinner, his mind was far from easy: in fact uneasiness of one sort or another fairly crammed his mind today, leaving little room for its usual cheerfulness. He had given Laura Fielding, the lady in question, a lift from Valletta to Gibraltar, and in ordinary circumstances it was a perfectly usual thing to carry a fellow-officer's wife from one port to another. These circumstances however were very far from ordinary: Mrs Fielding, an Italian lady with dark red hair, had appeared in the middle of a midnight downpour with no baggage, under the protection of Stephen Maturin, who offered no explanation of her presence, only observing that in Captain Aubrey's name he had promised her a passage to Gibraltar. Jack knew very well that his intimate friend Maturin was deeply concerned with naval and political intelligence and he asked no questions, accepting the situation as a necessary evil. But as a very considerable evil, since rumour had connected Jack's name with Laura's at a time when her husband was a prisoner of war in the hands of the French: yet in this instance rumour was mistaken, for although Jack was at one point very willing to give it consistency Laura was not. Nevertheless the rumour had reached the Adriatic, and there the escaping husband, Lieutenant Charles Fielding of the Navy, had met it aboard HMS Nymphe; and being of an intensely jealous nature had believed it at once. He had followed the Surprise to Gibraltar, landing from the Hecla bomb the night before. On hearing the news Jack had at once sent the pair an invitation to dinner the next day; but in spite of Laura's kind note of acceptance he was by no means convinced that he might not have an exceedingly awkward situation on his hands at half past two o'clock, when he was to receive his guests at Reid's hotel."|"The Far Side of the World"|"Patrick O'Brian"
"ap 02:30"|"half past two o'clock"|"In principle Aubrey was all agreement: by land he was quite devoted to women indeed, his devotion had very nearly been his undoing before this - and he dearly loved to have their legs under his table. But in the case of these particular legs (an uncommonly elegant pair) and of this particular dinner, his mind was far from easy: in fact uneasiness of one sort or another fairly crammed his mind today, leaving little room for its usual cheerfulness. He had given Laura Fielding, the lady in question, a lift from Valletta to Gibraltar, and in ordinary circumstances it was a perfectly usual thing to carry a fellow-officer's wife from one port to another. These circumstances however were very far from ordinary: Mrs Fielding, an Italian lady with dark red hair, had appeared in the middle of a midnight downpour with no baggage, under the protection of Stephen Maturin, who offered no explanation of her presence, only observing that in Captain Aubrey's name he had promised her a passage to Gibraltar. Jack knew very well that his intimate friend Maturin was deeply concerned with naval and political intelligence and he asked no questions, accepting the situation as a necessary evil. But as a very considerable evil, since rumour had connected Jack's name with Laura's at a time when her husband was a prisoner of war in the hands of the French: yet in this instance rumour was mistaken, for although Jack was at one point very willing to give it consistency Laura was not. Nevertheless the rumour had reached the Adriatic, and there the escaping husband, Lieutenant Charles Fielding of the Navy, had met it aboard HMS Nymphe; and being of an intensely jealous nature had believed it at once. He had followed the Surprise to Gibraltar, landing from the Hecla bomb the night before. On hearing the news Jack had at once sent the pair an invitation to dinner the next day; but in spite of Laura's kind note of acceptance he was by no means convinced that he might not have an exceedingly awkward situation on his hands at half past two o'clock, when he was to receive his guests at Reid's hotel."|"The Far Side of the World"|"Patrick O'Brian"
"< 12:00"|"a little before noon"|"Landing at the Ragged Staff a little before noon he sent his barge back to the Surprise, with very unnecessarily repeated instructions to his coxswain about the rig, the cleanliness and the promptitude of those hands who were to assist at the dinner; for the Navy, though often reduced to salt horse and hard tack, ate it in style, every officer and guest having a servant behind his chair, a style that few hotels could equal. Then, observing that the Parade was almost empty, he walked along towards the Alameda gardens, meaning to sit on the bench under the dragon-tree; he did not choose to return to his ship at present, for not only was it painful to him to see her, knowing that she was condemned, but in spite of his efforts the news of her fate had spread and sadness with it, so that the Joyful Surprise, as she was known in the service, was now but a dismal place. The tight, well knit community of some two hundred men was about to fall apart, and he reflected upon the pity of it, the waste - a hand-picked crew of able seamen, many of whom had sailed with him for years and some, like his coxswain, his steward, and four of his bargemen, ever since his first command - they were used to one another, used to their officers - a ship's company in which punishment was extremely rare and where discipline did not have to be imposed since it came naturally - while for gunnery and seamanship he did not know their equal - and this invaluable body of men was to be dispersed among a score of ships or even, in the case of the officers, thrown on shore, unemployed, simply because the five-hundred-ton, twenty-eight-gun Surprise was too small a frigate for modern requirements. Instead of being reinforced and moved as a whole to a larger ship, such as the thousand-ton, thirty-eight-gun Blackwater that Jack had been promised, the crew was to be scattered; while the promise had gone the way of so many promises. The influential Captain Irby had been given the Blackwater, and Jack, whose affairs were in a state of horrible confusion, had no certainty whatsoever of another ship, no certainty of anything at all but half-pay of half a guinea a day and a mountain of debt. Just how high a mountain he could not tell, for all his skill in navigation and astronomy, since several lawyers were concerned, each with a different notion of the case or rather cases. These thoughts were interrupted by a cough and a diffident 'Captain Aubrey, sir. Good day to you.' Looking up he saw a tall thin man of between thirty and forty with his hat raised from his head. He was wearing naval uniform, the threadbare uniform of a midshipman, its white patches yellow in the sun. 'You do not remember me, sir: my name is Hollom, and I had the honour of serving under you in Lively.'"|"The Far Side of the World"|"Patrick O'Brian"
"< 12:00"|"before noon"|"'God damn it, God damn it,' said Jack to himself as Hollom walked away, looking unnaturally stiff. 'This is infernal goddam blackmail.' And then aloud, 'Mr Hollom, Mr Hollom, there.' He wrote in his pocket-book, tore out the page, and said, 'Report aboard the Surprise for duty before noon and show this to the officer of the watch.'"|"The Far Side of the World"|"Patrick O'Brian"
"ap 10:00"|"ten o'clock"|"1. Sir Francis Ives, the Commander-in-Chief, made an image of blue and gold, whose height was about five feet seven inches, and the breadth thereof was about twenty inches. He set it up every ten o'clock, on the quarterdeck of the Queen Charlotte, before Cadiz. z. Then Sir Francis Ives, the Commander-in-Chief, sent to call together the Captain, the officers, the parson, the seamen, and the Marines, to come to the dedication of the image which Sir Francis Ives, the Commander-in-Chief, had set up."|"The Far Side of the World"|"Patrick O'Brian"
12:00|midday|"They looked at one another. Apart from the 'American plan', which was certainly that of Sir Joseph's letter, Stephen very much wanted to know the Admiral's opinion of Jack's conduct in Zambra Bay; Pocock very much wanted to know what Stephen would be at on the heights of Gibraltar at midday. Both questions were improper, but Pocock's was far less important and after a moment he said, 'Perhaps you have an appointment high on the Rock?'"|"The Far Side of the World"|"Patrick O'Brian"
"ap 02:00"|two|"Mr Calamy will point out the way. Bonden, go ahead and make the situation clear even to civilians, if you can: in any event I expect to see the Doctor here at two. Killick will have his number one rig ready to be put on.'"|"The Far Side of the World"|"Patrick O'Brian"
"ap 04:00"|four|"At four bells in the afternoon watch, or two by the clocks in the town, Jack was sitting in front of a small looking-glass in his sleeping cabin with a freshly-laundered cravat the size of a topgallant studdingsail spread out ready to be folded about his neck when he heard a confused thumping, bundling sound on deck, followed by Killick's shrill, indignant, shrewish voice, a cross between that of a much-tried longsoured nursemaid and of an uncommonly rough tarpaulin hatted tobacco-chewing foremast-hand, and by some indistinct oaths."|"The Far Side of the World"|"Patrick O'Brian"
12:00|noon|"Every half hour the ship's bell spoke; the forenoon watch wore away; the ceremony of noon approached. The sun reached its height; the officers and young gentlemen either took its altitude or went through the motions of doing so; and the hands were piped to dinner. Yet through the bellowing of mess numbers and the banging of mess kids, Plaice and Jemmy Ducks stuck doggedly to their tasks in the galley, standing there in the midst of the tide, blocking the fairway fore and aft. They were still there an hour later, angering Tibbets as he cooked and served up dinner for the gunroom"|"The Far Side of the World"|"Patrick O'Brian"
"ap 04:00"|four|"The two seamen were still there, looking pale by now, at four bells in the afternoon watch, when at the first stroke the officers, headed by Pullings, walked into the cabin, while in the galley Killick and the stout black boy who helped him clapped on to the tray bearing the massive lobscouse."|"The Far Side of the World"|"Patrick O'Brian"
"ap 05:00"|five|"'Oh, yes,' said Jack. 'All first-rate ships of the line, all three-deckers have four. And by counting the orlop you could make it five; or even six, with the poop. We only call them three-deckers, you understand. Though now I come to think of it, perhaps when we say deck we really mean the space between two of them. I am very much afraid it ain't quite done,' - hesitating over Martin's place."|"The Far Side of the World"|"Patrick O'Brian"
00:00|midnight|"'No, sir,' said Allen. 'Mr Colnett always said the tides and currents there worked up such lumpish seas it was not worth it. Then coming into soundings again in ninety fathoms at midnight - Mr Colnett always kept the deep-sea lead going, even with so small a crew - he thought we were too near, so we hauled on a wind and in the morning we had no bottom with a hundred and fifty fathom; so we bore up for the Horn, doubled it with more offing than Mr Colnett would have chosen - he liked to keep fairly well in with the land for the sake of the more variable winds - and the next day we saw the Diego Ramirez islands north by east three or four leagues. And what will interest you, sir,'"|"The Far Side of the World"|"Patrick O'Brian"
