"ap 00:09"|12:09|"NOTHING IS MORE SUITABLE to a significant departure than bad weather. It matched my mood, too, the rain that morning in London, the low brown sky leaking drizzle, darkening the porous city of old stone, and because of it—the rain descending like a burden—everyone was hunched, their wet heads cast down, eyes averted, thinking, Filfy wevva. Traffic was louder, the heavy tires swishing in the wet streets. At Waterloo Station I found the right platform for the Eurostar, the 12:09 to Paris."|"Ghost Train to the Eastern Star"|"Paul Theroux"
00:00|midnight|"And then the simplest international departure imaginable: a cursory security check, French immigration formalities, up the escalator to the waiting train, half empty on a wet weekday in early March. In 1973 I had left from Victoria Station in the morning, got off at the coast at Folkestone, caught the ferry, thrashed across the English Channel, boarded another train at Calais, and did not arrive in Paris until midnight."|"Ghost Train to the Eastern Star"|"Paul Theroux"
"~ 12:00"|"around noon"|"Traveling into the darkness of a late-winter evening, knowing that I would be waking up in Vienna only to change trains, I felt that my trip had actually begun, that everything that had happened until now was merely a prelude. What intensified this feeling was the sight of the sodden, deep green meadows, the shadowy river, the bare trees, a chilly feeling of foreignness, and the sense that I had no clear idea where I was but only the knowledge that late tonight we would be passing through Strasbourg on the German border and tomorrow morning we’d be in Austria, and around noon in Budapest, where I’d catch another train. The rhythm of these clanging rails and the routine of changing trains would lead me into central Asia, since it was just a sequence of railway journeys from here to Tashkent in Uzbekistan."|"Ghost Train to the Eastern Star"|"Paul Theroux"
"ap 10:00"|"Ten o’clock"|"Ten o’clock on a cold night in March, the rain smacking the rails; some carriages slid along the platform on creaking wheels, with the welcome word Schlafwagen on the side, lettered in gilt. Why was it I felt no excitement entering a great hotel on a rainy night like this but was thrilled to climb up the stairs of a sleeping car and hand my ticket to a conductor and be shown a couchette? The bed was made, a bottle of mineral water on a little shelf; a sink, a table, a ripe orange on a plate."|"Ghost Train to the Eastern Star"|"Paul Theroux"
12:00|noon|"Vienna for me was just its station and the very platform where Freud diagnosed his own Reisefieber—the anxiety of traveling by rail. He was so fearful of missing a train, he would arrive at the station an hour early, and usually panicked when the train pulled in. Here I got another train, slightly shabby, probably Magyar, for the leg to Budapest, where we were to arrive at noon. Even the landscape was shabbier, flatter, the snow thinner and lying in filthy twists as we rumbled over the border at the Hungarian frontier of GyOr, which was a set of solid buildings dating from the time when this was one of the rusted folds in the Iron Curtain, factories and stubbly fields, bare trees and the late-winter farmland scored with plow marks and skeletal with ribs of snow. “Farmland” seems a pastoral and serene description, but this was the opposite, so dark and dreary, with burst-open barns and broken fences, it looked less like farmland than a sequence of battlefields in a long retreat, the evidence of ambushes in a rear-guard action that ended in a smudge at the horizon, which grew and became human, a yokel on a bicycle."|"Ghost Train to the Eastern Star"|"Paul Theroux"
"ap ~ 09:00"|"around nine"|"As on the previous night en route to Budapest, the sleeping-car conductor punched my ticket, brought me beer, made my bed, and reminded me that we’d be in Bucharest around nine the following morning."|"Ghost Train to the Eastern Star"|"Paul Theroux"
"ap 02:30"|two-thirty|"I was woken by a sudden knock at two-thirty the next morning. I sprang awake, still half drunk, and a slight but fierce Bulgar woman shone a flashlight in my face."|"Ghost Train to the Eastern Star"|"Paul Theroux"
03:00|"Three in the morning"|"Half an hour later we were at the Turkish border, in a town called Kapikule, the heavy rain lashing the open platform and the glittering lights. The night was cold, and big shrouded Turks marched up and down. Three in the morning and all the officialdom of Kapikule had turned out to greet the train. In spite of the score of policemen and soldiers, only one man was processing the train passengers who were entering the Turkish Republic: he sat in a little lighted window while we stood in the rain. I was last, Nikolai next to last. And now I could see the passengers: Romanians, Bulgars, Turks, big families, children in modest clothes, small Slavic boys no more than ten with mustaches as visible as those of their grannies, beetle-browed men—no tourists. With the driving rain, the old train, the intimidating border guards, and the shadowy town behind the prison-like station, it could have been forty years ago, all of us squeezing into the far edge of Turkey like refugees, soaking wet."|"Ghost Train to the Eastern Star"|"Paul Theroux"
"ap ~ 04:30"|"around four-thirty"|"Eventually we got to the window. I bought a Turkish visa for $20 and we had our passports stamped. Then, completely wet and very cold, I re-boarded the train and went to sleep. It was then around four-thirty, and by the time I woke, dawn had broken and we were passing the Sea of Marmara, muddy fields on one side, ships beyond the tracks, the big bold city of domes and minarets in the distance."|"Ghost Train to the Eastern Star"|"Paul Theroux"
12:00|noontime|"We talked about writers’ lovers and pieced together the odd love life of Graham Greene, who remained married to a woman he had not cohabited with for sixty years or more, while chasing women and suffering through three or four grand passions, all of them with married women. His last affair was like a marriage. The woman visited him at his apartment every noontime and prepared his lunch, after which they made love. Then they had a drink, and at nightfall the woman returned home to her husband. This went on for years. The husband knew about it, but his wife said something like “Don’t make me choose.”"|"Ghost Train to the Eastern Star"|"Paul Theroux"
00:00|Midnight|"Over dessert, the other guests who were writers talked about the bur den of being a Turkish writer abroad. Westerners whose knowledge of Turkey was limited to Midnight Express and doner kebabs would challenge them, saying, What about the Armenians? What about the Kurds? How come you torture people?"|"Ghost Train to the Eastern Star"|"Paul Theroux"
