15:30|15:30|"I REMEMBER MISTER DUFFILL BECAUSE HIS NAME LATER BECAME a verb—Molesworth’s, then mine. He was just ahead of me in the line at Platform 7 at Victoria, “Continental Departures.” He was old and his clothes were far too big for him, so he might have left in a hurry and grabbed the wrong clothes, or perhaps he’d just come out of the hospital. He walked treading his trouser cuffs to rags and carried many oddly shaped parcels wrapped in string and brown paper—more the luggage of an incautiously busy bomber than of an intrepid traveler. The tags were fluttering in the draft from the track, and each gave his name as R. Duffill and his address as Splendid Palas Hotel, Istanbul. We would be traveling together. A satirical widow in a severe veil might have been more welcome, and if her satchel was full of gin and an inheritance, so much the better. But there was no widow; there were hikers, returning Continentals with Harrods shopping bags, salesmen, French girls with sour friends, and gray-haired English couples who appeared to be embarking, with armloads of novels, on expensive literary adulteries. None would get farther than Ljubljana. Duffill was for Istanbul—I wondered what his excuse was. I was doing a bunk, myself. I hadn’t nailed my colors to the mast; I had no job—no one would notice me falling silent, kissing my wife, and boarding the 15:30 alone."|"To the Ends of the Earth"|"Paul Theroux"
"ap > 11:00"|"after eleven"|"At the Gare du Nord my car was shunted onto a different engine. Duffill and I watched this being done from the platform and then we boarded. It took him a long time to heave himself up, and he panted with effort on the landing. He was still standing there, gasping, as we pulled out of the station for our twenty-minute trip to the Gare de Lyon to meet the rest of the Direct-Orient Express. It was after eleven, and most of the apartment blocks were in darkness. Duffill, on boarding the Direct-Orient Express, had put on a pair of glasses, wire-framed and with enough Scotch tape on the lenses to prevent his seeing the Blue Mosque. He assembled his parcels and, grunting, produced a suitcase, bound with a selection of leather and canvas belts as an added guarantee against its bursting open. A few cars down we met again to read the sign on the side of the wagon-lit: DIRECT-ORIENT and its itinerary, PARIS-LAUSANNE-MILANO-TRIESTE-ZAGREB-BEOGRAD-SOFIYA-ISTANBUL. We stood there, staring at this sign; Duffill worked his glasses like binoculars. Finally he said, “I took this train in 1929.”"|"To the Ends of the Earth"|"Paul Theroux"
"ap 09:35"|"nine thirty-five"|"At nine thirty-five we stopped at the Italian station of Domodossola, where a man poured cups of coffee from a jug and sold food from a heavily laden pushcart. He had fruit, loaves of bread and rolls, various kinds of salami, and lunch bags that, he said, contained, “tante belle cose.” He also had a stock of wine. An Englishman, introducing himself as Molesworth, bought a Bardolino and (“just in case”) three bottles of Chianti; I bought an Orvieto and a Chianti; and Duffill had his hand on a bottle of claret."|"To the Ends of the Earth"|"Paul Theroux"
"ap 05:00"|"five o’clock"|"Mrs. Jack said, “He got out at a station. He didn’t tell me where. He had left his luggage on the train. Then the train pulled out. He had inquired when the next train was, and they told him the time—five o’clock. Only a few hours, he thought. But he had got mixed up. He thought they meant P.M. and they actually meant A.M.—five the next morning. He had a very bad night, and the next day he went to—where was it? Venice? Yes, he collected his luggage”—the paper bags I had left with the controllore—“and eventually got to Istanbul.”"|"To the Ends of the Earth"|"Paul Theroux"
"ap 05:00"|five|"Mrs. Jack said, “He got out at a station. He didn’t tell me where. He had left his luggage on the train. Then the train pulled out. He had inquired when the next train was, and they told him the time—five o’clock. Only a few hours, he thought. But he had got mixed up. He thought they meant P.M. and they actually meant A.M.—five the next morning. He had a very bad night, and the next day he went to—where was it? Venice? Yes, he collected his luggage”—the paper bags I had left with the controllore—“and eventually got to Istanbul.”"|"To the Ends of the Earth"|"Paul Theroux"
"ap 03:30"|three-thirty|"THERE WERE WOMEN, BUT THEY WERE OLD, SHAWLED against the sun and yoked to green watering cans in trampled cornfields. The landscape was low and uneven, barely supporting in its dust a few farm animals, maybe five motionless cows, and a herdsman leaning on a stick watching them starve in the same way the scarecrows—two plastic bags on a bony crosspiece—watched the devastated fields of cabbages and peppers. And beyond the rows of blue cabbage, a pink pig butted the splintery fence of his small pen and a cow lay under goalposts of saplings in an unused football field. Red peppers, as crimson and pointed as clusters of poinsettias, dried in the sun outside farm cottages in districts where farming consisted of men stumbling after oxen dragging wooden plows and harrows, or occasionally wobbling on bicycles loaded with hay bales. Herdsmen were not simply herdsmen; they were sentries, guarding little flocks from marauders: four cows watched by a woman, three gray pigs driven by a man with a truncheon, scrawny chickens watched by scrawny children. “In Yugoslavia we have three things,” I was told, “freedom, women, and drinking.” A woman in a field tipped a water bottle to her mouth; she swallowed and bent from the waist to continue tying up cornstalks. Large ocher squashes sat plumply in fields of withering vines; people priming pumps and swinging buckets out of wells on long poles; tall narrow haystocks, and pepper fields in so many stages of ripeness I first took them for flower gardens. It is a feeling of utter quietness, deep rural isolation the train briefly penetrates. It goes on without a change for hours, this afternoon in Yugoslavia, and then all people disappear and the effect is eerie: roads without cars or bicycles, cottages with empty windows at the fringes of empty fields, trees heavy with apples and no one picking them. Perhaps it’s the wrong time—three-thirty; perhaps it’s too hot. But where are the people who stacked that hay and set those peppers so carefully to dry? The train passes on—that’s the beauty of a train, this heedless movement—but it passes on to more of the same. Six neat beehives, a derelict steam engine with wildflowers garlanding its smokestack, a stalled ox at a level crossing. In the heat haze of the afternoon my compartment grows dusty, and down at the front of the train Turks lie all over their seats, sleeping with their mouths open and children wakeful on their stomachs. At each river and bridge there were square brick emplacements, like Croatian copies of Martello towers, pocked by bombs. Then I saw a man, headless, bent over in a field, camouflaged by cornstalks that were taller than he; I wondered if I had missed all the others because they were made so tiny by their crops."|"To the Ends of the Earth"|"Paul Theroux"
00:00|midnight|"He enjoyed telling stories against himself. The best one concerned a blonde he had picked up in an Istanbul bar. It was midnight; he was drunk and feeling lecherous. He took the blonde home and made love to her twice, then slept for a few hours, woke up, and made love to her again. Late the next day as he was crawling out of bed he noticed the blonde needed a shave and then he saw the wig and the man’s enormous penis. “ ‘Only Sadik,’ my friends say, “only Sadik can make love to a man three times and think it is a woman!’ But I was very drunk.”"|"To the Ends of the Earth"|"Paul Theroux"
"ap 04:00"|"four o’clock"|"Everything is easy in Peshawar except buying a train ticket. This is a morning’s work and leaves you exhausted. First you consult the timetable, Pakistan Western Railways, and find that the Khyber Mail leaves at four o’clock. Then you go to the Information window and are told it leaves at nine-fifty P.M. The Information man sends you to Reservations. The man in Reservations is not there, but a sweeper says he’ll be right back. He returns in an hour and helps you decide on a class. He writes your name in a book and gives you a chit. You take the chit to Bookings, where, for 108 rupees (about ten dollars), you are handed two tickets and an initialed chit. You go back to Reservations, and wait for the man to return once again. He returns, initials the tickets, examines the chit, and writes the details in a ledger about six feet square."|"To the Ends of the Earth"|"Paul Theroux"
21:50|"nine-fifty P.M."|"Everything is easy in Peshawar except buying a train ticket. This is a morning’s work and leaves you exhausted. First you consult the timetable, Pakistan Western Railways, and find that the Khyber Mail leaves at four o’clock. Then you go to the Information window and are told it leaves at nine-fifty P.M. The Information man sends you to Reservations. The man in Reservations is not there, but a sweeper says he’ll be right back. He returns in an hour and helps you decide on a class. He writes your name in a book and gives you a chit. You take the chit to Bookings, where, for 108 rupees (about ten dollars), you are handed two tickets and an initialed chit. You go back to Reservations, and wait for the man to return once again. He returns, initials the tickets, examines the chit, and writes the details in a ledger about six feet square."|"To the Ends of the Earth"|"Paul Theroux"
07:00|"seven in the morning"|"THE SIGNS IN AMRITSAR STATION (THIRD-CLASS EXIT, SECOND-CLASS LADIES’ WAITING ROOM, FIRST-CLASS TOILET, SWEEPERS ONLY) had given me a formal idea of Indian society. The less formal reality I saw at seven in the morning in the Northern Railways Terminal in Old Delhi. To understand the real India, the Indians say, you must go to the villages. But that is not strictly true, because the Indians have carried their villages to the railway stations. In the daytime it is not apparent—you might mistake any of these people for beggars, ticketless travelers (sign: TICKETLESS TRAVEL IS A SOCIAL EVIL), or unlicensed hawkers. At night and in the early morning the station village is complete, a community so preoccupied that the thousands of passengers arriving and departing leave it undisturbed: they detour around it. The railway dwellers possess the station, but only the new arrival notices this. He feels something is wrong because he has not learned the Indian habit of ignoring the obvious, making a detour to preserve his calm. The newcomer cannot believe he has been plunged into such intimacy so soon. In another country this would all be hidden from him, and not even a trip to a village would reveal with this clarity the pattern of life. The village in rural India tells the visitor very little except that he is required to keep his distance and limit his experience of the place to tea or a meal in a stuffy parlor. The life of the village, its interior, is denied to him."|"To the Ends of the Earth"|"Paul Theroux"
