"ap ~ 07:00"|"around seven o’clock"|"Lorraine and I went to school the following day, and we didn’t get over to the Pigman’s until that night around seven o’clock. That was because when we were heading over there at three thirty, we ran into Dennis and Norton who wanted to know where we were going. We made believe we weren’t going anywhere, so we had to go to the cemetery to have a beer with them. We drink at a special part of the cemetery called Masterson’s Tomb. That’s where all the famous Mastersons are buried, you know. It’s a fantastic place because they have acres and acres all for their own tomb, and it’s fenced in with a private road which they only open up when one of the Mastersons dies. But there is a hole in the fence at one place in the woods, and that’s where all the kids go through."|"The Pigman"|"Paul Zindel"
"ap 03:30"|"three thirty"|"Lorraine and I went to school the following day, and we didn’t get over to the Pigman’s until that night around seven o’clock. That was because when we were heading over there at three thirty, we ran into Dennis and Norton who wanted to know where we were going. We made believe we weren’t going anywhere, so we had to go to the cemetery to have a beer with them. We drink at a special part of the cemetery called Masterson’s Tomb. That’s where all the famous Mastersons are buried, you know. It’s a fantastic place because they have acres and acres all for their own tomb, and it’s fenced in with a private road which they only open up when one of the Mastersons dies. But there is a hole in the fence at one place in the woods, and that’s where all the kids go through."|"The Pigman"|"Paul Zindel"
00:00|midnight|"I think cemeteries are one of the loveliest places to be—if you’re not dead, of course. The hills and green grass and flowers are much nicer than what you get when you’re alive. Sometimes we go there at midnight and hide behind stones to scare the @#$% out of each other."|"The Pigman"|"Paul Zindel"
11:30|"eleven thirty that morning"|"I got most of the work done in plenty of time for John and me to meet the Pigman down at the Staten Island ferryhouse by eleven thirty that morning. Mr. Pignati said he’d meet us there after he had stopped at the zoo to feed Bobo, which was fine with John. He loves to wait for people in the ferryhouse because all the bums and drunks come over. He really drives them crazy. They’ve got drunks and bums all over the Staten Island ferryhouse, but not half as many as they’ve got on the other side at South Ferry. John makes them tell their whole life story before he’ll give them a nickel."|"The Pigman"|"Paul Zindel"
"ap 11:45"|"eleven forty-five"|"The Pigman got there in time for us to get the eleven forty-five boat to Manhattan. I just had to go along on this trip to Beekman’s Department Store because John has absolutely no control over himself. If I had let him and Mr. Pignati go alone, John would have charged half the store. He wouldn’t have done it to be mean. He just isn’t used to people giving him stuff, and that’s what Mr. Pignati wanted to do."|"The Pigman"|"Paul Zindel"
"ap ~ 08:00"|"around eight o’clock"|"So things were really going along fine until one Sunday night in January when there was a snowstorm—and the Pigman had been to the zoo. John and I got over to the house around eight o’clock and were all set to watch a television show when we noticed Mr. Pignati was sad as all get out. I don’t even want to tell you this part, but one of us has to. It’s very depressing; it really is."|"The Pigman"|"Paul Zindel"
"~ 08:45"|"around eight forty-five in the morning"|"On Friday we cut school since that was the last day before Mr. Pignati was due home. We got to the house around eight forty-five in the morning, and I went right into the kitchen and started making breakfast. John wanted scrambled eggs with Sloppy-Joe sauce, and that’s what he got. I just had scrambled eggs with pizza-flavored catsup. I burned the toast a little, and that was the first of a long list of complaints from Mr. John Conlan."|"The Pigman"|"Paul Zindel"
"ap ~ 07:30"|"around seven thirty"|"Dennis came over first around seven thirty because I told him to steal a bottle of 80 proofer out of his father’s whiskey cabinet. His father’s a building inspector, and everybody who doesn’t want to be inspected too much slips him a bottle and a few bucks each month. Dennis also brought some soda mixers and two dozen glasses he got from his mother by telling her I was having a birthday party and they were needed for the lemonade."|"The Pigman"|"Paul Zindel"
"ap 07:30"|"seven thirty"|"At seven thirty Deanna Deas arrived with her best girl friend Helen Kazinski. The two of them together are known as Beauty and the Beast. Helen is so fat you need a shoehorn to get her in the door. Then a few others arrived: Jane Appling, Rocky Romano, Nick Cahill, James Moon, Marlon Brewery, Josephine Adamo, Tony Remeo, Bernie Iatoni, Barney Friman, and Janice Dickery. They were a real nice bunch, but each one of them had a problem all his own. For instance, Jane Appling is six feet two inches tall."|"The Pigman"|"Paul Zindel"
"ap ~ 10:30"|"about ten thirty"|"I waited until about ten thirty before I put my roller skates on and came tearing onto the dance floor. Melissa Dumas dug Lorraine’s pair out of the closet, and she and I did this dance you wouldn’t believe."|"The Pigman"|"Paul Zindel"
