00:00|midnight|"Like all voidhawks, Iasius was a creature of deep space, unable to operate close to the confines of a strong gravity field. It had a lenticular shape, measuring one hundred and ten metres in diameter, thirty metres deep at the centre. The hull was a tough polyp, midnight blue in colour, its outer layer gradually boiling away in the vacuum, replaced by new cells growing up from the mitosis layer. Internally, twenty per cent of its mass was given over to specialist organs—nutrient reserve bladders, heart pumps supplying the vast capillary network, and neuron cells—all packaged together neatly within a cylindrical chamber at the centre of the body. The remaining eighty per cent of its bulk was made up from a solid honeycomb of energy patterning cells which generated the spatial distortion field it used for both propulsion modes. It was those cells which were decaying in ever larger quantities. Like human neurons they were unable to regenerate effectively, which dictated the starship’s life expectancy. Voidhawks rarely saw out more than a hundred and ten years."|"The Reality Dysfunction"|"Peter F. Hamilton"
00:00|midnight|"Acetes found itself propelled out into the naked vacuum. Shattered fragments of Iasius’s hull were spinning away, a dark red hole set in midnight blue receding at a bewildering speed."|"The Reality Dysfunction"|"Peter F. Hamilton"
00:00|midnight|"It slid in over the edge, and hovered above the pedestal closest to her. When it settled she began to glide-run towards it, whooping exuberantly, arms windmilling for balance. Oenone’s smooth midnight-blue hull was marbled by a fine purple web."|"The Reality Dysfunction"|"Peter F. Hamilton"
"ap 01:00"|one|"The hemispherical chamber might have held the central storage system for the offices above; there was no way of telling now. The conduits which had led him loyally this far all snaked in through an open archway, then split at the apex three metres over his head, running down the curving walls like silver ribs. There had been a great deal of electronic equipment in here at one time: slate-grey columns, a metre or so high, with radiator fins running down the outside, the equivalent of human processor-module stacks. Some of them were visible, badly vacuum eroded now, their fragile complex innards mashed beyond salvation, battered ends sticking out of the rubble. Nearly half of the ceiling had collapsed, and the resulting pile of polyp slivers had agglutinated in an alarmingly concave wall, as though the avalanche had halted half-way through. If gravity was ever reapplied here, the whole lot would come crashing down. Whatever force had rampaged through the chamber when the habitat broke apart had left total devastation in its wake."|"The Reality Dysfunction"|"Peter F. Hamilton"
12:00|midday|"By the time the McBoeing dropped to subsonic velocity it had fallen below the vast cloudband sweeping in towards Amarisk’s western coast. The continent ahead covered over eight million square kilometres, stretching from the flood plains of the western coast to a long range of fold mountains in the east. Under the midday sun it glared a brilliant emerald, jungle country, broken by huge steppes in the south where the temperature dropped towards subtropical."|"The Reality Dysfunction"|"Peter F. Hamilton"
12:00|midday|"The vicious black catlike animals were called sayce, the local dog-analogue, with a degree more intelligence than Earth’s canines. Quinn and Jackson saw them as soon as they pushed aside the rug hanging across the doorway and elbowed their way into Donovan’s rear room. It was a baiting arena; three tiers of benches ringing a single pit dug into the floor and lined with cut stone, five metres in diameter, three deep. Bright spotlights were strung up on the rafters, casting a white glare on the proceedings. Every centimetre of bench space was taken. Men and women with flushed red faces, cheering and shouting, soaked in sweat. It was hot in the room, hotter than the spaceport clearing at midday. Big cages were lined up along the back wall, sayce prowling about inside, highly agitated, some of them butting the bars of that ubiquitous black wood, emitting their anguished whine."|"The Reality Dysfunction"|"Peter F. Hamilton"
00:00|midnight|"Joshua caught sight of Zoe, another sometimes girlfriend, who was on the other side of the room, her sleeveless white gown creating a sharp contrast with her midnight-black skin. She met his eye and smiled, wiggling her glass. He recognized one of the other teenage girls in the group she was with, smaller than her, with short blonde hair, wearing a sea-blue sarong skirt and loose matching blouse. Pretty freckled face, a thinnish nose with a slight downward curve at the end, and deep blue eyes. He had met her once or twice before, a quick hello, friend of a friend. His neural nanonics located her visual image in a file and produced the name: Ione."|"The Reality Dysfunction"|"Peter F. Hamilton"
12:00|noon|"The hot rain falling on Durringham had started shortly after daybreak on Wednesday; it was now noon on Thursday and there had been no let-up. The satellite pictures showed there was at least another five hours’ worth of cloud waiting over the ocean. Even the inhabitants, normally unperturbed by mere thunderstorms, had deserted the streets. Scummy water swirled round the stone supports of raised wooden buildings, seeping up through the floorboards. More worryingly, there had been several mudslides on the north-east side of the city. Durringham’s civic engineers (all eight of them) were alarmed that an avalanche effect would sweep whole districts into the Juliffe."|"The Reality Dysfunction"|"Peter F. Hamilton"
"ap > 05:00"|"After five"|"After five daylight passes Niobe reported that there were no unauthorized human buildings within a one-hundred-kilometre radius of Schuster town, and all humans observed within that area were listed in the immigrant file Lori and Darcy had built up. Aboriginal-animal density was within expected parameters, which suggested than even if a group had concealed themselves in caves or stealth-cloaked structures, they weren’t hunting for food. It found no trace of the missing seventeen people."|"The Reality Dysfunction"|"Peter F. Hamilton"
00:00|midnight|"He gave the hand signal, and they advanced steadily through the bush, Jackson Gael on one side of him, Lawrence Dillon on the other. Lawrence was the youngest Ivet, seventeen, with a slim figure, skinny limbs, and sandy blond hair. Lawrence was a gift from God’s Brother. It had taken Quinn a month to break him. There had been the favouritism, the extra food, the smiles and making sure he wasn’t bullied by the others. Then there had been the drugs Quinn had bought from Baxter, the gentle lifts which removed Aberdale and all its squalor and endless toil, blurring away the edges until life was easier again. The midnight rape performed in the middle of the A-frame with everybody watching; Lawrence tied to the floor with a pentagon drawn around him in danderil blood, his mind blown out of his skull by the drugs. Now Lawrence belonged to him, his sweet arse, the golden length of his dick, and his mind. Lawrence’s devotion to Quinn had evolved to a form of worship."|"The Reality Dysfunction"|"Peter F. Hamilton"
02:00|"two in the morning"|"Joshua was up at the bar when the woman approached him. He didn’t even see her until she spoke, his attention was elsewhere. The barmaid’s name was Helen Vanham, she was nineteen, with a dress cut lower than Harkey’s normal, and she seemed eager to serve Joshua Calvert, the starship captain. She said she finished work at two in the morning."|"The Reality Dysfunction"|"Peter F. Hamilton"
02:15|"quarter past two in the morning"|"At quarter past two in the morning, feeling very smug, Joshua managed to give Kelly the slip, and sneaked out of Harkey’s Bar with Helen Vanham. She lived by herself in an apartment a couple of floors below Harkey’s. It was sparsely furnished, the walls of the lounge were bare white polyp; big brightly coloured cushions had been scattered around on a topaz moss floor, several aluminium cargo-pods served as tables with bottles and glasses, a giant AV projector pillar occupied one corner. The archways into different rooms all had folding silk screens for doors. Someone had been painting outlines of animals on them, there were paint pots and brushes lying on one of the pods. Joshua saw new tumours of polyp pushing up through the moss like rock mushrooms: furniture buds starting the slow growth into the form Helen wanted."|"The Reality Dysfunction"|"Peter F. Hamilton"
"ap 11:00"|eleven|"“Oh, I think I might manage to grant you a couple of hours. I’ve got a charity dinner tonight, but I’ll be finished before eleven. Promise.”"|"The Reality Dysfunction"|"Peter F. Hamilton"
12:00|midday|"Of course, Oenone replied. Pernik Island is just over the horizon, it is midday for them. It would be easier to reach from a higher orbit, it added with apparent innocence."|"The Reality Dysfunction"|"Peter F. Hamilton"
