12:00|"high noon"|"""The bone means it's my spear, the captain's,"" he said. ""I stuck it in the ground by the canoe to tell everybody that it's not to be borrowed without permission. There are a lot of things like that for you to learn. Meanwhile, Schwartz can show you your quarters and then give you a guided tour. Report to me at high noon under that irontree there."""|"The Dark Design"|"Philip Jose Farmer"
16:00|16:00|"""Would you care to share some of the fish with me tonight? I'll have them baked piping hot at 16:00 by the waterclock. I will also have a plentiful supply of skull-bloom."""|"The Dark Design"|"Philip Jose Farmer"
12:00|midday|"Shortly before the midday grailstone discharge, a store of dried fish and acorn bread was delivered to Burton."|"The Dark Design"|"Philip Jose Farmer"
"ap 02:03"|"two three"|"Two days passed. The front part of the raft was still beached. The log jam had been cleared away, and the raft had been pushed back toward the water several meters. This was a tedious, back-breaking job. The entire population of the raft, their leader excepted, pried away at the front end with small thin logs as levers. From sunup until sunset, the Babylonian words for ""Heave! One, two three, heave!"" bellowed from hundreds of mouths."|"The Dark Design"|"Philip Jose Farmer"
00:00|midnight|"""Remember how we used to see the shows at the Princess, Columbia, and Apollo theaters?"" Owain said. ""Do you remember the Saturday we decided to find out how many movies we could see in one day? We went to a doublefeature at the Princess, then a double-feature at the Columbia, a triple-feature at the Apollo, and a midnight show at the Madison."""|"The Dark Design"|"Philip Jose Farmer"
12:00|"high noon"|"The. second person he'd seen lacking a mark was a woman, a Mongolian. This had happened at high noon, and the woman had just come out of The River, where she was bathing. Kazz had tried to talk to her, but her hutmate, who did have a mark on his head, had taken the woman away. Evidently, he was jealous. Once more, Kazz's intentions were misunderstood."|"The Dark Design"|"Philip Jose Farmer"
"< 12:00"|"before noon"|"""We seem to have about ten in all to interview,'' Farrington said. ""We'll make our choice after we've talked to everybody. We'll let you know before noon."""|"The Dark Design"|"Philip Jose Farmer"
12:00|noon|"For a while, he stood by the dock area. This was a shallow bay which had been hacked with much labor out of the bank. Stone cut from the base of the mountains had been carried down here and used to line the shore. Wooden docks had been extended from the bank, but these held mainly small catboats, lugboats, and catamarans. Two giant rafts with masts were tied up here, too. These were used for dragonfishing. A number of warcanoes, capable of holding forty men each, were beached near the rafts. Canoes and rowboats were putting out now for fishing. By noon, The River would be heavily salted with small and large boats."|"The Dark Design"|"Philip Jose Farmer"
"< 12:00"|"Shortly before noon"|"Shortly before noon, he knocked off for the lunch hour. Before going down the ladders, he looked out over the hills. Far below, the white hull of the RazzleDazzle shone in the bright sun. Somehow, he was going to be on it when it up-anchored."|"The Dark Design"|"Philip Jose Farmer"
"> 13:00"|"an hour after noon"|"Each day, before dawn, the Minerva lifted for a training flight. Sometimes it stayed aloft until an hour after noon. Sometimes it cruised all day, landing at evening. For the first week, Jill was its only pilot. Then she let each of the trainee pilots and the control gondola officers handle the controls."|"The Dark Design"|"Philip Jose Farmer"
"> 00:00"|"after midnight"|"He looked at Smithers. ""Wrap up the body and take it into one of my bedrooms. Take it out after midnight and drop it into The River. The dragonfish can have him."""|"The Dark Design"|"Philip Jose Farmer"
09:00|"860 hours"|"Chance had thrown its dice, andsohere was Obrenova, a woman who had 860 hours flight time as captain of a giant Soviet airship."|"The Dark Design"|"Philip Jose Farmer"
"~ 15:00"|"about 15:00 hours"|"The narrowness of the valleys and the height' of the mountains made for conditions comparable to those in the glens of Scotland. Generally, it rained every day about 15:00 hours or 3 p.m. in the temperate areas. Usually, a thunderstorm accompanied by rain occurred about 03:00 hours or 3 A.M. in the equatorial zone. This was not a natural phenomenon in the tropics or at least it was believed that it was not. The Parolando scientists suspected that some sort of rain-making machines concealed in the mountains caused this on-schedule precipitation. The energy requirements for this would be enormous, colossal, in fact. But beings who could remake this planet into one Rivervalley, who could provide an estimated thirty-six billion people with three meals a day through energy-matter conversion, could undoubtedly shape the daily weather."|"The Dark Design"|"Philip Jose Farmer"
15:00|"3 p.m."|"The narrowness of the valleys and the height' of the mountains made for conditions comparable to those in the glens of Scotland. Generally, it rained every day about 15:00 hours or 3 p.m. in the temperate areas. Usually, a thunderstorm accompanied by rain occurred about 03:00 hours or 3 A.M. in the equatorial zone. This was not a natural phenomenon in the tropics or at least it was believed that it was not. The Parolando scientists suspected that some sort of rain-making machines concealed in the mountains caused this on-schedule precipitation. The energy requirements for this would be enormous, colossal, in fact. But beings who could remake this planet into one Rivervalley, who could provide an estimated thirty-six billion people with three meals a day through energy-matter conversion, could undoubtedly shape the daily weather."|"The Dark Design"|"Philip Jose Farmer"
"~ 03:00"|"about 03:00 hours"|"The narrowness of the valleys and the height' of the mountains made for conditions comparable to those in the glens of Scotland. Generally, it rained every day about 15:00 hours or 3 p.m. in the temperate areas. Usually, a thunderstorm accompanied by rain occurred about 03:00 hours or 3 A.M. in the equatorial zone. This was not a natural phenomenon in the tropics or at least it was believed that it was not. The Parolando scientists suspected that some sort of rain-making machines concealed in the mountains caused this on-schedule precipitation. The energy requirements for this would be enormous, colossal, in fact. But beings who could remake this planet into one Rivervalley, who could provide an estimated thirty-six billion people with three meals a day through energy-matter conversion, could undoubtedly shape the daily weather."|"The Dark Design"|"Philip Jose Farmer"
03:00|"3 A.M."|"The narrowness of the valleys and the height' of the mountains made for conditions comparable to those in the glens of Scotland. Generally, it rained every day about 15:00 hours or 3 p.m. in the temperate areas. Usually, a thunderstorm accompanied by rain occurred about 03:00 hours or 3 A.M. in the equatorial zone. This was not a natural phenomenon in the tropics or at least it was believed that it was not. The Parolando scientists suspected that some sort of rain-making machines concealed in the mountains caused this on-schedule precipitation. The energy requirements for this would be enormous, colossal, in fact. But beings who could remake this planet into one Rivervalley, who could provide an estimated thirty-six billion people with three meals a day through energy-matter conversion, could undoubtedly shape the daily weather."|"The Dark Design"|"Philip Jose Farmer"
15:00|15:00|"Before 15:00, Firebrass ordered that the vessel be taken up above the rainclouds. He brought it back down at 16:00, and the Parseval rode majestically above the valleys. As the sun descended, both the horizontal and vertical winds would weaken, and the ship could plow through the air more evenly."|"The Dark Design"|"Philip Jose Farmer"
16:00|16:00|"Before 15:00, Firebrass ordered that the vessel be taken up above the rainclouds. He brought it back down at 16:00, and the Parseval rode majestically above the valleys. As the sun descended, both the horizontal and vertical winds would weaken, and the ship could plow through the air more evenly."|"The Dark Design"|"Philip Jose Farmer"
04:00|"04:00 hours"|"She went to her cabin, where she crawled into the bunk and went to sleep almost at once. At 04:00 hours a whistle from the intercom awoke her. She went to the control room to relieve Metzing, the third mate. He stood around a while, talking about his experiences as commander of the LZ-1, then left. Jill did not have much to do, since Piscator was a very competent pilot and the atmospheric conditions were normal. In fact, the Japanese had set the automatic controls on, though he kept a close watch on the indicator panel."|"The Dark Design"|"Philip Jose Farmer"
"~ 23:00"|"about 23:00"|"There were two others present, the radio and the radar operators.
""We should see the mountains at about 23:00,"" she said.
Piscator wondered aloud if they were as high as Joe Miller had estimated. The titanthrop had guessed them to be about 6096 meters or 20,000 feet. Joe, however, was not a good judge of distances, or, at least, not good at converting distances into metrics or the English system."|"The Dark Design"|"Philip Jose Farmer"
15:05|15:05|"At 15:05, radar reported that there was a break in the verticality. Now the airship was over mountains outside the main wall. These mountains were not the continuous process surrounding the sea but were peaks, some of which reached 3040 meters. Then, as they came closer to the break, they saw that between the lesser mountains and the wall was an immense valley."|"The Dark Design"|"Philip Jose Farmer"
"ap ~ 08:00"|"About eight o'clock"|"Courting in those days was not as free and easy as in Peter's day. James had to go to the Kaiser residence on Locust Street, a long trip by streetcar, and be introduced to her uncle and aunt. Then they sat on the front porch with the old folks, eating homemade ice cream and cookies. About eight o'clock, he and Teddy went for a walk around the block, talking of this and that. On returning, he thanked her relatives for their hospitality and said goodbye to Teddy without kissing her. But they corresponded, and, two months later, James made another trip, this time in one of his father's cars. And this time they did a little spooning, mostly in the back row of the local movie house."|"The Dark Design"|"Philip Jose Farmer"
