02:15|"Two-fifteen A.M."|"She held her wrist watch to her ear and it said in its tiny voice, ""Two-fifteen A.M., Mrs. Garden."""|"The Game-Players of Titan"|"Philip K. Dick"
02:15|"Two-fifteen A.M."|"""Mrs. Gaines,"" she grated.
""Two-fifteen A.M., Mrs. Gaines.""
How many people, she wondered, are alive on the face of Earth at this moment? One million? Two million? How many groups, playing The Game? Surely no more than a few hundred thousand. And every time there was a fatal accident, the population decreased irretrievably by one more."|"The Game-Players of Titan"|"Philip K. Dick"
22:00|"ten P.M."|"The radio of her car came on, suddenly; she heard the call-letters of a group in Ontario, Canada, broadcasting on all frequencies in great excitement. ""This is Pear Book Hovel,"" the man declared exultantly. ""Tonight at ten P.M. our time we had luck! A woman in our group, Mrs. Don Palmer, bit her rabbit-paper with no more idea of hoping than she ever did, and—"""|"The Game-Players of Titan"|"Philip K. Dick"
"ap ~ 11:00"|"About eleven"|"""How much issue has Luckman exactly? I've heard it placed at nine or ten.""
""About eleven, by now.""
""Christ!"" Pete said."|"The Game-Players of Titan"|"Philip K. Dick"
"ap 10:00"|ten|"Seated with the spinning device, Pete rolled. His first roll was a nine. To Carol he said, ""I'm doing the best I can."" In his voice there was an overtone of resentment. His new relationship, Freya saw, was getting into motion in the customary way. She smiled to herself. It was impossible not to take a measure of enjoyment in the situation.
Scowling, Pete rolled again. This time it was ten.
""We can't start playing anyhow,"" Janice Remington said brightly. ""We have to wait for Mr. Luckman to get here."""|"The Game-Players of Titan"|"Philip K. Dick"
"ap 01:30"|one-thirty|"""I tell you what,"" she said. ""I'll meet you this afternoon at one-thirty, in downtown San Francisco. At Market and Third. We can have lunch together. Do you think you can slip away from your wife and your Game-playing friend for that?"""|"The Game-Players of Titan"|"Philip K. Dick"
"ap 01:30"|one-thirty|"""I'll see you at one-thirty,"" Pete said. ""At Third and Market."" Unless, he thought, the inchoate syndrome having to do with violence and death and Jerome Luckman becomes actual before then."|"The Game-Players of Titan"|"Philip K. Dick"
18:00|"Six P.M."|"The mechanical voice from the speaker said, ""Six P.M. Mountain Standard Time, Mr. Garden."""|"The Game-Players of Titan"|"Philip K. Dick"
"ap 09:30"|nine-thirty|"The car said, ""At nine-thirty you drove from Marin County, California to Carmel, to the Game Room in the Carmel condominium apartment building."""|"The Game-Players of Titan"|"Philip K. Dick"
"ap 02:15"|two-fifteen|"""You returned at two-fifteen, got back in, and directed me to fly in an East course. I have done so ever since."""|"The Game-Players of Titan"|"Philip K. Dick"
"ap 10:00"|"ten o'clock"|"""Shall we go there now?"" Sharp said, putting his document away in his briefcase and rising to his feet. ""It's only ten o'clock; we may be able to catch her before she goes to bed."""|"The Game-Players of Titan"|"Philip K. Dick"
"ap 01:30"|one-thirty|"""If it can be established that Luckman was dead by one-thirty,"" Joe Schilling said, ""wouldn't that clear Pete?"""|"The Game-Players of Titan"|"Philip K. Dick"
03:00|"Three A.M."|""" 'Lo,"" she mumbled, wondering what time it was. She made out the luminous dial of the clock beside the bed. Three A.M. Good grief."|"The Game-Players of Titan"|"Philip K. Dick"
