05:00|"5:00 A.M."|"Special thanks to Ethan Skerry and Lowenstein Sandler PC for the pro bono work they did to help me establish the Henrietta Lacks Foundation. Thanks to the University of Memphis for a grant that helped with final research and fact-checking for this book. I’m grateful to both my students and colleagues, particularly Kristen Iversen and Richard Bausch, wonderful teachers, writers, and friends. Special thanks to John Cal de-razzo and Lee Gutkind for more than a decade of encouragement, support, and close friendship. John realized I was a writer long before I did, and has always been an inspiration. Lee taught me to care deeply about story structure and gave me entrée into the worlds of professional writing, and working at 5:00 A.M. Many thanks also to Donald Defler, for introducing me to Henrietta, and teaching biology with passion."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"ap 04:00"|"four o’clock"|"Henrietta lay back on the table, feet pressed hard in stirrups as she stared at the ceiling. And sure enough, Jones found a lump exactly where she’d said he would. He described it as an eroded, hard mass about the size of a nickel. If her cervix was a clock’s face, the lump was at four o’clock. He’d seen easily a thousand cervical cancer lesions, but never anything like this: shiny and purple (like “grape Jello,” he wrote later), and so delicate it bled at the slightest touch. Jones cut a small sample and sent it to the pathology lab down the hall for a diagnosis. Then he told Henrietta to go home."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"ap 04:00"|"four o’clock"|"As children, Henrietta and Day awoke each morning at four o’clock to milk the cows and feed the chickens, hogs, and horses. They tended a garden filled with corn, peanuts, and greens, then headed to the tobacco fields with their cousins Cliff, Fred, Sadie, Margaret, and a horde of others. They spent much of their young lives stooped in those fields, planting tobacco behind mule-drawn plows. Each harvest they pulled the wide leaves from their stalks and tied them into small bundles—their fingers raw and sticky with nicotine resin—then climbed the rafters of their grandfather’s tobacco barn to hang bundle after bundle for curing. Each summer day they prayed for a storm to cool their skin from the burning sun. When they got one, they’d scream and run through fields, snatching armfuls of ripe fruit and walnuts that the winds blew from the trees."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"~ 00:00"|"around midnight"|"After each treatment, Henrietta would change back into her clothes and walk the few blocks to Margaret’s house, where she’d wait for Day to pick her up around midnight. For the first week or so, she and Margaret would sit on the porch playing cards or bingo, talking about the men, the cousins, and the children. At that point, the radiation seemed like nothing more than an inconvenience. Henrietta’s bleeding stopped, and if she felt sick from the treatments, she never mentioned it."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"ap > 06:34"|"past 6:34"|"Downtown Clover started at a boarded-up gas station with RIP spray-painted across its front, and ended at an empty lot that once held the depot where Henrietta caught her train to Baltimore. The roof of the old movie theater on Main Street had caved in years ago, its screen landing flat in a field of weeds. The other businesses looked like someone left for lunch decades earlier and never bothered coming back: one wall of Abbott’s clothing store was lined with boxes of new Red Wing work boots stacked to the ceiling and covered in thick dust; inside its long glass counter, beneath an antique cash register, lay rows and rows of men’s dress shirts, still folded starch-stiff in their plastic. The lounge at Rosie’s restaurant was filled with overstuffed chairs, couches, and shag carpet, all in dust-covered browns, oranges, and yellows. A sign in the front window said OPEN 7 DAYS, just above one that said CLOSED. At Gregory and Martin Super Market, half-full shopping carts rested in the aisles next to decades-old canned foods, and the wall clock hadn’t moved past 6:34 since Martin closed up shop to become an undertaker sometime in the eighties."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"ap 04:00"|"four o’clock"|"Soon after Emmett and his friends visited, at four o’clock on the afternoon of September 24, 1951, a doctor injected Henrietta with a heavy dose of morphine and wrote in her chart, “Discontinue all medications and treatments except analgesics.” Two days later, Henrietta awoke terrified, disoriented, wanting to know where she was and what the doctors had been doing to her. For a moment she forgot her own name. Soon after that, she turned to Gladys and told her she was going to die."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
00:15|"12:15 a.m."|"“Henrietta gonna die tonight,” she told him. “She wants you to take care of them kids—I told her I’d let you know. Don’t let nuthin happen to them.”
Henrietta died at 12:15 a.m. on October 4, 1951."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"ap 05:00"|"five o’clock"|"The next morning, Joe went into Deborah’s kitchen and took her good carving knife with the black wood handle. Two days later, on September 15, 1970, Joe went to work at his job driving for a local trucking company. By five o’clock, he and a coworker had shared a fifth of Old Granddad whiskey, then another pint. It was still daylight out when Joe got off work and walked to the corner of Lanvale and Montford Avenues in East Baltimore, where Ivy stood on the front stoop of his house, talking to some friends. Joe crossed the street and said, “Hi Ivy,” then stabbed him in the chest with Deborah’s knife. The blade went straight through Ivy’s heart. He staggered down the street and into a neighbor’s house with Joe close behind, then collapsed facedown into a pool of his own blood, yelling, “Oh, I’m dying—call an ambulance!” But it was too late. When a fireman arrived a few minutes later, Ivy was dead."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
14:00|"two in the afternoon"|"Then there was a thump on the ceiling and the rustling of someone walking around, and Lawrence jumped from the table and ran into the kitchen. “My wife is a fire dragon without morning coffee,” he said. “I better make some.” It was two in the afternoon."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
"~ 06:00"|"around 6:00 a.m."|"On August 8, 1970, around 6:00 a.m., Margaret called each member of the Gey lab’s staff, including a postdoctoral student who’d just flown in on a red-eye from Europe."|"The Immortal Life of Henrietta Lacks"|"Rebecca Skloot"
