"~ 00:00"|"about midnight"|"As near as Percy could figure, it was about midnight when the sun finally set. It got cold in the woods. The stars were so thick, Percy was tempted to stop and gawk at them. Then the northern lights cranked up. They reminded Percy of his mom’s gas stovetop back home, when she had the flame on low—waves of ghostly blue flames rippling back and forth."|"The Son of Neptune"|"Rick Riordan"
"> 00:00"|"after midnight"|"“It’s after midnight, isn’t it? That means it’s June twenty-fourth now. The feast starts tonight at sundown. We have to find our way to Hubbard Glacier, defeat a giant who is undefeatable in his home territory, and get back to Camp Jupiter before they’re overrun—all in less than eighteen hours.”"|"The Son of Neptune"|"Rick Riordan"
"~ 15:00"|"around three in the afternoon"|"She lost track of time, which was easy to do with the summer sun staying up so long. Finally she stopped at a creek for a drink and looked at the sky, thinking it must be around three in the afternoon. Then she heard a train whistle from down in the valley. She realized it had to be the evening run to Anchorage, which meant it was ten at night."|"The Son of Neptune"|"Rick Riordan"
22:00|"ten at night"|"She lost track of time, which was easy to do with the summer sun staying up so long. Finally she stopped at a creek for a drink and looked at the sky, thinking it must be around three in the afternoon. Then she heard a train whistle from down in the valley. She realized it had to be the evening run to Anchorage, which meant it was ten at night."|"The Son of Neptune"|"Rick Riordan"
"ap 01:59"|"one fifty-nine"|"“‘Secretariat,’” Ella said instantly, “‘favored three to two-in the 1973 Kentucky Derby, finished at standing track record of one fifty-nine and two fifths.’”"|"The Son of Neptune"|"Rick Riordan"
00:00|midnight|"“We must talk,” Hylla said. “We don’t have much time. By midnight, I will most likely be dead.”"|"The Son of Neptune"|"Rick Riordan"
19:20|"Nineteen twenty"|"“Real?” The queen studied Hazel carefully. “I worked with the sorceress Circe for many years. I know a returned soul when I see one. When did you die, Hazel—Nineteen twenty? Nineteen thirty?”"|"The Son of Neptune"|"Rick Riordan"
00:00|midnight|"“You see, Hazel, Otrera has challenged me to a duel. Every Amazon has that right. Tonight at midnight, we’ll battle for the throne.”"|"The Son of Neptune"|"Rick Riordan"
12:00|noon|"“It’s, like, dinnertime,” Percy said, though he couldn’t tell from looking outside. The sun was so high, it could’ve been noon."|"The Son of Neptune"|"Rick Riordan"
00:00|midnight|"He picked up the receiver and punched in a New York number—his mom’s apartment. Voice mail. Percy should have figured. It would be like, midnight in New York. They wouldn’t recognize this number."|"The Son of Neptune"|"Rick Riordan"
