00:00|midnight|"Now that I am alone I don’t have to hide it; I don’t have to hide anything any longer. I can let my face go because no one
         can see me; because there’s twenty-one thousand feet between me and them and because now that it’s happening again I couldn’t
         pretend any more even if I wanted to. Now I don’t have to press my teeth together and tighten the muscles of my jaw as I did
         during lunch when the corporal brought in the message; when he handed it to Tinker and Tinker looked up at me and said, ‘Charlie,
         it’s your turn. You’re next up.’ As if I didn’t know that. As if I didn’t know that I was next up. As if I didn’t know it
         last night when I went to bed, and at midnight when I was still awake and all the way through the night, at one in the morning
         and at two and three and four and five and six and at seven o’clock when I got up. As if I didn’t know it while I was dressing
         and while I was having breakfast and while I was reading the magazines in the mess, playing shove-halfpenny in the mess, reading
         the notices in the mess, playing billiards in the mess. I knew it then and I knew it when we went in to lunch, while we were
         eating that mutton for lunch. And when the corporal came into the room with the message — it wasn’t anything at all. It wasn’t
         anything more than when it begins to rain because there is a black cloud in the sky. When he handed the paper to Tinker I
         knew what Tinker was going to say before he had opened his mouth. I knew exactly what he was going to say."|"Over to You"|"Roald Dahl"
01:00|"one in the morning"|"Now that I am alone I don’t have to hide it; I don’t have to hide anything any longer. I can let my face go because no one
         can see me; because there’s twenty-one thousand feet between me and them and because now that it’s happening again I couldn’t
         pretend any more even if I wanted to. Now I don’t have to press my teeth together and tighten the muscles of my jaw as I did
         during lunch when the corporal brought in the message; when he handed it to Tinker and Tinker looked up at me and said, ‘Charlie,
         it’s your turn. You’re next up.’ As if I didn’t know that. As if I didn’t know that I was next up. As if I didn’t know it
         last night when I went to bed, and at midnight when I was still awake and all the way through the night, at one in the morning
         and at two and three and four and five and six and at seven o’clock when I got up. As if I didn’t know it while I was dressing
         and while I was having breakfast and while I was reading the magazines in the mess, playing shove-halfpenny in the mess, reading
         the notices in the mess, playing billiards in the mess. I knew it then and I knew it when we went in to lunch, while we were
         eating that mutton for lunch. And when the corporal came into the room with the message — it wasn’t anything at all. It wasn’t
         anything more than when it begins to rain because there is a black cloud in the sky. When he handed the paper to Tinker I
         knew what Tinker was going to say before he had opened his mouth. I knew exactly what he was going to say."|"Over to You"|"Roald Dahl"
"ap 02:00"|two|"Now that I am alone I don’t have to hide it; I don’t have to hide anything any longer. I can let my face go because no one
         can see me; because there’s twenty-one thousand feet between me and them and because now that it’s happening again I couldn’t
         pretend any more even if I wanted to. Now I don’t have to press my teeth together and tighten the muscles of my jaw as I did
         during lunch when the corporal brought in the message; when he handed it to Tinker and Tinker looked up at me and said, ‘Charlie,
         it’s your turn. You’re next up.’ As if I didn’t know that. As if I didn’t know that I was next up. As if I didn’t know it
         last night when I went to bed, and at midnight when I was still awake and all the way through the night, at one in the morning
         and at two and three and four and five and six and at seven o’clock when I got up. As if I didn’t know it while I was dressing
         and while I was having breakfast and while I was reading the magazines in the mess, playing shove-halfpenny in the mess, reading
         the notices in the mess, playing billiards in the mess. I knew it then and I knew it when we went in to lunch, while we were
         eating that mutton for lunch. And when the corporal came into the room with the message — it wasn’t anything at all. It wasn’t
         anything more than when it begins to rain because there is a black cloud in the sky. When he handed the paper to Tinker I
         knew what Tinker was going to say before he had opened his mouth. I knew exactly what he was going to say."|"Over to You"|"Roald Dahl"
"ap 07:00"|"seven o’clock"|"Now that I am alone I don’t have to hide it; I don’t have to hide anything any longer. I can let my face go because no one
         can see me; because there’s twenty-one thousand feet between me and them and because now that it’s happening again I couldn’t
         pretend any more even if I wanted to. Now I don’t have to press my teeth together and tighten the muscles of my jaw as I did
         during lunch when the corporal brought in the message; when he handed it to Tinker and Tinker looked up at me and said, ‘Charlie,
         it’s your turn. You’re next up.’ As if I didn’t know that. As if I didn’t know that I was next up. As if I didn’t know it
         last night when I went to bed, and at midnight when I was still awake and all the way through the night, at one in the morning
         and at two and three and four and five and six and at seven o’clock when I got up. As if I didn’t know it while I was dressing
         and while I was having breakfast and while I was reading the magazines in the mess, playing shove-halfpenny in the mess, reading
         the notices in the mess, playing billiards in the mess. I knew it then and I knew it when we went in to lunch, while we were
         eating that mutton for lunch. And when the corporal came into the room with the message — it wasn’t anything at all. It wasn’t
         anything more than when it begins to rain because there is a black cloud in the sky. When he handed the paper to Tinker I
         knew what Tinker was going to say before he had opened his mouth. I knew exactly what he was going to say."|"Over to You"|"Roald Dahl"
14:00|"two o’clock in the afternoon"|"I know that I am not a coward. I am certain of that. I will always keep going. Here I am today, at two o’clock in the afternoon,
         sitting here flying a course of one hundred and thirty-five at three hundred and sixty miles an hour and flying well; and although I am so frightened that I can hardly think, yet I am going on to do this thing. There was never any question
         of not going or of turning back. I would rather die than turn back. Turning back never enters into it. It would be easier
         if it did. I would prefer to have to fight that than to have to fight this fear."|"Over to You"|"Roald Dahl"
00:00|midnight|"But during his stay, the old man, who was lonely and had seen no one for many months, was glad of his company and of the opportunity
         to talk. He talked much and the pilot listened. He talked of the lonely life, of the lions that came in the night, of the
         rogue elephant that lived over the hill in the west, of the hotness of the days and of the silence that came with the cold
         at midnight."|"Over to You"|"Roald Dahl"
"ap < 04:00"|"Just before four o’clock"|"Just before four o’clock it began to get very cold and the old man huddled deeper into his blankets and shouted, ‘Are you
         cold out there, Judson? Are you cold?’"|"Over to You"|"Roald Dahl"
07:00|"Seven o’clock in the morning"|"‘What time is it?’
‘Seven o’clock in the morning.’
‘Why can’t I see?’"|"Over to You"|"Roald Dahl"
"ap 06:00"|"six o’clock"|"‘Now what are we going to do?’ said the Stag. ‘It’s six o’clock already.’"|"Over to You"|"Roald Dahl"
"ap 10:00"|"ten o’clock"|"They had one more drink, then they went out. They went to a place called the Excelsior, then they went to a place called the
         Sphinx, then to a small place called by an Egyptian name, and by ten o’clock they were sitting happily in a place which hadn’t
         got a name at all, drinking beer and watching a kind of stage show. At the Sphinx they had picked up a pilot from Thirty-three
         squadron, who said that his name was William. He was about the same age as Stuffy, but his face was younger, for he had not
         been flying so long. It was especially around his mouth that he was younger. He had a round schoolboy face and a small turned-up
         nose and his skin was brown from the desert."|"Over to You"|"Roald Dahl"
