"ap 05:48"|"5 hours 48 minutes"|"A: Bahnhofstrasse was part of the city of Zürich: which was part of the canton of Zürich: which was part of the Democratic Republic of Switzerland: which was part of Europe: which was part of a 41/2-billion-year-old planet, Terra: which completes one rotation upon its polar axis in relation to the sun in every diurnal-nocturnal 24-hour cycle and 1 revolution about a type-G star called Sol in 365 days 5 hours 48 minutes and 46 seconds: which is part of the solar system of nine planets and myriads of asteroids: which is moving together with Sol toward the constellation of Hercules at about 20,000 kilometers per hour: which is part of the galaxy popularly named the Milky Way: which is rotating on its own axis every 8 billion years: which is part of a family of many billion galaxies: which make up the known universe: which Professor Einstein is beginning to suspect is both finite and unbounded, being curved back upon itself four-dimensionally: so that one with infinite energy traveling forever would pass through galaxy after galaxy in a vast space-time orbit coming back eventually to the origin of such an expedition: so that such a one would eventually find again the Milky Way galaxy, the type-G star called Sol, the planet Terra, the continent of Europe, the nation of Switzerland, the canton of Zürich, the city of Zürich, the street called Bahnhofstrasse, the Lorelei Rathskeller: where such thoughts were conceived in the mind of Albert Einstein."|"Masks of the Illuminati"|"Robert Anton Wilson"
"~ 00:00"|"about midnight"|"A: Usually at about midnight; occasionally earlier in the evening if Mr. Joyce had started drinking in the afternoon."|"Masks of the Illuminati"|"Robert Anton Wilson"
"< 12:00"|"before noon"|"Sir John arrived in London before noon, and decided to prepare for the meeting with Jones by spending the afternoon researching old Masonic materials in the British Museum."|"Masks of the Illuminati"|"Robert Anton Wilson"
00:00|midnight|"Preparatory to anything else, Einstein brushed the bulk of the dank barfloor sawdust off Sir John’s expensive but now untidy suit and handed him his Bond Street hat and bucked him up generally in orthodox Samaritan fashion, which he very badly needed. Sir John was not exactly wandering mentally (aside from inscrutable remarks in New York Yiddish) but more than a little unsteady physically and upon his expressed desire for coffee or some brainstem stimulant less mind-fogging than whiskey Joyce suggested right off the bat that he, Babcock, accompany him, Joyce, to his (Joyce’s) lodgings, just a stone’s-throw away from the very spot where they presently stood (or occasionally staggered) on Bahnhofstrasse. This proposal being accepted with alacrity and with much verbose gratitude, the three set off on foot in the hot windswept night since it was considered an improbability verging on the tales of the Brothers Grimm to hope to encounter a carriage for hire at that hour, à propos of which Joyce remarked significantly, “We have heard the chimes at midnight.”"|"Masks of the Illuminati"|"Robert Anton Wilson"
00:00|midnight|"“Yes,” Joyce said. “Henry IV, Part One.” And they both looked at each other anew, finding some mysterious or at least emotionally gratifying bond in a shared acquaintance with the immortal Bard, although only Joyce reflected further that midnight was very much later to Falstaff in his sunrise-sundown agricultural economy than to himself and Babcock in this industrial age—Babcock being occupied with the more prosaic question of just how late it really was, and if they had actually heard the chimes at midnight, how long ago would that have been? —but neither topic was verbalized aloud at that point, all three men proceeding in silence for a while as they were none of them at exactly what you would call their sparkling best or in their keenest wits, Einstein being uncertain about chimes at midnight and little dollinks, Joyce being fogged over by enough beer to float the local navy if the overly tidy Swiss had a hypothetical navy, and Babcock being half-frightened out of his skin, but they did eventually attempt to converse in amiable or at least civil fashion, not at first very successfully inasmuch as both Joyce and Babcock were as nervous as a pair of strange sharks being quite aware on each side of the historical and temperamental abyss between the Anglo-Saxon and Hibernian mentalities. It was therefore doubly unfortunate that Babcock’s first attempt to open the door between their worlds was of an almost baboonlike clumsiness."|"Masks of the Illuminati"|"Robert Anton Wilson"
00:00|midnight|"“It’s a simple natural phenomenon,” Einstein said helpfully. “But I’m sure you don’t want a lecture on internal combustion at this hour.” Actually, he was more interested in observing his two odd companions, hoping that further clues might clarify why Devil Masks were so terrifying to Babcock and what little dollink had heard the chimes at midnight. “It runs on controlled explosions,” he added, hoping that would satisfy them."|"Masks of the Illuminati"|"Robert Anton Wilson"
"ap 02:00"|2|"A: [1] All Hebrew words having the same numerical value must have equivalent meanings; therefore, ACh D (unity) which equals A(l) + Ch(8) + D(4) or 13, is the same as AHBH (love) because A(l) + H(5) + B(2) + H(5) also equals 13; ergo, unity is love and love is unity. [2] Since the Holy Unspeakable Name of God (YHVH) = Y(10) + H(5) + V(6) + H(5) = 26, which is 2 × 13, God is love + unity. [3] Since 7 of the 22 Hebrew letters also correspond to planets, the proportion 22/7 is very important; and, indeed, 22/7 = 3.1415 … etc., the value of TT, or the ratio of the radius of a circle to its circumference."|"Masks of the Illuminati"|"Robert Anton Wilson"
"ap ~ 10:00"|"around ten"|"A few nights later he allowed himself to be cajoled into a bridge game at Viscount Greystoke’s, although that was precisely the sort of idiot pastime he generally despised. He barely endured the early part of the evening—there was much brandy, many cigars, and altogether too much talk about fox-hunting, a sport he despised as inhumane and barbaric. It was with great effort that he refrained from quoting the infamous Wilde’s description of that bloody recreation as “the uneatable pursued by the unspeakable.” Then, around ten, a strange thing happened: he suddenly remembered that the ordinary playing-card deck was derived from the Tarot. The spades were the Wands of Intuition, the hearts the Cups of Sympathy, the clubs the Swords of Reason, the diamonds the Pentacles of Valor: and the structure of the deck corresponded astrologically to fire signs, water signs, air signs and earth signs: 52 weeks in 4 seasons, 52 cards in 4 suits. But if Cabalistic signs were everywhere, the divine essence was also everywhere, and he remembered again that there were no places or times where the visible and invisible worlds did not meet and mingle: he saw the Buddha in everyone, again. The rest of the evening he was so intensely conscious that he seemed to himself to have been half-asleep all his life by comparison; he won trump after trump. The euphoria was with him for nearly a day and a half after, and then gave way to a vague anxiety again when he remembered that many forms of lunacy begin with such excited states of mentation in which every incident and event seems charged with more than human meaning."|"Masks of the Illuminati"|"Robert Anton Wilson"
"ap 03:00"|three|"Einstein, Joyce and Babcock were together again, this time in Einstein’s study, having agreed to meet there at three. The professor was the most chipper of the trio, being recuperated from the long night with the aid of only a few hours’ sleep and the intellectual stimulation of teaching his noon physics class. Joyce was still somewhat hung over, and looked it. Babcock, after drowsing fitfully on a divan in Joyce’s sitting room for most of the morning, was only a little less desperate than the previous night."|"Masks of the Illuminati"|"Robert Anton Wilson"
12:00|noon|"Einstein, Joyce and Babcock were together again, this time in Einstein’s study, having agreed to meet there at three. The professor was the most chipper of the trio, being recuperated from the long night with the aid of only a few hours’ sleep and the intellectual stimulation of teaching his noon physics class. Joyce was still somewhat hung over, and looked it. Babcock, after drowsing fitfully on a divan in Joyce’s sitting room for most of the morning, was only a little less desperate than the previous night."|"Masks of the Illuminati"|"Robert Anton Wilson"
12:00|noon|"“Nun: Death: Apophis, the Destroyer,” said old Verey morbidly. “Sir Talis at noon.”"|"Masks of the Illuminati"|"Robert Anton Wilson"
"< 02:00"|"nearly two in the morning"|"Jones and Sir John spent nearly an hour composing the cable; it was nearly two in the morning when Sir John arrived home at Babcock Manor, totally exhausted."|"Masks of the Illuminati"|"Robert Anton Wilson"
07:00|"seven in the morning"|"If he had bad dreams again, he was unable to remember them, because his butler, Wildeblood, abruptly awakened him at seven in the morning."|"Masks of the Illuminati"|"Robert Anton Wilson"
