"~ 12:00"|"Around noon"|"We settled into a steady rhythm as the morning unfolded. If the war was still going on, there was no sign of it. (The enemy had no permanent bases in Equatoria, Treya said, and the attack had been a flailing last-ditch attempt to keep us from attempting to cross the Arch. Vox had launched a retaliatory strike before her defenses went down; the empty blue sky was probably a sign that the counterattack had been successful.) The rolling land offered no real obstacles, and we aimed ourselves at the pillar of smoke still rising from beyond the horizon. Around noon we crested a small hill that allowed a view to the margins of the island—ocean on three sides, and to windward a hump of land that must have been the next island in the chain."|Vortex|"Robert Charles Wilson"
12:00|noon|"The column of smoke from Vox Core was invisible in the overcast, but two of the dark towers were close enough to serve as landmarks. By mid-morning the fog had thinned and by noon the clouds had lifted and we could hear the sound of the sea."|Vortex|"Robert Charles Wilson"
"> 12:00"|"past noon"|"By the angle of the light I guessed it was past noon when I helped her down the last vertical gap to the roof of the tunnel itself. The roof of the tunnel was broader than it had looked from above and we were able to stand on it safely enough, though it was unnerving to walk on a surface that rounded away on both sides to a sheer drop. It was maybe a half mile to the opposite anchor point, now concealed by mist, where we would have to do another round of serious climbing, with any luck before darkness set in. Night would come fast down here."|Vortex|"Robert Charles Wilson"
00:00|midnight|"“It’s not Orrin so much as the place he used to work. As soon as he got off the bus from Raleigh, Orrin was hired by a man named Findley. Findley operates a warehouse that holds and forwards imported goods, mainly cheap plastic crap from manufacturers in Turkey, Lebanon, Syria. Most of his hires are transients or immigrants without papers. He doesn’t ask for social security numbers and his guys get paid in cash. He put Orrin to work doing the usual lift-and-carry jobs. But Orrin turned out to be an unusual employee by Findley’s standards, which means he came in on time and sober, he was bright enough to follow orders, he never complained and he didn’t care about finding a better job as long his pay was regular. So after a while Findley took him off day work and made him night watchman. Most nights between midnight and dawn Orrin was locked in the warehouse with a phone and a patrol schedule, and all he had to do was conduct an hourly walk-through and call a certain number if he noticed anything unusual.”"|Vortex|"Robert Charles Wilson"
"ap 09:11"|911|"She called 911 and waited in front of the house for the ambulance. Minutes passed like hours. She thought about calling her mother but her mother was at a trade show in Sri Lanka and Sandra didn’t know how to reach her. It was a sunny afternoon in May, beginning to feel like summer in the Boston suburb where Sandra lived. There was no one else on the street. It was as if the houses had gone to sleep. As if all the neighbors had been sealed indoors, like dreams the houses were dreaming."|Vortex|"Robert Charles Wilson"
12:00|midday|"He sat in the midday warmth as if waiting for her to speak. Today, unusually, Sandra wasn’t sure where to begin."|Vortex|"Robert Charles Wilson"
"ap > 10:00"|"past ten"|"It was past ten by the time Sandra finally managed to get hold of Bose. When she explained what had happened he told her to sit tight, he’d be there as soon as he could. Less than half an hour passed before he buzzed her from the security gate in the lobby. She let him in and listened until she heard the sound of the elevator opening in the hall. She waited for his knock before she unhooked the latch and opened the door."|Vortex|"Robert Charles Wilson"
"> 00:00"|"past midnight"|"“I know. But it’s past midnight and we both need to get some sleep. I’ll stay here tonight—if that’s okay with you?”"|Vortex|"Robert Charles Wilson"
12:00|noon|"Sandra arrived at the State Care intake facility at noon. The parking lot was silvered with heat mirages and the air was thick and oppressive, worse, if that was possible, than yesterday. The guard manning the desk at the entrance—his name was Teddy—sat basking in the breeze from a small rotary fan, but he stood up hastily when he recognized Sandra. “Dr. Cole! Hi! Hey, listen, I’m sorry, but I have instructions not to let you pass—”"|Vortex|"Robert Charles Wilson"
"ap 03:30"|"half past three"|"At half past three she stood up, stretched, and headed to the staff washroom. She was surprised to find Jack Geddes sitting in a chair in the hallway opposite her door, humming to himself. “Hey, Jack,” she said. “Are you guarding the medical staff now?”"|Vortex|"Robert Charles Wilson"
"ap > 07:00"|"a few minutes after seven"|"A staff conference—Sandra wasn’t invited—kept Congreve in the building well past his usual departure time. He knocked at her office on his way out, a few minutes after seven. “Still here, Dr. Cole?”"|Vortex|"Robert Charles Wilson"
12:00|noonday|"The better I had come to know Vox Core, the less monolithic it seemed. The five elements of Voxish urban design (Oscar had explained this) were terraces, zones, enclosures, plains, and tiers, each of these terms having a precise technical definition—as I walked and rode that morning I passed through three terraces and an enclosure and caught a glimpse of a plain from a bridge that spanned two tiers. Vox Core ran on a seasonless diurnal cycle, sixteen hours of artificial daylight and eight hours of night, but every sector had its own unique and shifting quality of light. I crossed a terrace in which the light was as diffuse as rainy daylight and I walked through an enclosure illuminated by a point-source as bright as the noonday sun. Come nightfall the busy slopes would glitter like separate cities, while the wooded or grassy plains slipped into silent darkness."|Vortex|"Robert Charles Wilson"
12:00|Noon|"She would have liked to lie here indefinitely—and she guessed she could; she was functionally if not officially unemployed; she had nowhere to go—but some Calvinist impulse caused her to pick up her watch from the bedside table. Noon, a little past. The day half wasted. Shocking."|Vortex|"Robert Charles Wilson"
12:00|noon|"Bose’s idea of “somewhere a little nicer” to eat lunch turned out to be a chain restaurant off the highway. Sandra ordered a sandwich and ignored the cowboy-motif decor and the aggressively cheerful waitstaff. By the time they were served the noon crowd had come and gone and the warehouse-sized dining room was comfortably quiet. Bose polished off a huge plate of steak and eggs in what Sandra imagined was a kind of postcoital protein binge. Over coffee she said, “I guess we’ll never know. About Orrin’s notebooks, I mean. Where all that stuff came from and what it means to him.”"|Vortex|"Robert Charles Wilson"
