"ap 00:00"|twelve|"Rudyard Kipling (1865–1936) was born in Bombay, the son of an Anglo-Indian professor of architectural sculpture. There he was brought up in the care of “ayahs,” or native nurses, who taught him Hindustani and the native lore that always haunted his imagination and can be seen reflected in The Jungle Books. At the age of six, he was sent to England. At twelve, he was sent to a school at Westward Ho!, the scene of Stalky & Co. In 1882, he returned to India and embarked on a career in journalism, writing the news stories as well as the tales and ballads that began to make his reputation. After seven years, he went back to England, the literary star of the hour. He married an American and stayed in Vermont off and on for several years in the 1890s. Then he returned to the English countryside, where he remained, except for a few trips abroad, for the rest of his life. The author of innumerable stories and poems, Rudyard Kipling is best known for Soldiers Three (1888), The Light That Failed (1890), The Jungle Books (1894–95), Captains Courageous (1897), Stalky & Co. (1899), Kim (1901), and Just So Stories (1902). Among many other honors, he received the Nobel Prize for Literature in 1907."|"The Jungle Books"|"Rudyard Kipling"
"ap 07:00"|"seven o’clock"|"IT was seven o’clock of a very warm evening in the Seeonee Hills when Father Wolf woke up from his day’s rest, scratched himself, yawned, and spread out his paws one after the other to get rid of the sleepy feeling in their tips. Mother Wolf lay with her big grey nose dropped across her four tumbling, squealing cubs, and the moon shone into the mouth of the cave where they all lived. “Augrh!” said Father Wolf, “it is time to hunt again.” And he was going to spring down hill when a little shadow with a bushy tail crossed the threshold and whined: “Good luck go with you, O Chief of the Wolves; and good luck and strong white teeth go with the noble children, that they may never forget the hungry in this world.”"|"The Jungle Books"|"Rudyard Kipling"
12:00|mid-day|"ALL that is told here happened some time before Mowgli was turned out of the Seeonee Wolf Pack, or revenged himself on Shere Khan the Tiger. It was in the days when Baloo was teaching him the Law of the Jungle. The big, serious, old brown bear was delighted to have so quick a pupil, for the young wolves will only learn as much of the Law of the Jungle as applies to their own pack and tribe, and run away as soon as they can repeat the Hunting-Verse: “Feet that make no noise; eyes that can see in the dark; ears that can hear the winds in their lairs; and sharp white teeth, all these things are the marks of our brothers except Tabaqui the Jackal and the hyena whom we hate.” But Mowgli, as a man-cub, had to learn a great deal more than this. Sometimes Bagheera the Black Panther would come lounging through the jungle to see how his pet was getting on, and would purr with his head against a tree while Mowgli recited the day’s lesson to Baloo. The boy could climb almost as well as he could swim, and swim almost as well as he could run. So Baloo, the Teacher of the Law, taught him the Wood and Water Laws: how to tell a rotten branch from a sound one; how to speak politely to the wild bees when he came upon a hive of them fifty feet above ground; what to say to Mang the Bat when he disturbed him in the branches at mid-day; and how to warn the water-snakes in the pools before he splashed down among them. None of the Jungle-People like being disturbed, and all are very ready to fly at an intruder. Then, too, Mowgli was taught the Strangers’ Hunting-Call, which must be repeated aloud till it is answered, whenever one of the Jungle-People hunts outside his own grounds. It means, translated: “Give me leave to hunt here because I am hungry”; and the answer is: “Hunt then for food, but not for pleasure.”"|"The Jungle Books"|"Rudyard Kipling"
12:00|mid-day|"They never meant to do any more—the Bandar-log never meant anything at all. But one of them invented what seemed to him a brilliant idea, and he told all the others that Mowgli would be a useful person to keep in the tribe, because he could weave sticks together for protection from the wind; so, if they caught him, they could make him teach them. Of course Mowgli, as a woodcutter’s child, inherited all sorts of instincts, and used to make little huts of fallen branches without thinking how he came to do it, and the Monkey-People, watching in the trees, considered his play most wonderful. This time, they said, they were really going to have a leader and become the wisest people in the jungle—so wise that every one else would notice and envy them. Therefore they followed Baloo and Bagheera and Mowgli through the jungle very quietly till it was time for the mid-day nap, and Mowgli, who was very much ashamed of himself, slept between the panther and the bear, resolving to have no more to do with the Monkey-People."|"The Jungle Books"|"Rudyard Kipling"
12:00|mid-day|"“Not I, perhaps—but I have brought a wise helper.” Grey Brother trotted off and dropped into a hole. Then there lifted up a huge grey head that Mowgli knew well, and the hot air was filled with the most desolate cry of all the jungle—the hunting-howl of a wolf at mid-day."|"The Jungle Books"|"Rudyard Kipling"
12:00|noon|"“By the bull that bought me,” said Mowgli, who was trying to get at the shoulder, “must I stay babbling to an old ape all noon? Here, Akela, this man plagues me.”"|"The Jungle Books"|"Rudyard Kipling"
"~ 00:00"|"about midnight"|"Curiously enough, there was another seal who thought that she would put off marrying till the next year, and Kotick danced the Fire Dance with her all down Lukannon Beach the night before he set off on his last exploration. This time he went westwards, because he had fallen on the trail of a great shoal of halibut, and he needed at least one hundred pounds of fish a day to keep him in good condition. He chased them till he was tired, and then he curled himself up and went to sleep on the hollows of the ground-swell that sets in to Copper Island. He knew the coast perfectly well, so about midnight, when he felt himself gently bumped on a weed bed, he said: “Hm, tide’s running strong to-night,” and turning over under water opened his eyes slowly and stretched. Then he jumped like a cat, for he saw huge things nosing about in the shoal-water and browsing on the heavy fringes of the weeds."|"The Jungle Books"|"Rudyard Kipling"
00:00|midnight|"The song of blowing squadrons that shuffled down the dunes—
The song of midnight dances that churned the swell to flame—
The Beaches of Lukannon—before the sealers came!"|"The Jungle Books"|"Rudyard Kipling"
"ap 01:02"|one-two|"At last there was no sound of any more elephants moving in the forest, and Kala Nag rolled out from his station between the trees and went into the middle of the crowd, clucking and gurgling, and all the elephants began to talk in their own tongue, and to move about. Still lying down, Little Toomai looked down upon scores and scores of broad backs, and wagging ears, and tossing trunks, and little rolling eyes. He heard the click of tusks as they crossed other tusks by accident, and the dry rustle of trunks twined together, and the chafing of enormous sides and shoulders in the crowd, and the incessant flick and hissh of the great tails. Then a cloud came over the moon, and he sat in black darkness. But the quiet, steady hustling and pushing and gurgling went on just the same. He knew that there were elephants all round Kala Nag, and that there was no chance of backing him out of the assembly; so he set his teeth and shivered. In a keddah at least there was torch-light and shouting, but here he was all alone in the dark, and once a trunk came up and touched him on the knee. Then an elephant trumpeted, and they all took it up for five or ten terrible seconds. The dew from the trees above spattered down like rain on the unseen backs, and a dull booming noise began, not very loud at first, and Little Toomai could not tell what it was. But it grew and grew, and Kala Nag lifted up one fore foot and then the other, and brought them down on the ground—one-two, one-two, as steadily as trip-hammers. The elephants were stamping all together now, and it sounded like a war-drum beaten at the mouth of a cave. The dew fell from the trees till there was no more left to fall, and the booming went on, and the ground rocked and shivered, and Little Toomai put his hands up to his ears to shut out the sound. But it was all one gigantic jar that ran through him—this stamp of hundreds of heavy feet on the raw earth. Once or twice he could feel Kala Nag and all the others surge forward a few strides, and the thumping would change to the crushing sound of juicy green things being bruised, but in a minute or two the boom of feet on hard earth began again. A tree was creaking and groaning somewhere near him. He put out his arm and felt the bark, but Kala Nag moved forward, still tramping, and he could not tell where he was in the clearing. There was no sound from the elephants, except once, when two or three little calves squeaked together. Then he heard a thump and a shuffle, and the booming went on. It must have lasted fully two hours, and Little Toomai ached in every nerve, but he knew by the smell of the night air that the dawn was coming."|"The Jungle Books"|"Rudyard Kipling"
01:00|"One That Comes by Night"|"“Only the First of the Tigers was not with us, for he was still hidden in the Marshes of the North, and when word was brought to him of the Thing we had seen in the cave, he said: ‘I will go to this Thing and break his neck.’ So he ran all the night till he came to the cave, but the trees and the creepers on his path, remembering the order Tha had given, let down their branches and marked him as he ran, drawing their fingers across his back, his flank, his forehead, and his jowl. Wherever they touched him there was a mark and a stripe upon his yellow hide. And those stripes do his children wear to this day! When he came to the cave, Fear, the Hairless One, put out his hand and called him ‘the Striped One That Comes by Night,’ and the First of the Tigers was afraid of the Hairless One, and ran back to the swamps howling.”"|"The Jungle Books"|"Rudyard Kipling"
