00:00|midnight|"* Had I arrived a little earlier in the century I would have had to take scrupulous care with the timetables: Although all railway trains ran to European time, the Bosporus ferries ran to Ottoman time, on a clock that marked the start of the day not at midnight, but at sunset."|"The Fracture Zone"|"Simon Winchester"
12:00|noon|"Albert Meisel, who has since died, was to become an unwitting agent in this story because of a remark he made as we drove down a motorway in southern England. Up to that point all had been going flawlessly: As soon as I agreed to take him along he had flown across the Atlantic, made a perfectly scheduled rendezvous with us—I was traveling with my then wife and twelve-year-old son—outside the Guardian office in London at noon on the appointed day, and we had taken off promptly to catch the three o’clock Calais packet-boat. However, about an hour out of London, as we were speeding southeastward along the M2 in Kent, Albert suddenly glimpsed the towers of Canterbury Cathedral going past in a blur on the left, and asked, in what I thought an unnecessarily querulous tone, why we weren’t stopping to have a look?"|"The Fracture Zone"|"Simon Winchester"
"ap 03:00"|"three o’clock"|"Albert Meisel, who has since died, was to become an unwitting agent in this story because of a remark he made as we drove down a motorway in southern England. Up to that point all had been going flawlessly: As soon as I agreed to take him along he had flown across the Atlantic, made a perfectly scheduled rendezvous with us—I was traveling with my then wife and twelve-year-old son—outside the Guardian office in London at noon on the appointed day, and we had taken off promptly to catch the three o’clock Calais packet-boat. However, about an hour out of London, as we were speeding southeastward along the M2 in Kent, Albert suddenly glimpsed the towers of Canterbury Cathedral going past in a blur on the left, and asked, in what I thought an unnecessarily querulous tone, why we weren’t stopping to have a look?"|"The Fracture Zone"|"Simon Winchester"
12:00|midday|"It was while the infidels were celebrating Christmas Day that the high chamberlain and the court-martial arrived from Topkapi at Belgrade’s imperial palace, and demanded the return of the three most important signs of Kara Mustafa’s tokens of office—the imperial seal, the holy banner, and the key to the Kaaba, the building containing the black stone at the Great Mosque in Mecca. The emissaries then delivered their sentence to the vizier, who was beginning midday prayers. The formula is archaic, and rather charming: “Whereas for the Defeat of Our Armies at the City of Vienna Thou deservest to Die, it is Our Pleasure that Thou entrust Thy Soul to the Ever Merciful Lord, and that Thou allow to be Delivered Thy Head to these our Messengers.”"|"The Fracture Zone"|"Simon Winchester"
"ap 07:00"|seven|"We sat in the sun and drank tea—no beer before seven, SFOR rules—and I told him about the troubles that the IMC had enforcing anything. “It falls to us, then,” said His Noble Lordship. “Very simple, really. If push comes to shove we don’t bother to go through the whole rigmarole of warning them and asking them to stop. We don’t go to their offices—no point, really, if you want to act decisively. We just go up to the hill where they have the transmitter—there’s usually no one there, or perhaps just a chokidar and we find the switch, and flick it up. Bingo! Turns everything off. And then we put a couple of sentries there so they can’t go back and turn it on, and if they do, we blow it up. Quite simple, really. Miserable for the sentries in winter, of course. But it’s the only kind of thing some of these chaps understand. A bit of decisiveness.”"|"The Fracture Zone"|"Simon Winchester"
02:00|"two in the morning"|"But he perked up when I told him I lived in New York. He was due to come to play in Weehawken, New Jersey, in a few weeks’ time: The Croatian-American Fraternity Union paid the fares and then was sending his band on to Pittsburgh, where a quarter of a million Croats live. He slapped us both on the back, and folded us in his arms, and led us off to his tiny bar beside the Church of St. Blaise. We sat there drinking slivovitz (plum brandy) until two in the morning, when his exceptionally disagreeable and very ugly dog bit Rose in the ankle, and we decided to limp back to the Excelsior."|"The Fracture Zone"|"Simon Winchester"
04:00|"four in the morning"|"By dusk we are in the smart little mountain town of Tetovo, thirty miles shy of the Macedonian capital. I had made a phone call: There were no rooms in Skopje, and so it seemed sensible to spend the night here. We found a motel beside a gas station, with rooms both for us and for Monday and his friend. It was a noisy night. The waitress, a glamorous blond who served us drinks while wearing a dress that might have been sprayed on, whose top half was so sheer as to be almost transparent, made extravagantly noisy love in the room next to ours. And then at four in the morning there came the crashing, screeching, grinding noise of steel tracks on an asphalt road. I looked out of the window: A column, miles long, of German Wehrmacht tanks and armored cars and self-propelled guns was grinding its way northward, just below the window. The great invasion was getting noisily under way."|"The Fracture Zone"|"Simon Winchester"
"ap > 04:00"|"A LITTLE after four o’clock"|"IT WAS A LITTLE after four o’clock on a cool and starlit Balkan summer morning, the water meadow by the border was quiet and deserted. The main road beside it was quiet, too, but, as our eyes became accustomed to the dark, so we could see that the northbound lane was lined with scores of jeeps and armored cars and, lying on the dew-damp asphalt, hundreds upon hundreds of sleeping soldiers. A scattering of the officers who would command them were in the back of their Land Rovers, hunched over maps lit by pools of red light from night-lamps. Some were smoking. All were fidgeting. Everyone was waiting."|"The Fracture Zone"|"Simon Winchester"
05:30|"5:30 in the morning"|"Rose and I had arrived from Albania on the evening of Thursday, June 10. The next day, Friday, was when the forces were first scheduled to make their entry, but it turned out instead to be a hectic and surreally confused day, with the Russian government indulging in a subtle and dangerous power play that caused angst and irritation among the Western allies, and ended up causing a twenty-four-hour postponement. But now matters had been at least partially resolved. The Serbian forces that were supposed, under the terms of the previous week’s agreement, to be leaving Kosovo, were now in the process of doing so. It was vitally important that there was no vacuum between the departure of one force and the arrival of another. To avoid the possibility of anarchy, or the seizure of the province by any one or more of the guerrillas and paramilitary groups with which the region was blessed, or cursed, depending on your viewpoint, NATO now had to move very fast. So it came as no surprise late on that hectic Friday afternoon when we were told that H hour, the moment when the Allied forces would formally start to roll into Kosovo, was now to be 5:30 in the morning of Saturday, June 12. British forces, it was decided, would be the first to go in. A battalion of Gurkhas* first, then paratroops, and behind them a great deal of very protective heavy armor and a number of extremely large guns."|"The Fracture Zone"|"Simon Winchester"
"ap > 03:00"|"shortly after three o’clock"|"In anticipation of what we would be likely to see, the two of us, along with an Australian colleague from a newspaper in Melbourne, managed to reach the Kosovo frontier line shortly after three o’clock. There, beside the Blace water meadow that I was now seeing for the third time, along with a scattering of others who were curious to witness the denouement of this long Balkan crisis, we waited, and waited, in the cool and deceptive peace of this strange Macedonian dawn."|"The Fracture Zone"|"Simon Winchester"
