"ap 03:00"|"three o'clock"|"It was as a part of all this commonplaceness that she regarded
the treatise on village-improvement. But she suddenly stopped
fidgeting. She strode into the book. She had fled half-way through
it before the three o'clock bell called her to the class in English
history."|"Main Street"|"Sinclair Lewis"
"ap 01:50"|one-fifty|"""Gopher Prairie is going to have a great future. Some of the
best dairy and wheat land in the state right near there—some of it
selling right now at one-fifty an acre, and I bet it will go up to
two and a quarter in ten years!"""|"Main Street"|"Sinclair Lewis"
"ap 07:00"|seven|"""Yep. I get good time out of the flivver. 'Bout a week ago I
motored down to New Wurttemberg. That's forty-three——No, let's see:
It's seventeen miles to Belldale, and 'bout six and three-quarters,
call it seven, to Torgenquist, and it's a good nineteen miles from
there to New Wurttemberg—seventeen and seven and nineteen, that
makes, uh, let me see: seventeen and seven 's twenty-four, plus
nineteen, well say plus twenty, that makes forty-four, well anyway,
say about forty-three or -four miles from here to New Wurttemberg.
We got started about seven-fifteen, prob'ly seven-twenty, because I
had to stop and fill the radiator, and we ran along, just keeping
up a good steady gait——"""|"Main Street"|"Sinclair Lewis"
12:00|noon|"At noon they drove into her first farmyard, a private village, a
white house with no porches save a low and quite dirty stoop at the
back, a crimson barn with white trimmings, a glazed brick silo, an
ex-carriage-shed, now the garage of a Ford, an unpainted
cow-stable, a chicken-house, a pig-pen, a corn-crib, a granary, the
galvanized-iron skeleton tower of a wind-mill. The dooryard was of
packed yellow clay, treeless, barren of grass, littered with rusty
plowshares and wheels of discarded cultivators. Hardened trampled
mud, like lava, filled the pig-pen. The doors of the house were
grime-rubbed, the corners and eaves were rusted with rain, and the
child who stared at them from the kitchen window was smeary-faced.
But beyond the barn was a clump of scarlet geraniums; the prairie
breeze was sunshine in motion; the flashing metal blades of the
windmill revolved with a lively hum; a horse neighed, a rooster
crowed, martins flew in and out of the cow-stable."|"Main Street"|"Sinclair Lewis"
12:00|noon|"Till they had a maid they took noon dinner and six o'clock
supper at Mrs. Gurrey's boarding-house."|"Main Street"|"Sinclair Lewis"
"ap 06:00"|"six o'clock"|"Till they had a maid they took noon dinner and six o'clock
supper at Mrs. Gurrey's boarding-house."|"Main Street"|"Sinclair Lewis"
12:00|noon|"Mrs. Bogart was not the acid type of Good Influence. She was the
soft, damp, fat, sighing, indigestive, clinging, melancholy,
depressingly hopeful kind. There are in every large chicken-yard a
number of old and indignant hens who resemble Mrs. Bogart, and when
they are served at Sunday noon dinner, as fricasseed chicken with
thick dumplings, they keep up the resemblance."|"Main Street"|"Sinclair Lewis"
"ap 07:45"|"quarter to eight"|"She had reached the calmness of not caring whether her guests
liked the party or not, and a state of satisfied suspense in regard
to Bea's technique in serving, before Kennicott cried from the
bay-window in the living-room, ""Here comes somebody!"" and Mr. and
Mrs. Luke Dawson faltered in, at a quarter to eight. Then in a shy
avalanche arrived the entire aristocracy of Gopher Prairie: all
persons engaged in a profession, or earning more than twenty-five
hundred dollars a year, or possessed of grandparents born in
America."|"Main Street"|"Sinclair Lewis"
"ap 10:00"|"ten
o'clock"|"Bjornstam could do anything with his hands—solder a pan, weld an
automobile spring, soothe a frightened filly, tinker a clock, carve
a Gloucester schooner which magically went into a bottle. Now, for
a week, he was commissioner general of Gopher Prairie. He was the
only person besides the repairman at Sam Clark's who understood
plumbing. Everybody begged him to look over the furnace and the
water-pipes. He rushed from house to house till after bedtime—ten
o'clock. Icicles from burst water-pipes hung along the skirt of his
brown dog-skin overcoat; his plush cap, which he never took off in
the house, was a pulp of ice and coal-dust; his red hands were
cracked to rawness; he chewed the stub of a cigar."|"Main Street"|"Sinclair Lewis"
23:57|"three till midnight"|"In the mid-afternoon of this same day Kennicott was called into
the country. It was Bea's evening out—her evening for the Lutheran
Dance. Carol was alone from three till midnight. She wearied of
reading pure love stories in the magazines and sat by a radiator,
beginning to brood."|"Main Street"|"Sinclair Lewis"
