12:00|noon|"By the time they stopped for their noon meal, they could clearly see the building ahead—a many-turreted palace which appeared to be made entirely of reflective glass. The thinny lay close around it, but the palace rose serenely above all, its turrets trying for the sky. Madly strange here in the flat countryside of eastern Kansas, of course it was, but Susannah thought it the most beautiful building she had ever seen in her life; even more beautiful than the Chrysler Building, and that was going some."|"Wizard and Glass"|"Stephen King"
03:00|"three this very night"|"She opened her mouth—to protest again, she supposed, perhaps to tell him that Pat Delgado’s daughter could take care of herself—and then she thought of the Mayor’s new men, and the cold way they had run their eyes over her when Thorin’s attention had been elsewhere. She had seen those three this very night as she left on her way to the witch’s hut. Them she had heard approaching, and in plenty of time for her to leave the road and rest behind a handy piñon tree (she refused to think of it as hiding, exactly). Back toward town they had gone, and she supposed they were drinking at the Travellers’ Rest right now—and would continue to until Stanley Ruiz closed the bar—but she had no way of knowing that for sure. They could come back."|"Wizard and Glass"|"Stephen King"
"> 00:00"|"After midnight"|"Now the smile which had played briefly around the corners of his mouth dropped away. “We pushed it too far and the fun stopped. Fools have a way of doing that. One night there was a race. One moonless night. After midnight. All of us drunk. One of the horses caught his hoof in a gopher-hole and snapped a foreleg. He had to be put down.”"|"Wizard and Glass"|"Stephen King"
"ap 02:00"|"two of the clock"|"In the last hour before dawn, the public room of the Travellers’ Rest was as quiet as it ever became. The gaslights which turned the chandelier into a brilliant jewel until two of the clock or so on most nights were now turned down to guttering blue points, and the long, high room was shadowy and spectral."|"Wizard and Glass"|"Stephen King"
"> 00:00"|"after midnight"|"A small table stood by itself near the batwing doors which gave upon the Hambry High Street; it was here that Coral Thorin, owner of the Travellers’ Rest (and the Mayor’s sister), sat on the nights when she descended from her suite “to be a part of the company.” When she came down, she came down early—when there were still more steaks than whiskey being served across the old scratched bar—and went back up around the time that Sheb, the piano player, sat down and began to pound his hideous instrument. The Mayor himself never came in at all, although it was well-known that he owned at least a half-interest in the Travellers’. Clan Thorin enjoyed the money the place brought in; they just didn’t enjoy the look of it after midnight, when the sawdust spread on the floor began to soak up the spilled beer and the spilled blood. Yet there was a hard streak in Coral, who had twenty years before been what was called “a wild child.” She was younger than her political brother, not so thin, and good-looking in a large-eyed, weasel-headed way. No one sat at her table during the saloon’s operating hours—Barkie would have put a stop to anyone who tried, and double-quick—but operating hours were over now, the drunks mostly gone or passed out upstairs, Sheb curled up and fast asleep in the corner behind his piano. The softheaded boy who cleaned the place had been gone since two o’ the clock or so (chased out by jeers and insults and a few flying beer-glasses, as he always was; Roy Depape in particular had no love in his heart for that particular lad). He would be back around nine or so, to begin readying the old party-palace for another night of hilarity, but until then the man sitting at Mistress Thorin’s table had the place to himself."|"Wizard and Glass"|"Stephen King"
"~ 03:00"|"about three in the morning"|"“For the game of Castles we may have to play,” Jonas said, and all the lightness dropped out of his voice. “We’re to believe that these boys have been sent here more as punishment than to do any real job of work. It sounds plausible, too. I’ve known rakes in my time, and it sounds plausible, indeed. I believe it each day until about three in the morning, and then a little doubt sets in. And do you know what, Clay?”"|"Wizard and Glass"|"Stephen King"
"ap 08:00"|eight|"“Thank you for the tea, and for the welcome,” Roland said. “Please send a message to Mayor Thorin, thanking him for his kindness and telling him that he’ll see us tomorrow, at eight o’ the clock, prompt.”"|"Wizard and Glass"|"Stephen King"
"ap ~ 10:00"|"Around ten"|"Around ten o’ the clock, the trio of young men from the Inner Baronies made their manners to host and hostess, then slipped off into the fragrant summer night. Cordelia Delgado, who happened to be standing near Henry Wertner, the Barony’s stockliner, remarked that they must be tired. Wertner laughed at this and replied in an accent so thick it was almost comic: “Nay, ma’am, byes that age’re like rats explorin en woodpile after hokkut rain, so they are. It’ll be hours yet before the bunks out’ta Bar K sees em.”"|"Wizard and Glass"|"Stephen King"
"ap 11:00"|eleven|"By eleven, the Mayor, his Chancellor, and the chief of his newly inaugurated security staff were conversing in the Mayor’s study with the last few late-staying guests (all ranchers, all members of the Horsemen’s Association). The talk was brief but intense. Several of the ranchers present expressed relief that the Affiliation’s emissaries were so young. Eldred Jonas said nothing to this, only looked down at his pale, long-fingered hands and smiled his narrow smile."|"Wizard and Glass"|"Stephen King"
00:00|midnight|"By midnight, Susan was at home and undressing for bed. She didn’t have the sapphire to worry about, at least; that was a Barony jewel, and had been tucked back into the strongbox at Mayor’s House before she left, despite what Mr. Ain’t-We-Fine Will Dearborn might think about it and her. Mayor Thorin (she couldn’t bring herself to call him Hart, although he had asked her to do so—not even to herself could she do it) had taken it back from her himself. In the hallway just off from the reception room, that had been, by the tapestry showing Arthur Eld carrying his sword out of the pyramid in which it had been entombed. And he (Thorin, not the Eld) had taken the opportunity to kiss her mouth and have a quick fumble at her breasts—a part of her that had felt much too naked during that entire interminable evening. “I burn for Reaping,” he had whispered melodramatically in her ear. His breath had been redolent of brandy. “Each day of this summer seems an age.”"|"Wizard and Glass"|"Stephen King"
"ap 02:00"|two|"By two o’ the clock, even the cleaning women were gone. It was an hour at which a party in Gilead would just have been reaching its apogee of glitter and gossip, but Gilead was far away, not just in another Barony but almost in another world. This was the Outer Arc, and in the Outers, even gentry went to bed early."|"Wizard and Glass"|"Stephen King"
"ap 23:53"|"Seven of twelve"|"Dearborn wasn’t in the bar, and that was sure. Jonas turned on his heels, scanning the South High Street in both directions. It was almost day-bright under a Kissing Moon only two nights past the full. No one there, not in the street, not on the far side, where Hambry’s mercantile store stood. The mercantile had a porch, but there was nothing on it save for a line of carved totems illustrating Guardians of the Beam: Bear, Turtle, Fish, Eagle, Lion, Bat, and Wolf. Seven of twelve, bright as marble in the moonlight, and no doubt great favorites of the kiddies. No men over there, though. Good. Lovely."|"Wizard and Glass"|"Stephen King"
00:00|midnight|"When she heard the midnight bell ring, passing the old day out and calling the new one in, she decided enough was enough. She’d thrown herself from her bed, gone to her door, opened it, and thrust her head out into the hall. When she heard Aunt Cord’s flutelike snores, she had closed her door again, crossed to her little desk by the window, and lit her lamp. She took one of her sheets of parchment paper from the top drawer, tore it in half (in Hambry, the only crime greater than wasting paper was wasting threaded stockline), and then wrote quickly, sensing that the slightest hesitation might condemn her to more hours of indecision. With no salutation and no signature, her response took only a breath to write:"|"Wizard and Glass"|"Stephen King"
11:00|"eleven in the morning"|"She had folded it small, blew out her lamp, and returned to bed with the note safely tucked under her pillow. She was asleep in two minutes. The following day, when the marketing took her to town, she had gone by the Travellers’ Rest, which, at eleven in the morning, had all the charm of something which has died badly at the side of the road."|"Wizard and Glass"|"Stephen King"
12:00|noon|"Sheriff Avery, Deputy Dave, and Deputy George Riggins were sitting on the porch in front of the Sheriff’s office and jail when Mr. Stockworth and Mr. Heath (the latter with that idiotic bird’s skull still mounted on the horn of his saddle) went past at a steady walk. The bell o’ noon had rung fifteen minutes before, and Sheriff Avery reckoned they were on their way to lunch, perhaps at The Millbank, or perhaps at the Rest, which put on a fair noon meal. Popkins and such. Avery liked something a little more filling; half a chicken or a haunch of beef suited him just fine."|"Wizard and Glass"|"Stephen King"
"ap 07:00"|seven|"Depape rode out the sunrise end of Ritzy’s only street, trotted his horse up the flank of the first hill, and paused at the top for a single look back. Last night, when he’d been talking to the old bastard behind Hattigan’s, Ritzy had been roaring. This morning at seven, it looked as ghostly as the Peddler’s Moon, which still hung in the sky above the rim of the plundered hills. He could hear the mines tink-tonking away, though. You bet. Those babies tink-tonked away seven days a week. No rest for the wicked . . . and he supposed that included him. He dragged his horse’s head around with his usual unthinking and ham-handed force, booted its flanks, and headed east, thinking of the old bastard as he went. He had treated the old bastard passing fair, he reckoned. A reward had been promised, and had been paid for information given."|"Wizard and Glass"|"Stephen King"
12:00|noon|"“You will make the most beautiful Reap-Girl that ever was,” he said, and the clear sincerity in his voice made her tingle with pleasure; her cheeks grew warm again. There were five changes of costume for the Reaping Girl between the noon feast and the bonfire at dusk, each more elaborate than the last (in Gilead there would have been nine; in that way, Susan didn’t know how lucky she was), and she would have worn all five happily for Will, had he been the Reaping Lad. (This year’s Lad was Jamie McCann, a pallid and whey-faced stand-in for Hart Thorin, who was approximately forty years too old and gray for the job.) Even more happily would she have worn the sixth—a silvery shift with wisp-thin straps and a hem that stopped high on her thighs. This was a costume no one but Maria, her maid, Conchetta, her seamstress, and Hart Thorin would ever see. It was the one she would be wearing when she went to the old man’s couch as his gilly, after the feast was over."|"Wizard and Glass"|"Stephen King"
"ap ~ 03:00"|"Around three"|"Around three o’ the clock, as he was about to turn for the Bar K, he heard the rapid drumming of hoofbeats on the main road, approaching from the west. Without thinking about why it seemed so important to do so, Roland swung back in that direction, then brought Rusher to a stop behind a high line of run-to-riot hedges. For nearly ten minutes the sound of the hoofbeats continued to swell—sound carried far in the deep quiet of early morning—and that was quite enough time for Roland to feel he knew who was riding toward Hambry hell-for-leather just two hours before dawn. Nor was he mistaken. The moon was down, but he had no trouble, even through the brambly interstices of the hedge, recognizing Roy Depape. By dawn the Big Coffin Hunters would be three again."|"Wizard and Glass"|"Stephen King"
12:00|noon|"Now the Huntress “filled her belly,” as the old-timers said—even at noon she could be glimpsed in the sky, a pallid vampire woman caught in bright autumn sunlight. In front of businesses such as the Travellers’ Rest and on the porches of such large ranch houses as Lengyll’s Rocking B and Renfrew’s Lazy Susan, stuffy-guys with heads full of straw above their old overalls began to appear. Each wore his sombrero; each held a basket of produce cradled in his arms; each looked out at the emptying world with stitched white-cross eyes."|"Wizard and Glass"|"Stephen King"
12:00|noon|"“Gone back to Hanging Rock. I saw him at noon. He says they’re coming, Eldred; says when the wind swings into the east, he can hear approaching horse.”"|"Wizard and Glass"|"Stephen King"
">> 12:00"|"long after noon"|"Rhea’s hut, its stone walls and the cracked guijarros of its roof slimed with moss, huddled on the last hill of the Cöos. Beyond it was a magnificent view northwest—the Bad Grass, the desert, Hanging Rock, Eyebolt Canyon—but scenic vistas were the last thing on Sheemie’s mind as he led Caprichoso cautiously into Rhea’s yard not long after noon. He’d been hungry for the last hour or so, but now the pangs were gone. He hated this place worse than any other in Barony, even more than Citgo with its big towers always going creakedy-creak and clangety-clang."|"Wizard and Glass"|"Stephen King"
12:00|noon|"—and sometimes a little cask of graf is tossed from dock to dock. On the bay itself only the large boats now remain, pacing about the big circles which mark their dropped nets as a working dog may pace around a flock of sheep. At noon the bay is a rippling sheet of autumn fire and the men on the boats sit cross-legged, eating their lunches, and know that all they see is theirs-o . . . at least until the gray gales of autumn come swarming over the horizon, coughing out their gusts of sleet and snow."|"Wizard and Glass"|"Stephen King"
03:30|"three-thirty in the morning"|"It was three-thirty in the morning of the day before Reaping, and Stanley Ruiz thought he was finally done for the night. The last music had quit twenty minutes ago—Sheb had outlasted the mariachis by an hour or so, and now lay snoring with his face in the sawdust. Sai Thorin was upstairs, and there had been no sign of the Big Coffin Hunters; Stanley had an idea those were up to Seafront tonight. He also had an idea there was black work on offer, although he didn’t know that for sure. He looked up at the glassy, two-headed gaze of The Romp. “Nor want to, old pal,” he said. “All I want is about nine hours of sleep—tomorrow comes the real party, and they won’t leave till dawn. So—”"|"Wizard and Glass"|"Stephen King"
"ap < 05:00"|"Shortly before five o’clock"|"Shortly before five o’clock, Mayor Thorin woke from a terrible dream. In it, a bird with pink eyes had been cruising slowly back and forth above the Barony. Wherever its shadow fell, the grass turned yellow, the leaves fell shocked from the trees, and the crops died. The shadow was turning his green and pleasant Barony into a waste land. It may be my Barony, but it’s my bird, too, he thought just before awakening, huddled into a shuddery ball on one side of his bed. My bird, I brought it here, I let it out of its cage."|"Wizard and Glass"|"Stephen King"
05:00|"five in the morning"|"The visible sign might have been the boots beneath the study drapes—just the scuffed tips of them showing—but Thorin never looked in that direction. His eyes were fixed on the bottle beside his favorite chair. Drinking claret at five in the morning was no sort of habit to get into, but this once wouldn’t hurt. He’d had a terrible dream, for gods’ sake, and after all—"|"Wizard and Glass"|"Stephen King"
06:15|"quarter past six that morning"|"Roland, Cuthbert, and Alain came out of the bunkhouse at quarter past six that morning, and stood a-row on the porch. Alain was finishing his coffee. Cuthbert was yawning and stretching. Roland was buttoning his shirt and looking southwest, toward the Bad Grass. He was thinking not of ambushes but of Susan. Her tears. Greedy old ka, how I hate it, she had said."|"Wizard and Glass"|"Stephen King"
12:00|noon|"The second wrong thing was the sounds from below. Mayor’s House was ordinarily a peaceful place in the morning; until noon one heard little but casa vaqueros leading the horses out for their morning exercise, the whicker-whicker-whick of Miguel sweeping the courtyard, and the constant boom and shush of the waves. This morning there were shouts, curses, galloping horses, the occasional burst of strange, jagged laughter. Somewhere outside her room—perhaps not in this wing, but close—Susan heard the running thud of booted feet."|"Wizard and Glass"|"Stephen King"
"ap 10:00"|ten|"“Men?” Jonas snorted. “Don’t we wish, cully! The rest of Latigo’s boys’ll ride out to Hanging Rock by moonlight, pennons no doubt flying for all the coyotes and other assorted desert-dogs to see and be awed by. They’ll be ready to do escort duty by ten tomorrow, I sh’d think . . . although if they’re the sort of lads I’m expecting, fuck-ups are apt to be the rule of the day. The good news is that we don’t much need em, anyway. Things look well in hand. Now go down there, get them about their business, and then ride back to me, just as fast’s you can.”"|"Wizard and Glass"|"Stephen King"
12:00|noon|"Miguel dropped his broom, clapped both hands to his cheeks, fell to his knees, and began to pray in a loud, lamenting voice. Susan watched him for a moment, her mouth working, and then sprinted for the stables, no longer taking care to keep against the side of the building. She had caught the disease that would grip almost all of Hambry by noon, and although she managed to do a fairly apt job of saddling Pylon (on any other day there would have been three stable-boys vying for the chance to help the pretty sai), any ability to think had left her by the time she heel-kicked the startled horse into a run outside the stable door."|"Wizard and Glass"|"Stephen King"
