00:00|midnight|"He sighed then shook his head. ‘But there are worse places in this castle, and the worst place of all is the one that I have to visit every night. And I have to visit it alone. It’s a place we call the “Witch Well”. There’s a prisoner down there that it’s best to keep away from. He’s tethered to a ring in the dungeon floor by a long chain. He sleeps all day but is wide-awake after dark and has to be fed at midnight, or things could get really awkward for everybody who works here. Someone has to do that dangerous job and as the most experienced guard on the night shift it falls to me. As well as the special prisoner, the well has something else to make it a fearsome place. It’s haunted by foul things – the ghosts of those confined there long ago. I only wish I didn’t have to go there, but duty is duty. I’ll show you where the well is later, but first I’ll make us both that hot drink to ward off the chills of the night.’"|Haunted|"Susan Cooper"
00:00|midnight|"‘You’ll have to do it, boy!’ he told me. ‘The prisoner in the Witch Well has to be fed at midnight and there’s only you available to do it tonight. I can’t afford to leave the gate.’"|Haunted|"Susan Cooper"
00:00|midnight|"‘There are two buckets waiting for you in Execution Square – directly underneath the gallows. Give the prisoner the first at midnight then the second course about ten minutes later. Just tip each bucket down the steps. Don’t linger. Get out of there just as quickly as you can. So off you go on your rounds but when you hear the church bell sound at quarter to the hour make your way to the Witch Well.’"|Haunted|"Susan Cooper"
"ap 06:00"|"six o’clock"|"Captain Miller said that at six o’clock there would be dinner for us, this being our first night, and that they’d leave us to settle in. We weren’t supposed to get any meal except breakfast, so this was nice of them. They both went away, their shoes clopping against the gleaming wooden floor."|Haunted|"Susan Cooper"
"ap ~ 06:00"|"about six o’clock"|"James did come back, but not for hours. By about six o’clock Mum was getting really worried and Dad was demanding that the Millers find them another boat. Mrs Miller was unhappy and silent, and Captain Miller kept saying to Dad, ‘The lad can look after himself, I’m sure.’"|Haunted|"Susan Cooper"
"ap > 11:00"|"past eleven o’clock"|"The time dragged by. He went to bed and then spent several impatient hours waiting for the rest of the household to settle down. When it had been completely quiet for twenty minutes, he shone a torch on his watch and saw that it was past eleven o’clock."|Haunted|"Susan Cooper"
"ap 05:30"|"half-past five"|"Sitting on the bunk he heaped cushions at one end for pillows, and took a small brass travel clock from his rucksack. Its steady tick was reassuring and he set the alarm for half-past five. That would give him plenty of time to tidy up and get back to the house before anyone was awake."|Haunted|"Susan Cooper"
00:00|midnight|"Bram hesitated for an instant then nodded. It would be wonderful to go exploring the midnight seashore with a spirit child."|Haunted|"Susan Cooper"
00:00|midnight|"Bram scratched his head. She didn’t seem able to hold any one thought in her head for more than two minutes. He liked the idea of a midnight swim, though, so nodded readily."|Haunted|"Susan Cooper"
"ap 05:55"|"five to six"|"Bram spent a few minutes putting the hut in order, folding the blanket and hanging the plate back on the wall. He toyed with the idea of using the little gas stove to cook himself some breakfast but he had forgotten to bring any eggs. He was also too tired for a wake-up swim so he locked the hut behind him and ran back through the town. At five to six he slipped into his aunt’s house and tiptoed to his bedroom."|Haunted|"Susan Cooper"
"ap < 09:00"|"almost nine o’clock"|"‘Mum’s called you three times already!’ she said. ‘It’s almost nine o’clock! Wake up, you lazy pig.’"|Haunted|"Susan Cooper"
"ap 11:30"|"half-past eleven"|"At half-past eleven he was running through the streets, heading for the beach. Once inside the hut he lit the lanterns, took out the brass clock, sat on the bunk and willed the hands to go round faster. When they pointed to midnight, the briny smell of the deep sea filled the hut and Drusilla was there."|Haunted|"Susan Cooper"
00:00|midnight|"At half-past eleven he was running through the streets, heading for the beach. Once inside the hut he lit the lanterns, took out the brass clock, sat on the bunk and willed the hands to go round faster. When they pointed to midnight, the briny smell of the deep sea filled the hut and Drusilla was there."|Haunted|"Susan Cooper"
