12:00|noon|"By noon they will all be at
my new house in the Victor's Village. The reporters, the camera crews, even
Effie Trinket, my old escort, will have made their way to District 12 from the
Capitol. I wonder if Effie will still be wearing that silly pink wig, or if
she'll be sporting some other unnatural color especially for the Victory Tour.
There will be others waiting, too. A staff to cater to my every need on the
long train trip. A prep team to beautify me for public appearances. My stylist
and friend, Cinna, who designed the gorgeous outfits that first made the
audience take notice of me in the Hunger Games."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"“Aren't you supposed to be
on a train?” he asks me.
“They're collecting me at
noon,” I answer.
“Shouldn't you look better?”
he asks in a loud whisper. I can't help smiling at his teasing, in spite of my
mood. “Maybe a ribbon in your hair or something?” He flicks my braid with his
hand and I brush him away."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"“I thought they weren't due
until noon.” I pretend not to notice her state. “Did Cinna come early to help
me get ready?”"|"Catching Fire"|"Suzanne Collins"
"ap 08:00"|"eight o'clock"|"The night of my engagement,
the night Peeta fell to his knees and proclaimed his undying love for me in
front of the cameras in the Capitol, was the night the uprising began. It was
an ideal cover. Our Victory Tour interview with Caesar Flickerman was mandatory
viewing. It gave the people of District 8 a reason to be out on the streets
after dark, gathering either in the square or in various community centers
around the city to watch. Ordinarily such activity would have been too
suspicious. Instead everyone was in place by the appointed hour, eight o'clock,
when the masks went on and all hell broke loose."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"My mother lets me sleep
until noon, then rouses me to examine my heel. I'm ordered to a week of bed
rest and I don't object because I feel so lousy. Not just my heel and my
tailbone. My whole body aches with exhaustion. So I let my mother doctor me and
feed me breakfast in bed and tuck another quilt around me. Then I just lie
there, staring out my window at the winter sky, pondering how on earth this
will all turn out. I think a lot about Bonnie and Twill, and the pile of white
wedding dresses downstairs, and if Thread will figure out how I got back in and
arrest me. It's funny, because he could just arrest me, anyway, based on past
crimes, but maybe he has to have something really irrefutable to do it, now
that I'm a victor. And I wonder if President Snow's in contact with Thread. I
think it's unlikely he ever acknowledged that old Cray existed, but now that
I'm such a nationwide problem, is he carefully instructing Thread what to do?
Or is Thread acting on his own? At any rate, I'm sure they'd both agree on
keeping me locked up here inside the district with that fence. Even if I could
figure out some way to escape—maybe get a rope up to that maple tree branch
and climb out—there'd be no escaping with my family and friends now. I told
Gale I would stay and fight, anyway."|"Catching Fire"|"Suzanne Collins"
"ap 07:30"|seven-thirty|"When we gather around the
television at seven-thirty, I discover that Prim is right. Sure enough, there's
Caesar Flickerman, speaking before a standing-room-only crowd in front of the
Training Center, talking to an appreciative crowd about my upcoming nuptials.
He introduces Cinna, who became an overnight star with his costumes for me in
the Games, and after a minute of good-natured chitchat, we're directed to turn
our attention to a giant screen."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"I see now how they could photograph
me yesterday and present the special tonight. Initially, Cinna designed two
dozen wedding gowns. Since then, there's been the process of narrowing down
the designs, creating the dresses, and choosing the accessories. Apparently, in
the Capitol, there were opportunities to vote for your favorites at each stage.
This is all culminating with shots of me in the final six dresses, which I'm
sure took no time at all to insert in the show. Each shot is met with a huge
reaction from the crowd. People screaming and cheering for their favorites,
booing the ones they don't like. Having voted, and probably bet on the winner,
people are very invested in my wedding gown. It's bizarre to watch when I think
how I never even bothered to try one on before the cameras arrived. Caesar
announces that interested parties must cast their final vote by noon on the
following day."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"The chariot rides — in
which the District 12 kids are dressed in awful coal miners' outfits — and the
interviews flash by. There's little time to focus on anyone. But since Haymitch
is going to be the victor, we get to see one full exchange between him and
Caesar Flickerman, who looks exactly as he always does in his twinkling
midnight blue suit. Only his dark green hair, eyelids, and lips are different."|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|"ten o'clock"|"I delay going down to
breakfast as long as possible the next morning because I really don't want to
discuss our training strategy. What's to discuss? Every victor already knows
what everybody else can do. Or used to be able to do, anyway. So Peeta and I
will continue to act in love and that's that. Somehow I'm just not up to
talking about it, especially with Darius standing mutely by. I take a long
shower, dress slowly in the outfit Cinna has left for training, and order food
from the menu in my room by speaking into a mouthpiece. In a minute, sausage,
eggs, potatoes, bread, juice, and hot chocolate appear. I eat my fill, trying
to drag out the minutes until ten o'clock, when we have to go down to the
Training Center. By nine-thirty, Haymitch is pounding on my door, obviously fed
up with me, ordering me to the dining room NOW! Still, I brush my teeth before
meandering down the hall, effectively killing another five minutes."|"Catching Fire"|"Suzanne Collins"
"ap 09:30"|nine-thirty|"I delay going down to
breakfast as long as possible the next morning because I really don't want to
discuss our training strategy. What's to discuss? Every victor already knows
what everybody else can do. Or used to be able to do, anyway. So Peeta and I
will continue to act in love and that's that. Somehow I'm just not up to
talking about it, especially with Darius standing mutely by. I take a long
shower, dress slowly in the outfit Cinna has left for training, and order food
from the menu in my room by speaking into a mouthpiece. In a minute, sausage,
eggs, potatoes, bread, juice, and hot chocolate appear. I eat my fill, trying
to drag out the minutes until ten o'clock, when we have to go down to the
Training Center. By nine-thirty, Haymitch is pounding on my door, obviously fed
up with me, ordering me to the dining room NOW! Still, I brush my teeth before
meandering down the hall, effectively killing another five minutes."|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|"ten o'clock"|"By ten o'clock, only about
half of the tributes have shown up. Atala, the woman who runs training, begins
her spiel right on time, unfazed by the poor attendance. Maybe she expected it.
I'm sort of relieved, because that means there are a dozen people I don't have
to pretend to make friends with. Atala runs through the list of stations, which
include both combat and survival skills, and releases us to train."|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|"ten o'clock"|"We all look monstrous—the
ointment seems to be causing some of the scabs to peel — but I'm glad for the
medicine. Not just because it gives relief from the itching, but also because
it acts as protection from that blazing white sun in the pink sky. By its
position, I estimate it must be going on ten o'clock, that we've been in the
arena for about a day. Eleven of us are dead. Thirteen alive. Somewhere in the
jungle, ten are concealed. Three or four are the Careers. I don't really feel
like trying to remember who the others are."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"The sun rises in the sky
until it's directly over us. It must be
noon, I think absently. Not that it matters. Across the water, off to the
right, I see the enormous flash as the lightning bolt hits the tree and the
electrical storm begins again. Right in the same area it did last night.
Someone must have moved into its range, triggered the attack. I sit for a while
watching the lightning, keeping Wiress calm, lulled into a sort of peacefulness
by the lapping of the water. I think of last night, how the lightning began
just after the bell tolled. Twelve bongs."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"Twelve bongs last night.
Like it was midnight. Then lightning. The sun overhead now. Like it's noon. And
lightning."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"Twelve bongs last night.
Like it was midnight. Then lightning. The sun overhead now. Like it's noon. And
lightning."|"Catching Fire"|"Suzanne Collins"
"ap ~ 10:00"|"around ten"|"Slowly I rise up and survey
the arena. The lightning there. In the next pie wedge over came the blood rain,
where Johanna, Wiress, and Beetee were caught. We would have been in the third
section, right next to that, when the fog appeared. And as soon as it was
sucked away, the monkeys began to gather in the fourth. Tick, tock. My head
snaps to the other side. A couple of hours ago, at around ten, that wave came
out of the second section to the left of where the lightning strikes now. At
noon. At midnight. At noon."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"Slowly I rise up and survey
the arena. The lightning there. In the next pie wedge over came the blood rain,
where Johanna, Wiress, and Beetee were caught. We would have been in the third
section, right next to that, when the fog appeared. And as soon as it was
sucked away, the monkeys began to gather in the fourth. Tick, tock. My head
snaps to the other side. A couple of hours ago, at around ten, that wave came
out of the second section to the left of where the lightning strikes now. At
noon. At midnight. At noon."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"Slowly I rise up and survey
the arena. The lightning there. In the next pie wedge over came the blood rain,
where Johanna, Wiress, and Beetee were caught. We would have been in the third
section, right next to that, when the fog appeared. And as soon as it was
sucked away, the monkeys began to gather in the fourth. Tick, tock. My head
snaps to the other side. A couple of hours ago, at around ten, that wave came
out of the second section to the left of where the lightning strikes now. At
noon. At midnight. At noon."|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|ten|"A clock. I can almost see
the hands ticking around the twelve-sectioned face of the arena. Each hour
begins a new horror, a new Gamemaker weapon, and ends the previous. Lightning,
blood rain, fog, monkeys — those are the first four hours on the clock. And at
ten, the wave. I don't know what happens in the other seven, but I know Wiress
is right."|"Catching Fire"|"Suzanne Collins"
00:00|Midnight|"Relief floods her face — I guess
because somebody has finally understood what she's known probably from the
first tolling of the bells. “Midnight.”"|"Catching Fire"|"Suzanne Collins"
00:00|Midnight|"Relief floods her face — I guess
because somebody has finally understood what she's known probably from the
first tolling of the bells. “Midnight.”
“It starts at midnight,” I
confirm.
A memory struggles to
surface in my brain. I see a clock. No, it's a watch, resting in Plutarch Heavensbee's
palm. “It starts at midnight,”
Plutarch said. And then my mockingjay lit up briefly and vanished. In
retrospect, it's like he was giving me a clue about the arena. But why would
he? At the time, I was no more a tribute in these Games than he was. Maybe he
thought it would help me as a mentor. Or maybe this had been the plan all
along."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"A memory struggles to
surface in my brain. I see a clock. No, it's a watch, resting in Plutarch Heavensbee's
palm. “It starts at midnight,”
Plutarch said. And then my mockingjay lit up briefly and vanished. In
retrospect, it's like he was giving me a clue about the arena. But why would
he? At the time, I was no more a tribute in these Games than he was. Maybe he
thought it would help me as a mentor. Or maybe this had been the plan all
along."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"A memory struggles to
surface in my brain. I see a clock. No, it's a watch, resting in Plutarch Heavensbee's
palm. “It starts at midnight,”
Plutarch said. And then my mockingjay lit up briefly and vanished. In
retrospect, it's like he was giving me a clue about the arena. But why would
he? At the time, I was no more a tribute in these Games than he was. Maybe he
thought it would help me as a mentor. Or maybe this had been the plan all
along.
Wiress nods at the blood
rain. “One-thirty,” she says.
“Exactly. One-thirty. And
at two, a terrible poisonous fog begins there,” I say, pointing at the nearby
jungle. “So we have to move somewhere safe now.” She smiles and stands up
obediently. “Are you thirsty?” I hand her the woven bowl and she gulps down
about a quart. Finnick gives her the last bit of bread and she gnaws on it.
With the inability to communicate overcome, she's functioning again."|"Catching Fire"|"Suzanne Collins"
"ap 01:30"|One-thirty|"A memory struggles to
surface in my brain. I see a clock. No, it's a watch, resting in Plutarch Heavensbee's
palm. “It starts at midnight,”
Plutarch said. And then my mockingjay lit up briefly and vanished. In
retrospect, it's like he was giving me a clue about the arena. But why would
he? At the time, I was no more a tribute in these Games than he was. Maybe he
thought it would help me as a mentor. Or maybe this had been the plan all
along.
Wiress nods at the blood
rain. “One-thirty,” she says.
“Exactly. One-thirty. And
at two, a terrible poisonous fog begins there,” I say, pointing at the nearby
jungle. “So we have to move somewhere safe now.” She smiles and stands up
obediently. “Are you thirsty?” I hand her the woven bowl and she gulps down
about a quart. Finnick gives her the last bit of bread and she gnaws on it.
With the inability to communicate overcome, she's functioning again."|"Catching Fire"|"Suzanne Collins"
"ap 02:00"|two|"A memory struggles to
surface in my brain. I see a clock. No, it's a watch, resting in Plutarch Heavensbee's
palm. “It starts at midnight,”
Plutarch said. And then my mockingjay lit up briefly and vanished. In
retrospect, it's like he was giving me a clue about the arena. But why would
he? At the time, I was no more a tribute in these Games than he was. Maybe he
thought it would help me as a mentor. Or maybe this had been the plan all
along.
Wiress nods at the blood
rain. “One-thirty,” she says.
“Exactly. One-thirty. And
at two, a terrible poisonous fog begins there,” I say, pointing at the nearby
jungle. “So we have to move somewhere safe now.” She smiles and stands up
obediently. “Are you thirsty?” I hand her the woven bowl and she gulps down
about a quart. Finnick gives her the last bit of bread and she gnaws on it.
With the inability to communicate overcome, she's functioning again."|"Catching Fire"|"Suzanne Collins"
"ap 01:30"|One-thirty|"“Exactly. One-thirty. And
at two, a terrible poisonous fog begins there,” I say, pointing at the nearby
jungle. “So we have to move somewhere safe now.” She smiles and stands up
obediently. “Are you thirsty?” I hand her the woven bowl and she gulps down
about a quart. Finnick gives her the last bit of bread and she gnaws on it.
With the inability to communicate overcome, she's functioning again."|"Catching Fire"|"Suzanne Collins"
"ap 02:00"|two|"“Exactly. One-thirty. And
at two, a terrible poisonous fog begins there,” I say, pointing at the nearby
jungle. “So we have to move somewhere safe now.” She smiles and stands up
obediently. “Are you thirsty?” I hand her the woven bowl and she gulps down
about a quart. Finnick gives her the last bit of bread and she gnaws on it.
With the inability to communicate overcome, she's functioning again."|"Catching Fire"|"Suzanne Collins"
"ap 02:00"|"two o'clock"|"I follow her finger to
where the wall of fog has just begun to seep out onto the beach. “Yes, look,
Wiress is right. It's two o'clock and the fog has started.”"|"Catching Fire"|"Suzanne Collins"
"ap < 00:00"|"toward twelve o'clock"|"I examine the Cornucopia
and see what he means. “The tail points toward twelve o'clock,” I say."|"Catching Fire"|"Suzanne Collins"
"ap 00:48"|"Twelve to one"|"“Right, so this is the top
of our clock,” he says, and quickly scratches the numbers one through twelve
around the clock face. “Twelve to one is the lightning zone.” He writes lightning in tiny print in the
corresponding wedge, then works clockwise adding blood, fog, and monkeys
in the following sections."|"Catching Fire"|"Suzanne Collins"
"ap 00:00"|"twelve o'clock"|"“Let's get off this
stinking island,” Johanna says finally. There's only the matter of our weapons
now, which we've largely retained. Fortunately the vines here are strong and
the spile and tube of medicine wrapped in the parachute are still secured to my
belt. Finnick strips off his undershirt and ties it around the wound Enobaria's
knife made in his thigh; it's not deep. Beetee thinks he can walk now, if we go
slowly, so I help him up. We decide to head to the beach at twelve o'clock.
That should provide hours of calm and keep us clear of any poisonous residue.
And then Peeta, Johanna, and Finnick head off in three different directions."|"Catching Fire"|"Suzanne Collins"
"ap 00:00"|"twelve o'clock"|"“Let's get off this
stinking island,” Johanna says finally. There's only the matter of our weapons
now, which we've largely retained. Fortunately the vines here are strong and
the spile and tube of medicine wrapped in the parachute are still secured to my
belt. Finnick strips off his undershirt and ties it around the wound Enobaria's
knife made in his thigh; it's not deep. Beetee thinks he can walk now, if we go
slowly, so I help him up. We decide to head to the beach at twelve o'clock.
That should provide hours of calm and keep us clear of any poisonous residue.
And then Peeta, Johanna, and Finnick head off in three different directions.
“Twelve o'clock, right?”
says Peeta. “The tail points at twelve.”
“Before they spun us,” says
Finnick. “I was judging by the sun.”"|"Catching Fire"|"Suzanne Collins"
"ap 00:00"|twelve|"“Let's get off this
stinking island,” Johanna says finally. There's only the matter of our weapons
now, which we've largely retained. Fortunately the vines here are strong and
the spile and tube of medicine wrapped in the parachute are still secured to my
belt. Finnick strips off his undershirt and ties it around the wound Enobaria's
knife made in his thigh; it's not deep. Beetee thinks he can walk now, if we go
slowly, so I help him up. We decide to head to the beach at twelve o'clock.
That should provide hours of calm and keep us clear of any poisonous residue.
And then Peeta, Johanna, and Finnick head off in three different directions.
“Twelve o'clock, right?”
says Peeta. “The tail points at twelve.”
“Before they spun us,” says
Finnick. “I was judging by the sun.”"|"Catching Fire"|"Suzanne Collins"
"ap 00:00"|"twelve o'clock"|"No, Katniss's point was a
lot more basic than that. Beetee's articulated a theory far beyond my comment
on the sun. But I just nod my head like I've been on the same page all along. “Yes,
so any one of these paths could lead to twelve o'clock,” I say."|"Catching Fire"|"Suzanne Collins"
"ap 00:00"|"twelve o'clock"|"We circle around the
Cornucopia, scrutinizing the jungle. It has a baffling uniformity. I remember
the tall tree that took the first lightning strike at twelve o'clock, but every
sector has a similar tree. Johanna thinks to follow Enobaria's and Brutus's
tracks, but they have been blown or washed away. There's no way to tell where
anything is. “I should have never mentioned the clock,” I say bitterly. “Now
they've taken that advantage away as well.”"|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|ten|"“Only temporarily,” says
Beetee. “At ten, we'll see the wave again and be back on track.”"|"Catching Fire"|"Suzanne Collins"
"ap 04:00"|"Four o'clock"|"I stop fighting Finnick,
though, and like the night in the fog, I flee what I can't fight. What can only
do me harm. Only this time it's my heart and not my body that's disintegrating.
This must be another weapon of the clock. Four o'clock, I guess. When the hands
tick-tock onto the four, the monkeys go home and the jabberjays come out to
play. Finnick is right—getting out of here is the only thing to do. Although
there will be nothing Haymitch can send in a parachute that will help either
Finnick or me recover from the wounds the birds have inflicted."|"Catching Fire"|"Suzanne Collins"
"ap 06:00"|"six o'clock"|"A cannon blast brings us
all together on the beach. A hovercraft appears in what we estimate to be the
six-to-seven-o'clock zone. We watch as the claw dips down five different times
to retrieve the pieces of one body, torn apart. It's impossible to tell who it
was. Whatever happens at six o'clock, I never want to know."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"It's the first crack of the
lightning storm—the bolt hitting the tree at midnight—that brings us to our
senses. It rouses Finnick as well. He sits up with a sharp cry. I see his
fingers digging into the sand as he reassures himself that whatever nightmare
he inhabited wasn't real."|"Catching Fire"|"Suzanne Collins"
"ap 00:00"|"twelve o'clock"|"Beetee smiles at us as if
we've exceeded his expectations. “Yes, good. You do see. Now here's what I
propose: a twelve o'clock strike. What happens exactly at noon and at midnight?”"|"Catching Fire"|"Suzanne Collins"
12:00|noon|"Beetee smiles at us as if
we've exceeded his expectations. “Yes, good. You do see. Now here's what I
propose: a twelve o'clock strike. What happens exactly at noon and at midnight?”"|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"Beetee smiles at us as if
we've exceeded his expectations. “Yes, good. You do see. Now here's what I
propose: a twelve o'clock strike. What happens exactly at noon and at midnight?”"|"Catching Fire"|"Suzanne Collins"
12:00|noon|"“Yes. So what I'm
suggesting is that after the bolt hits at noon, but before it hits at midnight,
we run my wire from that tree all the way down into the saltwater, which is, of
course, highly conductive. When the bolt strikes, the electricity will travel
down the wire and into not only the water but also the surrounding beach, which
will still be damp from the ten o'clock wave. Anyone in contact with those
surfaces at that moment will be electrocuted,” says Beetee."|"Catching Fire"|"Suzanne Collins"
00:00|midnight|"“Yes. So what I'm
suggesting is that after the bolt hits at noon, but before it hits at midnight,
we run my wire from that tree all the way down into the saltwater, which is, of
course, highly conductive. When the bolt strikes, the electricity will travel
down the wire and into not only the water but also the surrounding beach, which
will still be damp from the ten o'clock wave. Anyone in contact with those
surfaces at that moment will be electrocuted,” says Beetee."|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|"ten o'clock"|"“Yes. So what I'm
suggesting is that after the bolt hits at noon, but before it hits at midnight,
we run my wire from that tree all the way down into the saltwater, which is, of
course, highly conductive. When the bolt strikes, the electricity will travel
down the wire and into not only the water but also the surrounding beach, which
will still be damp from the ten o'clock wave. Anyone in contact with those
surfaces at that moment will be electrocuted,” says Beetee."|"Catching Fire"|"Suzanne Collins"
"~ 09:00"|"about nine in
the morning"|"Beetee wants to inspect the
lightning tree before he has to rig it. Judging by the sun, it's about nine in
the morning. We have to leave our beach soon, anyway. So we break camp, walk
over to the beach that borders the lightning section, and head into the jungle.
Beetee's still too weak to hike up the slope on his own, so Finnick and Peeta
take turns carrying him. I let Johanna lead because it's a pretty straight shot
up to the tree, and I figure she can't get us too lost. Besides, I can do a lot
more damage with a sheath of arrows than she can with two axes, so I'm the best
one to bring up the rear."|"Catching Fire"|"Suzanne Collins"
"ap 10:00"|"ten o'clock"|"We divide up duties.
Finnick guards Beetee while he examines the tree, Johanna taps for water, Peeta
gathers nuts, and I hunt nearby. The tree rats don't seem to have any fear of
humans, so I take down three easily. The sound of the ten o'clock wave reminds
me I should get back, and I return to the others and clean my kill. Then I draw
a line in the dirt a few feet from the force field as a reminder to keep back,
and Peeta and I settle down to roast nuts and sear cubes of rat."|"Catching Fire"|"Suzanne Collins"
"ap 11:00"|"eleven
o'clock"|"About this time we hear the
sound of clicks rising from the sector adjacent to us. That means it's eleven
o'clock. It's far louder in the jungle than it was on the beach last night. We
all listen intently."|"Catching Fire"|"Suzanne Collins"
12:00|noon|"We don't go that far,
though. Only to the identical tree in the blood-rain section. We have a picnic
of sorts, squatting on the ground, eating our jungle food, waiting for the bolt
that signals noon. At Beetee's request, I climb up into the canopy as the
clicking begins to fade out. When the lightning strikes, it's dazzling, even
from here, even in this bright sunlight. It completely encompasses the distant
tree, making it glow a hot blue-white and causing the surrounding air to
crackle with electricity. I swing down and report my findings to Beetee, who
seems satisfied, even if I'm not terribly scientific."|"Catching Fire"|"Suzanne Collins"
