20:00|"eight o’clock this evening"|"‘Quite. Well, I could take you back with me, but that might be a hair-raising experience for you. Tell you what, if you wait at the corner of this street, at – shall we say, eight o’clock this evening? – I could pick you up and we could walk there. Okay?’"|"A Blink of the Screen"|"Terry Pratchett"
"ap 07:59"|"One minute to eight o’clock"|"Crucible stood in the pouring rain at the corner of the street. A small stream of water was coursing down his back and flooding his suedes. He looked at his watch. One minute to eight o’clock. He shivered."|"A Blink of the Screen"|"Terry Pratchett"
"ap 00:00"|twelve|"‘Quite. Now, best foot – er, hoof, forward. Hell’s opening ceremony is at twelve.’"|"A Blink of the Screen"|"Terry Pratchett"
"ap 01:10"|1:10|"
TECHNICAL CYGNET, 1:10, JULY 1964
I really can’t remember this one. There was a period, a long, long time ago, when I was dashing out ideas and concepts and half-baked bits of dialogue to see if, magically, they would catch fire and become a decent short story or novel. Those that didn’t make it were dumped in the bit bucket, and if you can remember what that means then you have been around computers for as long as me. I must have written it and then danced away to try something else."|"A Blink of the Screen"|"Terry Pratchett"
"ap 01:11"|1:11|"
TECHNICAL CYGNET, 1:11, MAY 1965
Good grief! That was a long time ago! I’m quite glad I never tried to sell this one, but once again I was playing with the words to see what happens. It’s a thing that authors do sometimes."|"A Blink of the Screen"|"Terry Pratchett"
">> 12:00"|"well after noon"|"Linsay disappeared into the tent and laid the unconscious woman on the bed. When he came out Valienté was sitting by the remains of the fire, which was still smouldering. It was well after noon."|"A Blink of the Screen"|"Terry Pratchett"
07:00|"seven o’clock in the morning"|"This seemed a satisfactory enough rationalization at seven o’clock in the morning. He shut the door again and shuffled down the passage, while outside the kitchen window the Northern Line rattled with carriages full of people who weren’t mad, despite appearances."|"A Blink of the Screen"|"Terry Pratchett"
"~ 10:00"|"about 10 a.m."|"In the early hours of 10 March 1981, Police Officer James Stooker Stasheff, in pursuit of a suspect, following a chase which resulted in a seven-car collision, a little way from the verge, saw a construction apparently made of long twigs, held together with cassette tape, extending several feet into the carriageway. Two chickens were on the end of it, with twigs in their beaks. ‘They looked as if they was nest building,’ he now recalls. ‘I went past again about 10 a.m. It was all smashed up in the gutter.’"|"A Blink of the Screen"|"Terry Pratchett"
"~ 02:00"|"about 2 a.m."|"We do know that at about 2 a.m. on the morning of 3 May 1989, a purple glow was noticed by several drivers in the bushes around the middle of the verge. Some say it was a blue glow. From a crosschecking of the statements, it appeared to last for at least ten minutes."|"A Blink of the Screen"|"Terry Pratchett"
"~ 02:00"|"around 2 a.m."|"We also know that the person calling himself Elrond X, an itinerant, entered the area around 2 a.m. When located subsequently, he said: ‘Yeah, well, maybe sometimes I used to take a chicken but there’s no law against it. Anyway, I stopped because it was getting very heavy, I mean, it was the way they were acting. The way they looked at you. Their beady eyes. But times are tough and I thought, okay, why not …"|"A Blink of the Screen"|"Terry Pratchett"
02:30|matins|"… when matins were done the congregation filed out to the yard. They were confronted by a marble block into which had been thrust a beautiful sword. The block was four feet square, and the sword passed through a steel anvil which had been struck in the stone, and which projected a foot from it. The anvil had been inscribed with letters of gold:"|"A Blink of the Screen"|"Terry Pratchett"
03:00|"three in the morning"|"Father Christmas sat down on a chair, and gave a start when it swivelled underneath him. It was three in the morning. He still had forty million houses to do."|"A Blink of the Screen"|"Terry Pratchett"
04:00|"four in the morning"|"It was now four in the morning. Rails wound around the office. Fifteen engines were speeding along under the desks. Father Christmas was on his knees, building a house of wooden bricks. He hadn’t had this much fun since 1894."|"A Blink of the Screen"|"Terry Pratchett"
"ap 09:25"|9:25|"‘There must be something they’ll let you keep,’ he said. ‘I must have something. It’s cheered me up, you know, finding someone who doesn’t have any doubts.’ He thought for a bit. ‘How old are you?’
I was powered up on January 5th, 2000, at 9:25 and 16 seconds.
Father Christmas’s lips moved as he worked it out."|"A Blink of the Screen"|"Terry Pratchett"
"ap 03:30"|"half-past three"|"It was a Thursday afternoon. Unseen University’s college council liked their Thursday afternoon meetings. The Council Chamber, with its stained-glass image of Archchancellor Sloman Discovering The Special Theory of Slood, was always nice and warm and there was a distant prospect of tea and chocolate biscuits at half-past three."|"A Blink of the Screen"|"Terry Pratchett"
00:00|MIDNIGHT|"37. UNSEEN ACADEMICALS
38. I SHALL WEAR MIDNIGHT
(for young adults)"|"A Blink of the Screen"|"Terry Pratchett"
