00:00|MIDNIGHT|"AT THE MOMENT IT IS, said Death levelly. I THINK IT MIGHT GO DOWNHILL VERY QUICKLY AT MIDNIGHT."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
00:00|midnight|"Hour gongs were being struck all across the city and nightwatchmen were proclaiming that it was indeed midnight and also that, in the face of all the evidence, all was well. Many of them got as far as the end of the sentence before being mugged."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"ap 08:00"|"eight o’clock"|"‘I shouldn’t, then,’ agreed Magrat.
‘At eight o’clock.’
‘I see.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"ap 07:30"|seven-thirty|"‘I see.’
‘But meet for sherry beforehand at seven-thirty, i’faith.’
*"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
12:00|noon|"‘What goes on four legs in the morning, two legs at noon, and three legs in the evening?’ said the Sphinx smugly."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"ap 03:00"|three|"‘What goes on four legs in the morning, two legs at noon, and three legs in the evening?’ said the Sphinx smugly."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
12:00|noon|"‘It’s easy’ said the Sphinx. ‘A baby crawls in the morning, stands on both legs at noon, and at evening an old man walks with a stick. Good, isn’t it?’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
12:00|noon|"‘Right. Good. So noon would be age 35, am I right? Now considering that most children can toddle at a year or so, the four legs reference is really unsuitable, wouldn’t you agree? I mean, most of the morning is spent on two legs. According to your analogy … only about twenty minutes immediately after 00.00 hours, half an hour tops, is spent on four legs. Am I right? Be fair.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"> 00:00"|"after 00.00 hours"|"‘Right. Good. So noon would be age 35, am I right? Now considering that most children can toddle at a year or so, the four legs reference is really unsuitable, wouldn’t you agree? I mean, most of the morning is spent on two legs. According to your analogy … only about twenty minutes immediately after 00.00 hours, half an hour tops, is spent on four legs. Am I right? Be fair.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
18:00|"six p.m."|"‘By the same token you wouldn’t be using a stick by six p.m. because you’d be only, er, 52,’ said Teppic, scribbling furiously. ‘In fact you wouldn’t really be looking at any kind of walking aid until at least half past nine, I think … I’m sorry, it’s basically okay, but it doesn’t work … You just need to alter it a bit, that’s all.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"ap 09:30"|"half past nine"|"‘By the same token you wouldn’t be using a stick by six p.m. because you’d be only, er, 52,’ said Teppic, scribbling furiously. ‘In fact you wouldn’t really be looking at any kind of walking aid until at least half past nine, I think … I’m sorry, it’s basically okay, but it doesn’t work … You just need to alter it a bit, that’s all.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"> 00:00"|"just after midnight"|"‘But I think calling it “in the morning” is stretching it a bit,’ said Teppic. ‘It’s just after midnight. I mean, technically it’s the morning, but in a very real sense it’s still last night . .. Let’s just see where we’ve got to, shall we? What, metaphorically speaking, walks on four legs just after midnight, on two legs for most of the day—’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
02:00|"two in the morning"|"Within twelve hours of arriving, Ridcully had installed a pack of hunting dragons in the butlers’ pantry, fired his dreadful crossbow at the ravens on the ancient Tower of Art, drunk a dozen bottles of red wine, and rolled off to bed at two in the morning singing a song with words in it that some of the older and more forgetful wizards had to look up."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
"ap 05:00"|"five o’clock"|"And then he got up at five o’clock to go duck hunting down in the marshes on the estuary."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
05:00|"five in the morning"|"There was too much of him, for one thing. It wasn’t that he was particularly big, it was just that he had the kind of huge personality that fits any available space. He’d get roaring drunk at supper and that was fine and acceptable wizardly behaviour. But then he’d go back to his room and play darts all night and leave at five in the morning to go duck hunting. He shouted at people. He tried to jolly them along. And he hardly ever wore proper robes. He’d persuaded Mrs Whitlow, the University’s dreaded housekeeper, to make him a sort of baggy trouser suit in garish blue and red; twice a day the wizards stood in bemusement and watched him jog purposefully around the University buildings, his pointy wizarding hat tied firmly on his head with string. He’d shout cheerfully up at them, because fundamental to the make-up of people like Mustrum Ridcully is an iron belief that everyone else would like it, too, if only they tried it."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
00:00|midnight|"‘That’s the trouble with second sight,’ Desiderata said. ‘You can see what’s happenin’, but you don’t know what it means. I’ve seen the future. There’s a coach made out of a pumpkin. And that’s impossible. And there’s coachmen made out of mice, which is unlikely. And there’s a clock striking midnight, and something about a glass slipper. And it’s all going to happen. Because that’s how stories have to work.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
00:00|midnight|"There was colour, in a sense, but it was the kind of colour you’d get if you could shine a beam of black through a prism. There were hints of tints, here and there a black you might persuade yourself was a very deep purple or a midnight blue. But it was basically black, under a black sky, because this was the world belonging to Death and that was all there was to it."|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
03:00|"3 a.m."|"‘Fred, the finest tradition of the Watch is having a quiet smoke somewhere out of the wind at 3 a.m. Let’s not get carried away, eh?’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
10:30|"10.30 a.m."|"‘About one hundred and sixty, since the Schism of 10.30 a.m., February 23. That was when the Re-United Free Chelonianists (Hubwards Convocation) schismed from the Re-United Free Chelonianists (Rimwards Convocation). It was rather serious.’"|"The Wit and Wisdom of Discworld"|"Terry Pratchett"
