"< 00:00"|"nearly midnight"|"IT was nearly midnight on the eve of St. Thomas’s, the shortest day in the year. A desolating wind wandered from the north over the hill whereon Oak had watched the yellow waggon and its occupant in the sunshine of a few days earlier."|"Far From the Madding Crowd"|"Thomas Hardy"
00:00|midnight|"To persons standing alone on a hill during a clear midnight such as this, the roll of the world eastward is almost a palpable movement. The sensation may be caused by the panoramic glide of the stars past earthly objects, which is perceptible in a few minutes of stillness, or by the better outlook upon space that a hill affords, or by the wind, or by the solitude; but whatever be its origin, the impression of riding along is vivid and abiding. The poetry of motion is a phrase much in use, and to enjoy the epic form of that gratification it is necessary to stand on a hill at a small hour of the night, and, having first expanded with a sense of difference from the mass of civilised mankind, who are dreamwrapt and disregardful of all such proceedings at this time, long and quietly watch your stately progress through the stars. After such a nocturnal reconnoitre it is hard to get back to earth, and to believe that the consciousness of such majestic speeding is derived from a tiny human frame."|"Far From the Madding Crowd"|"Thomas Hardy"
"ap 01:00"|"One o’clock"|"The Dog-star and Aldebaran, pointing to the restless Pleiades, were half-way up the Southern sky, and between them hung Orion, which gorgeous constellation never burnt more vividly than now, as it soared forth above the rim of the landscape. Castor and Pollux with their quiet shine were almost on the meridian: the barren and gloomy Square of Pegasus was creeping round to the north-west; far away through the plantation Vega sparkled like a lamp suspended amid the leafless trees, and Cassiopeia’s chair stood daintily poised on the uppermost boughs.
“One o’clock,” said Gabriel.
Being a man not without a frequent consciousness that there was some charm in this life he led, he stood still after looking at the sky as a useful instrument, and regarded it in an appreciative spirit, as a work of art superlatively beautiful. For a moment he seemed impressed with the speaking loneliness of the scene, or rather with the complete abstraction from all its compass of the sights and sounds of man. Human shapes, interferences, troubles, and joys were all as if they were not, and there seemed to be on the shaded hemisphere of the globe no sentient being save himself; he could fancy them all gone round to the sunny side."|"Far From the Madding Crowd"|"Thomas Hardy"
01:00|"One o’clock this morning"|"“It is mine,” said she, and, from a sense of proportion, kept down to a small smile an inclination to laugh distinctly: “it flew away last night.”
“One o’clock this morning?”
“Well—it was.” She was surprised. “How did you know?” she said."|"Far From the Madding Crowd"|"Thomas Hardy"
12:00|"twelve o’clock that same day"|"George’s son had done his work so thoroughly that he was considered too good a workman to live, and was, in fact, taken and tragically shot at twelve o’clock that same day—another instance of the untoward fate which so often attends dogs and other philosophers who follow out a train of reasoning to its logical conclusion, and attempt perfectly consistent conduct in a world made up so largely of compromise."|"Far From the Madding Crowd"|"Thomas Hardy"
12:00|noon|"Weatherbury! It was where Bathsheba had gone two months before. This information was like coming from night into noon."|"Far From the Madding Crowd"|"Thomas Hardy"
"ap ~ 09:00"|"about nine o’clock"|"On somewhat suddenly awaking, after a sleep of whose length he had no idea, Oak found that the waggon was in motion. He was being carried along the road at a rate rather considerable for a vehicle without springs, and under circumstances of physical uneasiness, his head being dandled up and down on the bed of the waggon like a kettledrum-stick. He then distinguished voices in conversation, coming from the forpart of the waggon. His concern at this dilemma (which would have been alarm, had he been a thriving man; but misfortune is a fine opiate to personal terror) led him to peer cautiously from the hay, and the first sight he beheld was the stars above him. Charles’s Wain was getting towards a right angle with the Pole star, and Gabriel concluded that it must be about nine o’clock—in other words, that he had slept two hours. This small astronomical calculation was made without any positive effort, and whilst he was stealthily turning to discover, if possible, into whose hands he had fallen."|"Far From the Madding Crowd"|"Thomas Hardy"
"ap 05:45"|"quarter to six"|"“It wants a quarter to six at present,” said Bathsheba, looking at her watch. “I daresay he’ll be in directly. Well, now then”—she looked into the book—“Joseph Poorgrass, are you there?”"|"Far From the Madding Crowd"|"Thomas Hardy"
"ap 10:00"|ten|"An indescribable succession of dull blows, perplexing in their regularity, sent their sound with difficulty through the fluffy atmosphere. It was a neighbouring clock striking ten. The bell was in the open air, and being overlaid with several inches of muffling snow, had lost its voice for the time."|"Far From the Madding Crowd"|"Thomas Hardy"
12:00|noon|"Then the dawn drew on. The full power of the clear heaven was not equal to that of a cloudy sky at noon, when Boldwood arose and dressed himself. He descended the stairs and went out towards the gate of a field to the east, leaning over which he paused and looked around."|"Far From the Madding Crowd"|"Thomas Hardy"
