12:00|noon|"The heaven being spread with this pallid screen and the earth
with the darkest vegetation, their meeting-line at the horizon was
clearly marked. In such contrast the heath wore the appearance of
an instalment of night which had taken up its place before its
astronomical hour was come: darkness had to a great extent arrived
hereon, while day stood distinct in the sky. Looking upwards, a
furze-cutter would have been inclined to continue work; looking
down, he would have decided to finish his faggot and go home. The
distant rims of the world and of the firmament seemed to be a
division in time no less than a division in matter. The face of the
heath by its mere complexion added half an hour to evening; it
could in like manner retard the dawn, sadden noon, anticipate the
frowning of storms scarcely generated, and intensify the opacity of
a moonless midnight to a cause of shaking and dread."|"The Return of the Native"|"Thomas Hardy"
00:00|midnight|"The heaven being spread with this pallid screen and the earth
with the darkest vegetation, their meeting-line at the horizon was
clearly marked. In such contrast the heath wore the appearance of
an instalment of night which had taken up its place before its
astronomical hour was come: darkness had to a great extent arrived
hereon, while day stood distinct in the sky. Looking upwards, a
furze-cutter would have been inclined to continue work; looking
down, he would have decided to finish his faggot and go home. The
distant rims of the world and of the firmament seemed to be a
division in time no less than a division in matter. The face of the
heath by its mere complexion added half an hour to evening; it
could in like manner retard the dawn, sadden noon, anticipate the
frowning of storms scarcely generated, and intensify the opacity of
a moonless midnight to a cause of shaking and dread."|"The Return of the Native"|"Thomas Hardy"
00:00|midnight|"The most thoroughgoing ascetic could feel that he had a natural
right to wander on Egdon—he was keeping within the line of
legitimate indulgence when he laid himself open to influences such
as these. Colours and beauties so far subdued were, at least, the
birthright of all. Only in summer days of highest feather did its
mood touch the level of gaiety. Intensity was more usually reached
by way of the solemn than by way of the brilliant, and such a sort
of intensity was often arrived at during winter darkness, tempests,
and mists. Then Egdon was aroused to reciprocity; for the storm was
its lover, and the wind its friend. Then it became the home of
strange phantoms; and it was found to be the hitherto unrecognized
original of those wild regions of obscurity which are vaguely felt
to be compassing us about in midnight dreams of flight and
disaster, and are never thought of after the dream till revived by
scenes like this."|"The Return of the Native"|"Thomas Hardy"
"ap 06:00"|"six o'clock"|"""Yes, yes—that's it. But, Timothy, hearken to me,"" said the
Grandfer earnestly. ""Though known as such a joker, I be an
understanding man if you catch me serious, and I am serious now. I
can tell 'ee lots about the married couple. Yes, this morning at
six o'clock they went up the country to do the job, and neither
vell nor mark have been seen of 'em since, though I reckon that
this afternoon has brought 'em home again man and woman—wife, that
is. Isn't it spoke like a man, Timothy, and wasn't Mis'ess
Yeobright wrong about me?"""|"The Return of the Native"|"Thomas Hardy"
00:00|midnight|"Along the ridge ran a faint foot-track, which the lady followed.
Those who knew it well called it a path; and, while a mere visitor
would have passed it unnoticed even by day, the regular haunters of
the heath were at no loss for it at midnight. The whole secret of
following these incipient paths, when there was not light enough in
the atmosphere to show a turnpike road, lay in the development of
the sense of touch in the feet, which comes with years of
night-rambling in little-trodden spots. To a walker practised in
such places a difference between impact on maiden herbage, and on
the crippled stalks of a slight footway, is perceptible through the
thickest boot or shoe."|"The Return of the Native"|"Thomas Hardy"
00:00|midnight|"Her presence brought memories of such things as Bourbon roses,
rubies, and tropical midnight; her moods recalled lotus-eaters and
the march in Athalie; her motions, the ebb and flow of the sea; her
voice, the viola. In a dim light, and with a slight rearrangement
of her hair, her general figure might have stood for that of either
of the higher female deities. The new moon behind her head, an old
helmet upon it, a diadem of accidental dewdrops round her brow,
would have been adjuncts sufficient to strike the note of Artemis,
Athena, or Hera respectively, with as close an approximation to the
antique as that which passes muster on many respected canvases."|"The Return of the Native"|"Thomas Hardy"
"ap ~ 07:00"|"about seven o'clock"|"His first active step in watching over Thomasin's interests was
taken about seven o'clock the next evening and was dictated by the
news which he had learnt from the sad boy. That Eustacia was
somehow the cause of Wildeve's carelessness in relation to the
marriage had at once been Venn's conclusion on hearing of the
secret meeting between them. It did not occur to his mind that
Eustacia's love signal to Wildeve was the tender effect upon the
deserted beauty of the intelligence which her grandfather had
brought home. His instinct was to regard her as a conspirator
against rather than as an antecedent obstacle to Thomasin's
happiness."|"The Return of the Native"|"Thomas Hardy"
"ap ~ 03:00"|"about three o'clock"|"It was a fine and quiet afternoon, about three o'clock; but the
winter solstice having stealthily come on, the lowness of the sun
caused the hour to seem later than it actually was, there being
little here to remind an inhabitant that he must unlearn his summer
experience of the sky as a dial. In the course of many days and
weeks sunrise had advanced its quarters from northeast to
southeast, sunset had receded from northwest to southwest; but
Egdon had hardly heeded the change."|"The Return of the Native"|"Thomas Hardy"
"ap < 04:00"|"nearly four o'clock"|"Thomasin came out of the tree, shook from her hair and dress the
loose berries which had fallen thereon, and went down the hill with
her aunt, each woman bearing half the gathered boughs. It was now
nearly four o'clock, and the sunlight was leaving the vales. When
the west grew red the two relatives came again from the house and
plunged into the heath in a different direction from the first,
towards a point in the distant highway along which the expected man
was to return."|"The Return of the Native"|"Thomas Hardy"
"ap 00:50"|"ten to one"|"But these tender schemes were not feasible among the scattered
inhabitants of Egdon Heath. In name they were parishioners, but
virtually they belonged to no parish at all. People who came to
these few isolated houses to keep Christmas with their friends
remained in their friends' chimney-corners drinking mead and other
comforting liquors till they left again for good and all. Rain,
snow, ice, mud everywhere around, they did not care to trudge two
or three miles to sit wet-footed and splashed to the nape of their
necks among those who, though in some measure neighbours, lived
close to the church, and entered it clean and dry. Eustacia knew it
was ten to one that Clym Yeobright would go to no church at all
during his few days of leave, and that it would be a waste of
labour for her to go driving the pony and gig over a bad road in
hope to see him there."|"The Return of the Native"|"Thomas Hardy"
