12:00|"High Noon"|"""What you've already decided. If you stay here and there's more killing, maybe it would sour this place for you. High Noon and all that crap. If it's that way, you weren't really asking."""|"Red Dragon"|"Thomas Harris"
23:30|"Eleven-thirty P.M."|"Graham looked at his watch. Eleven-thirty P.M. According to the pathologist, the deaths occurred between eleven P.M. and one A.M."|"Red Dragon"|"Thomas Harris"
23:00|"eleven P.M."|"Graham looked at his watch. Eleven-thirty P.M. According to the pathologist, the deaths occurred between eleven P.M. and one A.M."|"Red Dragon"|"Thomas Harris"
01:00|"one A.M."|"Graham looked at his watch. Eleven-thirty P.M. According to the pathologist, the deaths occurred between eleven P.M. and one A.M."|"Red Dragon"|"Thomas Harris"
04:30|"four-thirty A.M."|"Graham drove hack to his hotel. He had to concentrate on his driving, though there was little traffic at four-thirty A.M. His head still ached and he watched for an all-night pharmacy."|"Red Dragon"|"Thomas Harris"
08:00|"eight A.M."|"A meeting was scheduled for eight A.M. at the Atlanta police headquarters. He'd have little enough to tell them."|"Red Dragon"|"Thomas Harris"
07:50|"seven-fifty A.M."|"Crawford handed him a Coke from the machine in Atlanta police headquarters. It was seven-fifty A.M."|"Red Dragon"|"Thomas Harris"
"~ 01:00"|"about one o'clock this morning"|"""Your Atlanta office or agency or whatever called me, of course, Mr. Price. But last night we had to get the police to remove an obnoxious fellow who was trying to take pictures for The National Tattler, so I'm being very careful. I'm sure you understand. Mr. Price, the bodies were only released to us about one o'clock this morning, and the funeral is this afternoon at five. We simply can't delay it."""|"Red Dragon"|"Thomas Harris"
"ap 05:00"|five|"""Your Atlanta office or agency or whatever called me, of course, Mr. Price. But last night we had to get the police to remove an obnoxious fellow who was trying to take pictures for The National Tattler, so I'm being very careful. I'm sure you understand. Mr. Price, the bodies were only released to us about one o'clock this morning, and the funeral is this afternoon at five. We simply can't delay it."""|"Red Dragon"|"Thomas Harris"
12:00|noon|"Graham went back to his hotel and slept for two and a half hours. He woke at noon, showered, and ordered a pot of coffee and a sandwich. It was time to make a close study of the Jacobi file from Birmingham. He scrubbed his reading glasses with hotel soap and settled in by the window with the file. For the first few minutes he looked up at every sound, footsteps in the hall, the distant thud of the elevator door. Then he knew nothing but the file."|"Red Dragon"|"Thomas Harris"
17:30|"five-thirty P.M."|"At five-thirty P.M. Hoyt Lewis drove in his own automobile to the Cloud Nine Lounge, where he had several boilermakers to ease his mind."|"Red Dragon"|"Thomas Harris"
"ap 07:00"|"seven o'clock"|"Flimsy copies of the notes on all calls about the Leeds case were placed on Buddy Springfield's desk. Tuesday morning at seven o'clock when Springfield arrived at his office, there were sixty-three of them. The top one was red-flagged."|"Red Dragon"|"Thomas Harris"
07:45|"7:45 A.M."|"At 7:45 A.M. Springfield parked near the end of the alley. He and Graham walked abreast in wheel tracks pressed in the gravel. Even this early the sun was hot."|"Red Dragon"|"Thomas Harris"
12:00|Noon|"""I'm not sure, I was trying to think.""
""Do you recall the time of day? Morning? Noon? Afternoon?""
""I know the times of day, you don't have to name them. Afternoon, maybe. I don't remember."""|"Red Dragon"|"Thomas Harris"
"~ 22:00"|"about ten P.M."|"Dolarhyde got home about ten P.M. He lived alone in a big house his grandparents had left him. It stood at the end of a gravel drive that runs through an apple orchard north of St. Charles, Missouri, across the Missouri River from St. Louis. The orchard's absentee owner did not take care of it. Dead and twisted trees stood among the green ones. Now, in late July, the smell of rotting apples hung over the orchard. There were many bees in the daytime. The nearest neighbor was a half-mile away."|"Red Dragon"|"Thomas Harris"
00:00|midnight|"How had the Tooth Fairy come to the Jacobi house? He had to drive. Where did he park? The gravel driveway was too noisy for a midnight visit, Graham thought. The Birmingham police did not agree."|"Red Dragon"|"Thomas Harris"
"> 12:00"|"after noon"|"There was no way to determine exactly where the children found the cat. The police had located no one who spoke to the Jacobis after noon, ten hours or so before they died."|"Red Dragon"|"Thomas Harris"
"ap 05:00"|"five o'clock"|"Attorney Byron Metcalf took off his tie at five o'clock, made himself a drink, and put his feet up on his desk."|"Red Dragon"|"Thomas Harris"
09:30|"nine-thirty in the morning"|"""There's some personal correspondence. I have it in the lockboxes with the small valuables. I don't remember any diaries. Everything else is in storage. Niles may have some pictures, but I doubt it. Tell you what—I'm going to court at nine-thirty in the morning, but I could get you into the bank to look at the stuff and come back by for you afterward."""|"Red Dragon"|"Thomas Harris"
"ap 04:15"|four-fifteen|"Lloyd Bowman, dry as a document in spite of the heat, caught up with them in the corridor. He was flapping damp photographs in each hand and held a sheaf of Datafax sheets under his arm. ""Jack, I have to be in court at four-fifteen,"" he said as he flapped ahead. ""It's that paper hanger Nilton Eskew and his sweetheart, Nan. She could draw a Treasury note freehand. They've been driving me crazy for two years making their own traveler's checks on a color Xerox. Won't leave home without them. Will I make it in time, or should I call the prosecutor?"""|"Red Dragon"|"Thomas Harris"
"ap 08:16"|8:16|"Find help in John 6:22, 8:16, 9:1; Luke 1:7, 3:1; Galatians 6:11, 15:2; Acts 3:3; Revelation 18:7; Jonah 6:8 . . ."|"Red Dragon"|"Thomas Harris"
09:00|"nine A.M."|"Winds aloft carried the thin rain out over the bay and by nine A.M. the ground steamed. The far targets on the sheriff's department range seemed to flinch in the wavy air."|"Red Dragon"|"Thomas Harris"
11:50|"ten minutes before noon"|"Graham stood in the open doorway of a soundproof booth. Behind him in the booth was Crawford's telephone. Sarah had cleaned it with Windex. With the voiceprint spectrograph, tape recorders, and stress evaluator taking up most of her desk and another table beside it, and Beverly Katz sitting in her chair, Sarah needed something to do.
The big clock on the wall showed ten minutes before noon.
Dr. Alan Bloom and Crawford stood with Graham. They had adopted a sidelines stance, hands in their pockets."|"Red Dragon"|"Thomas Harris"
