"ap 09:00"|0900|"“I know he’s a monster. Beyond that, nobody can say for sure. Maybe you’ll find out; I didn’t pick you out of a hat, Starling. You asked me a couple of interesting questions when I was at UVA. The Director will see your own report over your signature—if it’s clear and tight and organized. I decide that. And I will have it by 0900 Sunday. Okay, Starling, carry on in the prescribed manner.”"|"The Silence of the Lambs"|"Thomas Harris"
"ap 08:00"|"eight o’clock"|"The chief deputy wasn’t having any. “It was somebody from the district attorney’s office called you,” he said. “I know the sheriff didn’t call you—Sheriff Perkins is on a guided tour of Hawaii at the present time with Mrs. Perkins. I spoke to him on long distance this morning at eight o’clock, that’s three A.M., Hawaii time. He’ll get back to me later in the day, but he told me Job One is to find out if this is one of our local girls. It could be something that outside elements has just dumped on us. We’ll tend to that before we do anything else. We’ve had ’em haul bodies here all the way from Phenix City, Alabama.”"|"The Silence of the Lambs"|"Thomas Harris"
03:00|"three A.M."|"The chief deputy wasn’t having any. “It was somebody from the district attorney’s office called you,” he said. “I know the sheriff didn’t call you—Sheriff Perkins is on a guided tour of Hawaii at the present time with Mrs. Perkins. I spoke to him on long distance this morning at eight o’clock, that’s three A.M., Hawaii time. He’ll get back to me later in the day, but he told me Job One is to find out if this is one of our local girls. It could be something that outside elements has just dumped on us. We’ll tend to that before we do anything else. We’ve had ’em haul bodies here all the way from Phenix City, Alabama.”"|"The Silence of the Lambs"|"Thomas Harris"
02:45|"2:45 A.M."|"At 2:45 A.M. the special agent in charge of the Memphis FBI office reported to headquarters in Washington that Senator Ruth Martin’s only daughter had disappeared."|"The Silence of the Lambs"|"Thomas Harris"
03:00|"3:00 A.M."|"At 3:00 A.M. two unmarked vans pulled out of the damp basement garage at the Washington field office, Buzzard’s Point. One van went to the Senate Office Building, where technicians placed monitoring and recording equipment on the telephones in Senator Martin’s office and put a Title 3 wiretap on the pay phones closest to the Senator’s office. The Justice Department woke the most junior member of the Senate Select Intelligence Committee to provide the obligatory notice of the tap."|"The Silence of the Lambs"|"Thomas Harris"
06:30|"6:30 A.M."|"Jack Crawford was driving south from his home in Arlington at 6:30 A.M. when the telephone in his car beeped for the second time in two minutes."|"The Silence of the Lambs"|"Thomas Harris"
06:30|"6:30 A.M."|"Jack Crawford was driving south from his home in Arlington at 6:30 A.M. when the telephone in his car beeped for the second time in two minutes.
“Nine twenty-two forty.”
“Forty stand by for Alpha 4.”"|"The Silence of the Lambs"|"Thomas Harris"
"ap 09:22"|"Nine twenty-two"|"Jack Crawford was driving south from his home in Arlington at 6:30 A.M. when the telephone in his car beeped for the second time in two minutes.
“Nine twenty-two forty.”
“Forty stand by for Alpha 4.”"|"The Silence of the Lambs"|"Thomas Harris"
12:00|noon|"She checked her box for a message at noon and there was nothing. It occurred to her then, as it had on a few other occasions in her life, that intense frustration tastes very much like the patent medicine called Fleet’s that she’d had to take as a child."|"The Silence of the Lambs"|"Thomas Harris"
"ap 07:00"|"seven o’clock"|"She watched the seven o’clock news with Mapp and a dozen other students in the recreation room. The abduction of Senator Martin’s daughter was not the lead item, but it was first after the Geneva arms talks."|"The Silence of the Lambs"|"Thomas Harris"
