00:00|midnight|"Chick gazed dolefully into the fire. After a moment, “Thing is, I believe he would have hung on. If he could have. We were partners, see? Always had something going. Some swell little moneymaker. Not always to the sheriff’s liking, but enough to keep beans in the pot. Didn’t mind all the midnight relocations, but those small-town courtrooms, I never could get used to them. Judge’d take one look at us, up went that hammer, whiz! we were usually out the door and on the main road before it came back down again.”"|"Against the Day"|"Thomas Pynchon"
00:00|midnight|"THE BOYS GAVE Lew a gold-and-enamel Chums of Chance honorary membership pin to be worn beneath his lapel, which, upon being revealed at any branch anyplace in the world, would entitle him to all visitors’ privileges provided for in the C. of C. Charter. Lew in return gave them a miniature spotter’s telescope disguised as a watch fob, also holding a single .22 round which it was able to fire in an emergency. The boys thanked him sincerely enough, but that night after Evening Quarters argued late over the recurring question of introducing firearms aboard the Inconvenience. In the matter of Lew’s gift, the solution was easy enough—keep it unloaded. But the broader issue remained. “As of this moment we are all friends and brothers,” Randolph supposed, “but historically any ship’s armory is a free-standing volume of potential trouble—an attraction to would-be mutineers, and little else. There it sits, waiting its moment, taking up space that might, particularly on an airship, be more usefully assigned.” The other danger was less easy to speak of, and everyone—except possibly Pugnax, whose thoughts were difficult of access—found themselves speaking in euphemisms. For cases were known and whispered through the service, more certain than idle rumors or sky-stories, of extended duty so terrible in its demands on morale that now and then, unable to continue, some unfortunate Chum of Chance had decided to end his life, the overwhelming choice among methods being the “midnight plunge”—simply rolling over the gunwale during a night flight—yet, for those who might prefer less dependence on altitude, any gun on board would present an irresistible appeal."|"Against the Day"|"Thomas Pynchon"
"~ 20:00"|"around eight in the evening"|"In August he happened to be in Columbus, where the papers were full of Blinky Morgan’s impending execution at the state pen and various last-ditch efforts to prevent it. A sweltering somnambulism possessed the town. It was impossible to get a decent meal, or even snack, anywhere, burned flapjacks and vulcanized steaks being as appetizing as things got. It also quickly became evident—horribly evident—that no one in the city knew how to make coffee, as if there were some sort of stultified consensus, or even city ordinance, about never waking up. Bridge-rails were crowded with people watching the Scioto move sluggishly along. Saloons were full of silent drinkers, who drank very slowly till they collapsed, typically around eight in the evening, which appeared to be closing time here. Day and night, thousands of petitioners milled at the gates of the Capitol seeking admission to the hanging. Souvenir stands enjoyed a remunerative trade in Blinky poker decks and board games, watch-fobs and cigar cutters, Blinky lockets and charms, commemorative china and wallpaper, Blinky toys including stuffed Blinky dolls which each came suspended by the neck from its own little toy gallows, and a great favorite, Blinky thumb-books, whose pages, showing full-color artist’s renderings of the bloody murders in Ravenna, if flipped rapidly with your thumb appeared actually to be in motion. For a while, fascinated, Merle wandered the booths and pitches, setting up his camera and taking plate after plate of these Blinky Morgan keepsakes, displayed by the identical dozens, until somebody asked him why he wasn’t trying to get in to photograph the execution. “Why, you know,” as if coming to his senses, “I don’t know.” There were people at the Plain Dealer he could have wired, he supposed, cashed in a favor maybe. . . . Alarmed at what seemed a dangerously morbid lapse, he uncovered all the plates he’d taken and left them out in a vacant lot under the daylight, to return to blankness and innocence."|"Against the Day"|"Thomas Pynchon"
00:00|Midnight|"Webb was presently thus recorded, though what on the face of it was so dangerous about him, really? No more than a rank-and-filer in the Western Federation of Miners—but maybe those anarchistic bastards were hiding their records. He might be conspiring in secret. Midnight oaths, invisible ink. Wouldn’t be the first or only. And he seemed to move around a lot, too much for a family man, you’d think, always had money too, not a lot, but more than you’d expect from somebody working at miners’ wages . . . good worker, ain’t like that he kept getting fired, no, it was always him ‘s the one quitting, moving on camp to camp, and somehow always bringing trouble with him. Well, not always. But how many times did it take to stop being a coincidence and start being a pattern?"|"Against the Day"|"Thomas Pynchon"
00:00|midnight|"Reef, on the other hand, had seen pretty early through that amiable pose of working-stiff family man and down into the anger behind it, which he was no stranger to himself, wishing, as the insults multiplied, wishing desperately, for the ability to destroy, purely through the force of his desire, to point or stare furiously enough at any of these owners’ creatures to make them go up in bright, preferably loud, bursts of flame. Somehow he convinced himself that Webb possessed, if not exactly this power of instant justice, at least a secret life, in which, when night fell, he could put on, say, a trick hat and duster which would make him invisible, and take to the trails, grim and focused, to do the people’s work, if not God’s, the two forces according to Reverend Gatlin having the same voice. Or even some supernormal power, such as multiplying himself so he could be in several places at once. . . . But Reef couldn’t figure a way to bring any of it up with Webb. He would have begged to work as his father’s apprentice and sidekick, any kind of drudgery necessary, but Webb was immune—sometimes, indeed, pretty harshly so. “Don’t beg, you hear me? Don’t any of you ever, fucking, beg, me or nobody, for nothin.” A timely cussword to drive in the lesson being part of Webb’s theory of education. But standing even more in the way of Reef ever getting to be his Pop’s midnight compadre was his own reluctance to trigger one of those towering conniption fits allowed as a privilege to fathers only, which he could recognize sometimes as a form of bad playacting, deployed for convenience, but, knowing the true depths of Webb’s rage, was still not about to put himself in the way of. So he settled instead for what confidences might accidentally leak through now and then."|"Against the Day"|"Thomas Pynchon"
"ap ~ 08:00"|"Around eight o’clock"|"Longer than expected. Around eight o’clock, a secondary winding on one of the transmitters blew up, having been repeatedly charged at, somewhere out along the miles of coil length required by the low frequencies of the waves in use, by a maddened elk. Near midnight a couple of prairie tornadoes roared by as if seeking in the two-hundred-foot transmission tower a companion in electrical debauchery, and about the middle of the midwatch a couple of stimulated freightmen down from Leadville got in a dispute and exchanged shots, which, as usual, nothing came of, owing to the magnetic fields around here being so strong and erratic they kept pulling the pistol barrels off target. Lurid bursts of blue, red, and green light, with their man-made thunderclaps, kept the skies busy till dawn. Kids at the adjoining Deaf and Blind School reported hearing and seeing frequencies hitherto unaccounted for in the medical science of the day."|"Against the Day"|"Thomas Pynchon"
"< 00:00"|"Near midnight"|"Longer than expected. Around eight o’clock, a secondary winding on one of the transmitters blew up, having been repeatedly charged at, somewhere out along the miles of coil length required by the low frequencies of the waves in use, by a maddened elk. Near midnight a couple of prairie tornadoes roared by as if seeking in the two-hundred-foot transmission tower a companion in electrical debauchery, and about the middle of the midwatch a couple of stimulated freightmen down from Leadville got in a dispute and exchanged shots, which, as usual, nothing came of, owing to the magnetic fields around here being so strong and erratic they kept pulling the pistol barrels off target. Lurid bursts of blue, red, and green light, with their man-made thunderclaps, kept the skies busy till dawn. Kids at the adjoining Deaf and Blind School reported hearing and seeing frequencies hitherto unaccounted for in the medical science of the day."|"Against the Day"|"Thomas Pynchon"
12:00|noon|"THE ORDERS HAD ARRIVED with the usual lack of ceremony or even common courtesy, by way of the Oyster Stew traditionally prepared each Thursday as the Plat du Jour by Miles Blundell, who, that morning, well before sunup, had visited the shellfish market in the teeming narrow lanes of the old town in Surabaya, East Java, where the boys were enjoying a few days of ground-leave. There, Miles had been approached by a gentleman of Japanese origin and unusual persuasiveness, who had sold him, at what did seem a remarkably attractive price, two buckets full of what he repeatedly described as “Special Japanese Oyster,” these being in fact the only English words Miles would recall him having spoken. Miles had thought no more about it until the noon mess was interrupted by an agonized scream from Lindsay Noseworth, followed by a half minute of uncharacteristic profanity. On the messtray before him, where he had just vigorously expelled it from his mouth, lay a pearl of quite uncommon size and iridescence, seeming indeed to glow from within, which the boys, gathered about, recognized immediately as a communication from the Chums of Chance Upper Hierarchy."|"Against the Day"|"Thomas Pynchon"
12:00|noontide|"“Mighty helpful,” sneered Darby Suckling. “But heck, we all know the story by now.” Chick Counterfly had already brought out of its storage locker a peculiar-looking optical contraption of prisms, lenses, Nernst lamps, and adjustment screws, into an appropriate receptacle of which he now carefully placed the pearl. Lindsay, still clutching his jaw in dental discomfort and muttering aggrievedly, lowered the shades in the dining saloon against the tropical noontide, and the boys directed their attention to a reflective screen set on one bulkhead, where presently, like a photographic image emerging from its solution, a printed message began to appear."|"Against the Day"|"Thomas Pynchon"
12:00|midday|"“It was something else,” said Miles Blundell, the only one of the crew who seemed to have taken the warning to heart, returning, as the other boys resumed their own activities, to his preparation of the midday meal, and Pugnax re-inserted his nose among the pages of a roman-feuilleton by M. Eugène Sue, which he appeared to be reading in the original French."|"Against the Day"|"Thomas Pynchon"
