12:00|noon|"Sigh. “This is his mother. There’ll be a statement at noon tomorrow. Our lawyer will read it.” She hung up. Now what the hell, Oedipa wondered: what had happened to Driblette? She decided to call later. She found Professor Emory Bortz’s number in the book and had better luck. A wife named Grace answered, backed by a group of children. “He’s pouring a patio,” she told Oedipa. “It’s a highly organized joke that’s been going on since about April. He sits in the sun, drinks beer with students, lobs beer bottles at seagulls. You’d better talk to him before it gets that far. Maxine, why don’t you throw that at your brother, he’s more mobile than I am. Did you know Emory’s done a new edition of Wharfinger? It’ll be out——” but the date was obliterated by a great crash, maniacal childish laughter, high-pitched squeals. “Oh, God. Have you ever met an infanticide? Come on over, it may be your only chance.”"|"The Crying of Lot 49"|"Thomas Pynchon"
"> 00:00"|"Shortly after midnight"|"Oedipa went back to Echo Courts to drink bourbon until the sun went down and it was as dark as it would ever get. Then she went out and drove on the freeway for a while with her lights out, to see what would happen. But angels were watching. Shortly after midnight she found herself in a phone booth, in a desolate, unfamiliar, unlit district of San Narciso. She put in a station call to The Greek Way in San Francisco, gave the musical voice that answered a description of the acned, fuzz-headed Inamorato Anonymous she’d talked to there and waited, inexplicable tears beginning to build up pressure around her eyes. Half a minute of clinking glasses, bursts of laughter, sounds of a juke box. Then he came on."|"The Crying of Lot 49"|"Thomas Pynchon"
03:00|"three in the morning"|"“No,” she said, “you have half a million others to choose from. It’s three in the morning.”"|"The Crying of Lot 49"|"Thomas Pynchon"
12:00|noontime|"“One of Inverarity’s interests,” Metzger noted. It was to be laced by canals with private landings for power boats, a floating social hall in the middle of an artificial lake, at the bottom of which lay restored galleons, imported from the Bahamas; Atlantean fragments of columns and friezes from the Canaries; real human skeletons from Italy; giant clamshells from Indonesia—all for the entertainment of Scuba enthusiasts. A map of the place flashed onto the screen, Oedipa drew a sharp breath, Metzger on the chance it might be for him looked over. But she’d only been reminded of her look downhill this noontime. Some immediacy was there again, some promise of hierophany: printed circuit, gently curving streets, private access to the water, Book of the Dead. . . ."|"The Crying of Lot 49"|"Thomas Pynchon"
03:00|"three in the morning"|"It got seriously under way, this sensitizing, either with the letter from Mucho or the evening she and Metzger drifted into a strange bar known as The Scope. Looking back she forgot which had come first. The letter itself had nothing much to say, had come in response to one of her dutiful, more or less rambling, twice-a-week notes to him, in which she was not confessing to her scene with Metzger because Mucho, she felt, somehow, would know. Would then proceed at a KCUF record hop to look out again across the gleaming gym floor and there in one of the giant keyholes inscribed for basketball see, groping her vertical backstroke a little awkward opposite any boy heels might make her an inch taller than, a Sharon, Linda or Michele, seventeen and what is known as a hip one, whose velveted eyes ultimately, statistically would meet Mucho’s and respond, and the thing would develop then groovy as it could when you found you couldn’t get statutory rape really out of the back of your law-abiding head. She knew the pattern because it had happened a few times already, though Oedipa had been most scrupulously fair about it, mentioning the practice only once, in fact, another three in the morning and out of a dark dawn sky, asking if he wasn’t worried about the penal code. “Of course,” said Mucho after awhile, that was all; but in his tone of voice she thought she heard more, something between annoyance and agony. She wondered then if worrying affected his performance. Having once been seventeen and ready to laugh at almost anything, she found herself then overcome by, call it a tenderness she’d never go quite to the back of lest she get bogged. It kept her from asking him any more questions. Like all their inabilities to communicate, this too had a virtuous motive."|"The Crying of Lot 49"|"Thomas Pynchon"
00:00|midnight|"“That’s by Stockhausen,” the hip graybeard informed her, “the early crowd tends to dig your Radio Cologne sound. Later on we really swing. We’re the only bar in the area, you know, has a strictly electronic music policy. Come on around Saturdays, starting midnight we have your Sinewave Session, that’s a live get-together, fellas come in just to jam from all over the state, San Jose, Santa Barbara, San Diego—”"|"The Crying of Lot 49"|"Thomas Pynchon"
"~ 12:00"|"around noon"|"The Peter Pinguid Society was named for the commanding officer of the Confederate man-of-war “Disgruntled,” who early in 1863 had set sail with the daring plan of bringing a task force around Cape Horn to attack San Francisco and thus open a second front in the War For Southern Independence. Storms and scurvy managed to destroy or discourage every vessel in this armada except the game little “Disgruntled,” which showed up off the coast of California about a year later. Unknown, however, to Commodore Pinguid, Czar Nicholas II of Russia had dispatched his Far East Fleet, four corvettes and two clippers, all under the command of one Rear Admiral Popov, to San Francisco Bay, as part of a ploy to keep Britain and France from (among other things) intervening on the side of the Confederacy. Pinguid could not have chosen a worse time for an assault on San Francisco. Rumors were abroad that winter that the Reb cruisers “Alabama” and “Sumter” were indeed on the point of attacking the city, and the Russian admiral had, on his own responsibility, issued his Pacific squadron standing orders to put on steam and clear for action should any such attempt develop. The cruisers, however, seemed to prefer cruising and nothing more. This did not keep Popov from periodic reconnoitering. What happened on the 9th March, 1864, a day now held sacred by all Peter Pinguid Society members, is not too clear. Popov did send out a ship, either the corvette “Bogatir” or the clipper “Gaidamak,” to see what it could see. Off the coast of either what is now Carmel-by-the-Sea, or what is now Pismo Beach, around noon or possibly toward dusk, the two ships sighted each other. One of them may have fired, if it did then the other responded; but both were out of range so neither showed a scar afterward to prove anything. Night fell. In the morning the Russian ship was gone. But motion is relative. If you believe an excerpt from the “Bogatir” or “Gaidamak” ’s log, forwarded in April to the General-Adjutant in St. Petersburg and now somewhere in the Krasnyi Arkhiv, it was the “Disgruntled” that had vanished during the night."|"The Crying of Lot 49"|"Thomas Pynchon"
12:00|noontide|"It was some such feeling that got her up early one morning to go to a Yoyodyne stockholders’ meeting. There was nothing she could do at it, yet she felt it might redeem her a little from inertia. They gave her a round white visitor’s badge at one of the gates, and she parked in an enormous lot next to a quonset building painted pink and about a hundred yards long. This was the Yoyodyne Cafeteria, and scene of her meeting. For two hours Oedipa sat on a long bench between old men who might have been twins and whose hands, alternately (as if their owners were asleep and the moled, freckled hands out roaming dream-landscapes) kept falling onto her thighs. Around them all, Negroes carried gunboats of mashed potatoes, spinach, shrimp, zucchini, pot roast, to the long, glittering steam tables, preparing to feed a noontide invasion of Yoyodyne workers. The routine business took an hour; for another hour the shareholders and proxies and company officers held a Yoyodyne songfest. To the tune of Cornell’s alma mater, they sang:"|"The Crying of Lot 49"|"Thomas Pynchon"
00:00|midnight|"As with Mucho when she’d left Kinneret, Metzger did not seem desperate at her going. She debated, driving north, whether to stop off at home on the way to Berkeley or coming back. As it turned out she missed the exit for Kinneret and that solved it. She purred along up the east side of the bay, presently climbed into the Berkeley hills and arrived close to midnight at a sprawling, many-leveled, German-baroque hotel, carpeted in deep green, going in for curved corridors and ornamental chandeliers. A sign in the lobby said WELCOME CALIFORNIA CHAPTER AMERICAN DEAF-MUTE ASSEMBLY. Every light in the place burned, alarmingly bright; a truly ponderable silence occupied the building. A clerk popped up from behind the desk where he’d been sleeping and began making sign language at her. Oedipa considered giving him the finger to see what would happen. But she’d driven straight through, and all at once the fatigue of it had caught up with her. The clerk took her to a room with a reproduction of a Remedios Varo in it, through corridors gently curving as the streets of San Narciso, utterly silent. She fell asleep almost at once, but kept waking from a nightmare about something in the mirror, across from her bed. Nothing specific, only a possibility, nothing she could see. When she finally did settle into sleep, she dreamed that Mucho, her husband, was making love to her on a soft white beach that was not part of any California she knew. When she woke in the morning, she was sitting bolt upright, staring into the mirror at her own exhausted face."|"The Crying of Lot 49"|"Thomas Pynchon"
12:00|noon|"How did the post horn come in? That went back to their founding. In the early ’60’s a Yoyodyne executive living near L.A. and located someplace in the corporate root-system above supervisor but below vice-president, found himself, at age 39, automated out of a job. Having been since age 7 rigidly instructed in an eschatology that pointed nowhere but to a presidency and death, trained to do absolutely nothing but sign his name to specialized memoranda he could not begin to understand and to take blame for the running-amok of specialized programs that failed for specialized reasons he had to have explained to him, the executive’s first thoughts were naturally of suicide. But previous training got the better of him: he could not make the decision without first hearing the ideas of a committee. He placed an ad in the personal column of the L.A. Times, asking whether anyone who’d been in the same fix had ever found any good reasons for not committing suicide. His shrewd assumption being that no suicides would reply, leaving him automatically with only valid inputs. The assumption was false. After a week of anxiously watching the mailbox through little Japanese binoculars his wife had given him for a going away present (she’d left him the day after he was pink-slipped) and getting nothing but sucker-list stuff through the regular deliveries that came each noon, he was jolted out of a boozy, black-and-white dream of jumping off The Stack into rush-hour traffic, by an insistent banging at the door. It was late on a Sunday afternoon. He opened his door and found an aged bum with a knitted watch cap on his head and a hook for a hand, who presented him with a bundle of letters and loped away without a word. Most of the letters were from suicides who had failed, either through clumsiness or last-minute cowardice. None of them, however, could offer any compelling reasons for staying alive. Still the executive dithered: spent another week with pieces of paper on which he would list, in columns headed “pro” and “con,” reasons for and against taking his Brody. He found it impossible, in the absence of some trigger, to come to any clear decision. Finally one day he noticed a front page story in the Times, complete with AP wirephoto, about a Buddhist monk in Viet Nam who had set himself on fire to protest government policies. “Groovy!” cried the executive. He went to the garage, siphoned all the gasoline from his Buick’s tank, put on his green Zachary All suit with the vest, stuffed all his letters from unsuccessful suicides into a coat pocket, went in the kitchen, sat on the floor, proceeded to douse himself good with the gasoline. He was about to make the farewell flick of the wheel on his faithful Zippo, which had seen him through the Normany hedgerows, the Ardennes, Germany, and postwar America, when he heard a key in the front door, and voices. It was his wife and some man, whom he soon recognized as the very efficiency expert at Yoyodyne who had caused him to be replaced by an IBM 7094. Intrigued by the irony of it, he sat in the kitchen and listened, leaving his necktie dipped in the gasoline as a sort of wick. From what he could gather, the efficiency expert wished to have sexual intercourse with the wife on the Moroccan rug in the living room. The wife was not unwilling. The executive heard lewd laughter, zippers, the thump of shoes, heavy breathing, moans. He took his tie out of the gasoline and started to snigger. He closed the top on his Zippo. “I hear laughing,” his wife said presently. “I smell gasoline,” said the efficiency expert. Hand in hand, naked, the two proceeded to the kitchen. “I was about to do the Buddhist monk thing,” explained the executive. “Nearly three weeks it takes him,” marvelled the efficiency expert, “to decide. You know how long it would’ve taken the IBM 7094? Twelve microseconds. No wonder you were replaced.” The executive threw back his head and laughed for a solid ten minutes, along toward the middle of which his wife and her friend, alarmed, retired, got dressed and went out looking for the police. The executive undressed, showered and hung his suit out on the line to dry. Then he noticed a curious thing. The stamps on some of the letters in his suit pocket had turned almost white. He realized that the gasoline must have dissolved the printing ink. Idly, he peeled off a stamp and saw suddenly the image of the muted post horn, the skin of his hand showing clearly through the watermark. “A sign,” he whispered, “is what it is.” If he’d been a religious man he would have fallen to his knees. As it was, he only declared, with great solemnity: “My big mistake was love. From this day I swear to stay off of love: hetero, homo, bi, dog or cat, car, every kind there is. I will found a society of isolates, dedicated to this purpose, and this sign, revealed by the same gasoline that almost destroyed me, will be its emblem.” And he did."|"The Crying of Lot 49"|"Thomas Pynchon"
