09:00|"9:00 A.M."|"John checked his watch. He'd have to wait until 9:00 A.M. Washington time-2:00 P.m. in England to make his pitch via the Director of the Central Intelligence Agency, which .was the routing agency for Rainbow's American funding. He wondered how Ed Foley would react-​more to the point, he needed Ed to be an enthusiastic advocate. Well, that ought not to be too hard. Ed knew field operations, after a fashion, and was loyal to the people at the sharp end. Better yet, Clark was asking after they'd had a major sums, and that usually worked a lot better than a plea for help after a failure. ."|"Rainbow Six"|"Tom Clancy"
12:00|"00 P.m."|"John checked his watch. He'd have to wait until 9:00 A.M. Washington time-2:00 P.m. in England to make his pitch via the Director of the Central Intelligence Agency, which .was the routing agency for Rainbow's American funding. He wondered how Ed Foley would react-​more to the point, he needed Ed to be an enthusiastic advocate. Well, that ought not to be too hard. Ed knew field operations, after a fashion, and was loyal to the people at the sharp end. Better yet, Clark was asking after they'd had a major sums, and that usually worked a lot better than a plea for help after a failure. ."|"Rainbow Six"|"Tom Clancy"
12:00|noon|"Chavez next took him to his team's own building, where Malloy met his troops, shook hands, and evaluated what he saw there. Yeah, they were serious, as were Covington's Team-1 people in the next building over. Some people just had the look, the relaxed intensity that made them evaluate everyone they met, and decide at once if the person was a threat. It wasn't that they liked killing and maiming, just that it was their job, and that job spilled over into how they viewed the world. Malloy they evaluated as a potential friend, a man worthy of their trust and respect, and that warmed the Marine aviator. He'd be the guy whom they had to trust to get them where they needed to be, quickly, stealthily, and safely-​and then get them out in the same way. The remaining tour of the training base was pure vanilla to one schooled in the business. The usual buildings, simulated airplane interiors, three real railroad passenger cars, and the other things they practiced to storm; the weapons range with the pop-​up targets (he'd have to play there himself to prove that he was good enough to be here, Malloy knew, since every special-​ops guy was and had to be a shooter, just as every Marine was a rifleman). By noon they were back in Clark's headquarters building."|"Rainbow Six"|"Tom Clancy"
"> 04:00"|"just after four in the morning"|"“It has been an eventful week,” Ostermann admitted. His personal physician had him on tranquilizers, which, he thought, didn't work very well. His mind still remembered the fear. Better yet, Ursel had come home, arriving even before the rescue mission, and that night-​he'd gotten to bed just after four in the morning, she'd come to bed with him, just to hold him, and in her arms he'd shaken and wept from the sheer terror that he'd been able to control right up to the moment that the man Furchtner had died less than a meter to his left. There was blood and other tissue particles on his clothing. They'd had to be taken off for cleaning. Dengler had had the worst time of all, and wouldn't be at work for at least a week, the doctors said. For his part, Ostermann knew that he'd be calling that Britisher who'd come to him with the security proposal, especially after hearing the voices of his rescuers."|"Rainbow Six"|"Tom Clancy"
"< 00:00"|"shortly before midnight"|"The Vienna mission, he saw, had even poorer TV coverage, due to the physical conditions of the chap's house. Quite a nice one, actually. The Romanovs might have had such a fine country house. Here the police had ruthlessly controlled the TV coverage, which was perfectly sensible, Popov thought, but not overly helpful to him. The taped coverage showed the front of the country house with boring regularity, punctuated by the monotonous words of the TV reporter repeating the same things endlessly, telling his viewers that he was unable to speak very much with the police on the scene. The tape did show the movement of vehicles, and showed the arrival of what had to be the Austrian assault team. Interestingly, they appeared to be dressed in civilian clothing upon their arrival, and changed soon thereafter into their battle dress . . . it looked green for this team . . . no, he realized, green overgarments over black regular dress. Did that mean anything? The Austrians had two men with scope-​sighted rifles who rapidly disappeared into cars, which must have taken them behind the Schloss. The assault-​team leader, not a very large man, much like the one Popov thought had headed the team in Bern, was seen from a great distance going over papersthe map/diagram/plans of the house and grounds, no doubt. Then, shortly before midnight, all of them had disappeared, leaving Popov to look at a tape of the dwelling illuminated by huge light standards, accompanied by more idiotic speculation by a singularly ill-​informed TV journalist .... and then, just after midnight, came the distant pop of a rifle, followed by two more pops, silence, and then frantic activity by the uniformed police in the camera's field of view. Twenty of them raced into the front door carrying light machine guns. The reporter had then talked about a sudden burst of activity, which the thickest of viewers would have seen for themselves, followed by more nothing-​at-​all, and then the announcement that all the hostages were alive, and all the criminals dead. Another passage of time, and the green-​and-​black-​clad assault team appeared again. As with Bern there were no overt signs of self-​congratulation. One of the assault team seemed to be puffing on a pipe, as he walked to the van that had brought them to the scene and stowed his weapons, while another of them conferred briefly with a civilian-​clothed policeman, probably the Captain Altmark who'd had field command of the incident. The two must have known each other, their exchange of words was so brief before the paramilitary police team departed the scene, just as at Bern. Yes, both of the counterterror units trained from exactly the same book, Popov told himself  again."|"Rainbow Six"|"Tom Clancy"
"> 00:00"|"just after midnight"|"The Vienna mission, he saw, had even poorer TV coverage, due to the physical conditions of the chap's house. Quite a nice one, actually. The Romanovs might have had such a fine country house. Here the police had ruthlessly controlled the TV coverage, which was perfectly sensible, Popov thought, but not overly helpful to him. The taped coverage showed the front of the country house with boring regularity, punctuated by the monotonous words of the TV reporter repeating the same things endlessly, telling his viewers that he was unable to speak very much with the police on the scene. The tape did show the movement of vehicles, and showed the arrival of what had to be the Austrian assault team. Interestingly, they appeared to be dressed in civilian clothing upon their arrival, and changed soon thereafter into their battle dress . . . it looked green for this team . . . no, he realized, green overgarments over black regular dress. Did that mean anything? The Austrians had two men with scope-​sighted rifles who rapidly disappeared into cars, which must have taken them behind the Schloss. The assault-​team leader, not a very large man, much like the one Popov thought had headed the team in Bern, was seen from a great distance going over papersthe map/diagram/plans of the house and grounds, no doubt. Then, shortly before midnight, all of them had disappeared, leaving Popov to look at a tape of the dwelling illuminated by huge light standards, accompanied by more idiotic speculation by a singularly ill-​informed TV journalist .... and then, just after midnight, came the distant pop of a rifle, followed by two more pops, silence, and then frantic activity by the uniformed police in the camera's field of view. Twenty of them raced into the front door carrying light machine guns. The reporter had then talked about a sudden burst of activity, which the thickest of viewers would have seen for themselves, followed by more nothing-​at-​all, and then the announcement that all the hostages were alive, and all the criminals dead. Another passage of time, and the green-​and-​black-​clad assault team appeared again. As with Bern there were no overt signs of self-​congratulation. One of the assault team seemed to be puffing on a pipe, as he walked to the van that had brought them to the scene and stowed his weapons, while another of them conferred briefly with a civilian-​clothed policeman, probably the Captain Altmark who'd had field command of the incident. The two must have known each other, their exchange of words was so brief before the paramilitary police team departed the scene, just as at Bern. Yes, both of the counterterror units trained from exactly the same book, Popov told himself  again."|"Rainbow Six"|"Tom Clancy"
"ap 01:05"|1:05|"“Yes, General, I know,” Clark said into the phone at 1:05 the next afternoon, damning time zones as he did so."|"Rainbow Six"|"Tom Clancy"
"> 02:00"|"after two in the morning"|"The bar closed after two in the morning, and he walked her out. She was quite drunk now from a total of seven drinks barely diluted by bar peanuts and pretzel nuggets. He'd carefully nursed his three, and eaten a lot of peanuts. “So,” he asked out on the sidewalk, “let me drive you, okay?”"|"Rainbow Six"|"Tom Clancy"
23:00|"2300 hours"|"Andre worked late that night. Worldpark stayed open until 2300 hours, and the shops remained open longer than that, because even so huge a place as Worldpark couldn't waste the chance to earn a few extra copper coins from the masses for the cheap, worthless souvenirs they sold, to be clutched in the greedy hands of little children, often nearly asleep in the arms of their weary parents. He watched the process impassively, the way so many people waited until the very last ride on the mechanical contrivances, and only then, with the chains in place and after the good-​bye waves of the ride operators, did they finally turn and shuffle their way to the gates, taking every opportunity to stop and enter the shops, where the clerks smiled tiredly and were as helpful as they'd been taught to be at the Worldpark University. And then when, finally, all had left, the shops were closed, and the registers emptied, and under the eyes of Andre and his fellow security staff, the cash was taken off to the counting room. It wasn't, strictly speaking, part of his current job, but he tagged along anyway, following the three clerks from the Matador shop, out onto the main street, then into an alleyway, through some blank wooden doors, and down the steps to the underground, the concrete corridors that bustled with electric carts and employees during the day, now empty except for employees heading to dressing rooms to change into their street clothes. The counting room was in the very center, almost under the castle itself. There the cash was handed over, each bag labeled for its point of origin. The coins were dumped into a bin, where they were separated by nationality and denomination and counted, wrapped, and labeled for transport to the bank. The paper currency, already bundled by currency and denomination was . . . weighed. The first time he'd seen it, it had amazed him, but delicate scales actually weighed it there, one point zero-​six-​one-​five kilos of hundredmark German notes. Two point six-​three-​seven-​zero kilos of five-​pound British ones. The corresponding amount was flashed on the electronic screen, and the notes were whisked off for wrapping. Here the security officers carried weapons, Astra pistols, because the total amount of the currency for the day wasthe master tally display said £11,567,309.35 . . . all used cash, the very best sort, in all denominations. It all fit into six large canvas bags that were placed on a four-​wheeled cart for transport out the back of the underground into an armored car with a police escort for transport to the central branch of the local bank, still open this time of day for a deposit of this magnitude. Eleven million British pounds in cash-​this place took in billions per year in cash, Andre thought tiredly."|"Rainbow Six"|"Tom Clancy"
12:00|noon|"“Thompson CSF is sending six hundred employees and their families here, a company outing for one of their departments. It could not be better,” the security guard told them. Thompson was a major French arms manufacturer. Some of the workers, and therefore their children, would be known and important to the French government. French, and politically important-​no, it could not get much better than that. “They will be moving about as a group. I have their itinerary. They come to the castle at noon for lunch and a show. That is our moment, my friends.” Plus one other little addition Andre had decided on earlier in the day. They were always around somewhere, especially at the shows."|"Rainbow Six"|"Tom Clancy"
