02:00|"two in the morning"|"SHE KEPT HER PROMISE TO Mr. Yunioshi; or I assume she did not ring his bell again, for in the next days she started ringing mine, sometimes at two in the morning, three and four: she had no qualms at what hour she got me out of bed to push the buzzer that released the downstairs door. As I had few friends, and none who would come around so late, I always knew that it was her. But on the first occasions of its happening, I went to my door, half-expecting bad news, a telegram; and Miss Golightly would call up: “Sorry, darling—I forgot my key.”"|"Breakfast at Tiffany's"|"Truman Capote"
"ap 04:30"|four-thirty|"“Incidentally,” she said, “do you happen to know any nice lesbians? I’m looking for a roommate. Well, don’t laugh. I’m so disorganized, I simply can’t afford a maid; and really, dykes are wonderful homemakers, they love to do all the work, you never have to bother about brooms and defrosting and sending out the laundry. I had a roommate in Hollywood, she played in Westerns, they called her the Lone Ranger; but I’ll say this for her, she was better than a man around the house. Of course people couldn’t help but think I must be a bit of a dyke myself. And of course I am. Everyone is: a bit. So what? That never discouraged a man yet, in fact it seems to goad them on. Look at the Lone Ranger, married twice. Usually dykes only get married once, just for the name. It seems to carry such cachet later on to be called Mrs. Something Another. That’s not true!” She was staring at an alarm clock on the table. “It can’t be four-thirty!”"|"Breakfast at Tiffany's"|"Truman Capote"
"ap 08:45"|"eight forty-five"|"“Nothing. Except that I can never remember when it’s coming. You see, on Thursdays I have to catch the eight forty-five. They’re so particular about visiting hours, so if you’re there by ten that gives you an hour before the poor men eat lunch. Think of it, lunch at eleven. You can go at two, and I’d so much rather, but he likes me to come in the morning, he says it sets him up for the rest of the day. I’ve got to stay awake,” she said, pinching her cheeks until the roses came, “there isn’t time to sleep, I’d look consumptive, I’d sag like a tenement, and that wouldn’t be fair: a girl can’t go to Sing Sing with a green face.”"|"Breakfast at Tiffany's"|"Truman Capote"
"ap 11:00"|eleven|"“Nothing. Except that I can never remember when it’s coming. You see, on Thursdays I have to catch the eight forty-five. They’re so particular about visiting hours, so if you’re there by ten that gives you an hour before the poor men eat lunch. Think of it, lunch at eleven. You can go at two, and I’d so much rather, but he likes me to come in the morning, he says it sets him up for the rest of the day. I’ve got to stay awake,” she said, pinching her cheeks until the roses came, “there isn’t time to sleep, I’d look consumptive, I’d sag like a tenement, and that wouldn’t be fair: a girl can’t go to Sing Sing with a green face.”"|"Breakfast at Tiffany's"|"Truman Capote"
"ap 02:00"|two|"“Nothing. Except that I can never remember when it’s coming. You see, on Thursdays I have to catch the eight forty-five. They’re so particular about visiting hours, so if you’re there by ten that gives you an hour before the poor men eat lunch. Think of it, lunch at eleven. You can go at two, and I’d so much rather, but he likes me to come in the morning, he says it sets him up for the rest of the day. I’ve got to stay awake,” she said, pinching her cheeks until the roses came, “there isn’t time to sleep, I’d look consumptive, I’d sag like a tenement, and that wouldn’t be fair: a girl can’t go to Sing Sing with a green face.”"|"Breakfast at Tiffany's"|"Truman Capote"
"ap 06:10"|"ten past six"|"I waited until ten past six, then made myself delay five minutes more."|"Breakfast at Tiffany's"|"Truman Capote"
"ap 07:30"|seven-thirty|"Rusty Trawler came carrying a martini; he handed it over without looking at me. “I’m hungry,” he announced, and his voice, retarded as the rest of him, produced an unnerving brat-whine that seemed to blame Holly. “It’s seven-thirty, and I’m hungry. You know what the doctor said.”"|"Breakfast at Tiffany's"|"Truman Capote"
"ap 04:51"|"nine to five"|"I HAVE A MEMORY OF spending many hither and yonning days with Holly; and it’s true, we did at odd moments see a great deal of each other; but on the whole, the memory is false. Because toward the end of the month I found a job: what is there to add? The less the better, except to say it was necessary and lasted from nine to five. Which made our hours, Holly’s and mine, extremely different."|"Breakfast at Tiffany's"|"Truman Capote"
"ap > 07:00"|"after seven"|"Late one afternoon, while waiting for a Fifth Avenue bus, I noticed a taxi stop across the street to let out a girl who ran up the steps of the Forty-second Street public library. She was through the doors before I recognized her, which was pardonable, for Holly and libraries were not an easy association to make. I let curiosity guide me between the lions, debating on the way whether I should admit following her or pretend coincidence. In the end I did neither, but concealed myself some tables away from her in the general reading room, where she sat behind her dark glasses and a fortress of literature she’d gathered at the desk. She sped from one book to the next, intermittently lingering on a page, always with a frown, as if it were printed upside down. She had a pencil poised above paper—nothing seemed to catch her fancy, still now and then, as though for the hell of it, she made laborious scribblings. Watching her, I remembered a girl I’d known in school, a grind, Mildred Grossman. Mildred: with her moist hair and greasy spectacles, her stained fingers that dissected frogs and carried coffee to picket lines, her flat eyes that only turned toward the stars to estimate their chemical tonnage. Earth and air could not be more opposite than Mildred and Holly, yet in my head they acquired a Siamese twinship, and the thread of thought that had sewn them together ran like this: the average personality reshapes frequently, every few years even our bodies undergo a complete overhaul—desirable or not, it is a natural thing that we should change. All right, here were two people who never would. That is what Mildred Grossman had in common with Holly Golightly. They would never change because they’d been given their character too soon; which, like sudden riches, leads to a lack of proportion: the one had splurged herself into a top-heavy realist, the other a lopsided romantic. I imagined them in a restaurant of the future, Mildred still studying the menu for its nutritional values, Holly still gluttonous for everything on it. It would never be different. They would walk through life and out of it with the same determined step that took small notice of those cliffs at the left. Such profound observations made me forget where I was; I came to, startled to find myself in the gloom of the library, and surprised all over again to see Holly there. It was after seven, she was freshening her lipstick and perking up her appearance from what she deemed correct for a library to what, by adding a bit of scarf, some earrings, she considered suitable for the Colony. When she’d left, I wandered over to the table where her books remained; they were what I had wanted to see. South by Thunderbird. Byways of Brazil. The Political Mind of Latin America. And so forth."|"Breakfast at Tiffany's"|"Truman Capote"
12:00|noon|"Joe Bell, in whose bar we were sitting, accepted the order reluctantly. “You’re rockin’ the boat kinda early,” he complained, crunching on a Tums. It was not yet noon, according to the black mahogany clock behind the bar, and he’d already served us three rounds."|"Breakfast at Tiffany's"|"Truman Capote"
